Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
P07604	1	1	1	3	A | ;1,45E+02 | ;0,33 | ;0,33 | ; | 
P07623	0	0	1	1	A | ;1492,17 | 
P07639	0	1	1	2	A | ;1,95 | ;1,95 | ;601,54 | 
P07648	0	0	1	1	A | ; | 
P07649	0	0	1	1	A | ; | 
P07650	1	1	1	3	B | ;1,00E+04 | ;0,85 | ; | 
P07654	0	0	1	1	B | ; | 
P07762	1	1	1	3	A | ;9,99E+01 | ;0,53 | ; | 
P07813	1	1	1	3	A | ;2,56E+03 | ;1,81 | ;1,81 | ;1138,73 | 
P07821	0	1	1	2	F1 | ;- | ; | 
P07822	0	0	1	1	G | ; | 
P07862	1	1	1	3	A | ;3,92E+02 | ;2,76 | ; | 
P07913	1	1	1	3	A | ;4,94E+02 | ;3,05 | ;3,05 | ; | 
P08142	0	1	1	2	A | ;0,43 | ;0,43 | ;3487,21 | 
P08178	1	1	1	3	A | ;1,43E+03 | ;2,74 | ;207,05 | 
P08179	1	0	1	2	A | ;1,98E+02 | ; | 
P08192	0	1	1	2	A | ;0,89 | ;0,89 | ; | 
P08200	1	1	1	3	B | ;8,19E+03 | ;11,81 | ;11,81 | ;19479,77 | 
P08201	0	1	1	2	A | ;3 | ; | 
P08244	1	1	1	3	A | ;2,12E+02 | ;0,19 | ;0,19 | ; | 
P08312	1	1	1	3	A | ;1,72E+03 | ;2,02 | ;2,02 | ;2019,67 | 
P08331	1	1	1	3	G | ;1,95E+02 | ;0,42 | ; | 
P08337	0	0	1	1	A | ; | 
P08368	0	0	1	1	A | ; | 
P08370	0	0	1	1	G | ; | 
P08371	0	0	1	1	B | ; | 
P08373	1	1	1	3	A | ;2,12E+02 | ;1,06 | ;1,06 | ; | 
P08394	0	0	1	1	A | ; | 
P08395	0	1	1	2	B | ;0,08 | ;0,08 | ; | 
P08400	0	0	1	1	B | ;244,15 | 
P08401	0	0	1	1	B | ; | 
P08506	0	1	1	2	F2 | ;1,49 | ;1,49 | ; | 
P08550	0	0	1	1	B | ; | 
P08839	1	1	1	3	F1 | ;5,70E+03 | ;24,33 | ;24,33 | ;4259,89 | 
P08997	0	1	1	2	A | ;1,71 | ;1,71 | ;116,68 | 
P09029	1	0	1	2	A | ;6,13E+02 | ;601,22 | 
P09030	1	1	1	3	A | ;3,68E+02 | ;0,81 | ; | 
P09053	1	1	1	3	A | ;2,89E+02 | ;0,27 | ;0,27 | ; | 
P09126	0	1	1	2	A | ;1 | ; | 
P09152	1	1	1	3	F1 | ;1,01E+02 | ;6,07 | ;6,07 | ; | 
P09155	0	1	1	2	A | ;0,15 | ; | 
P09158	1	1	1	3	A | ;8,35E+02 | ;1,58 | ;1796,68 | 
P09163	0	0	1	1	A | ; | 
P09348	0	0	1	1	B | ; | 
P09377	0	0	1	1	A | ; | 
P09391	1	1	1	3	B | ;2,78E+02 | ;0,46 | ; | 
P09394	0	1	1	2	G | ;1,45 | ; | 
P09424	1	1	1	3	A | ;5,46E+02 | ;1,59 | ; | 
P09546	1	1	1	3	F1 | ;3,29E+02 | ;4,08 | ;4,08 | ; | 
P09549	0	1	1	2	B | ;0,85 | ; | 
P09832	1	0	1	2	A | ;5,30E+02 | ;2596,25 | 
P09836	0	0	1	1	B | ; | 
P09980	0	0	0	0	A | 
P09996	0	1	1	2	A | ;0,43 | ; | 
P0A6A0	0	0	1	1	B | ; | 
P0A6A3	1	1	1	3	A | ;1,09E+04 | ;8,31 | ;8,31 | ;1837,39 | 
P0A6B4	0	1	1	2	A | ;0,34 | ; | 
P0A6B7	1	1	1	3	A | ;3,65E+03 | ;12 | ;12 | ; | 
P0A6C5	0	0	1	1	A | ;117,42 | 
P0A6C8	0	0	1	1	A | ; | 
P0A6D0	0	1	1	2	A | ;1,05 | ;521,29 | 
P0A6D5	0	0	1	1	A | ; | 
P0A6D7	1	1	1	3	A | ;1,84E+03 | ;- | ; | 
P0A6E1	0	0	1	1	A | ; | 
P0A6E4	1	1	1	3	A | ;5,37E+02 | ;0,29 | ;0,29 | ;8869,39 | 
P0A6E9	0	0	1	1	B | ; | 
P0A6F1	1	1	1	3	A | ;7,46E+02 | ;0,66 | ;0,66 | ;2911,19 | 
P0A6F3	1	1	1	3	A | ;1,16E+03 | ;0,17 | ;0,17 | ; | 
P0A6F5	1	1	1	3	A | ;6,10E+04 | ;5,37 | ;5,37 | ;11649,26 | 
P0A6G3	0	0	1	1	A | ; | 
P0A6G5	0	0	1	1	A | ; | 
P0A6G7	1	1	1	3	A | ;2,83E+03 | ;3 | ;3 | ;5786,68 | 
P0A6H1	1	1	1	3	A | ;7,31E+02 | ;2,71 | ;2,71 | ;3671,65 | 
P0A6H5	1	1	1	3	A | ;1,04E+03 | ;4,37 | ;4,37 | ;955,07 | 
P0A6H8	0	1	1	2	B | ;0,25 | ; | 
P0A6I3	0	1	1	2	A | ;0,36 | ; | 
P0A6I9	0	0	1	1	A | ; | 
P0A6J1	0	0	1	1	B | ; | 
P0A6J3	1	0	1	2	B | ;3,68E+02 | ; | 
P0A6J5	1	1	1	3	F1 | ;1,37E+02 | ;2,64 | ;2,64 | ; | 
P0A6J8	1	1	1	3	A | ;9,39E+02 | ;1,52 | ; | 
P0A6K1	0	1	1	2	A | ;0,94 | ; | 
P0A6K3	1	1	1	3	A | ;1,68E+03 | ;1,03 | ; | 
P0A6K6	1	1	1	3	A | ;3,09E+03 | ;2,17 | ;2,17 | ; | 
P0A6L2	1	1	1	3	A | ;1,19E+03 | ;5,04 | ;1195,81 | 
P0A6L4	1	1	1	3	A | ;5,82E+02 | ;0,51 | ;0,51 | ; | 
P0A6L9	1	1	1	3	A | ;1,04E+03 | ;- | ; | 
P0A6M4	0	0	1	1	A | ; | 
P0A6M8	1	1	1	3	A_trl | ;5,33E+04 | ;12,97 | ;12,97 | ;24623,18 | 
P0A6N4	1	1	1	3	A_trl | ;5,85E+03 | ;2,74 | ;2,74 | ;2392,12 | 
P0A6P5	1	1	1	3	A | ;2,73E+02 | ;0,45 | ;0,45 | ; | 
P0A6P7	1	1	1	3	A | ;6,79E+02 | ;- | ;- | ; | 
P0A6P9	1	1	1	3	A | ;5,58E+04 | ;4,91 | ;4,91 | ;11282,75 | 
