Merge ID	DB_NoveV12	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Taniguchi2010_fin_mmol	OurStudy	# Studies	DB_NoveV12 Duplicates	Ishihama2008_fin Duplicates	Masuda2009_fin Duplicates	PengTable_fin Duplicates	Taniguchi2010_fin_mmol Duplicates	OurStudy Duplicates	Subcellular Location(this study)	emPAI-derived copy no/cell (see Figure 2)	Copy number per cell	APEX	mMol	P00350	
Q6BF86	1						1	1						B					
P08373	1	1	1	1	1		5	1	1	2	1	1		A	2.12E+02	99.64		0.0073799	
P08394	1			1	1		3	1			1	1		A				0.00024504	
P08395	1		1	1		1	4	1		2	1		1	B		20.37			P08395
P08400	1			1	1	1	4	1			1	1	1	B			244.15	0.0042354	P08400
P08401	1			1		1	3	1			1		1	B					P08401
P08506	1		1	1		1	4	1		2	1		1	F2		74.94			P08506
P08550	1			1			2	1			1			B					
P08839	1	1	1	1		1	5	1	1	2	1		1	F1	5.70E+03	627.12	4259.89		P08839
P08997	1		1	1		1	4	1		2	1		1	A		228	116.68		P08997
P09029	1	1		1			3	1	1		1			A	6.13E+02		601.22		
P09030	1	1	1	1	1	1	6	1	1	1	1	1	1	A	3.68E+02	136.13		0.0026292	P09030
P09053	1	1	1	1		1	5	1	1	2	1		1	A	2.89E+02	14.22			P09053
P09126	1		1	1		1	4	1		1	1		1	A		-			P09126
P09152	1	1	1	1	1	1	6	1	1	2	1	1	1	F1	1.01E+02	97.41		0.0011744	P09152
P09155	1		1	1	1		4	1		1	1	1		A		-		0.0020128	
P09158	1	1	1	1			4	1	1	1	1			A	8.35E+02	70.42	1796.68		
P09163	1			1			2	1			1			A					
P09348	1			1			2	1			1			B					
P09377	1			1		1	3	1			1		1	A					P09377
P09391	1	1	1	1		1	5	1	1	1	1		1	B	2.78E+02	1.31			P09391
P09394	1		1	1		1	4	1		1	1		1	G		158.66			P09394
P09424	1	1	1	1			4	1	1	1	1			A	5.46E+02	85.75			
P09546	1	1	1	1	1	1	6	1	1	2	1	1	1	F1	3.29E+02	257.02		0.0053439	P09546
P09549	1		1	1	1	1	5	1		1	1	1	1	B		2.19		0.00031834	P09549
P09832	1	1		1	1	1	5	1	1		1	1	1	A	5.30E+02		2596.25	0.11285	P09832
P09836	1			1			2	1			1			B					
P09980	1				1	1	3	1				1	1	A				0.0013367	P09980
P09996	1		1	1			3	1		1	1			A		99.64			
P0A6A0	1			1		1	3	1			1		1	B					P0A6A0
P0A6A3	1	1	1	1	1	1	6	1	1	2	1	1	1	A	1.09E+04	5090.85	1837.39	0.084861	P0A6A3
P0A6B4	1		1	1	1		4	1		1	1	1		A		17.07		0.0033119	
