A	0.47	9.96	7.5	4.83	4.64	P0A9M0
A		25	5.87	4.73	2.9	P0A9M2
F1	0.51	25.83	6.84	4.43	3.68	P0A9M5
F1		49.55	19.11	13.07	27.21	P0A9P0
G		33.15	4.75	3.52	1.82	P0A9P4
A		7	3.51	2.8	0.89	P0A9P6
A	0.5	12.59	2.48	4.51	2.65	P0A9Q1
A_trl	0.45	12.69	7.42	7.07	3.53	P0A9Q5
B		7.73	13.74	10.37	8.98	P0A9Q9
A		1.64	23.43	14.97	10.04	P0A9T0
A		0.31			1.7	P0A9T4
F1		1.11		1.84	1.04	P0A9U3
F1	0.41	3.22		3.65	3.37	P0A9V1
F1	0.55	11.74		3.42	2.8	P0A9W3
F1		28.55	8.96	8.09	4.08	P0A9X4
A_trl		1332.52	32.8	46.3	48.48	P0AA10
A	0.45	5.31	1.48	1.91	1.55	P0AA16
A_trl		2.48		1.06	0.48	P0AA39
F1		0.71		2.95	2.28	P0AAB4
B	0.38	6.63	10.06	6.28	6.81	P0AAB6
A		3.87		1.82		P0AAC0
B	0.62	1.78	1.41	0.87	1.09	P0AAD6
F1	0.42	1.15	6.99	3.79	5.24	P0AAF6
A		9		0.88		P0AAI5
A		12.89	11.69	8.78	10.1	P0AAI9
B	0.45	2.87	1.44	0.72	0.44	P0AAJ5
G		1.78		2.92	2.82	P0AAX8
I		1.68		1.54	3.23	P0AB38
B	0.41	2.16	9.21	6.41	4.07	P0AB67
A		137.95	7.59	5.88	6.42	P0AB71
A	0.44	24.12	3.18	1.02	1.52	P0AB77
A	0.47	0.29	9.54	3.32	2.71	P0AB80
A		14.32	6.81	3.58	2.83	P0AB89
A	0.38	1.68	15.79	11.11	6.48	P0AB91
F1		36.93	21.8	10.59	14.78	P0ABA6
F1	0.65	64.29	11.9	5.69	6.89	P0ABB4
B	0.32	0.18	0.68	0.37	0.9	P0ABB8
B		0.39	11.29	3.1	3.76	P0ABF1
A	0.54	24.12	14.83	11.37	14.37	P0ABH7
B	0.45	3.92	1.62	1.12	0.47	P0ABI4
B	0.48	3.92	21.22	15.95	23.8	P0ABI8
B	0.4	9	23.87	17.37	28.41	P0ABJ1
B	0.49	3.64	6.94	1.61	4.64	P0ABJ9
A		12.34	34.23	39.17	32.67	P0ABK5
A		50	6.71	2.57	4.51	P0ABP8
A		9	10.35	4.37	7.09	P0ABS1
A	0.53	30.62	23.86	4.7	28.19	P0ABT2
A	0.59	7	4.46	1.02	1.74	P0ABU0
A		15.24		3.34	1.43	P0ABU2
B	0.38	1.37	5.71	3.53	6.06	P0ABU7
B	0.35	1.85	4.22	3.83	1.65	P0ABU9
F1		0.78		3.66	3.02	P0ABZ4
I		3.64			4.73	P0AC02
A		2.41	3.62	2.22	1.38	P0AC13
A		3.33	6.93	2.92	3.15	P0AC19
A	0.39	17.05	4.91	2.88	5.01	P0AC33
A	0.6	9	1.58	2.66	2.12	P0AC38
F1	0.52	13.96	20.82	8.97	23.6	P0AC41
A		4.23		2.73	3.01	P0AC53
A	0.31	2.65	7.84	3.79	10.86	P0AC59
A	0.61	5.31		15.12	8.11	P0AC69
B	0.32	1	3.13	1.8	1.59	P0AC75
A		0.67	6.73	3.86	3.73	P0AC81
A		3.92	8.44	4.58	5.31	P0ACA3
A		5.49	3.41	1.73	1.2	P0ACB2
A	0.63	5.31	4.69	3.73	2.22	P0ACC3
A	0.46	3.79	10.31	4.41	4.51	P0ACC7
A		11.92			8.36	P0ACD4
A	0.36	9		1.22	3.46	P0ACE7
A		99	25.58	36.37	19.99	P0ACF0
A	0.58	13.25	22.31	36.47	43.07	P0ACF8
B		11.92	12.21	12.62	4.3	P0ACJ0
A	0.49	16.78	14.5	13.38	11.6	P0ACJ8
A		0.67	1.91	1.77	0.66	P0ACP5
A	0.39	3.64	1.95		0.71	P0ACQ4
G		2.87			0.91	P0AD12
A	0.39	0.93	5.44	2.95	2.38	P0AD57
A	0.7	20.54	9.23	7.33	4.95	P0AD61
I	0.45	6.74	9.06	7.3	4.4	P0ADA5
A		1.15		1.17	4.29	P0ADE6
A		5.95		1.93	2.46	P0ADE8
E	0.33	12.34		2.44	2.17	P0ADK0
A	0.41	73.99		9.27	1.7	P0ADN2
A	0.36	1.51			1.31	P0ADR8
A	0.28	2.73		4.72	1.98	P0ADS2
G	0.34	34.11		1.67	4.12	P0ADS6
A	0.3	0.39			1.08	P0ADV5
G	0.47	1.25		3.18	4.94	P0ADV7
B		5.38	3.75	2.38	1.46	P0ADY1
A_trl		50.79	33.66	44.63	54.61	P0ADY3
A_trl		12.89	26.69	28.61	33.57	P0ADY7
A_trl		18.31	7.85	9.32	4.06	P0ADZ4
B	0.54	30.62	10.82	11.54	9.85	P0ADZ7
A		2.83			1.52	P0AE01
A		141.51	25.29	18.92	48.26	P0AE08
A	0.28	0.58	2.71	1.58	1.59	P0AE12
A		6.63	7.06	4.56	4.25	P0AE18
A	0.24	1.51		7.35	2.9	P0AE48
A	0.45	9	13.28	9.91	6.44	P0AE52
A		2.59	8.86	3.2	3.39	P0AE78
G	0.32	0.87	2.46	1.38	1.4	P0AE91
F2	0.47	8.12	5.37	5.45	2.78	P0AEB2
A		3.64			5.51	P0AEB7
B		0.66	2.49	1.89	1.08	P0AEC3
F1	0.51	30.62	20.65	20.65	26.35	P0AED0
E		6.94	5.07	5.12	3.39	P0AEE1
G	0.4	0.47	3.62	2.21	2.25	P0AEG6
A		9.83		2.34	1.81	P0AEI1
A_trl		1.47				P0AEI4
F1	0.6	99	8.88	6.22	6.82	P0AEK4
B	0.37	1.68	1.56	0.75	0.63	P0AEL0
A		2.98	5.5	3.48	2.79	P0AEN1
B	0.4	12.59	3.94	2.34	1.29	P0AEP3
G	0.56	4.82	20.31	16.92	20.1	P0AEQ3
A	0.43	0.58	1.32	0.94	0.39	P0AES0
A	0.52	5.63	5.41	3.2	1.62	P0AES4
A	0.34	1.61	5.85	1.83	3.51	P0AET8
G	0.4	1.15	17.29	13.6	8.07	P0AEU0
B	0.24	1.15	16.4	9.82	7.67	P0AEX3
B	0.46	2.51	2.96	1.35	2.3	P0AEY5
F1		14.01	9.4	6.08	7	P0AEZ3
A		4.01	7.37	2.86	4.44	P0AEZ9
A	0.37	1.51	2.38	1.46	1.62	P0AF03
A		7	6.37	3.11	2.63	P0AF08
A		9	3.64	1.99	1.82	P0AF12
A	0.39	2.51	3.71	2.08	1.96	P0AF24
A	0.38	11.92	5	1.1	3.2	P0AF28
A	0.58	12.34		12.58	14.71	P0AF93
I		0.36		5.9	4.27	P0AFB1
A	0.29	0.44	3.63	1.51	1.07	P0AFB5
B	0.4	3.64	11.32	6.06	12.63	P0AFC3
F1	0.45	4.41	10.92	6.56	12.11	P0AFC7
F1	0.45	12.89	15.44	11.39	19.28	P0AFD1
B	0.51	2.16	4.94	2.55	1.57	P0AFF2
A		29.39	14.84	11.27	13.74	P0AFF6
A		11.12	7.46	10.33	7.4	P0AFG0
A	0.5	14.44	19.3	4.76	13.77	P0AFG3
A	0.57	30.62	24.4	9.32	25.6	P0AFG6
B		47.33	23.47	13.21	19.14	P0AFG8
F1	0.42	0.78	3.19			P0AFI2
A	0.36	3.08	5.01	3.16	2.1	P0AFI7
B	0.38	2.98	3.98	2.42	1.93	P0AFJ7
A	0.36	6.74	3.18	1.23	1.35	P0AFK0
G	0.46	1.15	10.22	6.5	6.37	P0AFK9
A		2.16	8.85	3.79	4.64	P0AFP6
A	0.37	0.83		0.55	0.75	P0AFQ7
A	0.36	2.59		2.6	3.11	P0AFR4
A	0.31	3.64	2.96	1.72	0.78	P0AFU8
G	0.28	0.31	3.25	1.64	1.62	P0AFX9
F1	0.34	11.59	7.16	3.02	6.07	P0AFY8
A	0.36	2.73	3.88	3.9	2.02	P0AFZ3
A	0.38	4.88	3.54	2.57	2.79	P0AG07
A	0.38	0.33	6.26	2.12	1.84	P0AG24
B	0.42	18.31		6.62	6.12	P0AG27
A		33.33	7.91	5.65	3.01	P0AG30
A_trl	0.55	15.68	18.12	38.35	12.89	P0AG44
A_trl		42.29	27.37	39.37	48.74	P0AG55
A_trl		50.79	33.06	31.71	38.14	P0AG59
A_trl		99	23.49	25.86	19.39	P0AG63
B		2.79		0.68	0.48	P0AG71
F1	0.58	62	8.71	5.42	5.83	P0AG86
B	0.47	2.73	4.62	3.04	2.46	P0AG90
B	0.42	1.78	2.94	3.41	1.25	P0AG93
B		4.88	23.95	61.22	31.41	P0AGA2
A		11.92	18.21	16.37	15.54	P0AGD3
F1	0.44	7.48	4.92	2.34	2.15	P0AGD7
A		0.67	1.52	1.28	0.8	P0AGG4
A	0.42	1.37	3.59	2.33	1.01	P0AGG8
A	0.46	1.87		1.71	1.11	P0AGJ5
A		4.34			6.04	P0AGK8
A		3.22	3.12	2.11	0.81	P0C054
B	0.34	0.52	6.07	3.13	2.53	P0C0L7
A_trl		0.43	7.51	6.89	5.88	P0C0R7
B	0.4	0.53		3.38	1.18	P0CB39
F1	0.44	6.02	6.22	4.14	3.73	P10121
F1	0.46	3.92	7.97	4.38	4.09	P10346
F1	0.53	5.17	4.57	2.19	1.98	P10408
A	0.38	0.17	9.2	5.35	3.77	P10443
F1	0.55	1.41			0.37	P11349
A		5	2.47	0.86	0.86	P11875
A	0.4	0.33	2.53	1.23	0.87	P11880
B		0.33	5.97	2.81	3.11	P12008
A	0.37	5.81	2.47		0.96	P12281
A		6.02	3.38	1.48	1.91	P12758
A	0.42	0.09	2.97	2.28	1.69	P13009
A		4.27	1.34		0.66	P13024
A	0.51	10	3.91	2.12	2.56	P13029
A	0.42	7.19	4.88	1.22	3.15	P15034
A	0.3	0.09	2.8	0.96	0.95	P15038
A		0.28	2.86		1.15	P15042
A		0.79	4.29	1.46	1.26	P15254
A	0.52	21.91	4.55	2.33	1.87	P15288
A		7	8.62	2.78	3.95	P15639
A		1.03	2.83	1.09	0.6	P15770
B	0.41	13.38	2.52	1.08	0.51	P15877
A	0.33	0.78	2.06	1.17	1.1	P15977
B	0.44	2.55				P16095
A		11.74	5.01	1.86	3.04	P16456
A		17.96	6.77	4.08	1.7	P16659
F1		0.26	2.83	2.32	1.31	P17443
A		0.69	1.93		0.8	P17952
A		2.16	6.24	4.63	2.86	P17993
A		4.08	6.81	3.05	3.65	P18843
A	0.42	0.87	1.31	1.38	0.51	P20083
A	0.49	5.19	6.42	2.13	3.11	P21165
A		6.94	3.55	2.21	1.84	P21170
A		1.09	2.73	1.84	1.4	P21499
A		13.07	3.99	1.88	2.22	P21599
A		7	2.84	1.32	0.93	P21888
F1		9	8.9	5.89	4.37	P21889
A	0.47	0.41	1.94	1.3	0.92	P22106
A	0.39	1.68	2.89		2.3	P22256
A	0.55	49.12	2.48	2.06	9.71	P22259
A		4.27	1.73	0.85	1.08	P22333
A		0.82	2.11	1.05	1.19	P22523
A		3.81	14.31	8.79	7.28	P23721
F1	0.35	2.16	5.04	3.89	2.12	P23830
A	0.3	2.46	8.41	2.68	8.36	P23836
A	0.44	3.96		2.4	1.35	P23839
G	0.41	11.12	11.45	30.3	8.85	P23843
G	0.52	0.58	10.42	8.66	16.32	P23847
F2	0.39	2.16	3.83	2.57	1.7	P23865
A		3.64	4.38	2.65	1.76	P23882
A		14.85	2.7	1.21	1.59	P23893
B		2.51	4.26	2.06	3.76	P23894
B		0.45	1.13	1.44	0.47	P23909
B		0.26	1.65	0.92	0.54	P23930
A	0.3	2.05	2.91	1.37	1.39	P24171
A		12.46	6.48	4.7	3.37	P24182
A		5.58	6.58	2.85	3.29	P24186
B		0.33	3.04	1.15	0.95	P24205
