A	2.36E+02	22.71		0.016422	P29680
A	1.94E+02	27.85		0.0063726	P29745
A	1.86E+02	18.96	1352.53	0.023575	P30178
A	2.02E+02	27.85		0.0043062	P30958
A	1.04E+03	398	861.61	0.063008	P31120
A	8.35E+02	157.78	734.92	0.021756	P31663
F1	6.13E+02	197.75		0.0038072	P31979
A	2.92E+03	504.13		0.036707	P32132
A	6.33E+02	223.08	849.88	0.03748	P33195
F1	5.40E+02	590.19		0.012685	P33599
F1	6.52E+02	379.07		0.015867	P33602
A	1.63E+03	739.77	9926.15	0.097198	P36683
F1	1.53E+02	-		0.0046328	P36879
A_trl	4.53E+02	54.08	1729.1	0.011299	P36979
A	7.31E+02	780.47		0.0209	P37095
A	2.23E+02	175.38		0.0035459	P37440
A	3.30E+02	50.43		0.0034848	P37634
G	4.32E+02	-		0.00035271	P37648
A	4.94E+02	398		0.022047	P37666
A	1.59E+03	188.99	1908.24	0.042496	P37689
A_trl	3.68E+02	271.77		0.021	P37765
A	6.13E+02	2308.02		0.053348	P39177
B	1.04E+02	1.36		0.00025756	P39321
A	8.92E+02	322.33	1795.49	0.052727	P39831
A	1.04E+02	-		0.0041088	P43329
B	1.81E+02	11.36		0.00031571	P43671
A	2.98E+03	459.44		0.068045	P45577
A_trl	5.18E+02	27.85		0.0052844	P45748
B	1.64E+02	1.01		0.001874	P46889
A	1.19E+02	12.32		0.0062377	P52647
A	8.35E+02	129.48		0.017615	P60546
B	6.40E+02	1226.02	257.09	0.028706	P60560
A	6.13E+02	308.96		0.012493	P60716
B	2.06E+02	43		0.0099165	P60752
F1	7.53E+02	366.63	469.2	0.02678	P60785
A_trl	6.92E+02	139.23	412.21	0.030085	P60906
G	6.13E+02	16.12	306.88	0.0013501	P61316
A	8.35E+02	791.36	1862.26	0.19038	P61949
A	5.65E+02	113.03		0.016418	P62620
A	3.15E+02	50.43		0.01273	P62623
A	1.44E+04	253.16	4871.93	0.29961	P62707
A	8.35E+02	398		0.10524	P62768
A	1.02E+04	398	5011.15	0.1569	P63020
A	1.64E+03	547.85	340.93	0.048601	P63284
A	2.68E+02	99.64		0.0099279	P64554
A	2.29E+02	44.02		0.035258	P64588
A	5.46E+02	154.25		0.0081012	P67080
A	2.28E+03	776.69	835.92	0.059649	P67910
B	2.50E+02	1.59		0.016094	P69425
A	4.18E+03	402.59	3832.25	0.30843	P69441
A	3.99E+02	115.26		0.00013223	P75838
A	2.50E+02	37.12		0.018819	P75849
A_trl	1.94E+02	28.78		0.00017332	P75864
A	1.67E+02	29.71		0.0021949	P75949
F1	2.50E+02	22.71		0.023721	P75957
A	4.53E+02	374.79	709.84	0.019797	P76558
A	3.15E+02	65.44		0.0042305	Q57261
A	3.21E+02	118.82		0.017241	P00582
A_trl	1.83E+03	275.23	1650.27	0.034219	P00957
F1	1.12E+02	23.18		0.011497	P03004
F1	8.02E+03	2785.78	4640.4	0.38417	P06959
A	8.05E+02	295.57	1354.69	0.028798	P08622
A	3.48E+02	87	595.75	0.0052811	P08957
A	1.21E+04	641.14	5107.31	0.096355	P09373
A	7.29E+02	15.17	6437.72	0.06969	P09831
F1	3.22E+02	11.36	104.7	0.0020085	P0A698
F1	4.18E+03	398	1321.97	0.00010535	P0A6E6
A	6.54E+03	4064.14	64668.67	2.1907	P0A6F9
A_trl	6.60E+04	2895.73	15094.06	0.3094	P0A6P1
A	9.05E+02	177.58		0.03355	P0A6Y5
A	4.10E+02	127.26	504.79	0.02186	P0A749
F1	1.44E+02	135		0.016615	P0A7A7
A_trl	5.61E+02	229.62		0.0080232	P0A7D1
A	6.54E+03	398		0.080643	P0A8B5
B	1.22E+03	238.33		0.11119	P0A8G6
A	4.05E+02	99.64		0.053006	P0A8H6
A	7.63E+02	791.36		0.00084552	P0A8R0
A	2.29E+02	33.42		0.0047227	P0A8T1
A	2.12E+02	76.29		0.0018901	P0A991
A	1.96E+03	645.93		0.057824	P0A9L3
B	2.38E+03	225.17	534.24	0.026304	P0A9M8
A	5.85E+03	4064.14	40354.68	11.2809	P0A9Y6
A	6.64E+02	2308.02		0.070884	P0A9Z1
A	2.66E+03	1909.42		0.33641	P0AA25
B	5.79E+02	349.88		0.034483	P0AAI3
A	3.48E+02	70.42	479.8	0.017096	P0AAR3
A	1.04E+03	884.64		0.023508	P0AB28
F1	1.28E+03	1480.65	1422.07	0.04983	P0ABA4
F1	1.99E+03	1206.59	2002.92	0.15958	P0ABB0
A	1.60E+02	58.18		0.0074888	P0ABQ0
G	2.20E+03	112	590.32	0.0028319	P0ABZ6
A	3.39E+02	695		0.047744	P0ACA7
A_trl	5.23E+03	2788.66		0.45956	P0AD49
F1	6.64E+02	316.29		0.013339	P0AE88
B	4.53E+02	37.12		0.36578	P0AEH5
A	5.01E+02	540		0.061127	P0AES6
G	5.06E+03	327.93	3350.11	0.012174	P0AEU7
B	1.41E+02	99.64		0.017513	P0AG14
A	1.04E+03	238.33		0.13412	P0AGK4
A	6.40E+02	1909.42		0.02468	P0C8J6
A	8.59E+02	1838.05	5305.97	0.12273	P0C8J8
F1	2.23E+02	558.02		0.029121	P13035
H	4.83E+02	-		0.00015749	P17315
A	1.73E+02	57.27	152.83	0.013399	P22188
A	4.18E+03	1909.42	4763.98	0.22437	P23869
A	1.86E+02	110.81		0.010812	P24203
A	4.94E+02	45.85		0.0054191	P25397
A	6.49E+02	233.98	2060.53	0.051973	P25553
A	1.88E+03	232	169.65	0.016552	P27248
B	7.37E+02	181.53		0.0054145	P27434
A	1.53E+02	26.45		0.016686	P28304
G	7.63E+01	3.59	203.33	0.00033655	P31828
F1	7.04E+02	4064.14	9635.27	0.027256	P37188
A	1.14E+02	95.62		0.007157	P37330
F1	1.32E+02	57.72		0.0083303	P37349
B	1.53E+02	60.45		0.00025724	P37626
A	4.53E+02	269.17	979.29	0.021033	P37760
B	2.63E+02	118.82		0.056983	P39396
A	4.88E+02	85.75		0.015845	P42641
F1	1.41E+02	54.08		0.0056375	P43672
I	3.15E+02	47.69		0.0014514	P45464
G	4.18E+03	398	3241.64	0.0016707	P45523
G	3.44E+03	54.08	228.42	0.0001076	P45955
A	4.21E+02	88.89	99.13	0.010385	P60240
B	1.49E+03	563.11		0.40617	P64581
A_trl	1.60E+04	2308.02		0.81815	P69222
B	5.46E+02	398		0.32593	P69428
F1	6.40E+02	554.63		0.024573	P69797
F1	1.28E+03	645.93	16057.25	0.024126	P69828
A	3.12E+04	70.42		0.73164	P69913
A	1.60E+02	54.08		0.0053477	P75913
A	2.11E+03	398		0.051985	P77395
B	4.53E+02	244.42		0.00091042	P0ABC3
G	3.09E+03	18.96		0.0041097	P0AEG4
H	4.79E+02	26.92		0.0016682	P06971
A	8.19E+03	269.17		0.06883	P0A8A0
A	7.04E+02	113.03		0.019829	P0A8A2
B	4.27E+02	81		0.028619	P0ABC7
