Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
C6EF26_ECOBD	21	13		823.617304035088	-0.558844044844045
C6EEW8_ECOBD	18	8		849.105726818182	-0.733146966258379
C6EFY0_ECOBD	12	9		1018.84244202381	-0.058788093104285
C6EHI3_ECOBD	23	14		749.583371222222	-0.250355596784168
C6EA44_ECOBD	24	12		807.661262692308	-0.860042313011063
C6EKT4_ECOBD	16	10		879.199065166667	-0.738694805194805
C6EDN2_ECOBD	24	12		713.695387179487	-0.311963342810117
C6EA33_ECOBD	16	8		1065.82620354167	-0.0888928997359231
C6EJQ3_ECOBD	20	7		848.459955208333	-0.492042089146872
C6EJM0_ECOBD	17	11		928.260640238095	-0.204868994641722
C6EI42_ECOBD	19	11		847.750255151515	-0.28224527426899
C6EGR5_ECOBD	14	5		1038.77464638889	-0.162027777777778
C6EB89_ECOBD	16	7		796.83861735	-0.301686315551862
C6E9W8_ECOBD	8	4		907.54644875	-0.266488095238095
C6EED3_ECOBD	10	3		1110.25917333333	-0.833058656742867
C6EHU9_ECOBD	15	12		851.130665602564	-0.440640526811056
C6EHU8_ECOBD	25	10		741.433932121212	-0.116375375375375
C6EH81_ECOBD	22	10		971.995443787879	-0.489671474358974
C6EDI7_ECOBD	18	7		1005.7847925	0.136368533427357
C6ELT1_ECOBD	25	11		837.906645654762	-0.266565317642393
C6ELL4_ECOBD	8	4		1354.75072527778	-0.458003374766105
C6EB78_ECOBD	9	5		694.695834166667	0.186857031857032
C6EDC0_ECOBD	11	5		1086.61209583333	-0.07852323725189
C6ED35_ECOBD	21	13		742.297242307692	0.0690274660112716
C6ELL2_ECOBD	20	10		861.811588645833	-0.275931481845804
C6EEA8_ECOBD	16	11		959.236779761905	-0.385976792202089
C6EBF9_ECOBD	26	14		677.210712291667	-0.140821866625438
C6EG14_ECOBD	12	8		942.789252277778	-0.489405661740221
C6EIF4_ECOBD	19	11		818.567158555556	-0.093595377232157
C6EDQ1_ECOBD	12	2		944.429583888889	-0.110303030303031
C6EEA9_ECOBD	30	11		723.024274305556	-0.284601757100013
C6EGY0_ECOBD	7	3		1050.00283708333	0.201010101010101
