Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z	
YBHC_ECOLI	12	1	8.33333333333333	877.44027	-0.58125
YBHC_ECOLI	13	1	7.69230769230769	805.384775	-0.757142857142857
YBHC_ECOLI	14	1	7.14285714285714	1260.63902	-1.2335811384724e-017
YBHC_ECOLI	15	1	6.66666666666667	968.481795	0.1
BORD_ECOLI	5	1	20	613.837470277778	-0.1
NLPD_ECOLI	1	1	100	406.71957	-0.0166666666666668
NLPD_ECOLI	3	2	66.6666666666667	491.73562	-1.00649350649351
NLPD_ECOLI	3	0	0		
NLPD_ECOLI	4	1	25	943.952475	0.05
NLPD_ECOLI	6	0	0		
NLPD_ECOLI	6	0	0		
NLPD_ECOLI	7	1	14.2857142857143	770.590607222222	-0.844444444444444
NLPD_ECOLI	8	1	12.5	480.761965	0.677777777777778
NLPD_ECOLI	9	1	11.1111111111111	494.79019	0.866666666666667
NLPD_ECOLI	10	1	10	1400.03847333333	-0.204878048780488
NLPD_ECOLI	11	1	9.09090909090909	535.77834	0.127272727272727
NLPD_ECOLI	12	0	0		
NLPD_ECOLI	13	1	7.69230769230769	653.812575	-0.292307692307692
NLPD_ECOLI	14	0	0		
NLPD_ECOLI	14	0	0		
NLPD_ECOLI	15	1	6.66666666666667	634.29625	-0.176923076923077
YGDI_ECOLI	2	0	0		
YGDI_ECOLI	4	0	0		
YGDI_ECOLI	5	1	20	903.756408333333	-0.88
MLTA_ECOLI	2	0	0		
MLTA_ECOLI	3	1	33.3333333333333	598.596958333333	-1.51666666666667
MLTA_ECOLI	4	1	25	539.7317	-0.633333333333333
MLTA_ECOLI	6	2	33.3333333333333	796.6678225	-0.524107142857143
MLTA_ECOLI	7	1	14.2857142857143	679.207096388889	-0.929411764705882
MLTA_ECOLI	9	1	11.1111111111111	1402.36194166667	-0.161290322580645
MLTA_ECOLI	10	0	0		
MLTA_ECOLI	11	1	9.09090909090909	462.76196	0.81
MLTA_ECOLI	12	1	8.33333333333333	649.807105	-1.23
MLTA_ECOLI	13	1	7.69230769230769	1021.36384166667	-0.128571428571429
MLTA_ECOLI	14	1	7.14285714285714	568.28038	0.0272727272727273
MLTA_ECOLI	16	1	6.25	1026.49558	-0.729411764705882
MLTA_ECOLI	18	0	0		
MLTA_ECOLI	20	0	0		
MLTA_ECOLI	20	0	0		
MLTA_ECOLI	20	0	0		
MLTA_ECOLI	20	0	0		
YGDR_ECOLI	1	1	100	536.76236	-0.677777777777778
YGER_ECOLI	1	1	100	556.80383	-1.48
YGER_ECOLI	2	1	50	406.227565	-0.0166666666666668
YGER_ECOLI	3	0	0		
YGER_ECOLI	5	0	0		
YGER_ECOLI	6	1	16.6666666666667	807.425565	-0.28
YGER_ECOLI	7	1	14.2857142857143	523.28835	0.355555555555556
YGER_ECOLI	8	1	12.5	502.25925	0.109090909090909
YGER_ECOLI	9	1	11.1111111111111	775.34973	-0.513333333333333
YGER_ECOLI	10	1	10	413.719765	0
YGER_ECOLI	12	1	8.33333333333333	571.801485	0.0916666666666667
YGER_ECOLI	12	0	0		
YGER_ECOLI	12	0	0		
YGER_ECOLI	13	1	7.69230769230769	503.768405	0.577777777777778
YGER_ECOLI	14	0	0		
YGER_ECOLI	15	1	6.66666666666667	675.81681	-0.284615384615385
YGER_ECOLI	15	0	0		
YGER_ECOLI	16	1	6.25	639.30661	0.353846153846154
YGER_ECOLI	16	0	0		
YGGG_ECOLI	2	1	50	690.30863	0.453846153846154
YGGG_ECOLI	4	1	25	843.36336	-1.26428571428571
YGGG_ECOLI	6	0	0		
YGGG_ECOLI	7	1	14.2857142857143	1057.050715	-0.28
YGGG_ECOLI	8	1	12.5	617.30439	-0.3
YGGG_ECOLI	9	1	11.1111111111111	538.77307	-0.644444444444444
YGGG_ECOLI	9	0	0		
YGGG_ECOLI	9	0	0		
YGGG_ECOLI	10	1	10	607.814405	0.391666666666667
YGGG_ECOLI	11	1	9.09090909090909	656.936266666667	-1.24285714285714
YGGG_ECOLI	12	1	8.33333333333333	638.32786	0.2
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	12	0	0		
YGGG_ECOLI	13	1	7.69230769230769	1106.57728	0.35
YGGG_ECOLI	13	0	0		
MLTC_ECOLI	1	1	100	590.76236	-1.17
MLTC_ECOLI	3	1	33.3333333333333	536.733615	-2.375
MLTC_ECOLI	5	0	0		
MLTC_ECOLI	6	1	16.6666666666667	773.323341666667	0.35
MLTC_ECOLI	7	1	14.2857142857143	967.170890833333	-0.176
MLTC_ECOLI	7	0	0		
MLTC_ECOLI	8	1	12.5	570.28547	0.1
MLTC_ECOLI	8	0	0		
MLTC_ECOLI	8	0	0		
MLTC_ECOLI	9	0	0		
MLTC_ECOLI	10	1	10	805.41553	0.55
MLTC_ECOLI	11	1	9.09090909090909	1299.10762	-0.0875000000000001
YGHG_ECOLI	2	0	0		
YGHG_ECOLI	3	1	33.3333333333333	676.36532	-0.766666666666667
YGHG_ECOLI	4	1	25	432.696835	-2.48571428571429
YGHG_ECOLI	5	1	20	840.93904	0.329411764705882
YBJP_ECOLI	2	0	0		
YBJP_ECOLI	4	1	25	584.052445833333	0.214285714285714
YBJP_ECOLI	6	1	16.6666666666667	765.384333333333	-0.25
YBJP_ECOLI	9	2	22.2222222222222	616.430476111111	-0.129285714285714
YBJP_ECOLI	10	1	10	638.8073	-0.772727272727273
YBJP_ECOLI	12	1	8.33333333333333	1100.468895	-0.89
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
YBJP_ECOLI	12	0	0		
AMID_ECOLI	1	1	100	659.976641041667	-0.583333333333333
AMID_ECOLI	1	0	0		
AMID_ECOLI	2	1	50	451.722845	-1.125
AMID_ECOLI	4	1	25	736.36825	-0.561538461538462
AMID_ECOLI	4	0	0		
AMID_ECOLI	5	1	20	490.222875	-1.7
AMID_ECOLI	6	1	16.6666666666667	1008.04891	0.494444444444444
AMID_ECOLI	6	0	0		
YCAL_ECOLI	1	1	100	692.85223	-0.0928571428571429
YCAL_ECOLI	2	1	50	730.865875	0.14
GFCE_ECOLI	2	1	50	1475.20292	0.268965517241379
YCEB_ECOLI	2	2	100	873.1863725	-0.219909502262443
YCEB_ECOLI	3	0	0		
YCEB_ECOLI	4	0	0		
YCEB_ECOLI	5	0	0		
YCEB_ECOLI	7	2	28.5714285714286	658.299215	-1.05719696969697
YCEB_ECOLI	9	1	11.1111111111111	806.430305	0.373333333333333
YCEB_ECOLI	11	1	9.09090909090909	1004.98111	-0.163157894736842
YCEB_ECOLI	11	0	0		
YCEB_ECOLI	11	0	0		
YCEB_ECOLI	11	0	0		
YCEB_ECOLI	12	1	8.33333333333333	983.031391666667	0.443478260869565
YCEB_ECOLI	12	0	0		
YCEB_ECOLI	12	0	0		
YCEB_ECOLI	12	0	0		
YRAM_ECOLI	2	0	0		
