GN	Comment	EG	ECK	SP	WISC	CG
gtrA	Prophage (EcoGene)		EG14131	P77682	b2350	Null
gtrB	Prophage (EcoGene)		EG14132	P77293	b2351	Null
gtrS	Prophage (EcoGene)		EG14133	P76507	b2352	Null
yfdK	Prophage (EcoGene)		EG14135	P77656	b2354	Null
yfdP	Prophage (EcoGene)		EG14138	P76512	b2359	Null
yfdQ	Prophage (EcoGene)		EG14139	P76513	b2360	Null
yfdR	Prophage (EcoGene)		EG14140	P76514	b2361	Null
yfdS	Prophage (EcoGene)		EG14141	P76515	b2362	Null
yfdT	Prophage (EcoGene)		EG14142	P76516	b2363	Null
intZ	Prophage (EcoGene)		EG14172	P76542	b2442	Null
yffL	Prophage (EcoGene)		EG14173	P76543	b2443	Null
yffM	Prophage (EcoGene)		EG14174	P76544	b2444	Null
yffN	Prophage (EcoGene)		EG14175	P76545	b2445	Null
yffO	Prophage (EcoGene)		EG14176	P76546	b2446	Null
yffP	Prophage (EcoGene)		EG14177	P76547	b2447	Null
yffQ	Prophage (EcoGene)		EG14178	P76548	b2448	Null
yffR	Prophage (EcoGene)		EG14179	P76549	b2449	Null
yffS	Prophage (EcoGene)		EG14180	P76550	b2450	Null
xisE	Prophage (EcoGene)		EG14245	P75970	b1141	CG83596
ymfI	Prophage (EcoGene)		EG14247	P75972	b1143	Null
ymfJ	Prophage (EcoGene)		EG14248	P75973	b1144	Null
cohE	Prophage (EcoGene)		EG14249	P75974	b1145	Null
ymfL	Prophage (EcoGene)		EG14250	P75976	b1147	Null
ymfM	Prophage (EcoGene)		EG14251	P75977	b1148	Null
ymfQ	Prophage (EcoGene)		EG14255	P75982	b1153	Null
ykfF	Prophage (EcoGene)		EG14283	P75677	b0249	Null
ypjF	Prophage (EcoGene)		EG14284	Q46953	b2646	Null
ninE	Prophage (EcoGene)		EG14286	Q47270	b0548	Null
ynaK	Prophage (EcoGene)		EG14296	P76068	b1365	Null
ypjJ	Prophage (EcoGene)		EG14330	P58033	b4548	Null
ykfG	Prophage (EcoGene)		EG14331	Q47685	b0247	Null
ykfH	Prophage (EcoGene)		EG14332	Q9XB42	b4504	Null
ykfI	Prophage (EcoGene)		EG14333	P77692	b0245	Null
ymfR	Prophage (EcoGene)		EG14336	P75979	b1150	Null
tfaP	Prophage (EcoGene)		EG14337	P09154	b1155	Null
ylcG	Prophage (EcoGene)		EG14354	Q47272	b4509	Null
ylcH	Prophage (EcoGene)		EG14355	Q47268	b4588	Null
ypjK	Prophage (EcoGene)		EG14379	P52134	b2635	Null
rzoD	Prophage (EcoGene)		EG14380	P58041	b4510	Null
rzoR	Prophage (EcoGene)		EG14381	P58042	b4528	Null
ynfN	Prophage (EcoGene)		EG14388	P76157	b1551	Null
torI	Prophage (EcoGene)		EG14411	Q2EES9	b4501	Null
croE	Prophage (EcoGene)		EG14414	Null	b1146	Null
ynfO	Prophage (EcoGene)		EG14422	Q2EES0	b4533	Null
rusA	Prophage (EcoGene)		EG20283	P0AG74	b0550	CG32471
dicF	Prophage (EcoGene)		EG31115	Null	b1574	CG32240
isrC	Prophage (EcoGene)		EG31150	Null	b4435	Null
