Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Lopez_Campistrous2005	Spelbrink2005	Stenberg2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Muller2010	Pan2010	Price2010	Thein2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	Q9S4X5	P24182	P00350	P31119	P60560	P0AG44	P0A9P0	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P0A910	P00363	P00634	C1P619	P0ACV0	Q46798	A5A615	P00350	P00448	P0AFG8	P25714	P0A910	P00350	Accession
P00393	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	11	F1	DHNA_ECOLI	C6EGY3_ECOBD			P00393		P00393		P00393					P00393			P00393					P00393					P00393	P00393			P00393				P00393		P00393
P00550	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	17	B	PTM3C_ECOLI	C6EDJ3_ECOBD			P00550		P00550		P00550	P00550	P00550	P00550			P00550		P00550				P00550	P00550			P00550		P00550	P00550			P00550				P00550	P00550	P00550
P00561	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	11	F1	AK1H_ECOLI	C6EBG7_ECOBD			P00561		P00561		P00561	P00561	P00561			P00561													P00561	P00561			P00561				P00561		P00561
P00803	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	11	B	LEP_ECOLI	C6EK19_ECOBD							P00803						P00803		P00803				P00803	P00803			P00803		P00803	P00803			P00803				P00803		P00803
P00804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	B	LSPA_ECOLI	C6EB26_ECOBD																									P00804										P00804
P00805	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	10	G	ASPG2_ECOLI	C6EIF4_ECOBD			P00805			P00805	P00805		P00805			P00805				P00805									P00805	P00805			P00805		P00805				
P00811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	G	AMPC_ECOLI	C6ECX3_ECOBD																										P00811			P00811						P00811
P00904	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	F1	TRPG_ECOLI	C6EFX3_ECOBD					P00904				P00904											P00904									P00904				P00904		
P02916	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	7	B	MALF_ECOLI	C6EDZ0_ECOBD												P02916			P02916								P02916		P02916	P02916			P02916				P02916		
P02918	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	12	B	PBPA_ECOLI	C6EFI0_ECOBD			P02918		P02918		P02918		P02918	P02918		P02918			P02918										P02918	P02918			P02918				P02918		P02918
P02920	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B	LACY_ECOLI	C6ELN7_ECOBD													P02920																						
