Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6EL37_ECOBD	0	1	1	B
C6EL38_ECOBD	0	0	0	B
C6EL55_ECOBD	1	1	2	F1
C6EFW2_ECOBD	0	1	1	A
C6EJB7_ECOBD	0	1	1	B
C6EJB5_ECOBD	0	1	1	A
C6EDI2_ECOBD	0	1	1	A
C6EFK8_ECOBD	0	1	1	A
C6EJB0_ECOBD	0	1	1	A
C6EJA9_ECOBD	0	1	1	A
C6EJA8_ECOBD	0	1	1	A
C6EL63_ECOBD	0	1	1	A
C6EL56_ECOBD	0	0	0	A
C6EJB6_ECOBD	0	1	1	A
C6EL52_ECOBD	0	1	1	G
C6ECD0_ECOBD	0	1	1	F1
C6EL53_ECOBD	0	0	0	B
C6EL54_ECOBD	0	0	0	B
C6EL65_ECOBD	0	1	1	B
C6EE75_ECOBD	0	1	1	A
C6EK61_ECOBD	1	1	2	F2
C6EH45_ECOBD	1	1	2	F2
C6EIU4_ECOBD	1	1	2	F2
C6EB73_ECOBD	0	0	0	F2
C6EGS8_ECOBD	1	1	2	F1
C6EFI8_ECOBD	1	1	2	B
C6EKN3_ECOBD	0	1	1	A
C6EB22_ECOBD	1	1	2	A
C6EAB9_ECOBD	1	1	2	A
C6EKP0_ECOBD	0	0	0	A
C6EG05_ECOBD	0	1	1	A
C6EE18_ECOBD	1	1	2	A
C6EL23_ECOBD	1	0	1	A
C6EFN9_ECOBD	0	1	1	A
C6EAP2_ECOBD	0	1	1	A
C6EJ30_ECOBD	0	0	0	A
C6EEG6_ECOBD	0	0	0	A
C6EEM4_ECOBD	0	0	0	A
C6EA99_ECOBD	0	0	0	A
C6EBA5_ECOBD	0	0	0	A
C6EIE4_ECOBD	0	1	1	A
C6EJP2_ECOBD	0	0	0	A
C6EDU8_ECOBD	0	1	1	A
C6EFA2_ECOBD	1	1	2	E
C6EEF5_ECOBD	1	1	2	B
C6EEH8_ECOBD	0	0	0	A
C6ECY7_ECOBD	1	1	2	B
C6ED01_ECOBD	0	0	0	B
C6EK71_ECOBD	0	0	0	B
C6EH05_ECOBD	0	0	0	B
C6EE21_ECOBD	0	1	1	A
C6ED00_ECOBD	0	0	0	A
C6EBE2_ECOBD	0	0	0	A
C6EL90_ECOBD	0	0	0	B
C6ELK6_ECOBD	0	1	1	A
C6EAW3_ECOBD	0	1	1	A
C6EEN0_ECOBD	0	0	0	G
C6EEN1_ECOBD	0	0	0	B
C6EEN2_ECOBD	0	0	0	B
C6EEN3_ECOBD	0	0	0	F1
C6EEN4_ECOBD	0	0	0	F1
C6EEM9_ECOBD	0	0	0	A
C6EH63_ECOBD	1	1	2	A
C6ELD6_ECOBD	0	1	1	B
C6ELD9_ECOBD	0	1	1	B
C6EGI0_ECOBD	0	1	1	A
C6EAC3_ECOBD	1	1	2	G
C6EGZ8_ECOBD	0	1	1	G
C6EGZ7_ECOBD	0	1	1	B
C6EBI8_ECOBD	0	1	1	A
C6EBJ0_ECOBD	0	1	1	A
C6EBI7_ECOBD	0	1	1	A
C6EIU3_ECOBD	0	1	1	A
C6ED77_ECOBD	0	1	1	A
C6ED78_ECOBD	0	0	0	A
C6ED76_ECOBD	0	0	0	B
C6ED75_ECOBD	0	1	1	A
C6ED79_ECOBD	0	0	0	B
C6EAC4_ECOBD	1	0	1	A
C6EGR7_ECOBD	0	0	0	A
C6EGR8_ECOBD	0	1	1	A
C6EGR9_ECOBD	0	1	1	F1
C6EGR6_ECOBD	0	1	1	A
C6EFE1_ECOBD	0	1	1	B
C6ECJ6_ECOBD	0	1	1	A
C6EAT3_ECOBD	1	1	2	B
C6EGY3_ECOBD	1	1	2	F1
C6EH50_ECOBD	0	1	1	A
C6EJL4_ECOBD	1	1	2	F1
C6EJL3_ECOBD	1	1	2	F1
C6EJL6_ECOBD	0	1	1	B
C6EJL5_ECOBD	1	1	2	B
C6EH76_ECOBD	0	1	1	A
C6EDE5_ECOBD	0	0	0	A
C6EDX6_ECOBD	0	0	0	B
C6EIY3_ECOBD	0	1	1	A
C6EHF2_ECOBD	0	0	0	A
C6EA62_ECOBD	0	1	1	A
C6EAZ8_ECOBD	1	1	2	B
C6EHY2_ECOBD	1	1	2	A
C6EA83_ECOBD	0	1	1	A
C6EAD9_ECOBD	0	1	1	A
C6EAH8_ECOBD	1	1	2	F1
C6EAU1_ECOBD	1	1	2	F1
C6EEA4_ECOBD	0	0	0	A
C6EF72_ECOBD	0	1	1	A
C6EFI9_ECOBD	0	1	1	A
C6EC30_ECOBD	0	1	1	A
C6EC31_ECOBD	0	1	1	B
C6EI88_ECOBD	0	1	1	F2
C6EI87_ECOBD	0	1	1	F2
C6EI86_ECOBD	0	1	1	B
C6EDQ7_ECOBD	0	1	1	F1
