Join Name	Arifuzzaman2006.txt	Baars2006.txt	Butland2005.txt	Cirulli2007.txt	Corbin2003.txt	Fountoulakis2003.txt	Gevaert2002.txt	Hemm2010.txt	Huang2006.txt	Iwasaki2009.txt	Iwasaki2010.txt	Jarchow2008.txt	Lasserre2006.txt	Lopez2005.txt	Marani2006.txt	Masuda2009.txt	Molloy1999.txt	Molloy2000.txt	Peng2010.txt	Price2010.txt	Qian2008.txt	Spelbrink2005.txt	Stenberg2005.txt	Taoka2004.txt	Vertommen2009.txt	Wagner2005.txt	Wagner2007.txt	Wagner2008.txt	Wickstrom2010.txt	Xia2008.txt	Yan2002.txt	Zhang2007.txt
P0ADC3 	+ 	 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P63183 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77338 	+ 	+ 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	+ 	+ 	 	 	 	 	+ 	
P21865 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P03960 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77437 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AEW1 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37180 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AAM1 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P75798 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P0AER3 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P08194 	+ 	 	 	 	+ 	 	+ 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P0AC30 	+ 	 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P0AAI3 	+ 	+ 	+ 	 	+ 	+ 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	+ 	 	+ 	 	+ 	+ 	 	+ 	 	 	+ 	
P20966 	+ 	 	 	 	+ 	 	+ 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P0A8Q0 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P76298 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P26266 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AEL0 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AEK7 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76552 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	
P38134 	+ 	 	+ 	 	 	 	+ 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37661 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P0AEJ4 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77304 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P77510 	+ 	 	 	 	 	 	+ 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77463 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0ABP3 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P29018 	+ 	+ 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	+ 	 	+ 	 	+ 	 	 	 	 	 	+ 	
P23886 	+ 	+ 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	 	+ 	 	 	 	 	 	+ 	
P0ABE5 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77485 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P38054 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P08401 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
