Join Name	DB_NoveV9	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	No files found in	DB_NoveV9 Duplicates	Molloy1999 Duplicates	Molloy2000 Duplicates	Gevaert2002 Duplicates	Yan2002 Duplicates	Fountoulakis2003 Duplicates	Corbin2003 Duplicates	Taoka2004 Duplicates	Butland2005 Duplicates	Lopez2005 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Wagner2005 Duplicates	Arifuzzaman2006 Duplicates	Baars2006 Duplicates	Huang2006 Duplicates	Ji2006 Duplicates	Lasserre2006 Duplicates	Marani2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Zhang2007 Duplicates	Jarchow2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Qian2008 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Vertommen2009 Duplicates	Hemm2010 Duplicates	Iwasaki2010 Duplicates	Peng2010 Duplicates	Price2010 Duplicates	Wickstrom2010 Duplicates
P26281	1																																		1	1																																		HPPK_ECOLI
P26365	1																											1							2	1																											1							AMIB_ECOLI
P26458	1													1													1				1				4	1													2													2				2				APPB_ECOLI
P26459	1			1													1	1				1					1	1			1				8	1			1													1	1				1					2	1			2				APPC_ECOLI
P26602	1							1	1					1														1							5	1							1	1					1														1							UBIC_ECOLI
P26608	1																																		1	1																																		FLIS_ECOLI
P26612	1			1					1																		1				1				5	1			1					1																		2				2				AMY2_ECOLI
P26616	1			1		1	1	1						1													1	1			1				9	1			1		1	1	1						1													2	1			2				MAO1_ECOLI
P26646	1			1	1		1	1		1			1		1												1	1			1				11	1			1	1		1	1		1			1		1												2	1			2				YHDH_ECOLI
P26647	1													1			1					1					1	1			1				7	1													1			1					1					2	1			2				PLSC_ECOLI
P26648	1			1			1			1													1					1							6	1			1			1			1													1					1							SUFI_ECOLI
P26649	1							1						1																					3	1							1						1																					GLGS_ECOLI
P27111	1													1																					2	1													1																					CYNR_ECOLI
P27125	1																																		1	1																																		RHAT_ECOLI
P27128	1								1																		1				1				4	1								1																		1				1				RFAI_ECOLI
P27129	1								1					1			1										1	1			1				7	1								1					1			1										2	1			2				RFAJ_ECOLI
P27238	1													1																					2	1													1																					YFED_ECOLI
P27240	1													1													1	1			1				5	1													1													2	1			2				RFAY_ECOLI
P27243	1								1																		1	1			1				5	1								1																		2	1			2				RFAL_ECOLI
P27245	1													1													1	1			1				5	1													1													1	1			1				MARR_ECOLI
P27247	1													1													1	1			1				5	1													1													2	1			2				PLSX_ECOLI
P27248	1			1		1		1		1			1	1	1			1						1			1	1			1				13	1			1		1		1		1			1	1	1			1						1			2	1			2				GCST_ECOLI
P27249	1							1	1					1													1	1			1				7	1							1	1					1													2	1			2				GLND_ECOLI
P27250	1			1																								1							3	1			1																								1							YJGB_ECOLI
P27253	1																																		1	1																																		SBM_ECOLI
P27254	1													1																					2	1													1																					ARGK_ECOLI
P27278	1			1				1						1													1	1			1				7	1			1				1						1													2	1			2				NADR_ECOLI
P27294	1							1						1			1																		4	1							1						1			1																		INAA_ECOLI
P27296	1													1																					2	1													1																					DING_ECOLI
P27297	1													1																					2	1													1																					BAX_ECOLI
P27298	1			1			1	1	1									1									1	1			1				9	1			1			1	1	1									1									2	1			2				OPDA_ECOLI
P27300	1								1																		1	1			1				5	1								1																		2	1			2				LPXK_ECOLI
P27302	1			1		1	1	1	1	1			1	1	1			1			1						1	1			1				15	1			1		1	1	1	1	1			1	1	1			1			1						2	1			2				TKT1_ECOLI
P27303	1			1				1						1			1					1					1	1			1				9	1			1				1						1			1					1					2	1			2				EMRA_ECOLI
P27305	1								1																			1							3	1								1																			1							GLUQ_ECOLI
P27306	1			1		1	1	1						1													1	1			1				9	1			1		1	1	1						1													2	1			2				STHA_ECOLI
P27375	1																																		1	1																																		HTRC_ECOLI
P27431	1			1			1	1																											4	1			1			1	1																											YCFD_ECOLI
P27434	1						1	1			1						1					1					1	1			1		1		10	1						1	1			1						1					1					2	1			2		1		RODZ_ECOLI
P27550	1						1	1						1													1	1			1				7	1						1	1						1													2	1			2				ACSA_ECOLI
P27828	1						1							1														1							4	1						1							1														1							WECB_ECOLI
P27829	1			1																							1	1			1				5	1			1																							1	1			1				WECC_ECOLI
P27830	1			1				1																				1							4	1			1				1																				1							RFFG_ECOLI
P27832	1																																		1	1																																		RFFC_ECOLI
P27833	1						1	1																				1							4	1						1	1																				1							RFFA_ECOLI
P27835	1																																		1	1																																		WZYE_ECOLI
P27836	1							1	1					1			1					1					1	1			1				9	1							1	1					1			1					1					2	1			2				WECG_ECOLI
P27837	1							1																			1				1				4	1							1																			1				1				YIFK_ECOLI
P27838	1						1	1																											3	1						1	1																											CYAY_ECOLI
P27842	1																																		1	1																																		YIGF_ECOLI
P27844	1																																		1	1																																		RARD_ECOLI
P27848	1							1		1														1			1	1			1				7	1							1		1														1			1	1			1				YIGL_ECOLI
P27859	1																																		1	1																																		TATD_ECOLI
P27862	1								1					1																					3	1								1					1																					YIGZ_ECOLI
P27896	1								1																		1	1			1				5	1								1																		2	1			2				NARQ_ECOLI
P28224	1								1																		1	1			1				5	1								1																		2	1			2				MLIC_ECOLI
P28246	1																										1				1				3	1																										2				2				BCR_ECOLI
P28248	1						1	1						1													1	1			1				7	1						1	1						1													1	1			1				DCD_ECOLI
P28249	1			1			1	1						1			1										1	1			1				9	1			1			1	1						1			1										2	1			2				ASMA_ECOLI
P28303	1																																		1	1																																		DINF_ECOLI
P28304	1						1	1	1																		1	1			1				7	1						1	1	1																		2	1			2				QOR_ECOLI
P28305	1													1																					2	1													1																					PABC_ECOLI
P28306	1													1			1										1	1			1				6	1													1			1										2	1			2				YCEG_ECOLI
P28307	1																																		1	1																																		CSGA_ECOLI
P28629	1							1	1					1			1	1										1							7	1							1	1					1			1	1										1							ADIA_ECOLI
P28630	1			1					1																										3	1			1					1																										HOLA_ECOLI
P28631	1								1																										2	1								1																										HOLB_ECOLI
P28632	1							1	1					1														1							5	1							1	1					1														1							HOLD_ECOLI
P28634	1			1										1																					3	1			1										1																					YAEB_ECOLI
P28635	1	1			1	1	1		1	1			1		1	1	1					1		1			1	1			1		1		17	1	1			1	1	1		1	1			1		1	1	1					1		1			2	1			2		1		METQ_ECOLI
P28638	1								1					1																					3	1								1					1																					YHDJ_ECOLI
P28696	1													1																					2	1													1																					YAAI_ECOLI
P28861	1			1										1														1							4	1			1										1														1							FENR_ECOLI
P28903	1							1						1													1	1			1				6	1							1						1													2	1			2				NRDD_ECOLI
P28904	1			1		1	1	1					1		1		1	1			1						1	1			1				13	1			1		1	1	1					1		1		1	1			1						2	1			2				TREC_ECOLI
P28905	1								1																										2	1								1																										HOLC_ECOLI
P28911	1													1																					2	1													1																					YHHH_ECOLI
P28915	1													1																					2	1													1																					YBFC_ECOLI
P29012	1						1	1																				1							4	1						1	1																				1							ALR2_ECOLI
P29013	1			1				1																			1	1			1				6	1			1				1																			2	1			2				YCGB_ECOLI
P29018	1						1	1			1		1	1	1		1					1					1	1			1				12	1						1	1			1		1	1	1		1					1					2	1			2				CYDD_ECOLI
P29131	1						1	1						1								1					1	1			1				8	1						1	1						1								1					2	1			2				FTSN_ECOLI
P29208	1			1					1					1														1							5	1			1					1					1														1							MENC_ECOLI
P29217	1			1			1	1	1																		1	1			1				8	1			1			1	1	1																		2	1			2				YCEH_ECOLI
P29680	1			1				1		1				1													1	1			1				8	1			1				1		1				1													2	1			2				DCUP_ECOLI
P29744	1									1			1	1	1						1							1							7	1									1			1	1	1						1							1							FLGL_ECOLI
P29745	1			1			1	1	1					1				1									1	1			1				10	1			1			1	1	1					1				1									2	1			2				PEPT_ECOLI
P30011	1							1	1	1				1														1							6	1							1	1	1				1														1							NADC_ECOLI
P30014	1							1	1	1																									4	1							1	1	1																									RNT_ECOLI
P30015	1								1					1													1	1			1				6	1								1					1													2	1			2				LHR_ECOLI
P30125	1						1	1						1																					4	1						1	1						1																					LEU3_ECOLI
P30126	1				1		1			1																									4	1				1		1			1																									LEUD_ECOLI
P30128	1			1			1		1					1													1				1				7	1			1			1		1					1													1				1				GREB_ECOLI
P30130	1			1		1			1											1							1	1			1				8	1			1		1			1											1							2	1			2				FIMD_ECOLI
P30131	1			1					1					1																					4	1			1					1					1																					HYPF_ECOLI
P30136	1						1							1													1				1				5	1						1							1													1				1				THIC_ECOLI
P30137	1				1		1		1	1				1																					6	1				1		1		1	1				1																					THIE_ECOLI
P30138	1						1							1																					3	1						1							1																					THIF_ECOLI
P30139	1						1		1	1																									4	1						1		1	1																									THIG_ECOLI
P30140	1													1																					2	1													1																					THIH_ECOLI
P30143	1																										1				1				3	1																										1				1				YAAJ_ECOLI
P30147	1													1																					2	1													1																					HYI_ECOLI
P30149	1																					1					1				1				4	1																					1					2				2				YABI_ECOLI
P30176	1													1																					2	1													1																					YBIA_ECOLI
P30177	1													1													1	1			1				5	1													1													1	1			1				YBIB_ECOLI
P30178	1						1	1									1											1							5	1						1	1									1											1							YBIC_ECOLI
P30235	1																																		1	1																																		PSUK_ECOLI
P30744	1							1		1																	1	1			1				6	1							1		1																	2	1			2				SDHM_ECOLI
P30745	1								1					1														1							4	1								1					1														1							MOAA_ECOLI
P30748	1								1																										2	1								1																										MOAD_ECOLI
P30749	1			1			1	1	1					1														1							7	1			1			1	1	1					1														1							MOAE_ECOLI
P30750	1						1	1	1					1			1										1	1			1		1		10	1						1	1	1					1			1										1	1			1		1		METN_ECOLI
P30843	1							1					1	1	1						1						1				1				8	1							1					1	1	1						1						1				1				BASR_ECOLI
P30844	1								1													1					1	1			1				6	1								1													1					2	1			2				BASS_ECOLI
P30845	1								1			1	1		1		1							1											7	1								1			1	1		1		1							1											EPTA_ECOLI
P30847	1													1		1	1										1	1			1				7	1													1		1	1										2	1			2				BAES_ECOLI
P30850	1			1		1	1	1	1					1			1										1	1			1				11	1			1		1	1	1	1					1			1										2	1			2				RNB_ECOLI
P30855	1								1																		1	1			1				5	1								1																		2	1			2				EVGS_ECOLI
P30859	1			1	1		1	1		1			1	1	1									1	1	1		1					1		14	1			1	1		1	1		1			1	1	1									1	1	1		1					1		ARTI_ECOLI
P30860	1				1		1						1		1										1	1									7	1				1		1						1		1										1	1									ARTJ_ECOLI
P30863	1						1	1																				1							4	1						1	1																				1							DKGB_ECOLI
P30864	1								1					1			1																		4	1								1					1			1																		YAFC_ECOLI
P30866	1			1																															2	1			1																															YAFE_ECOLI
P30870	1						1	1						1													1	1			1				7	1						1	1						1													2	1			2				GLNE_ECOLI
P30871	1						1	1	1					1													1	1			1				8	1						1	1	1					1													1	1			1				YGIF_ECOLI
P30958	1			1			1	1	1					1													1	1			1				9	1			1			1	1	1					1													2	1			2				MFD_ECOLI
P30979	1																																		1	1																																		YBEF_ECOLI
P31057	1			1			1	1	1	1				1				1									1	1			1				11	1			1			1	1	1	1				1				1									2	1			2				PANB_ECOLI
P31058	1																																		1	1																																		YADC_ECOLI
P31063	1			1			1	1	1	1				1			1					1					1	1	1		1				13	1			1			1	1	1	1				1			1					1					2	1	1		2				YEDD_ECOLI
P31064	1						1		1								1					1					1				1		1		8	1						1		1								1					1					2				2		1		YEDE_ECOLI
P31068	1			1						1																									3	1			1						1																									FLIH_ECOLI
P31069	1																										1	1			1				4	1																										2	1			2				KCH_ECOLI
P31119	1			1					1					1			1					1					1	1			1				9	1			1					1					1			1					1					2	1			2				AAS_ECOLI
P31120	1			1			1	1	1					1													1	1			1				9	1			1			1	1	1					1													2	1			2				GLMM_ECOLI
P31121	1																																		1	1																																		MARB_ECOLI
P31122	1																																		1	1																																		SOTB_ECOLI
P31125	1																																		1	1																																		EAMA_ECOLI
P31126	1													1																					2	1													2																					YDEE_ECOLI
P31129	1													1																					2	1													1																					YDEH_ECOLI
P31130	1								1					1											1										4	1								1					1											1										YDEI_ECOLI
P31131	1																																		1	1																																		YDEJ_ECOLI
P31133	1				1					1															1								1		5	1				1					1															1								1		POTF_ECOLI
P31134	1													1			1																		3	1													1			1																		POTG_ECOLI
P31135	1			1																															2	1			1																															POTH_ECOLI
P31142	1						1	1	1	1																	1	1			1				8	1						1	1	1	1																	2	1			2				THTM_ECOLI
P31224	1			1					1			1	1	1	1		1	1			1	1		1			1	1			1				15	1			1					1			1	1	1	1		1	1			1	1		1			2	1			2				ACRB_ECOLI
P31433	1						1	1									1					1					1	1			1				8	1						1	1									1					1					2	1			2				YICH_ECOLI
P31434	1													1													1				1				4	1													1													1				1				XYLS_ECOLI
P31435	1																																		1	1																																		YICJ_ECOLI
P31436	1																																		1	1																																		SETC_ECOLI
P31437	1																																		1	1																																		YICL_ECOLI
P31440	1																																		1	1																																		YICO_ECOLI
P31441	1				1				1					1													1	1			1				7	1				1				1					1													1	1			1				ADEC_ECOLI
P31442	1																																		1	1																																		EMRD_ECOLI
P31443	1													1																					2	1													1																					YIDF_ECOLI
P31446	1																																		1	1																																		YIDI_ECOLI
P31447	1																																		1	1																																		YIDJ_ECOLI
P31448	1								1					1																					3	1								1					1																					YIDK_ECOLI
P31449	1																																		1	1																																		YIDL_ECOLI
P31455	1													1													1				1				4	1													1													1				1				YIDR_ECOLI
P31456	1			1					1					1													1				1				6	1			1					1					1													1				1				CBRA_ECOLI
P31459	1																																		1	1																																		DGOK_ECOLI
P31460	1													1																					2	1													1																					DGOR_ECOLI
P31462	1								1																										2	1								1																										MDTL_ECOLI
P31463	1								1																										2	1								1																										YIDZ_ECOLI
P31466	1																					1					1				1				4	1																					1					2				2				YIEG_ECOLI
P31467	1																1																		2	1																1																		YIEH_ECOLI
P31468	1																																		1	1																																		CBRB_ECOLI
P31469	1																																		1	1																																		CBRC_ECOLI
P31470	1																																		1	1																																		YIEK_ECOLI
P31471	1				1																														2	1				1																														YIEL_ECOLI
P31473	1							1	1					1													1	1			1				7	1							1	1					1													2	1			2				RAVA_ECOLI
P31474	1								1																										2	1								1																										HSRA_ECOLI
P31475	1																										1	1			1				4	1																										1	1			1				YIEP_ECOLI
P31545	1													1																					2	1													1																					YCDB_ECOLI
P31547	1						1	1														1					1	1			1				7	1						1	1														1					2	1			2				METI_ECOLI
P31548	1													1														1							3	1													1														1							THIQ_ECOLI
P31549	1																																		1	1																																		THIP_ECOLI
P31550	1						1																		1										3	1						1																		1										THIB_ECOLI
P31551	1			1										1																					3	1			1										1																					CAID_ECOLI
P31552	1													1			1																		3	1													1			1																		CAIC_ECOLI
P31553	1																																		1	1																																		CAIT_ECOLI
P31554	1		1	1	1	1	1	1	1	1		1	1	1	1	1	1				1		1				1	1	1		1				21	1		1	1	1	1	1	1	1	1		1	1	1	1	1	1				1		1				2	1	1		2				LPTD_ECOLI
P31574	1								1					1																					3	1								1					1																					FIXB_ECOLI
P31658	1			1	1		1	1		1				1				1									1	1			1				11	1			1	1		1	1		1				1				1									2	1			2				HCHA_ECOLI
P31660	1			1																							1	1			1				5	1			1																							1	1			1				PRPC_ECOLI
P31663	1			1	1		1	1	1	1				1				1									1	1			1				12	1			1	1		1	1	1	1				1				1									1	1			1				PANC_ECOLI
P31666	1													1													1				1				4	1													1													1				1				YADE_ECOLI
P31675	1																																		1	1																																		SETA_ECOLI
P31677	1						1	1									1					1					1	1			1				8	1						1	1									1					1					2	1			2				OTSA_ECOLI
P31678	1			1	1		1	1						1													1	1			1				9	1			1	1		1	1						1													2	1			2				OTSB_ECOLI
P31679	1																																		1	1																																		YAAU_ECOLI
P31680	1													1			1					1					1	1			1				7	1													1			1					1					2	1			2				DJLA_ECOLI
P31697	1			1			1							1													1	1			1				7	1			1			1							1													1	1			1				FIMC_ECOLI
P31801	1																																		1	1																																		CHAA_ECOLI
P31802	1							1																			1	1			1			1	6	1							1																			1	1			1			1	NARP_ECOLI
P31806	1			1				1	1																		1	1			1				7	1			1				1	1																		2	1			2				YJEF_ECOLI
P31808	1			1			1	1						1													1	1			1				8	1			1			1	1						1													1	1			1				YCIK_ECOLI
P31825	1													1																					2	1													1																					TRMN6_ECOLI
P31826	1																																		1	1																																		YDDA_ECOLI
P31827	1							1						1			1										1	1	1		1				8	1							1						1			1										2	1	1		2				YDDB_ECOLI
P31828	1									1				1								1					1	1			1				7	1									1				1								1					1	1			1				PQQL_ECOLI
P31979	1			1		1	1	1			1		1	1	1		1				1	1		1			1	1			1	1			17	1			1		1	1	1			1		1	1	1		1				1	1		1			2	1			2	1			NUOF_ECOLI
P31991	1													1																					2	1													1																					YDCD_ECOLI
P31992	1																																		1	1																																		PPTA_ECOLI
P32055	1																											1							2	1																											1							FCL_ECOLI
P32056	1																																		1	1																																		NUDD_ECOLI
P32057	1								1																										2	1								1																										WCAI_ECOLI
P32099	1								1								1										1	1			1				6	1								1								1										1	1			1				LPLA_ECOLI
P32106	1																																		1	1																																		YIBG_ECOLI
P32108	1																																		1	1																																		YIBI_ECOLI
P32125	1								1					1																					3	1								1					1																					MOBB_ECOLI
P32128	1							1												1															3	1							1												1															YIHF_ECOLI
P32129	1																																		1	1																																		YIHG_ECOLI
P32131	1							1																			1	1			1				5	1							1																			2	1			2				HEMN_ECOLI
P32132	1					1	1	1	1	1			1	1	1	1	1				1	1					1	1			1			1	17	1					1	1	1	1	1			1	1	1	1	1				1	2					2	1			2			1	TYPA_ECOLI
P32134	1								1																										2	1								1																										YIHM_ECOLI
P32135	1								1																										2	1								1																										YIHN_ECOLI
P32136	1																																		1	1																																		YIHO_ECOLI
P32137	1																																		1	1																																		YIHP_ECOLI
P32138	1								1																										2	1								1																										YIHQ_ECOLI
P32139	1								1																										2	1								1																										YIHR_ECOLI
P32140	1													1																					2	1													1																					YIHS_ECOLI
P32141	1													1																					2	1													1																					YIHT_ECOLI
P32143	1													1													1				1				4	1													1													2				2				YIHV_ECOLI
P32144	1							1	1					1														1							5	1							1	1					1														1							YIHW_ECOLI
P32151	1																																		1	1																																		YIIG_ECOLI
P32152	1																																		1	1																																		FRVR_ECOLI
P32153	1													1																					2	1													1																					FRVX_ECOLI
P32154	1																																		1	1																																		PTFLB_ECOLI
P32155	1				1																						1				1			1	5	1				1																						1				1			1	PTFA_ECOLI
P32156	1													1																					2	1													1																					RHAM_ECOLI
P32157	1						1	1						1																					4	1						1	1						1																					YIIM_ECOLI
P32160	1													1																					2	1													1																					YIIQ_ECOLI
P32162	1													1																					2	1													1																					YIIS_ECOLI
P32166	1																1										1				1				4	1																1										1				1				MENA_ECOLI
P32167	1													1																					2	1													1																					YIIX_ECOLI
P32169	1													1																					2	1													1																					RHAD_ECOLI
P32170	1													1													1				1				4	1													1													1				1				RHAA_ECOLI
P32171	1																										1				1				3	1																										1				1				RHAB_ECOLI
P32173	1								1					1														1							4	1								1					1														1							MOBA_ECOLI
P32176	1			1		1		1					1	1	1		1	1			1			1			1	1			1	1		1	16	1			1		1		1					1	1	1		1	1			1			1			2	1			2	1		1	FDOG_ECOLI
P32177	1								1					1																					3	1								1					1																					FDHD_ECOLI
P32662	1			1	1			1		1																		1							6	1			1	1			1		1																		1							GPH_ECOLI
P32664	1								1																			1							3	1								1																			1							NUDC_ECOLI
P32668	1																																		1	1																																		YIJF_ECOLI
P32669	1													1																					2	1													1																					FSAB_ECOLI
P32670	1													1													1				1				4	1													1													2				2				PTFX2_ECOLI
P32672	1																																		1	1																																		PTFC2_ECOLI
P32674	1													1																					2	1													1																					PFLD_ECOLI
P32675	1							1						1													1				1				5	1							1						1													1				1				PFLC_ECOLI
P32676	1																																		1	1																																		PTFB3_ECOLI
P32677	1																																		1	1																																		YIJO_ECOLI
P32680	1						1	1																				1							4	1						1	1																				1							YJAG_ECOLI
P32681	1							1	1																			1							4	1							1	1																			1							YJAH_ECOLI
P32684	1							1																			1	1			1				5	1							1																			2	1			2				RLUF_ECOLI
P32685	1						1							1																					3	1						1							1																					YJBD_ECOLI
P32687	1																																		1	1																																		YJBF_ECOLI
P32688	1																																		1	1																																		YJBG_ECOLI
P32689	1								1					1																					3	1								1					2																					YJBH_ECOLI
P32693	1													1																					2	1													1																					YJBL_ECOLI
P32694	1																1																		2	1																1																		YJBM_ECOLI
P32695	1							1						1								1					1	1			1				7	1							1						1								1					1	1			1				DUSA_ECOLI
P32700	1																																		1	1																																		YJCB_ECOLI
P32701	1													1																					2	1													1																					YJCC_ECOLI
P32703	1			1				1														1		1			1	1			1				8	1			1				1														1		1			2	1			2				YJCE_ECOLI
P32705	1						1		1			1					1					1		1			1	1			1				10	1						1		1			1					1					1		1			2	1			2				ACTP_ECOLI
P32709	1																																		1	1																																		NRFD_ECOLI
P32710	1																																		1	1																																		NRFE_ECOLI
P32711	1																																		1	1																																		NRFF_ECOLI
P32712	1																																		1	1																																		NRFG_ECOLI
P32714	1													1																					2	1													1																					MDTP_ECOLI
P32715	1								1					1																					3	1								1					1																					MDTO_ECOLI
P32716	1																																		1	1																																		MDTN_ECOLI
P32717	1																																		1	1																																		YJCS_ECOLI
P32718	1								1					1													1				1				5	1								1					1													1				1				ALSK_ECOLI
P32719	1													1																					2	1													1																					ALSE_ECOLI
P32720	1																																		1	1																																		ALSC_ECOLI
P32721	1								1					1			1					1						1							6	1								1					1			1					1						1							ALSA_ECOLI
P33011	1																										1	1			1				4	1																										2	1			2				YEEA_ECOLI
P33012	1							1																											2	1							1																											GYRI_ECOLI
P33013	1													1																					2	1													1																					DACD_ECOLI
P33014	1																																		1	1																																		YEED_ECOLI
P33015	1																			1															2	1																			1															YEEE_ECOLI
P33018	1						1	1																											3	1						1	1																											SFGH2_ECOLI
P33020	1																																		1	1																																		YEII_ECOLI
P33021	1							1	1																										3	1							1	1																										NUPX_ECOLI
P33022	1													1																					2	1													1																					RIHB_ECOLI
P33024	1							1	1																										3	1							1	1																										PSUT_ECOLI
P33025	1			1					1					1		1																			5	1			1					1					1		1																			PSUG_ECOLI
P33026	1																																		1	1																																		SETB_ECOLI
P33029	1																										1				1				3	1																										1				1				YEIQ_ECOLI
P33030	1							1	1																			1							4	1							1	1																			1							YEIR_ECOLI
P33128	1								1					1						1															4	1								1					1						1															ECPD_ECOLI
P33129	1								1					1						1															4	1								1					1						1															HTRE_ECOLI
P33135	1																																		1	1																																		FLIR_ECOLI
P33136	1			1		1	1	1		1				1									1				1	1			1				11	1			1		1	1	1		1				1									1				2	1			2				OPGG_ECOLI
P33195	1						1	1	1					1				1									1	1			1				9	1						1	1	1					1				1									2	1			2				GCSP_ECOLI
P33218	1					1	1	1					1		1						1			1			1	1			1		1		12	1					1	1	1					1		1						1			1			1	1			1		1		YEBE_ECOLI
P33219	1						1																				1				1				4	1						1																				1				1				YEBF_ECOLI
P33221	1						1		1					1													1	1			1				7	1						1		1					1													2	1			2				PURT_ECOLI
P33222	1																																		1	1																																		YJFC_ECOLI
P33224	1			1				1	1					1													1	1			1				8	1			1				1	1					1													2	1			2				AIDB_ECOLI
P33225	1								1					1																					3	1								1					1																					TORA_ECOLI
P33226	1								1								1																		3	1								1								1																		TORC_ECOLI
P33231	1								1																			1							3	1								1																			1							LLDP_ECOLI
P33232	1			1		1		1	1	1	1			1								1					1	1			1	1			13	1			1		1		1	1	1	1			1								1					2	1			2	1			LLDD_ECOLI
P33234	1			1										1																					3	1			1										1																					ADIY_ECOLI
P33235	1								1				1	1	1						1							1							7	1								1				1	1	1						1							1							FLGK_ECOLI
P33236	1																																		1	1																																		MOKC_ECOLI
P33346	1							1						1													1				1				5	1							1						1													1				1				YEHI_ECOLI
P33347	1																																		1	1																																		YEHK_ECOLI
P33348	1								1																										2	1								1																										YEHL_ECOLI
P33349	1																										1				1				3	1																										1				1				YEHM_ECOLI
P33352	1																																		1	1																																		YEHP_ECOLI
P33354	1																										1				1				3	1																										1				1				YEHR_ECOLI
P33355	1													1														1							3	1													1														1							YEHS_ECOLI
P33358	1																										1	1			1				4	1																										1	1			1				MLRA_ECOLI
P33359	1																																		1	1																																		YEHW_ECOLI
P33360	1								1					1													1	1			1			1	7	1								1					1													2	1			2			1	YEHX_ECOLI
P33361	1								1																										2	1								1																										YEHY_ECOLI
P33362	1						1			1			1	1	1										1										7	1						1			1			1	1	1										1										OSMF_ECOLI
P33363	1			1		1		1		1				1								1		1			1	1			1				11	1			1		1		1		1				1								1		1			2	1			2				BGLX_ECOLI
P33366	1								1																		1				1				4	1								1																		2				2				YOHD_ECOLI
P33368	1							1						1																					3	1							1						1																					YOHF_ECOLI
P33369	1													1													1				1				4	1													1													2				2				MDTQ_ECOLI
P33371	1								1					1																					3	1								1					1																					DUSC_ECOLI
P33554	1																																		1	1																																		PPDA_ECOLI
P33570	1			1			1	1						1													1	1			1			1	9	1			1			1	1						1													2	1			2			1	TKT2_ECOLI
P33590	1								1	1				1																					4	1								1	1				1																					NIKA_ECOLI
P33591	1																																		1	1																																		NIKB_ECOLI
P33593	1								1				1	1	1					1	1						1	1			1				10	1								1				1	1	1					1	1						2	1			2				NIKD_ECOLI
P33594	1								1																										2	1								1																										NIKE_ECOLI
P33595	1																																		1	1																																		SGRR_ECOLI
P33596	1													1																					2	1													1																					RECX_ECOLI
P33599	1		1	1		1	1	1	1		1	1	1	1	1		1	1			1	1		1			1	1			1	1		1	22	1		1	1		1	1	1	1		1	1	1	1	1		1	1			2	1		1			2	1			2	1		1	NUOCD_ECOLI
P33602	1			1		1	1	1	1	1	1	1	1	1	1	1	1	1			1	1		1			1	1			1	1			22	1			1		1	1	1	1	1	1	1	1	1	1	1	1	1			1	3		1			2	1			2	1			NUOG_ECOLI
P33607	1						1	1					1		1						1	1		1			1	1			1				11	1						1	1					1		1						1	1		1			2	1			2				NUOL_ECOLI
P33634	1													1													1				1				4	1													1													1				1				YFIE_ECOLI
P33643	1			1				1	1																		1	1			1				7	1			1				1	2																		1	1			1				RLUD_ECOLI
P33644	1							1						1																					3	1							1						1																					YFIH_ECOLI
P33650	1																1					1					1	1			1		1		7	1																1					1					2	1			2		1		FEOB_ECOLI
P33667	1																																		1	1																																		SELU_ECOLI
P33668	1												1		1						1														4	1												1		1						1														YBBC_ECOLI
P33898	1			1																															2	1			1																															G3P3_ECOLI
P33913	1																					1													2	1																					1													YEJA_ECOLI
P33915	1								1																		1	1			1				5	1								1																		2	1			2				YEJE_ECOLI
P33916	1								1								1					1					1	1			1				7	1								1								1					1					2	1			2				YEJF_ECOLI
P33919	1													1													1				1				4	1													1													1				1				YEJH_ECOLI
P33920	1						1	1						1			1										1	1			1				8	1						1	1						1			1										1	1			1				NDPA_ECOLI
P33927	1																										1	1			1				4	1																										2	1			2				CCMF_ECOLI
P33931	1													1			1										1	1			1				6	1													1			1										2	1			2				CCMA_ECOLI
P33934	1								1																		1				1				4	1								1																		1				1				NAPH_ECOLI
P33937	1			1					1					1													1	1			1				7	1			1					1					1													2	1			2				NAPA_ECOLI
P33940	1			1										1									1					1						1	6	1			1										1									1					1						1	MQO_ECOLI
P33941	1																1					1						1							4	1																1					1						1							YOJI_ECOLI
P34209	1						1	1						1													1	1			1				7	1						1	1						1													2	1			2				YDCF_ECOLI
P34749	1																																		1	1																																		HOFQ_ECOLI
P35340	1				1	1	1	1		1				1				1				1					1	1			1				12	1				1	1	1	1		1				1				1				1					2	1			2				AHPF_ECOLI
P36547	1													1																					2	1													1																					EUTR_ECOLI
P36548	1					1								1																					3	1					1								1																					AMIA_ECOLI
P36553	1			1				1						1																					4	1			1				1						1																					HEM6_ECOLI
P36554	1								1																										2	1								1																										MDTD_ECOLI
P36560	1								1					1																					3	1								1					1																					ASR_ECOLI
