Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6ECY7_ECOBD	1	0	1	B
C6ED01_ECOBD	0	0	0	B
C6EK71_ECOBD	0	0	0	B
C6EH05_ECOBD	0	0	0	B
C6EL90_ECOBD	0	0	0	B
C6EEN0_ECOBD	0	0	0	G
C6EEN1_ECOBD	0	0	0	B
C6EEN2_ECOBD	0	0	0	B
C6EEN3_ECOBD	0	0	0	F1
C6EEN4_ECOBD	0	0	0	F1
C6ELD6_ECOBD	0	0	0	B
C6ELD9_ECOBD	0	0	0	B
C6EAC3_ECOBD	1	0	1	G
C6EGZ8_ECOBD	0	0	0	G
C6EGZ7_ECOBD	0	0	0	B
C6ED76_ECOBD	0	0	0	B
C6ED79_ECOBD	0	0	0	B
C6EGR9_ECOBD	0	0	0	F1
C6EFE1_ECOBD	0	0	0	B
C6EAT3_ECOBD	1	0	1	B
C6EGY3_ECOBD	1	0	1	F1
C6EJL4_ECOBD	1	0	1	F1
C6EJL3_ECOBD	1	0	1	F1
C6EJL6_ECOBD	0	0	0	B
C6EJL5_ECOBD	1	0	1	B
C6EDX6_ECOBD	0	0	0	B
C6EAZ8_ECOBD	1	0	1	B
C6EAH8_ECOBD	1	0	1	F1
C6EAU1_ECOBD	1	0	1	F1
C6EC31_ECOBD	0	0	0	B
C6EI88_ECOBD	0	0	0	F2
C6EI87_ECOBD	0	0	0	F2
C6EI86_ECOBD	0	0	0	B
C6EDQ7_ECOBD	0	0	0	F1
C6ECH7_ECOBD	1	0	1	F1
C6EB40_ECOBD	1	0	1	F1
C6EK73_ECOBD	0	0	0	B
C6EED6_ECOBD	0	0	0	G
C6EED7_ECOBD	0	0	0	B
C6EED8_ECOBD	0	0	0	B
C6EED9_ECOBD	0	0	0	F1
C6EEE0_ECOBD	0	0	0	F1
C6EGT2_ECOBD	0	0	0	B
C6EIL5_ECOBD	0	0	0	G
C6ECY9_ECOBD	0	0	0	B
C6EA05_ECOBD	0	0	0	B
C6EK90_ECOBD	0	0	0	G
C6ELA3_ECOBD	0	0	0	B
C6EDL1_ECOBD	0	0	0	B
C6EEI9_ECOBD	0	0	0	B
C6EJM9_ECOBD	0	0	0	B
C6EAB2_ECOBD	0	0	0	B
C6EDV4_ECOBD	0	0	0	B
C6EK08_ECOBD	0	0	0	B
C6ECX6_ECOBD	1	0	1	I
C6E9Z0_ECOBD	0	0	0	G
C6EAE4_ECOBD	0	0	0	G
C6EGC5_ECOBD	1	0	1	F1
C6EE39_ECOBD	1	0	1	F1
C6E9T3_ECOBD	0	0	0	B
C6EJU1_ECOBD	1	0	1	B
C6EJU0_ECOBD	0	0	0	B
C6ED95_ECOBD	0	0	0	B
C6ELA0_ECOBD	0	0	0	G
C6ELA1_ECOBD	0	0	0	B
C6EGS4_ECOBD	0	0	0	I
C6EIG6_ECOBD	0	0	0	G
C6EK99_ECOBD	0	0	0	F1
C6EKA0_ECOBD	0	0	0	F1
C6EKA9_ECOBD	1	0	1	F1
C6EKA4_ECOBD	0	0	0	B
C6EFH0_ECOBD	0	0	0	B
C6ED10_ECOBD	1	0	1	B
C6EED5_ECOBD	0	0	0	B
C6EK21_ECOBD	1	0	1	F1
C6EB82_ECOBD	0	0	0	G
C6EHM6_ECOBD	0	0	0	B
C6EKR2_ECOBD	0	0	0	B
C6EKR1_ECOBD	0	0	0	B
C6EL98_ECOBD	0	0	0	B
C6EHY7_ECOBD	1	0	1	B
C6EHY8_ECOBD	0	0	0	B
C6EHQ1_ECOBD	0	0	0	B
C6EFU4_ECOBD	1	0	1	F1
C6EAA5_ECOBD	1	0	1	F1
C6EA67_ECOBD	0	0	0	B
C6ECQ6_ECOBD	0	0	0	F1
C6ELB0_ECOBD	1	0	1	H
C6EL94_ECOBD	0	0	0	B
C6EEP3_ECOBD	0	0	0	F2
C6EEP2_ECOBD	0	0	0	B
C6EEP1_ECOBD	0	0	0	B
C6EF05_ECOBD	1	0	1	G
C6EF06_ECOBD	1	0	1	B
C6EF07_ECOBD	0	0	0	B
C6EC65_ECOBD	1	0	1	H
C6EC66_ECOBD	0	0	0	G
C6EC67_ECOBD	0	0	0	B
C6EC68_ECOBD	0	0	0	B
C6EC69_ECOBD	0	0	0	F1
C6EC64_ECOBD	0	0	0	B
C6EFG5_ECOBD	0	0	0	B
C6EKB2_ECOBD	1	0	1	H
C6EKA3_ECOBD	0	0	0	G
