Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P0A6Y8	1		1	1	1		1			1	1				1	8	1		1	1	1		1			1	1				1	P0A6Y8	
P0ABT2	1			1	1		1			1			1			6	1			1	1		1			1			1			P0ABT2	
P0AEG4	1								1		1		1			4	1								1		1		1			P0AEG4	
P77488	1															1	1															P77488	
P0A6P9	1			1	1		1				1			1		6	1			1	1		1				1			1		P0A6P9	
P0AAI5	1				1											2	1				1											P0AAI5	
P0A6R0	1						1									2	1						1									P0A6R0	
P0AEK4	1			1	1											3	1			1	1											P0AEK4	
P24183	1				1									1		3	1				1									1		P24183	
P32176	1				1		1			1				1	1	6	1				1		1			1				1	1	P32176	
P0AAJ5	1				1		1			1						4	1				1		1			1						P0AAJ5	
P68644	1															1	1															P68644	
P0AC47	1			1	1									1		4	1			1	1									1		P0AC47	
P0ACP1	1															1	1															P0ACP1	
P0ABH0	1															1	1															P0ABH0	
P0A9R7	1												1			2	1												1			P0A9R7	
P0A9A6	1			1											1	3	1			1											1	P0A9A6	
P0A9S1	1															1	1															P0A9S1	
P0AC33	1				1					1					1	4	1				1					1					1	P0AC33	
P0A9S3	1						1			1						3	1						1			1						P0A9S3	
P0C8J6	1						1								1	3	1						1								2	P0C8J6	
P0C8J8	1						1	1		1						4	1						1	1		1						P0C8J8	
P0A9S5	1				1											2	1				1											P0A9S5	
P0A9C5	1				1											2	1				1											P0A9C5	
P0AEQ3	1								1		1					3	1								1		1					P0AEQ3	
P0A9C0	1				1											2	1				1											P0A9C0	
P0A996	1				1											2	1				1											P0A996	
P0A6F3	1				1		1	1								4	1				1		1	1								P0A6F3	
P0A825	1				1											2	1				1											P0A825	
P63224	1												1		1	3	1												1		1	P63224	
P62707	1				1		1			1					1	5	1				1		1			1					1	P62707	
P0AES6	1															1	1															P0AES6	
P0ABC3	1				1		1			1						4	1				1		1			1						P0ABC3	
P0A6H5	1				1		1	1		1						5	1				1		1	1		1						P0A6H5	
P0A6Z3	1		1		1		1								1	5	1		1		1		1								1	P0A6Z3	
P0AAJ8	1															1	1															P0AAJ8	
P0AB77	1			1												2	1			1												P0AB77	
P0A715	1				1											2	1				1											P0A715	
P0A7C2	1						1						1			3	1						1						1			P0A7C2	
P33232	1	1												1		3	1	1												1		P33232	
P0A9M0	1									1						2	1									1						P0A9M0	
P0AEX9	1						1	1			1					4	1						1	1			1					P0AEX9	
P68187	1		1	1			1			1				1		6	1		1	1			1			1				1		P68187	
P03841	1															1	1															P03841	
P61889	1			1	1					1					1	5	1			1	1					1					1	P61889	
P0A817	1				1											2	1				1											P0A817	
P0AEZ3	1						1								1	3	1						1								1	P0AEZ3	
P0A935	1											1				2	1											1				P0A935	
P0A9X4	1			1			1									3	1			1			1									P0A9X4	
P0A749	1														1	2	1														1	P0A749	
P77258	1									1						2	1									1						P77258	
P0A903	1		1				1			1		1		1		6	1		1				1			1		1		1		P0A903	
P0AFC7	1				1		1			1						4	1				1		2			1						P0AFC7	
P0AFD1	1						1						1			3	1						1						1			P0AFD1	
P0AFD6	1						1			1						3	1						1			1						P0AFD6	
P0AFF6	1				1											2	1				1											P0AFF6	
P0A910	1		1	1	1		1	1	1	1	1	1			1	11	1		1	1	1		1	1	1	1	1	1			1	P0A910	
P0AA16	1			1			1								1	4	1			1			1								1	P0AA16	
P77737	1						1			1					1	4	1						1			1					1	P77737	
P0A912	1									1		1	1			4	1									1		1	1			P0A912	
P0AFI7	1															1	1															P0AFI7	
P0A794	1				1											2	1				1											P0A794	
P37095	1				1											2	1				1											P37095	
P0A799	1				1					1				1	1	5	1				1					1				1	1	P0A799	
P0AFK0	1															1	1															P0AFK0	
P07102	1															1	1															P07102	
P23538	1						1									2	1						1									P23538	
P0AFM6	1				1		1								1	4	1				1		1								1	P0AFM6	
P0AAH0	1									1						2	1									1						P0AAH0	
P0A9M8	1			1	1											3	1			1	1											P0A9M8	
P0A7D4	1				1		1									3	1				1		1									P0A7D4	
P0A786	1				1											2	1				1											P0A786	
P0A7E1	1			1						1				1		4	1			1						1				1		P0A7E1	
P0A7E5	1				1					1						3	1				1					1						P0A7E5	
P0A8J8	1															1	1															P0A8J8	
P0AG30	1				1											2	1				1											P0AG30	
P0A7Y0	1														1	2	1														1	P0A7Y0	
P0AG07	1												1			2	1												1			P0AG07	
P0A7Z0	1				1								1			3	1				1								1			P0A7Z0	
P0A7Z4	1				1											2	1				1											P0A7Z4	
P0A8V2	1				1			1							1	4	1				1			1							1	P0A8V2	
P0A8T7	1				1											2	1				1											P0A8T7	
P0AGB6	1												1			2	1												1			P0AGB6	
P0AFX9	1															1	1															P0AFX9	
P0AA43	1															1	1															P0AA43	
Q47622	1															1	1															Q47622	
P0A821	1															1	1															P0A821	
P14081	1															1	1															P14081	
P0AGC3	1															1	1															P0AGC3	
P0ACA3	1			1	1										1	4	1			1	1										1	P0ACA3	
P0A836	1				1											2	1				1											P0A836	
P0AGE9	1				1					1						3	1				1					1						P0AGE9	
P0ADG4	1															1	1															P0ADG4	
P0A867	1									1						2	1									1						P0A867	
P0A870	1			1	1											3	1			1	1											P0A870	
P0A847	1															1	1															P0A847	
P0A850	1			1	1		1			1						5	1			1	1		1			1						P0A850	
P0A853	1			1	1		1	1		1					1	7	1			1	1		1	1		1					1	P0A853	
