Merge ID	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin2	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Masuda2009_fin2 Duplicates	Wang2007_fin Duplicates	Wang2007_noglucose_fin Duplicates	Oberto2009_fin Duplicates	Wei2001_fin2 Duplicates	mRNA_Taniguchi_fin Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization	
P17993	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	UBIG_ECOLI	0.22	2	2	0	0		3.69724593	A	
P0AES4	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GYRA_ECOLI	2.14	2	2	2	2		6.570290688	A	
P76466	1		1	1	1				4	1		1	1	1				G	YFAT_ECOLI			0	1					
P76463	1		1	1	1				4	1		1	1	1				G	YFAQ_ECOLI			2	2	0				
P76462	1		1	1	1				4	1		1	1	1				G	YFAP_ECOLI			0	0					
P14376	1		1	1	1		1	1	6	1		1	1	1		1	1	B	RCSC_ECOLI			2	2	2			B	
P0AB85	1		1	1	1		1		5	1		1	1	1		1		E	APBE_ECOLI			2	0					
P05050	1		1	1	1	1			5	1		1	1	1	1			B	ALKB_ECOLI			2	2	2	0			
P33940	1	1	1	1	1			1	6	1	1	1	1	1			1	B	MQO_ECOLI		2	2	0	0			B	
P0A9I5	1		1	1	1		1		5	1		1	1	1		1		A	NAPD_ECOLI			2	2	2				
P33937	1			1	1			1	4	1			1	1			1	G	NAPA_ECOLI				0	2			G	
P0AAL3	1		1	1	1				4	1		1	1	1				G	NAPG_ECOLI			2	2	2				
P33934	1		1	1	1	1			5	1		1	1	1	1			B	NAPH_ECOLI			2	2	2	0			
P0ABL3	1		1	1	1	1			5	1		1	1	1	1			G	NAPB_ECOLI			0	0	2	0			
P0ABL5	1		1	1	1	1			5	1		1	1	1	1			B	NAPC_ECOLI			2	2	2	0			
P69490	1		1	1	1			1	5	1		1	1	1			1	B	CCME_ECOLI			0	0	2			B	
P33927	1		1	1	1			1	5	1		1	1	1			1	B	CCMF_ECOLI			0	0	0			B	
P0ABM9	1		1	1	1			1	5	1		1	1	1			1	B	CCMH_ECOLI			0	0				B	
P31802	1	1	1	1	1			1	6	1	1	1	1	1			1	A	NARP_ECOLI	1.31	2	2	2	2			A	
P0AD27	1		1	1	1			1	5	1		1	1	1			1	B	YEJM_ECOLI			2	2	2			B	
P33920	1	1	1	1	1			1	6	1	1	1	1	1			1	A	NDPA_ECOLI		2	2	2	2			A	
P33919	1		1	1	1		1		5	1		1	1	1		1		A	YEJH_ECOLI			2	2	2		0.819158478		
P0AA43	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RSUA_ECOLI		2	2	2	2		4.376377356	A	
P33916	1		1	1	1			1	5	1		1	1	1			1	F1	YEJF_ECOLI			2	2	2			F1	
P33915	1		1	1	1			1	5	1		1	1	1			1	B	YEJE_ECOLI			0	0	0			B	
P0AFU0	1		1	1	1				4	1		1	1	1				B	YEJB_ECOLI			2	2	2				
P76446	1		1	1	1		1	1	6	1		1	1	1		1	1	B	RTN_ECOLI			2	2	2		1.11085989	B	
P0AFV4	1			1	1			1	4	1			1	1			1	I	SPR_ECOLI				2	2			I	
P76445	1		1	1	1			1	5	1		1	1	1			1	B	YEIU_ECOLI			2	0	2			B	
P07004	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PROA_ECOLI		2	2	2	2		5.328201575	A	
P0A7B5	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	A	PROB_ECOLI	0.77	2	2	2	2	0		A	
P02932	1	1	1	1	1				5	1	1	1	1	1				H	PHOE_ECOLI		2	2	2	2				
P04335	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	FRSA_ECOLI	0.66	2	2	2	2			A	
P0A9M5	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	XGPT_ECOLI	0.49	2	2	2	2			F1	
P15288	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PEPD_ECOLI	3.93	2	2	2	2		4.234656008	A	
Q47155	1		1	1	1				4	1		1	1	1				A	DPO4_ECOLI			0	0	0				
Q47151	1		1	1	1				4	1		1	1	1				G	YAFL_ECOLI			0	0	0				
P0AA99	1		1	1	1				4	1		1	1	1				G	YAFK_ECOLI			2	2	2				
Q47147	1		1	1	1			1	5	1		1	1	1			1	A	YAFJ_ECOLI			2	2	2			A	
P63224	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GMHA_ECOLI	5.84	2	2	2	2			A	
Q47146	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	FADE_ECOLI	0.54	2	2	2			0.131839439	B	
P0AD59	1		1	1	1				4	1		1	1	1				G	IVY_ECOLI			2	2	2				
Q47679	1		1	1	1		1		5	1		1	1	1		1		A	YAFV_ECOLI			2	2	2				
P03007	1	1	1	1	1			1	6	1	1	1	1	1			1	A	DPO3E_ECOLI	0.43	2	2	2	2			A	
P0A7Y4	1		1	1	1			1	5	1		1	1	1			1	A	RNH_ECOLI			2	2	2			A	
P75672	1		1	1	1			1	5	1		1	1	1			1	A	YAFS_ECOLI			2	2	2			A	
P0AC84	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GLO2_ECOLI	1.39	2	2	2	2		0.545163602	A	
P0AEZ7	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	I	MLTD_ECOLI			1	2		0		I	
P30866	1		1	1	1				4	1		1	1	1				A	YAFE_ECOLI			2	2					
P0A8U2	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YAFD_ECOLI			2	0	0		5.074990309	A	
P30864	1		1	1	1		1	1	6	1		1	1	1		1	1	B	YAFC_ECOLI			2	2	2		0.748602568	B	
P30863	1	1	1	1	1			1	6	1	1	1	1	1			1	A	DKGB_ECOLI		2	2	2	2			A	
P63228	1	1	1	1	1				5	1	1	1	1	1				A	GMHB_ECOLI	1.23	2	2	2	2				
P30750	1		1	1	1			1	5	1		1	1	1			1	F1	METN_ECOLI			1	0	0			F1	
P28635	1		1	1	1		1	1	6	1		1	1	1		1	1	E	METQ_ECOLI			2	2	2			E	
P28634	1		1	1	1				4	1		1	1	1				A	YAEB_ECOLI			2	2	2				
P16659	1	1	1	1	1			1	6	1	1	1	1	1			1	A	SYP_ECOLI	2.59	2	2	2	2			A	
P40710	1		1	1	1			1	5	1		1	1	1			1	I	NLPE_ECOLI			2	2	2			I	
P40711	1		1	1	1		1		5	1		1	1	1		1		A	YAEJ_ECOLI			2	2	2		2.069249634		
P0AA97	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YAEQ_ECOLI			2	2	2			A	
P0AFW8	1		1	1	1				4	1		1	1	1				A	ROF_ECOLI			2	2					
P52095	1		1	1	1	1	1		6	1		1	1	1	1	1		A	DCLZ_ECOLI			2	2		0	1.057986034		
P10443	1		1	1	1		1	1	6	1		1	1	1		1	1	A	DPO3A_ECOLI			2	2	2			A	
P10442	1		1	1	1	1		1	6	1		1	1	1	1		1	A	RNH2_ECOLI			2	2	2	0		A	
P10441	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	LPXB_ECOLI	0.77	2	2	2	2		0.497364635	F1	
P0A722	1	1	1	1	1			1	6	1	1	1	1	1			1	A	LPXA_ECOLI	2.04	2	2	2	2			A	
P0A6Q6	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	FABZ_ECOLI	4.34	2	2	2	2		2.19319885	F1	
P21645	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	LPXD_ECOLI	1.76	2	2	2	2			A	
P0A940	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	H	YAET_ECOLI	2.46	2	2	2	2	0		H	
P0AEH1	1		1	1	1			1	5	1		1	1	1			1	B	RSEP_ECOLI			2	2	2			B	
P0ABG1	1		1	1	1				4	1		1	1	1				B	CDSA_ECOLI			2	2	2				
P60472	1		1	1	1		1		5	1		1	1	1		1		A	UPPS_ECOLI			2	2	2				
P0A805	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RRF_ECOLI	5	2	2	2	2			A	
P0A7E9	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PYRH_ECOLI	3.77	2	2	2	2		3.660532514	A	
P0A7V0	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	A	RS2_ECOLI	12.55	2	2	2	2	2		A	
P0AE18	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	AMPM_ECOLI	0.85	2	2	2	2		7.772093475	A	
P27249	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GLND_ECOLI	0.45	2	2	2	2		1.227604983	A	
P0A9D8	1	1	1	1	1			1	6	1	1	1	1	1			1	A	DAPD_ECOLI	2.68	2	2	2	2			A	
P62768	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YAEH_ECOLI	1.93	2	2	2	2			A	
P37047	1		1	1	1		1	1	6	1		1	1	1		1	1	A	CDAR_ECOLI			2	2	2			A	
P15723	1		1	1	1				4	1		1	1	1				A	DGTP_ECOLI			2	0	0				
P0AF12	1	1	1	1	1			1	6	1	1	1	1	1			1	A	MTNN_ECOLI		2	2	2	2			A	
P37028	1		1	1	1			1	5	1		1	1	1			1	G	BTUF_ECOLI			2	1	0			G	
P0ACC3	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	ERPA_ECOLI	2.68	2	2	2	2		7.255359847	A	
P23893	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GSA_ECOLI	5.84	2	2	0				A	
P07822	1		1	1	1			1	5	1		1	1	1			1	G	FHUD_ECOLI			2	0	0			G	
P07821	1		1	1	1		1	1	6	1		1	1	1		1	1	F1	FHUC_ECOLI			2	2	2		1.056571402	F1	
P37024	1		1	1	1			1	5	1		1	1	1			1	A	HRPB_ECOLI			2	2	2			A	
P37025	1		1	1	1		1	1	6	1		1	1	1		1	1	A	LIGT_ECOLI			2	0				A	
P0A823	1		1	1	1			1	5	1		1	1	1			1	A	SFSA_ECOLI			2	2	2			A	
P0ABS1	1	1	1	1	1			1	6	1	1	1	1	1			1	A	DKSA_ECOLI	11.17	2	2	2	2			A	
P27305	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GLUQ_ECOLI		2	0	0	0			A	
P0ABF1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	PCNB_ECOLI	1	2	2	2	2		11.3995023	B	
P33024	1		1	1	1				4	1		1	1	1				B	PSUT_ECOLI			0	0	0				
P0A9E9	1		1	1	1				4	1		1	1	1				A	NSR_ECOLI			0	0	0				
P33022	1		1	1	1				4	1		1	1	1				A	RIHB_ECOLI			0	0	0				
P0ACR4	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YEIE_ECOLI		2	2	2	2			A	
P25737	1		1	1	1			1	5	1		1	1	1			1	B	LYSP_ECOLI			2	2	2			B	
P33018	1		1	1	1				4	1		1	1	1				A	SFGH2_ECOLI			2	2	2				
P25748	1		1	1	1				4	1		1	1	1				A	GALS_ECOLI			2	2	2				
P25889	1		1	1	1		1		5	1		1	1	1		1		A	YEIA_ECOLI			0	2	2		0.117945121		
P76440	1	1	1	1	1				5	1	1	1	1	1				A	YEIT_ECOLI	1	2	2	2	2				
P0AFY2	1		1	1	1	1		1	6	1		1	1	1	1		1	B	SANA_ECOLI			2	1	2	0		B	
P0ABF6	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	B	CDD_ECOLI		2	2	2	2	0		B	
P0AD19	1		1	1	1				4	1		1	1	1				B	YOHK_ECOLI			2	0	0				
P33371	1		1	1	1		1		5	1		1	1	1		1		A	DUSC_ECOLI			0	0	0				
P33368	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YOHF_ECOLI			0	0	0		0.601540374	A	
P0AD17	1		1	1	1				4	1		1	1	1				B	YOHC_ECOLI			0	1	0				
P0AFI5	1	1	1	1	1		1		6	1	1	1	1	1		1		G	PBP7_ECOLI	0.42	2	2	2	2		1.619175982		
P06149	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	DLD_ECOLI	1.22	2	2	2	2			F1	
P33363	1	1	1	1	1			1	6	1	1	1	1	1			1	G	BGLX_ECOLI		2	2	2	2			G	
P33362	1		1	1	1			1	5	1		1	1	1			1	G	OSMF_ECOLI			0	0	0			G	
P33360	1		1	1	1			1	5	1		1	1	1			1	F1	YEHX_ECOLI			1	2				F1	
P33358	1		1	1	1		1	1	6	1		1	1	1		1	1	B	MLRA_ECOLI			0	0	0		2.414915665	B	
P0AD14	1		1	1	1			1	5	1		1	1	1			1	B	YEHU_ECOLI			2	2	2			B	
P0AFT5	1		1	1	1			1	5	1		1	1	1			1	A	YEHT_ECOLI			2	2	2			A	
P33355	1		1	1	1			1	5	1		1	1	1			1	A	YEHS_ECOLI			0	2				A	
P00959	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	SYM_ECOLI	1.12	2	2	2			5.153160907	A	
P0AF08	1	1	1	1	1			1	6	1	1	1	1	1			1	A	MRP_ECOLI	1	2	2	2	2			A	
P76422	1		1	1	1			1	5	1		2	1	1			1	A	THID_ECOLI			0	0	0			A	
P76421	1		1	1	1				4	1		1	1	1				B	YEGX_ECOLI			0	2					
P0ACM5	1		1	1	1			1	5	1		1	1	1			1	A	YEGW_ECOLI			2	2				A	
P76418	1		1	1	1		1		5	1		1	1	1		1		A	YEGU_ECOLI			2	0	0				
P76406	1		1	1	1		1	1	6	1		1	1	1		1	1	I	YEGR_ECOLI			0	0	0			I	
P76403	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YEGQ_ECOLI	0.75	2	2	2	2			A	
P76402	1		1	1	1				4	1		1	1	1				A	YEGP_ECOLI			2	2	2				
P69228	1		1	1	1		1	1	6	1		1	1	1		1	1	A	BAER_ECOLI			2	0				A	
P30847	1		1	1	1			1	5	1		1	1	1			1	B	BAES_ECOLI			2	2	2			B	
P76398	1	1	1	1	1			1	6	1	1	1	1	1			1	B	MDTB_ECOLI		2	0	0	0			B	
P76397	1		1	1	1		1	1	6	1		1	1	1		1	1	F2	MDTA_ECOLI			1	0	0			F2	
P76393	1		1	1	1				4	1		1	1	1				B	YEGI_ECOLI			2	2	2				
P36928	1		1	1	1			1	5	1		1	1	1			1	A	YEGD_ECOLI			2	0	0			A	
P0A8F4	1	1	1	1	1			1	6	1	1	1	1	1			1	A	URK_ECOLI	1.34	2	2	0				A	
P28248	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	DCD_ECOLI	2.11	2	2	0	0			A	
P28249	1		1	1	1		1	1	6	1		1	1	1		1	1	B	ASMA_ECOLI			2	2	2		2.576487483	B	
P76389	1		1	1	1		1	1	6	1		1	1	1		1	1	B	YEGH_ECOLI			2	2	2		0.452873437	B	
P0A930	1		1	1	1				4	1		1	1	1				I	WZA_ECOLI			0	0	0				
P0AAB2	1		1	1	1				4	1		1	1	1				A	WZB_ECOLI			0	0	0				
P76387	1		1	1	1				4	1		1	1	1				B	WZC_ECOLI			0	0	0				
P77414	1		1	1	1				4	1		1	1	1				A	WCAA_ECOLI			0	0	0				
P0ACC9	1		1	1	1	1			5	1		1	1	1	1			A	WCAB_ECOLI			0	0	0	0			
P71237	1		1	1	1				4	1		1	1	1				A	WCAC_ECOLI			0	0	0				
P71239	1		1	1	1				4	1		1	1	1				A	WCAE_ECOLI			0	0	0				
P0ACD2	1		1	1	1				4	1		1	1	1				A	WCAF_ECOLI			0	0	0				
P0AC88	1		1	1	1				4	1		1	1	1				A	GM4D_ECOLI			0	0	0				
P32055	1	1	1	1	1			1	6	1	1	1	1	1			1	A	FCL_ECOLI		2	0	0	0			A	
P32056	1		1	1	1				4	1		1	1	1				A	NUDD_ECOLI			2	2	2				
P32057	1		1	1	1				4	1		1	1	1				B	WCAI_ECOLI			2	2	0				
P24174	1		1	1	1			1	5	2		1	1	1			1	A	MANC_ECOLI			0	0	0			A	
P24175	1		1	1	1	1		1	6	2		1	1	1	1		1	A	MANB_ECOLI			2	2		0		A	
P71241	1		1	1	1				4	1		1	1	1				B	WCAJ_ECOLI			0	0					
P77377	1		1	1	1				4	2		1	1	1				B	WZXC_ECOLI			2	2					
P71242	1	1	1	1	1			1	6	1	1	1	1	1			1	A	WCAK_ECOLI		2	1	0	0			A	
P71243	1		1	1	1				4	1		1	1	1				A	WCAL_ECOLI			1	0	0				
P71244	1		1	1	1				4	1		1	1	1				G	WCAM_ECOLI			0	0	0				
P0AAB6	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	GALF_ECOLI	1.57	2	2	2	2		20.42286656	B	
P31663	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PANC_ECOLI		2	2	2	2		5.392025434	A	
P0A790	1	1	1	1	1			1	6	1	1	1	1	1			1	A	PAND_ECOLI	0.99	2	2	2	2			A	
P31666	1		1	1	1		1	1	6	1		1	1	1		1	1	G	YADE_ECOLI			2	2	2		0.189512	G	
P36881	1		1	1	1				4	2		1	1	1				F1	YADI_ECOLI			2	2	2				
P36879	1		1	1	1		1	1	6	1		1	1	1		1	1	F1	YADG_ECOLI			2	2	2		1.102228501	F1	
P61517	1	1	1	1	1			1	6	1	1	1	1	1			1	A	CAN_ECOLI	1.74	2	2	2	2			A	
P0A9M2	1	1	1	1	1			1	6	1	1	1	1	1			1	A	HPRT_ECOLI	1.61	2	2	2	2			A	
P15877	1		1	1	1			1	5	1		1	1	1			1	B	DHG_ECOLI			2	0	0			B	
P0AA95	1		1	1	1			1	5	1		1	1	1			1	G	YACC_ECOLI			2	2	2			G	
P09158	1	1	1	1	1			1	6	1	1	1	1	1			1	A	SPEE_ECOLI	1.58	2	2	2	2			A	
P0A7F6	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	SPED_ECOLI	0.92	2	2	2	2		0.767077843	A	
P0A8E5	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YACL_ECOLI			2	2	2		3.783989757	A	
P36683	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	ACON2_ECOLI	9.64	2	2	2	2		6.824782201	A	
P0A9P0	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	DLDH_ECOLI	22.38	2	2	2	2			F1	
P0AFG8	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	ODP1_ECOLI	7	2	2	2	2		15.84047156	B	
P0ACL9	1	1	1	1	1			1	6	1	1	1	1	1			1	A	PDHR_ECOLI	0.31	2	2	2	2			A	
P15993	1		1	1	1			1	5	1		1	1	1			1	B	AROP_ECOLI			2	2	2			B	
P0AE14	1		1	1	1			1	5	1		1	1	1			1	B	AMPE_ECOLI			2	2	2			B	
P13016	1		1	1	1			1	5	1		1	1	1			1	A	AMPD_ECOLI			2	2	2			A	
P30011	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	NADC_ECOLI	0.86	2	2	2			1.908469448	A	
P36647	1		1	1	1	1			5	1		1	1	1	1			B	PPDD_ECOLI			0	0	0	0			
P36645	1		1	1	1	1	1		6	1		1	1	1	1	1		A	HOFB_ECOLI			0	0	0	0	0.150059911		
P60560	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	GUAC_ECOLI	1.73	2	2	2	2		2.423187711	B	
P0A6I9	1		1	1	1			1	5	1		1	1	1			1	A	COAE_ECOLI			2	2				A	
P36680	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YACF_ECOLI		2	2	2	2			A	
P08337	1		1	1	1		1		5	1		1	1	1		1		A	MUTT_ECOLI			2	2	2		0.619209702		
P10408	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	SECA_ECOLI	1.48	2	2	2	2		2.693961519	F1	
P62395	1		1	1	1				4	1		1	1	1				G	SECM_ECOLI			2	2	2				
P0A725	1	1	1	1	1			1	6	1	1	1	1	1			1	A	LPXC_ECOLI	5.42	2	2	2	2			A	
P0ABH0	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	FTSA_ECOLI	4.44	2	2	2	2			F1	
P06136	1		1	1	1			1	5	1		1	1	1			1	B	FTSQ_ECOLI			2	2	2			B	
P07862	1	1	1	1	1			1	6	1	1	1	1	1			1	A	DDLB_ECOLI	2.76	2	2	2	2			A	
P17952	1	1	1	1	1			1	6	1	1	1	1	1			1	A	MURC_ECOLI	0.51	2	2	1	2			A	
P17443	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	MURG_ECOLI	1.46	2	2	2	2			F1	
P11880	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	MURF_ECOLI	0.77	2	2	2	2		0.491018338	A	
P0AD68	1	1	1	1	1			1	6	1	1	1	1	1			1	B	FTSI_ECOLI	5.46	2	2	2	2			B	
P60390	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RSMH_ECOLI	0.89	2	2	2	2			A	
P0AA37	1		1	1	1		1		5	1		1	1	1		1		A	RLUA_ECOLI			2	0	2				
P31554	1	1	1	1	1			1	6	1	1	1	1	1			1	H	LPTD_ECOLI	1.71	2	2	2	2			H	
P19624	1		1	1	1			1	5	1		1	1	1			1	A	PDXA_ECOLI			2	2	2			A	
P06992	1	1	1	1	1			1	6	1	1	1	1	1			1	A	RSMA_ECOLI	1.64	2	2	2	2			A	
P62672	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	A	APAG_ECOLI			2	2	2	0	1.617685789	A	
P05637	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	A	APAH_ECOLI	0.84	2	2	2	2	0		A	
P0ABQ4	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	DYR_ECOLI	0.85	2	2	2				A	
P0A754	1		1	1	1				4	1		1	1	1				F1	KEFF_ECOLI			2	2	2				
P31679	1		1	1	1				4	1		1	1	1				B	YAAU_ECOLI			0	0	0				
P68644	1		1	1	1		1		5	1		1	1	1		1		F1	FIXC_ECOLI			1	0	0				
P60566	1		1	1	1				4	1		1	1	1				A	FIXA_ECOLI			0	0	0				
P31553	1		1	1	1				4	1		1	1	1				B	CAIT_ECOLI			0	0	0				
P60584	1		1	1	1			1	5	1		1	1	1			1	A	CAIA_ECOLI			0	0	0			A	
P31552	1		1	1	1				4	1		1	1	1				A	CAIC_ECOLI			2	0	0				
P31551	1		1	1	1				4	1		1	1	1				A	CAID_ECOLI			2	0	0				
P39206	1		1	1	1				4	1		1	1	1				A	CAIE_ECOLI			2	0	2				
P0AE58	1		1	1	1	1			5	1		1	1	1	1			A	CAIF_ECOLI			2	2	2	0			
P00968	1	1	1	1	1			1	6	1	1	1	1	1			1	A	CARB_ECOLI	1.36	2	2	2	2			A	
P0A6F1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	CARA_ECOLI	0.66	2	2	2	2		27.9946901	A	
P04036	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	DAPB_ECOLI	1.11	2	2	1	2		3.72335626	A	
P62623	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	A	ISPH_ECOLI	0.49	2	2	2	2	0		A	
