Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	ORList_Wide_8(over_500)_LB	ORList_Focused_16(below_500)_LB	K12_outofrange	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P32700	0	0	0	1	0	0	0	0	0	1	B	YJCB_ECOLI																										
P0AGE0	1	0	0	1	0	1	1	0	1	5	A	SSB_ECOLI	1.14	1.29E+01	1.28E+03																							
P0AF50	0	0	0	1	0	1	1	0	1	4	A	YJBR_ECOLI																										
P0AF48	0	0	1	1	0	1	0	0	0	3	A	YJBQ_ECOLI							0.028808	2880.8																		
P04693	1	1	0	1	0	1	1	0	1	6	A	TYRB_ECOLI	0.56	2.65E+00	5.10E+02	0.29	1.85	85.75			2734.66	2237.3																
P0A6B4	0	1	1	1	0	1	0	0	1	5	A	ALR1_ECOLI					0.35	17.07	0.0033119	331.19																		
P0A8Y5	1	1	0	1	0	1	0	0	1	5	A	YIDA_ECOLI	0.42	1.61E+00	3.82E+02	0.42	2.98	136.13				1757.88																
P31455	0	0	1	1	0	1	0	0	0	3	A	YIDR_ECOLI							0.0050434	504.34																		
P0ADM4	0	0	0	1	0	1	0	0	1	3	E	YIDQ_ECOLI																										
P0C054	1	1	1	1	1	1	1	0	1	8	A	IBPA_ECOLI	1.67	4.54E+01	2.66E+03		3.22	146.75	0.14623	14623			0.22		0.22			0.22	0.22			0.22						
P0C058	1	0	1	1	0	1	1	0	1	6	A	IBPB_ECOLI	0.88	6.50E+00	8.59E+02				0.0099857	998.57																		
P31443	0	0	0	1	0	1	0	0	0	2	A	YIDF_ECOLI																										
P08142	0	1	1	1	0	1	0	0	1	5	A	ILVB_ECOLI					1.37	64.08	0.0062205	622.05	3487.21																	
P0ADF8	0	1	0	1	0	1	1	0	1	5	A	ILVN_ECOLI					2.73	125.04																				
P0AGA6	0	0	0	1	0	1	0	0	1	3	A	UHPA_ECOLI																										
P09836	0	0	0	1	0	1	0	0	0	2	B	UHPC_ECOLI																										
P0AGC0	0	0	0	1	0	0	1	0	0	2	B	UHPT_ECOLI																										
P31440	0	0	0	1	0	0	0	0	0	1	B	YICO_ECOLI																										
P0ADL3	0	0	0	1	0	1	0	0	1	3	B	YICN_ECOLI																										
P0ADL1	0	0	0	1	0	0	0	0	1	2	B	NEPI_ECOLI																										
P31435	0	0	0	1	0	0	0	0	0	1	B	YICJ_ECOLI																										
P31433	0	0	1	1	1	1	0	0	1	5	B	YICH_ECOLI							0.00076455	76.455			3.68	1.04	11.14	2.48		0.05										
P0AGM9	0	0	0	1	0	0	0	0	0	1	B	XANP_ECOLI																										
P24230	0	0	1	1	0	1	0	0	1	4	A	RECG_ECOLI							0.0028504	285.04																		
P0AGJ2	0	0	0	1	0	1	0	0	1	3	A	TRMH_ECOLI																										
P0AG24	1	1	1	1	1	1	0	0	1	7	A	SPOT_ECOLI	0.06	1.45E-01	9.43E+01	0.38	0.33	16.12	0.011422	1142.2			0.12	0.04	0.27	0.18		0.04				0.08						
P60546	1	1	1	1	0	1	1	0	1	7	A	KGUA_ECOLI	0.86	6.20E+00	8.35E+02		2.83	129.48	0.017615	1761.5																		
P25772	0	0	0	1	0	1	0	0	0	2	A	LIGB_ECOLI																										
P23839	1	1	0	1	0	1	1	0	1	6	A	YICC_ECOLI	0.94	7.73E+00	9.50E+02	0.44	3.96	179.34																				
P0A7E3	1	0	0	1	0	1	0	0	1	4	A	PYRE_ECOLI	0.91	7.11E+00	9.05E+02																							
P0C093	0	1	0	1	0	1	0	0	1	4	A	SLMA_ECOLI					1.61	74.94																				
P06968	1	1	1	1	0	1	1	0	1	7	A	DUT_ECOLI	1.67	4.54E+01	2.66E+03		2.16	99.64	0.078557	7855.7		5177.75																
P25531	0	0	0	0	0	0	0	0	0	0	A	YICR_ECOLI																										
P05523	0	0	1	1	0	1	0	0	1	4	A	FPG_ECOLI							0.00049017	49.017																		
P0AC75	1	0	1	1	1	1	0	0	1	6	B	KDTA_ECOLI	0.13	3.34E-01	1.53E+02	0.32			0.0042705	427.05			0.15		0.07			0.14	0.31			0.07			0.14			
P24173	0	0	0	1	0	1	0	0	1	3	A	RFAC_ECOLI																										
P37692	1	1	0	1	0	1	1	0	1	6	A	RFAF_ECOLI	0.13	3.34E-01	1.53E+02	0.33	0.72	34.35																				
P67910	1	1	1	1	0	1	1	0	1	7	A	HLDD_ECOLI	1.56	3.49E+01	2.28E+03		17.96	776.69	0.059649	5964.9	835.92	6903.67																
P0AB77	1	1	1	1	1	1	1	0	1	8	A	KBL_ECOLI	0.93	7.58E+00	9.39E+02	0.44	24.12	1033.75	0.0097452	974.52		4218.91	0.15			0.12	0.16		0.08		0.25							
P07913	1	1	0	1	1	1	1	0	1	7	A	TDH_ECOLI	0.55	2.51E+00	4.94E+02		9	398					0.09	0.09														
P11290	0	0	0	1	0	0	1	0	1	3	A	YIBD_ECOLI																										
P37691	0	0	0	1	0	1	0	0	1	3	G	YIBQ_ECOLI																										
P37690	0	0	0	1	1	1	1	0	1	5	G	YIBP_ECOLI											0.07		0.07													
P37689	1	1	1	1	0	1	1	0	1	7	A	GPMI_ECOLI	1.29	1.87E+01	1.59E+03		4.18	188.99	0.042496	4249.6	1908.24	7127.4																
P0AG27	1	1	1	1	1	1	1	0	1	8	B	YIBN_ECOLI	1	9.00E+00	1.04E+03	0.42	18.31	791.36	0.0087534	875.34			0.76	0.4	0.96	1.5		0.48		0.48								
P0AG86	1	1	1	1	0	1	1	0	1	7	F1	SECB_ECOLI	1.8	6.21E+01	3.19E+03	0.58	62	2585.84	0.4122	41220	13475.06																	
P0A6S7	1	1	1	1	0	1	0	0	1	6	A	GPDA_ECOLI	0.17	4.68E-01	1.86E+02		2.55	117.04	0.011252	1125.2																		
P0A9D4	1	1	0	1	0	1	0	0	1	5	A	CYSE_ECOLI	0.33	1.15E+00	3.15E+02	0.38	0.93	44.02			1280.92																	
P0AGJ7	0	0	1	1	0	1	0	0	1	4	A	YIBK_ECOLI							0.0025995	259.95																		
P33232	0	1	1	1	1	1	1	0	1	7	B	LLDD_ECOLI					13.68	596.53	0.004497	449.7			0.26			0.35		0.35				0.08						
P0ACL7	0	0	0	1	0	1	0	0	1	3	A	LLDR_ECOLI																										
P0AF10	0	0	0	1	0	1	0	0	1	3	A	MTLR_ECOLI																										
P09424	1	1	0	1	0	1	1	0	0	5	A	MTLD_ECOLI	0.6	2.98E+00	5.46E+02		1.85	85.75																				
P00550	0	1	0	1	1	1	1	0	1	6	B	PTM3C_ECOLI					1.21	56.81					0.22			0.05		0.57	0.4	0.1	0.27	0.33	0.1	0.27	0.21	0.05	0.1	0.21
P32108	0	0	0	1	0	0	0	0	0	1	B	YIBI_ECOLI																										
P0AFV0	0	0	0	1	0	0	0	0	0	1	B	YIBH_ECOLI																										
P76187	1	1	0	1	0	1	0	0	1	5	A	YDHF_ECOLI	0.18	5.20E-01	1.98E+02		1.37	64.08																				
P0AGD1	0	0	0	1	0	1	1	0	1	4	G	SODC_ECOLI																										
P0A8W2	0	1	0	1	0	1	1	0	1	5	A	SLYA_ECOLI					1.37	64.08																				
P77570	0	0	0	1	0	1	0	0	0	2	A	ANMK_ECOLI																										
P28224	0	0	0	1	0	1	0	0	1	3	I	MLIC_ECOLI																										
P0AFI7	1	1	1	1	1	1	1	0	1	8	A	PDXH_ECOLI	0.33	1.15E+00	3.15E+02	0.36	3.08	140.56	0.010568	1056.8			0.13			0.13												
P77150	1	1	0	1	0	1	0	0	1	5	A	PDXY_ECOLI	0.6	2.98E+00	5.46E+02		0.43	20.84				703.15																
P0A9D2	0	1	0	1	0	1	1	0	1	5	A	GST_ECOLI					2.83	129.48																				
P77304	0	0	0	1	0	1	0	0	1	3	B	DTPA_ECOLI									1917.79																	
P0AB83	0	0	1	1	0	1	0	0	1	4	A	END3_ECOLI							0.0027416	274.16																		
P77285	0	0	0	1	0	1	1	0	1	4	G	RNFG_ECOLI																										
P76182	0	0	0	1	0	0	0	0	1	2	B	RNFD_ECOLI																										
P77223	0	0	1	1	0	1	0	0	0	3	F1	RNFB_ECOLI							0.0020498	204.98																		
P0A766	0	0	0	1	0	0	0	0	1	2	B	RNFA_ECOLI																										
P77376	0	0	1	1	0	1	0	0	1	4	A	YDGJ_ECOLI							0.0095781	957.81																		
P22333	1	1	0	1	1	1	1	0	1	7	A	ADD_ECOLI	0.3	9.95E-01	2.89E+02		4.27	192.93				6967.6	0.19		0.3			0.09	0.19									
P23256	0	0	0	1	0	1	0	0	0	2	B	MALY_ECOLI																										
P0AET8	1	1	0	1	0	1	1	0	1	6	A	HDHA_ECOLI	0.58	2.83E+00	5.30E+02	0.34	1.61	74.94				1949.65																
P0ACT6	0	0	0	1	0	1	0	0	1	3	A	UIDR_ECOLI																										
P05804	0	0	0	1	0	1	0	0	0	2	A	BGLR_ECOLI																										
P77804	1	1	0	1	1	1	1	0	1	7	F2	YDGA_ECOLI	0.44	1.75E+00	4.01E+02		4.62	208.24				1598.07	0.25	0.14	0.49			0.19				0.19						
P00946	1	1	1	1	0	1	0	0	1	6	A	MANA_ECOLI	0.88	6.50E+00	8.59E+02	0.36	1	47.23	0.0091504	915.04																		
P0AC33	1	1	0	1	0	1	1	0	1	6	A	FUMA_ECOLI	0.33	1.15E+00	3.15E+02	0.39	17.05	354.66			859.63																	
P05042	0	1	1	1	1	1	1	0	1	7	A	FUMC_ECOLI					3.12	142.33	0.0087032	870.32			0.06	0.06														
P16525	0	0	0	1	0	1	0	0	1	3	A	TUS_ECOLI																										
P18392	0	0	0	1	0	1	0	0	1	3	B	RSTB_ECOLI																										
P52108	0	1	0	1	0	1	1	0	1	5	A	RSTA_ECOLI					0.47	22.71																				
P0ACX0	0	0	0	1	0	0	0	0	0	1	B	YDGC_ECOLI																										
P0AFS3	0	0	0	1	0	1	0	0	0	2	A	FOLM_ECOLI																										
P0AAE5	0	0	0	1	0	1	0	0	0	2	B	ARCD_ECOLI																										
P07001	1	1	0	1	1	1	1	0	1	7	B	PNTA_ECOLI	0.14	3.89E-01	1.67E+02	0.35	0.58	27.85					0.2			0.12		0.18		0.12	0.12	0.42		0.12	0.12		0.34	0.26
P0AB67	1	1	0	1	1	1	1	0	1	7	B	PNTB_ECOLI	0.18	5.20E-01	1.98E+02	0.41	2.16	99.64					0.51		0.91	0.91			0.14		0.07							
P76176	0	0	1	1	0	1	0	0	1	4	G	YDGD_ECOLI							0.00054095	54.095																		
P43531	0	0	0	1	0	0	1	0	0	2	B	YNFM_ECOLI																										
P77559	0	0	0	1	0	1	0	0	1	3	A	YNFL_ECOLI																										
P50456	0	0	0	1	0	1	1	0	1	4	F1	MLC_ECOLI																										
P0A6E9	0	0	1	1	0	1	0	0	0	3	B	BIOD2_ECOLI							0.0012663	126.63																		
P69853	0	0	0	1	0	1	0	0	1	3	F1	DMSD_ECOLI																										
P0AAJ1	0	0	0	1	0	1	0	0	1	3	F2	YNFG_ECOLI																										
P67553	0	0	0	1	0	1	0	0	1	3	E	YNFC_ECOLI																										
P0A951	1	1	0	1	1	1	0	0	1	6	A	ATDA_ECOLI	0.17	4.68E-01	1.86E+02	0.34	1.03	49					0.4		0.53	0.53	0.15											
P76169	0	0	0	1	0	0	0	0	0	1	B	YNFA_ECOLI																										
P77260	0	0	0	1	0	0	0	0	0	1	A	YDFI_ECOLI																										
P0ACM2	0	0	0	1	0	1	0	0	1	3	A	YDFH_ECOLI									717.97																	
P39831	1	1	1	1	0	1	1	0	1	7	A	YDFG_ECOLI	0.9	6.94E+00	8.92E+02		7.25	322.33	0.052727	5272.7	1795.49																	
P24171	1	1	1	1	0	1	0	0	1	6	A	DCP_ECOLI	0.61	3.06E+00	5.54E+02	0.3	2.05	94.72	0.013442	1344.2	344.77																	
P31129	0	0	1	1	0	1	0	0	0	3	A	YDEH_ECOLI							0.0024206	242.06																		
P31125	0	0	0	1	0	0	0	0	0	1	B	EAMA_ECOLI																										
P0ACH5	0	0	0	1	0	1	0	0	0	2	A	MARA_ECOLI																										
P27245	0	0	0	1	0	1	0	0	1	3	A	MARR_ECOLI																										
P0AEY1	0	0	0	1	0	1	0	0	1	3	B	MARC_ECOLI																										
P76149	0	0	0	1	0	1	0	0	1	3	A	YNEI_ECOLI																										
P0ACB0	0	1	1	1	1	1	1	0	1	7	A	DNAB_ECOLI					0.47	22.71	0.014159	1415.9		1310.42	0.06		0.06													
P32695	1	1	0	1	0	1	0	0	1	5	A	DUSA_ECOLI	0.11	2.74E-01	1.37E+02		1.15	54.08																				
P0AC51	0	1	0	1	0	1	1	0	0	4	A	ZUR_ECOLI					1.15	54.08																				
P0A7C2	1	1	0	1	0	1	1	0	1	6	A	LEXA_ECOLI	0.2	5.85E-01	2.12E+02		1	33.42				1150.61																
P02943	1	1	0	1	1	1	1	0	0	6	H	LAMB_ECOLI	0.19	5.40E-01	2.02E+02		2.31	106.35					1.86	0.78	1.78	1.78	0.09			3.08	1.45	1.96	1.3	3.08	1.3	2.59	1.02	3.94
P68187	1	1	1	1	1	1	1	0	0	7	F1	MALK_ECOLI	0.2	5.85E-01	2.12E+02	0.38	3.33	152	0.040257	4025.7			0.22		0.08	0.08			0.05		0.47	0.47	0.26	0.17	0.17	0.26		
P0AEX9	1	1	0	1	0	1	1	0	1	6	G	MALE_ECOLI	0.91	7.19E+00	9.10E+02	0.52	12.18	533.01			1857.09	1725.92																
P02916	0	1	0	1	1	1	1	0	0	5	B	MALF_ECOLI					1	24.12					0.18		0.56			0.06	0.12		0.12		0.12		0.12			
P68183	0	0	0	1	0	1	1	0	0	3	B	MALG_ECOLI																										
P32689	0	0	0	1	0	1	0	0	0	2	E	YJBH_ECOLI																										
P32687	0	0	0	1	0	0	0	0	0	1	I	YJBF_ECOLI																										
P0A6T1	1	1	1	1	0	1	1	0	1	7	A	G6PI_ECOLI	1.83	6.71E+01	3.33E+03		12	506.43	0.069027	6902.7	1099.04																	
P32684	0	1	0	1	0	1	0	0	1	4	A	RLUF_ECOLI					0.26	12.79																				
P0A7C6	0	1	1	1	0	1	0	0	0	4	A	PEPE_ECOLI					2.16	99.64	0.0017074	170.74																		
P13009	1	1	0	1	1	1	0	0	1	6	A	METH_ECOLI	0.09	2.33E-01	1.24E+02	0.42	0.09	4.57			289.23		0.06		0.05				0.07									
P16528	1	0	0	1	1	1	0	0	1	5	A	ICLR_ECOLI	0.14	3.89E-01	1.67E+02	0.29							0.11			0.11												
P11071	0	0	0	1	0	1	0	0	0	2	A	ACEK_ECOLI																										
P0A9G6	0	1	0	1	1	1	1	0	1	6	A	ACEA_ECOLI					19.15	1522.03				13935.19	0.07		0.07				0.07									
P08997	0	1	0	1	0	1	1	0	1	5	A	MASY_ECOLI					2.38	228			116.68																	
P07623	0	0	0	1	1	1	0	0	1	4	A	META_ECOLI									1492.17		0.09	0.09														
P09163	0	0	0	1	0	0	0	0	1	2	A	YJAB_ECOLI																										
P15639	1	1	0	1	0	1	1	0	1	6	A	PUR9_ECOLI	1.48	2.93E+01	2.06E+03		7	289.95			107.62	3547.72																
P15640	1	1	0	1	0	1	1	0	0	5	A	PUR2_ECOLI	0.59	2.87E+00	5.35E+02	0.49	0.78	37.12				767.07																
P32681	0	0	0	1	0	1	0	0	1	3	I	YJAH_ECOLI																										
P0ACF0	1	1	1	1	1	1	1	0	1	8	A	DBHA_ECOLI	4	1.00E+04	6.10E+04		99	4064.14	1.0443	104430	15025.7		0.79	0.86	1.54	2.47	0.29	0.29	0.54		0.36	0.36			0.36			
P32680	1	1	1	1	1	1	0	0	1	7	A	YJAG_ECOLI	0.27	8.74E-01	2.68E+02	0.34	3.33	152	0.01495	1495			0.15		0.15	0.15												
P68739	0	0	1	1	0	1	1	0	1	5	A	NFI_ECOLI							0.0025676	256.76																		
P29680	1	1	1	1	0	1	0	0	1	6	A	DCUP_ECOLI	0.23	7.01E-01	2.36E+02		0.47	22.71	0.016422	1642.2		1054.73																
P32664	0	1	1	1	0	1	0	0	1	5	A	NUDC_ECOLI					0.33	16.12	0.0038748	387.48																		
P0AFX4	0	0	0	1	0	1	0	0	1	3	A	RSD_ECOLI																										
P30136	1	0	0	1	0	1	0	0	0	3	B	THIC_ECOLI	1.23	1.60E+01	1.45E+03																							
P30137	1	0	0	1	0	1	0	0	1	4	A	THIE_ECOLI	0.44	1.78E+00	4.05E+02							3515.76																
P30138	1	0	0	1	0	1	0	0	1	4	B	THIF_ECOLI	0.44	1.78E+00	4.05E+02	0.27																						
P30139	1	0	0	1	0	0	0	0	0	2	A	THIG_ECOLI	0.92	7.25E+00	9.15E+02							319.61																
P30140	0	0	0	1	0	1	0	0	0	2	A	THIH_ECOLI																										
P0A8T7	1	1	0	1	1	1	1	0	1	7	A	RPOC_ECOLI	2	9.90E+01	4.18E+03		28.29	1206.59			4044.52		0.3	0.39	0.94	0.39		0.03			0.36			0.06	0.2			0.02
P0A8V2	1	1	1	1	1	1	1	0	1	8	A	RPOB_ECOLI	2.22	1.64E+02	5.59E+03		27.41	1170.18	0.20205	20205	4425.6	4123.03	0.33	0.44	1.03	0.44		0.14	0.07		0.24	0.04		0.19	0.57			0.11
P0A7J3	1	1	0	1	1	1	1	0	1	7	A	RL10_ECOLI	3.13	1.33E+03	1.89E+04		19.31	833.23			5903.05	5369.52	1.35	1.39	4.7	2.38			0.04		1.84				1.01	0.19	0.19	0.42
P0AFG0	1	1	0	1	0	1	1	0	1	6	A	NUSG_ECOLI	1.3	1.90E+01	1.60E+03		11.12	487.98			1514.73	3963.22																
P0A6I3	0	1	0	1	0	1	0	0	0	3	A	COAA_ECOLI					0.44	21.31																				
P06709	0	1	1	1	0	1	0	0	1	5	B	BIRA_ECOLI					0.27	13.27	0.0039122	391.22																		
P08373	1	1	1	1	0	1	0	0	0	5	A	MURB_ECOLI	0.2	5.85E-01	2.12E+02		2.16	99.64	0.0073799	737.99																		
P22634	0	1	1	1	1	1	0	0	1	6	A	MURI_ECOLI					0.58	27.85	0.0056309	563.09			0.17		0.11				0.22									
P23003	1	1	1	1	0	1	0	0	1	6	A	TRMA_ECOLI	0.12	3.11E-01	1.47E+02		1.23	57.72	0.010361	1036.1		1086.69																
P0AF40	0	0	0	1	0	1	0	0	1	3	B	YIJD_ECOLI																										
P27306	1	1	0	1	0	1	1	0	1	6	A	STHA_ECOLI	0.18	5.20E-01	1.98E+02		13.25	578.35																				
P0ACQ4	1	1	1	1	1	1	0	0	1	7	A	OXYR_ECOLI	0.13	3.59E-01	1.60E+02	0.39	3.64	165.27	0.031944	3194.4	329.79		0.29	0.2	0.1	0.58												
P11447	0	0	0	1	0	1	0	0	1	3	A	ARLY_ECOLI									2083.34																	
P0A6C8	0	0	0	1	0	1	0	0	1	3	A	ARGB_ECOLI																										
P11446	0	0	0	1	0	1	0	0	1	3	A	ARGC_ECOLI																										
P23908	0	1	1	1	0	1	1	0	1	6	A	ARGE_ECOLI					0.36	17.54	0.0052867	528.67	202.25																	
P00864	1	1	1	1	1	1	1	0	1	8	A	CAPP_ECOLI	0.87	6.41E+00	8.51E+02		2.29	57.65	0.0058369	583.69	6554.01	1598.07	0.09	0.03				0.1				0.18			0.03			
P0CB39	1	1	0	1	1	1	1	0	1	7	B	CPTA_ECOLI	0.07	1.79E-01	1.06E+02	0.4	0.53	25.52					0.24	0.1	0.21	0.21		0.32			0.1	0.62	0.05	0.62	0.16	0.16	0.27	0.1
P32677	0	0	0	1	0	0	0	0	0	1	A	YIJO_ECOLI																										
P32676	0	0	0	1	0	0	0	0	0	1	F1	PTFB3_ECOLI																										
P32675	0	0	0	1	0	1	0	0	0	2	A	PFLC_ECOLI																										
P32674	0	0	1	1	0	1	0	0	0	3	A	PFLD_ECOLI							0.00096706	96.706																		
P32670	0	0	0	1	0	1	0	0	0	2	F1	PTFX2_ECOLI																										
P32669	0	0	0	1	0	1	0	0	0	2	A	FSAB_ECOLI									464.23																	
P0A9S5	0	0	1	1	0	1	1	0	1	5	A	GLDA_ECOLI							0.0046679	466.79																		
P0ABT8	0	0	0	1	0	0	0	0	0	1	B	YIJE_ECOLI																										
P13029	1	1	1	1	0	1	1	0	1	7	A	KATG_ECOLI	0.87	6.43E+00	8.53E+02	0.51	10	444.52	0.0065919	659.19	1702.49																	
P0AEZ1	0	0	0	1	0	1	0	0	1	3	A	METF_ECOLI									1069.53																	
P00562	1	1	1	1	1	1	0	0	1	7	A	AK2H_ECOLI	0.05	1.25E-01	8.66E+01	0.4	0.54	25.99	0.019182	1918.2	313.27		0.12		0.2	0.07	0.07		0.15									
P00935	0	0	1	1	0	1	0	0	1	4	A	METB_ECOLI							0.0091196	911.96	160.84																	
P0A8U6	1	1	1	1	0	1	1	0	0	6	A	METJ_ECOLI	0.5	2.16E+00	4.53E+02		9	398	0.084012	8401.2																		
P17888	0	0	0	1	0	1	0	0	1	3	A	PRIA_ECOLI																										
P0ACN7	1	0	0	1	0	1	0	0	1	4	A	CYTR_ECOLI	0.14	3.89E-01	1.67E+02	0.32																						
P0A7B8	1	1	0	1	0	1	1	0	1	6	A	HSLV_ECOLI	0.67	3.64E+00	6.13E+02		3.22	146.75																				
P0A6H5	1	1	1	1	1	1	1	0	1	8	A	HSLU_ECOLI	1	9.00E+00	1.04E+03		10.72	470.95	0.060681	6068.1	955.07	4346.76	0.34		0.57		0.38	0.21	0.47			0.07						
P32166	0	0	0	1	0	1	0	0	1	3	B	MENA_ECOLI																										
P14081	0	1	1	1	0	1	1	0	1	6	A	SELB_ECOLI					0.68	33	0.0029921	299.21																		
P37686	0	0	0	1	0	1	0	0	0	2	A	ADH2_ECOLI																										
P56256	0	0	0	1	0	1	0	0	0	2	A	YSAA_ECOLI																										
P09053	1	1	0	1	0	1	0	0	1	5	A	AVTA_ECOLI	0.3	9.95E-01	2.89E+02	0.35	0.29	14.22																				
P25718	0	0	0	1	0	1	1	0	0	3	G	AMY1_ECOLI																										
P27297	0	0	0	1	0	1	0	0	0	2	G	BAX_ECOLI																										
P0ACI3	0	0	0	1	0	1	0	0	1	3	A	XYLR_ECOLI																										
P37387	0	0	0	1	0	1	0	0	0	2	G	XYLF_ECOLI																										
P00944	0	0	0	1	0	1	0	0	1	3	A	XYLA_ECOLI																										
P00961	1	1	0	1	1	1	1	0	1	7	A	SYGB_ECOLI	1.6	3.88E+01	2.42E+03		24.88	1065.31			1560.93	1757.88	0.06		0.04			0.09	0.04									
P0A9V5	0	0	0	1	0	1	0	0	1	3	A	YIAG_ECOLI																										
P0ADK0	1	1	1	1	1	1	1	0	1	8	E	YIAF_ECOLI	0.5	2.16E+00	4.53E+02	0.33	12.34	540	8.46E-05	8.4625			0.15			0.05			0.13			0.13			0.28			
P37666	1	1	1	1	0	1	0	0	1	6	A	GHRB_ECOLI	0.55	2.51E+00	4.94E+02		9	398	0.022047	2204.7																		
P37664	0	0	0	1	0	1	0	0	0	2	A	YIAC_ECOLI																										
P37661	0	0	0	1	0	1	0	0	0	2	B	EPTB_ECOLI																										
P23847	1	1	1	1	0	1	1	0	1	7	G	DPPA_ECOLI	0.62	3.16E+00	5.65E+02	0.52	0.58	27.85	0.00011962	11.962	2045.15	35637.02																
P0AEF8	0	0	0	1	0	1	1	0	1	4	B	DPPB_ECOLI																										
P37313	0	0	0	1	0	1	1	0	1	4	F1	DPPF_ECOLI																										
P37660	0	0	0	1	0	0	0	0	0	1	B	YHJV_ECOLI																										
P37652	0	0	0	1	1	1	1	0	1	5	B	BCSB_ECOLI											0.06		0.04				0.08									
P37651	0	0	0	1	0	1	0	0	1	3	G	GUN_ECOLI																										
P37649	0	0	0	1	0	1	0	0	1	3	B	YHJK_ECOLI																										
P37648	1	0	1	1	0	1	1	0	1	6	G	YHJJ_ECOLI	0.48	1.99E+00	4.32E+02	0.33			0.00035271	35.271																		
P37647	1	1	1	1	0	1	1	0	1	7	A	KDGK_ECOLI	0.22	6.68E-01	2.29E+02		1.68	78	0.0082949	829.49																		
P37646	0	0	0	1	0	1	1	0	0	3	A	YHJH_ECOLI																										
P37642	0	0	0	1	0	1	0	0	1	3	B	YHJD_ECOLI																										
P37641	0	0	0	1	0	0	0	0	1	2	B	YHJC_ECOLI																										
P37640	0	0	0	1	0	1	0	0	1	3	A	YHJB_ECOLI																										
P62601	0	0	0	1	0	1	0	0	1	3	A	TREF_ECOLI																										
P69908	1	1	1	1	0	1	1	0	0	6	A	DCEA_ECOLI	0.55	2.55E+00	4.98E+02		0.35	17.07	0.269	26900																		
P63201	0	0	0	1	0	1	0	0	0	2	A	GADW_ECOLI																										
P37637	0	0	0	1	1	1	1	0	1	5	B	MDTF_ECOLI											0.16			0.16												
P37636	0	0	1	1	0	1	1	0	1	5	E	MDTE_ECOLI							0.00037259	37.259																		
P63204	0	0	1	1	0	1	1	0	0	4	A	GADE_ECOLI							0.068457	6845.7																		
P0AES9	0	1	1	1	0	1	1	0	0	5	G	HDEA_ECOLI					2.16	99.64	0.018774	1877.4		7830.56																
P0AET2	0	0	1	1	0	1	1	0	0	4	G	HDEB_ECOLI							0.0068204	682.04																		
P0AFV2	0	0	0	1	0	1	0	0	0	2	B	YHID_ECOLI																										
P37195	0	0	0	1	0	1	0	0	0	2	A	DCTR_ECOLI																										
P37194	1	1	0	1	1	1	1	0	1	7	I	SLP_ECOLI	0.29	9.31E-01	2.78E+02	0.29	2.59	118.82					0.35		0.35													
P0AB96	0	0	1	1	0	1	1	0	0	4	A	ARSC_ECOLI							0.010099	1009.9																		
P06715	1	1	1	1	0	1	1	0	1	7	A	GSHR_ECOLI	0.8	5.31E+00	7.63E+02		2.67	122.38	0.00062508	62.508		1214.54																
P37634	1	1	1	1	0	1	1	0	1	7	A	YHIR_ECOLI	0.35	1.25E+00	3.30E+02	0.44	1.07	50.43	0.0034848	348.48																		
P27298	1	1	0	1	0	1	1	0	1	6	A	OPDA_ECOLI	0.59	2.91E+00	5.39E+02	0.48	3.56	161.74			499.81																	
P68567	0	0	0	1	0	1	0	0	1	3	A	YHIQ_ECOLI																										
P36837	0	0	0	1	0	0	0	0	0	1	B	DTPB_ECOLI																										
P0AED0	1	1	0	1	0	1	1	0	1	6	F1	USPA_ECOLI	1.25	1.68E+01	1.49E+03	0.51	30.62	1302.81			3355.84	9396.67																
P0A8S5	0	0	0	1	0	1	0	0	0	2	B	USPB_ECOLI																										
P0AFJ7	1	1	0	1	0	1	1	0	1	6	B	PITA_ECOLI	0.25	7.78E-01	2.50E+02	0.38	2.98	136.13																				
P37631	1	0	0	1	0	1	0	0	0	3	B	YHIN_ECOLI	0.12	3.11E-01	1.47E+02	0.32																						
P37624	0	0	0	1	0	1	0	0	1	3	B	YHIH_ECOLI																										
P77561	1	0	1	1	0	1	0	0	1	5	A	YDEP_ECOLI	0.07	1.66E-01	1.02E+02				0.00032288	32.288																		
P76135	0	0	0	1	0	0	0	0	0	1	B	YDEO_ECOLI																										
P76134	0	0	0	1	0	0	0	0	0	1	A	YDEM_ECOLI																										
P69910	1	1	0	1	0	1	1	0	0	5	A	DCEB_ECOLI	0.45	1.82E+00	4.10E+02	0.5	2.01	92.93																				
P64426	0	1	0	1	0	1	0	0	0	3	I	YDDW_ECOLI					0.17	8.47																				
