Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	ORList_Wide_8(over_500)_LB	ORList_Focused_16(below_500)_LB	K12_outofrange	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P37353	0	0	0	1	0	1	0	0	0	2	A	MENE_ECOLI																										
P37590	0	0	0	1	0	1	1	0	0	3	A	PMRD_ECOLI																										
P76473	0	0	0	1	1	1	0	0	1	4	B	ARNT_ECOLI											0.24	0.07	0.22	0.5			0.17									
P76472	0	0	0	1	1	1	0	0	1	4	A	ARND_ECOLI											0.14		0.1				0.21			0.1						
P77398	0	0	1	1	1	1	0	0	1	5	A	ARNA_ECOLI							0.003357	335.7	791.43		0.24					0.19		0.29	0.24	0.41	0.09					
P77757	0	0	0	1	1	1	1	0	1	5	B	ARNC_ECOLI											0.14			0.06	0.19	0.09	0.3		0.09		0.09	0.19	0.09			
P45565	0	0	0	1	1	1	0	0	1	4	G	AIS_ECOLI											0.73		0.32	0.15		0.74		0.15	2.48	0.52	0.74					
P77808	0	1	0	1	0	1	0	0	1	4	A	CINAL_ECOLI					0.52	25.05																				
P0A996	0	0	1	1	1	1	1	0	0	5	F1	GLPC_ECOLI							0.0002731	27.31			0.1		0.07		0.15		0.07									
P13033	0	0	0	1	0	1	1	0	0	3	F1	GLPB_ECOLI										2109.46																
P0A9C0	0	1	0	1	1	1	1	0	0	5	F1	GLPA_ECOLI					0.47	22.71					0.26		0.38		0.24	0.24	0.17									
P09394	0	1	0	1	0	1	1	0	1	5	G	GLPQ_ECOLI					3.49	158.66				17195.26																
P27294	0	0	0	1	1	1	0	0	1	4	A	INAA_ECOLI											0.13		0.13			0.13				0.13						
P0ABW3	0	0	0	1	0	0	0	0	0	1	A	YFAE_ECOLI																										
P69924	1	1	0	1	0	1	1	0	1	6	B	RIR2_ECOLI	0.61	3.08E+00	5.57E+02		4.48	202.12																				
P00452	1	1	1	1	1	1	0	0	1	7	A	RIR1_ECOLI	1.03	9.72E+00	1.08E+03		6.15	275	0.098918	9891.8	344.17		0.14	0.17	0.17			0.2			0.08	0.08						
P17993	1	1	1	1	0	1	1	0	1	7	A	UBIG_ECOLI	0.36	1.31E+00	3.39E+02		2.16	99.64	0.0076549	765.49	1003.63																	
P0AES4	1	1	1	1	1	1	1	0	1	8	A	GYRA_ECOLI	1.11	1.17E+01	1.21E+03	0.52	5.63	252.24	0.028595	2859.5	1218.22		0.11		0.14	0.07												
P76466	0	0	0	1	0	0	0	0	0	1	G	YFAT_ECOLI																										
P76463	0	0	0	1	0	1	0	0	0	2	G	YFAQ_ECOLI																										
P76462	0	0	0	1	0	0	0	0	0	1	G	YFAP_ECOLI																										
P14376	0	0	1	1	1	1	0	0	1	5	B	RCSC_ECOLI							0.0035097	350.97			0.03			0.03												
P0AB85	0	0	1	1	0	1	0	0	0	3	E	APBE_ECOLI							0.00047311	47.311																		
P05050	0	0	0	1	0	1	0	0	0	2	B	ALKB_ECOLI																										
P33940	1	1	0	1	0	1	1	0	1	6	B	MQO_ECOLI	0.08	2.02E-01	1.14E+02		0.64	30.64																				
P0A9I5	0	0	1	1	0	0	0	0	0	2	A	NAPD_ECOLI							0.001168	116.8																		
P33937	0	0	0	1	0	1	0	0	1	3	G	NAPA_ECOLI																										
