Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID	Merge ID	Pan2010	Thein2010	Taoka2004	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Huang2006	Ji2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Iwasaki2010	Wickstrom2010	# Studies	DB_NoveV12 Duplicates	P0AFG8	P0A910	P00350	P0AG44	P0A9P0	P08660	P17583	P0A6F5	P0A6H8	P0AC47	P06129	P0ADT8	P02925	P0A910	C1P619	P0ACV0	Q46798	P00561	P00350
P07003	1	1	1	1	1	5	F1	1	0	0	0	P07003	P07003	1	0	1	2	F1	14.22		P07003	P07003	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	8	F1			P07003			P07003	P07003			P07003		P07003			P07003	P07003		P07003	
P07014	1	1	1	1	1	5	F1	2	2	2	2	P07014	P07014	1	0	1	2	F1	9524.82		P07014	P07014	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	13	F1	P07014	P07014	P07014		P07014	P07014	P07014	P07014	P07014			P07014			P07014	P07014		P07014	P07014
P07021	1	1	1	1	0	4	I	1	2	2	2		P07021	1	0	0	1	I				P07021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	I																P07021			
P07102	0	1	1	1	0	3	G		0	0	0		P07102	0	0	0	0	G				P07102	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P07102											P07102	
P07109	0	1	1	1	1	4	F1		2	2	2	P07109	P07109	0	0	1	1	F1			P07109	P07109	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	F1			P07109				P07109		P07109									P07109	
P07650	1	1	1	1	1	5	B	1	2	2	2	P07650	P07650	1	0	1	2	B	62.27		P07650	P07650	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	6	B			P07650				P07650			P07650					P07650	P07650		P07650	
P07654	0	1	1	1	1	4	B		2	2	2	P07654	P07654	0	0	1	1	B			P07654	P07654	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	B							P07654								P07654				
P07821	1	1	1	1	1	5	F1	1	2	2	2	P07821	P07821	1	1	1	3	F1		0.0046236	P07821	P07821	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	F1							P07821									P07821		P07821	
P07822	0	1	1	1	1	4	G		2	0	0	P07822	P07822	0	0	1	1	G			P07822	P07822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P07822	
P08200	1	1	1	1	1	5	B	2	2	2	2	P08200	P08200	1	0	1	2	B	3190.93		P08200	P08200	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	9	B			P08200			P08200			P08200			P08200	P08200		P08200	P08200		P08200	P08200
P08331	1	1	1	1	1	5	G	1	0	2	2	P08331	P08331	1	0	1	2	G	19.43		P08331	P08331	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	5	G			P08331			P08331	P08331									P08331		P08331	
P08370	0	1	1	1	0	3	G		2	2	1		P08370	0	0	0	0	G				P08370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P08371	0	1	1	1	0	3	B		2	2	2		P08371	0	0	0	0	B				P08371	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	B							P08371											P08371	
P08395	1	1	1	1	1	5	B	1	2	2	2	P08395	P08395	1	0	1	2	B	20.37		P08395	P08395	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	7	B		P08395					P08395		P08395	P08395					P08395	P08395		P08395	
P08400	0	1	1	1	0	3	B		0	0	0		P08400	0	1	0	1	B		0.0042354		P08400	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	5	B							P08400		P08400						P08400	P08400		P08400	
P08401	0	1	1	1	0	3	B		0	0	0		P08401	0	0	0	0	B				P08401	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							P08401								P08401	P08401		P08401	
P08506	1	1	1	1	1	5	F2	1	2	2	2	P08506	P08506	1	0	1	2	F2	74.94		P08506	P08506	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	8	F2		P08506	P08506			P08506	P08506		P08506						P08506	P08506		P08506	
P08550	0	1	1	1	0	3	B		2	2	2		P08550	0	0	0	0	B				P08550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P08550	
P08839	1	1	1	1	1	5	F1	2	2	2	2	P08839	P08839	1	0	1	2	F1	627.12		P08839	P08839	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	8	F1		P08839	P08839				P08839	P08839		P08839					P08839	P08839		P08839	
P09152	1	1	1	1	1	5	F1	2	0	0	2	P09152	P09152	1	1	1	3	F1	97.41	0.0011744	P09152	P09152	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	7	F1	P09152		P09152				P09152			P09152					P09152	P09152		P09152	
P09348	0	1	1	1	0	3	B		2	2			P09348	0	0	0	0	B				P09348	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	B							P09348									P09348			
P09391	1	1	1	1	1	5	B	1	2	2	2	P09391	P09391	1	0	1	2	B	1.31		P09391	P09391	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	B									P09391						P09391	P09391			
P09394	1	1	1	1	1	5	G	1	2	2	2	P09394	P09394	1	0	1	2	G	158.66		P09394	P09394	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	5	G			P09394				P09394			P09394						P09394		P09394	
P09546	1	1	1	1	1	5	F1	1	2	2	2	P09546	P09546	1	1	1	3	F1	257.02	0.0053439	P09546	P09546	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1		P09546	P09546				P09546								P09546	P09546		P09546	
P09549	1	1	1	1	1	5	B	1	2	2		P09549	P09549	1	1	1	3	B	2.19	0.00031834	P09549	P09549	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	B			P09549												P09549	P09549		P09549	
P09836	0	1	1	1	0	3	B		2	0			P09836	0	0	0	0	B				P09836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															P09836				
P0A6A0	0	1	1	1	1	4	B		2	2	2	P0A6A0	P0A6A0	0	0	1	1	B			P0A6A0	P0A6A0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							P0A6A0								P0A6A0	P0A6A0		P0A6A0	
P0A6E9	0	1	1	1	0	3	B		0	0	2		P0A6E9	0	1	0	1	B		0.0012663		P0A6E9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P0A6E9			P0A6E9	
P0A6H8	1	1	1	1	1	5	B	1	2	2	2	P0A6H8	P0A6H8	1	0	1	2	B	1.13		P0A6H8	P0A6H8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	5	B		P0A6H8							P0A6H8						P0A6H8	P0A6H8		P0A6H8	
P0A6J1	0	1	1	1	0	3	B		0	0			P0A6J1	0	0	0	0	B				P0A6J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A6J3	0	0	1	1	1	3	B			2	2	P0A6J3	P0A6J3	0	0	1	1	B			P0A6J3	P0A6J3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P0A6J3	P0A6J3		P0A6J3	
P0A6J5	1	1	1	1	1	5	F1	1	2	2		P0A6J5	P0A6J5	1	0	1	2	F1	220		P0A6J5	P0A6J5	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	8	F1		P0A6J5	P0A6J5			P0A6J5	P0A6J5	P0A6J5							P0A6J5	P0A6J5		P0A6J5	
P0A6Q6	1	1	1	1	1	5	F1	1	2	2	2	P0A6Q6	P0A6Q6	1	1	1	3	F1	2.128	0.10519	P0A6Q6	P0A6Q6	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	9	F1		P0A6Q6	P0A6Q6				P0A6Q6	P0A6Q6		P0A6Q6					P0A6Q6	P0A6Q6		P0A6Q6	P0A6Q6
P0A6S0	0	1	1	1	0	3	I		2	2	2		P0A6S0	0	0	0	0	I				P0A6S0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	I		P0A6S0														P0A6S0			
P0A6X3	1	1	1	1	0	4	F1	2	2	2	2		P0A6X3	1	1	0	2	F1	99.64	1.434		P0A6X3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	4	F1		P0A6X3					P0A6X3									P0A6X3		P0A6X3	
P0A6Y8	1	1	1	1	1	5	F1	2	2	2	2	P0A6Y8	P0A6Y8	1	1	1	3	F1	1.801	1.0305	P0A6Y8	P0A6Y8	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	13	F1		P0A6Y8	P0A6Y8		P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8		P0A6Y8			P0A6Y8	P0A6Y8		P0A6Y8	P0A6Y8
P0A6Z3	1	1	1	1	1	5	F1	2	0	0	0	P0A6Z3	P0A6Z3	1	0	1	2	F1	867.51		P0A6Z3	P0A6Z3	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	12	F1		P0A6Z3	P0A6Z3		P0A6Z3	P0A6Z3	P0A6Z3		P0A6Z3	P0A6Z3		P0A6Z3			P0A6Z3	P0A6Z3		P0A6Z3	P0A6Z3
P0A734	1	1	1	1	1	5	F1	1	2	2	2	P0A734	P0A734	1	0	1	2	F1	1104.73		P0A734	P0A734	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	F1			P0A734				P0A734		P0A734						P0A734	P0A734		P0A734	
P0A754	0	1	1	1	0	3	F1		2	2	2		P0A754	0	0	0	0	F1				P0A754	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	F1			P0A754				P0A754											P0A754	
P0A756	0	1	1	1	1	4	F1		2	2	2	P0A756	P0A756	0	0	1	1	F1			P0A756	P0A756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	F1																P0A756		P0A756	
P0A759	1	1	1	1	0	4	B	1	2	2	2		P0A759	1	0	0	1	B	146.75			P0A759	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B			P0A759				P0A759		P0A759						P0A759	P0A759		P0A759	
P0A766	0	1	1	1	0	3	B		2	2			P0A766	0	0	0	0	B				P0A766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A769	0	1	1	1	0	3	B		2	2			P0A769	0	0	0	0	B				P0A769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															P0A769				
P0A7B1	1	1	1	1	1	5	F1	1	2	2	2	P0A7B1	P0A7B1	1	1	1	3	F1	7.02	0.010591	P0A7B1	P0A7B1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	9	F1		P0A7B1	P0A7B1				P0A7B1		P0A7B1	P0A7B1					P0A7B1	P0A7B1		P0A7B1	P0A7B1
P0A7B3	0	1	1	1	0	3	F1		2	2	2		P0A7B3	0	1	0	1	F1		0.006953		P0A7B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	F1																		P0A7B3	
P0A7E1	1	1	1	1	1	5	F1	1	2	2	2	P0A7E1	P0A7E1	1	0	1	2	F1	438.54		P0A7E1	P0A7E1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	10	F1	P0A7E1	P0A7E1	P0A7E1			P0A7E1	P0A7E1	P0A7E1	P0A7E1						P0A7E1	P0A7E1		P0A7E1	
P0A7E5	1	1	1	1	1	5	B	1	2	2	2	P0A7E5	P0A7E5	1	0	1	2	B	569.03		P0A7E5	P0A7E5	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	8	B		P0A7E5	P0A7E5				P0A7E5		P0A7E5	P0A7E5					P0A7E5	P0A7E5		P0A7E5	
P0A7H3	0	1	1	1	0	3	B		2	2	2		P0A7H3	0	1	0	1	B		0.00011574		P0A7H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P0A7H3	
P0A7J0	1	1	1	1	0	4	F1	1	2	2	2		P0A7J0	1	1	0	2	F1	181.53	0.080874		P0A7J0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	6	F1			P0A7J0				P0A7J0			P0A7J0					P0A7J0	P0A7J0		P0A7J0	
P0A855	1	1	1	1	1	5	G	1	2	2	2	P0A855	P0A855	1	1	1	3	G	305.07	0.0014268	P0A855	P0A855	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	6	G		P0A855	P0A855						P0A855						P0A855	P0A855		P0A855	
P0A879	0	1	1	1	1	4	B		2	2	2	P0A879	P0A879	0	0	1	1	B			P0A879	P0A879	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B			P0A879				P0A879		P0A879						P0A879	P0A879		P0A879	
P0A8R7	1	1	1	1	1	5	B	1	0	0	0	P0A8R7	P0A8R7	1	0	1	2	B	1.51		P0A8R7	P0A8R7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	5	B		P0A8R7	P0A8R7												P0A8R7	P0A8R7		P0A8R7	
P0A8S5	0	1	1	1	0	3	B		2	2			P0A8S5	0	0	0	0	B				P0A8S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B																P0A8S5			
P0A8U0	0	1	1	1	1	4	F1		2	2	2	P0A8U0	P0A8U0	0	1	1	2	F1		0.0057764	P0A8U0	P0A8U0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	F1																		P0A8U0	
P0A8X2	0	1	1	1	1	4	G		2	2	2	P0A8X2	P0A8X2	0	0	1	1	G			P0A8X2	P0A8X2	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	5	G			P0A8X2			P0A8X2						P0A8X2		P0A8X2				P0A8X2	
P0A8X4	0	1	1	1	0	3	G		2	2	2		P0A8X4	0	1	0	1	G		0.0001377		P0A8X4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P0A8Z3	0	1	1	1	1	4	F1		2	2	2	P0A8Z3	P0A8Z3	0	1	1	2	F1		0.022371	P0A8Z3	P0A8Z3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	F1							P0A8Z3											P0A8Z3	
P0A901	1	1	1	1	1	5	I	1	2	2	2	P0A901	P0A901	1	0	1	2	I	44.02		P0A901	P0A901	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	7	I		P0A901					P0A901		P0A901						P0A901	P0A901	P0A901	P0A901	
P0A908	1	1	1	1	1	5	H	1	2	2	2	P0A908	P0A908	1	0	1	2	H	322.33		P0A908	P0A908	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	12	H		P0A908	P0A908		P0A908	P0A908	P0A908	P0A908	P0A908			P0A908			P0A908	P0A908	P0A908	P0A908	
P0A912	1	1	1	1	1	5	I	2	2	2	2	P0A912	P0A912	1	0	1	2	I	196		P0A912	P0A912	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	8	I		P0A912	P0A912				P0A912		P0A912						P0A912	P0A912	P0A912	P0A912	
P0A917	0	0	1	1	1	3	H			2	2	P0A917	P0A917	0	0	1	1	H			P0A917	P0A917	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	9	H		P0A917						P0A917	P0A917				P0A917	P0A917	P0A917	P0A917	P0A917		P0A917
P0A921	1	1	1	1	1	5	H	1	2	2	2	P0A921	P0A921	1	1	1	3	H	30.64	0.0011084	P0A921	P0A921	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	7	H		P0A921					P0A921		P0A921				P0A921		P0A921	P0A921	P0A921		
P0A924	0	1	1	1	1	4	B		2	2	2	P0A924	P0A924	0	0	1	1	B			P0A924	P0A924	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	B							P0A924		P0A924						P0A924				
