Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P39368	1			1																							2	1			1																							A		
P39370	1																										1	1																										A		
P39374	1							1																			2	1							1																			A		
P39375	1																										1	1																										A		
P39377	1		1			1	1							1													5	1		1			1	1							1													A		
P39380	1			1				1																			3	1			1				1																			A		
P39383	1					1	1	1																			4	1					1	1	1																			A		
P39384	1	1	1					1																			4	1	1	1					1																			A		
P39394	1																										1	1																										A		
P46854	1	1		1				1																			4	1	1		1				1																			A		
P46855	1																										1	1																										A		
P51020	1			1																							2	1			1																							A		
P52073	1	1				1	1	1																			5	1	1				1	1	1																			A		
P52074	1	1		1		1	1	1																			6	1	1		1		1	1	1																			A		
P52612	1			1			1								1												4	1			1			1								1												A		
P52614	1																										1	1																										A		
P56257	1			1																							2	1			1																							A		
P58037	1																										1	1																										A		
P64463	1		1	1				1																			4	1		1	1				1																			A		
P71301	1			1		1		1																			4	1			1		1		1																			A		
P75692	1			1																							2	1			1																							A		
P75987	1																										1	1																										A		
P75988	1			1																							2	1			1																							A		
P75989	1		1	1				1																			4	1		1	1				1																			A		
P75990	1		1		1																						3	1		1		1																						A		
P75991	1			1				1																			3	1			1				1																			A		
P75992	1		1	1		1		1																			5	1		1	1		1		1																			A		
P75993	1							1																			2	1							1																			A		
P75994	1																										1	1																										A		
P75995	1			1				1																			3	1			1				1																			A		
P76049	1			1				1																			3	1			1				1																			A		
P76052	1																										1	1																										A		
P76082	1			1																							2	1			1																							A		
P76092	1			1																							2	1			1																							A		
P76316	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P76318	1							1																			2	1							1																			A		
P76319	1			1																							2	1			1																							A		
P76407	1					1	1	1																			4	1					1	1	1																			A		
P76621	1	1		1		1	1	1																			6	1	1		1		1	1	1																			A		
P77044	1	1						1																			3	1	1						1																			A		
P77183	1																										1	1																										A		
P77187	1																										1	1																										A		
P77212	1			1				1																			3	1			1				1																			A		
P77221	1			1																							2	1			1																							A		
