Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P77234	1																										1	1																										A		
P77295	1																										1	1																										A		
P77301	1							1																			2	1							1																			A		
P77319	1																										1	1																										A		
P77364	1			1				1																			3	1			1				1																			A		
P77366	1			1																							2	1			1																							A		
P77390	1																										1	1																										A		
P77395	1			1			1	1						1										1			6	1			1			1	1						1										1			A		
P77423	1																										1	1																										A		
P77425	1			1				1																			3	1			1				1																			A		
P77432	1			1		1	1	1																			5	1			1		1	1	1																			A		
P77445	1		1	1		1																					4	1		1	1		1																					A		
P77453	1																										1	1																										A		
P77454	1		1			1	1	1						1													6	1		1			1	1	1						1													A		
P77503	1							1																			2	1							1																			A		
P77564	1																										1	1																										A		
P77615	1			1	1			1																			4	1			1	1			1																			A		
P77626	1																										1	1																										A		
P77627	1																										1	1																										A		
P77646	1							1																			2	1							1																			A		
P77649	1		1	1	1			1																			5	1		1	1	1			1																			A		
P77650	1																										1	1																										A		
P77668	1			1																							2	1			1																							A		
P77674	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P77690	1				1			1																			3	1				1			1																			A		
P77704	1																										1	1																										A		
P77712	1							1																1			3	1							1																1			A		
P77718	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P77730	1			1				1																			3	1			1				1																			A		
P77731	1																										1	1																										A		
P77732	1			1																							2	1			1																							A		
P77790	1																										1	1																										A		
P77791	1						1															1					3	1						1															1					A		
P77806	1		1																								2	1		1																								A		
P78061	1					1		1																			3	1					1		1																			A		
P78271	1			1																							2	1			1																							A		
Q06065	1			1		1	1	1	1																		6	1			1		1	1	1	1																		A		
Q2M7R5	1							1																			2	1							1																			A		
Q46801	1																										1	1																										A		
Q46807	1	1	1					1																			4	1	1	1					1																			A		
Q46811	1	1	1	1		1		1																			6	1	1	1	1		1		1																			A		
Q46814	1					1		1																			3	1					1		1																			A		
Q46819	1																										1	1																										A		
Q46851	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
Q46861	1			1		1	1	1	1																		6	1			2		1	1	1	1																		A		
Q46864	1			1				1														1					4	1			1				1														1					A		
Q46865	1																										1	1																										A		
Q46877	1			1		1																					3	1			1		1																					A		
Q46889	1																										1	1																										A		
Q46890	1																										1	1																										A		
Q46891	1							1																			2	1							1																			A		
Q46904	1					1																					2	1					1																					A		
Q46905	1																										1	1																										A		
Q46906	1																										1	1																										A		
Q46908	1			1																							2	1			1																							A		
Q46915	1	1		1				1																			4	1	1		1				1																			A		
Q46919	1							1																			2	1							1																			A		
Q46941	1																										1	1																										A		
Q47013	1			1		1																					3	1			1		1																					A		
Q47138	1			1				1																			3	1			1				1																			A		
Q47140	1																										1	1																										A		
Q47141	1																										1	1																										A		
Q47149	1			1																							2	1			1																							A		
Q47150	1		1					1														1					4	1		1					1														1					A		
Q47156	1		1	1				1																			4	1		1	1				1																			A		
Q47157	1			1																							2	1			1																							A		
Q47158	1																										1	1																										A		
Q6BF16	1																										1	1																										A		
Q6BF17	1			1																							2	1			1																							A		
P37052	1							1																			2	1							1																			A		
P56614	1							1																			2	1							1																			A		
P0A9E5	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P0A6T3	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0A9C3	1		1	1		1	1	1					1														7	1		1	1		1	1	1					1														A		
P76141	1			1				1																			3	1			1				1																			A		
P0A9G8	1		1				1	1																			4	1		1				1	1																			A		
P04982	1		1	1	1		1	1											1			1					8	1		1	1	1		1	1											1			1					A		
P64530	1							1														1					3	1							1														1					A		
A5A621	1																										1	1																										A		
P64567	1																										1	1																										A		
P39308	1														1												2	1														1												A		
P52697	1	1	1			1	1	1					1	1													8	1	1	1			1	1	1					1	1													A		
P23325	1			1																							2	1			1																							A		
P33647	1																										1	1																										A		
P08365	1			1																							2	1			1																							A		
P10805	1			1																							2	1			1																							A		
P0AB87	1					1		1																			3	1					1		1																			A		
P09148	1		1			1	1	1																			5	1		1			1	1	1																			A		
P09147	1	1	1			1	1	1		1				1										1			9	1	1	1			1	1	1		1				1										1			A		
P25666	1	1				1	1	1																			5	1	1				1	1	1																			A		
C1P607	1																										1	1																										A		
C1P608	1																										1	1																										A		
C1P615	1																										1	1																										A		
C1P617	1																										1	1																										A		
C1P619	1					1																					2	1					1																					A		
P0AD72	1																										1	1																										A		
P0AD74	1																										1	1																										A		
A8DYP9	1																										1	1																										A		
P60995	1																										1	1																										A		
P62522	1																										1	1																										A		
P03061	1																										1	1																										A		
P0AD83	1																										1	1																										A		
P0AD86	1																										1	1																										A		
P0AD92	1																										1	1																										A		
P75959	1	1	1			1		1																			5	1	1	1			1		1																			A		
P02338	1							1																			2	1							1																			A		
P69407	1		1			1	1	1						1								1		1			8	1		1			1	1	1						1								1		1			A		
P27127	1							1																			2	1							1																			A		
P27126	1			1			1	1																			4	1			1			1	1																			A		
P27241	1			1		1	1	1																			5	1			1		1	1	1																			A		
P36667	1																										1	1																										A		
P45563	1			1																							2	1			1																							A		
P23841	1			1		1																					3	1			1		1																					A		
P75688	1																										1	1																										A		
P08339	1			1																							2	1			1																							A		
Q47152	1																										1	1																										A		
P0AAS9	1			1																							2	1			1																							A		
P77216	1			1																							2	1			1																							A		
P77746	1			1																							2	1			1																							A		
P77427	1																										1	1																										A		
P21829	1			1	1		1	1																			5	1			1	1		1	1																			A		
P0AAV8	1			1																							2	1			1																							A		
P75764	1			1		1		1																			4	1			1		1		1																			A		
P62066	1	1																									2	1	2																									A		
P76023	1							1																			2	1							1																			A		
A5A613	1																										1	1																										A		
P37757	1		1					1																			3	1		1					1																			A		
P76122	1			1																							2	1			1																							A		
P76123	1																										1	1																										A		
P76204	1																										1	1																										A		
P0ACY3	1	1	1	1	1	1	1	1																			8	1	1	1	1	1	1	1	1																			A		
P76322	1																										1	1																										A		
P69346	1			1		1																					3	1			1		1																					A		
P76484	1			1																							2	1			1																							A		
P76485	1																										1	1																										A		
P76486	1																										1	1																										A		
P76505	1		1																								2	1		1																								A		
P45956	1																										1	1																										A		
Q46896	1																										1	1																										A		
P38036	1			1																							2	1			1																							A		
Q46897	1																										1	1																										A		
Q46898	1			1																							2	1			1																							A		
Q46899	1					1		1																			3	1					1		1																			A		
P76632	1			1																							2	1			1																							A		
Q46787	1																										1	1																										A		
Q46789	1																										1	1																										A		
Q46796	1																										1	1																										A		
P64594	1							1																			2	1							1																			A		
P31453	1																										1	1																										A		
P09162	1			1																							2	1			1																							A		
P32704	1																										1	1																										A		
P39283	1			1																							2	1			1																							A		
C1P621	1																										1	1																										A		
P0AF78	1			1																							2	1			1																							A		
P39410	1							1																			2	1							1																			A		
A5A611	1																										1	1																										A		
P77658	1			1		1		1																			4	1			1		1		1																			A		
C1P604	1																										1	1																										A		
P69348	1																										1	1																										A		
C1P606	1																										1	1																										A		
P76613	1							1																			2	1							1																			A		
P77136	1			1																							2	1			1																							A		
C1P613	1																										1	1																										A		
C1P618	1																										1	1																										A		
P39317	1			1				1																			3	1			1				1																			A		
P31572	1			1																							2	1			1																							A		
P03835	1																										1	1																										B		
P23895	1																										1	1																										B		
P0A9R2	1																										1	1																										B		
P38392	1																										1	1																										B		
P23849	1					1																					2	1					1																					B		
P52138	1							1							1												3	1							1							1												B		
Q47689	1																										1	1																										B		
P75683	1						1																				2	1						1																				B		
P76361	1														1												2	1														1												B		
P75968	1			1		1																					3	1			1		1																					B		
P77607	1																										1	1																										B		
P77237	1			1																							2	1			1																							B		
P77682	1																										1	1																										B		
P77293	1		1		1	1	1	1																			6	1		1		1	1	1	1																			B		
P76507	1		1			1	1	1																			5	1		1			1	1	1																			B		
P75979	1																										1	1																										B		
P52134	1																										1	1																										B		
P28916	1			1																							2	1			1																							B		
P32053	1		1	1																							3	1		1	1																							B		
P28917	1			1																							2	1			1																							B		
P28912	1			1																							2	1			1																							B		
P02920	1																										1	1																										B		
P09348	1			1			1																				3	1			1			1																				B		
P0A769	1					1																					2	1					1																					B		
P0AAB6	1	1	1	1		1	1	1											1								8	1	1	1	1		1	1	1											1								B		
P0AAP7	1																										1	1																										B		
P0AAQ0	1			1																							2	1			1																							B		
P0AEB5	1				1	1	1																				4	1				1	1	1																				B		
P0AF06	1			1		1	1																				4	1			1		1	1																				B		
P0AFF2	1					1	1	1	1																		5	1					1	1	1	1																		B		
P0AFY6	1		1			1	1	1																			5	1		1			1	1	1																			B		
P32057	1																										1	1																										B		
P33011	1					1	1	1																			4	1					1	1	1																			B		
P51981	1		1	1				1																			4	1		1	1				1																			B		
P52645	1			1	1	1	1	1	1																		7	1			1	1	1	1	1	1																		B		
P64423	1					1	1	1																			4	1					1	1	1																			B		
P64445	1																										1	1																										B		
P71241	1																										1	1																										B		
P76387	1			1		1	1																				4	1			1		1	1																				B		
P77377	1																										1	1																										B		
C1P5Z8	1																										1	1																										B		
P02942	1			1	1		1								1												5	1			1	1		1								1												B		
P06972	1																										1	1																										B		
P07017	1			1	1		1																				4	1			1	1		1																				B		
P07018	1			1			1																				3	1			1			1																				B		
P0A8T5	1						1																				2	1						1																				B		
P0A9S3	1				1	1	1	1	1	1						1			1							1	10	1				1	1	1	1	1	1						1			1							1	B		
P0AA82	1				1		1																				3	1				1		1																				B		
P0AAA1	1				1	1	1	1	1			1		1					1						1		10	1				1	1	1	1	1			1		1					1						1		B		
P0AAU5	1																										1	1																										B		
P0AC05	1					1		1																			3	1					1		1																			B		
P0AC07	1			1																							2	1			1																							B		
P0AEH8	1			1																							2	1			1																							B		
P0AFT2	1			1		1	1	1																			5	1			1		1	1	1																			B		
P13738	1	1						1																			3	1	1						1																			B		
P15029	1																										1	1																										B		
P15030	1																										1	1																										B		
P17583	1			1				1																			3	1			1				1																			B		
P22586	1			1			1	1																			4	1			1			1	1																			B		
P23485	1			1		1																					3	1			1		1																					B		
P23842	1			1		1	1	1	1																		6	1			1		1	1	1	1																		B		
P25798	1			1		1	1	1																			5	1			1		1	1	1																			B		
P25960	1																										1	1																										B		
P28911	1			1																							2	1			1																							B		
P31064	1				1	1		1																			4	1				1	1		1																			B		
P31991	1			1																							2	1			1																							B		
P33135	1																										1	1																										B		
P33236	1																										1	1																										B		
P36678	1																										1	1																										B		
P37744	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													B		
P39352	1																										1	1																										B		
P39365	1																										1	1																										B		
P39376	1			1				1																			3	1			1				1																			B		
P39379	1							1																			2	1							1																			B		
P39381	1																										1	1																										B		
P39382	1			1			1																				3	1			1			1																				B		
P39385	1			1		1	1	1																			5	1			1		1	1	1																			B		
P39386	1		1																								2	1		1																								B		
P39396	1					1	1	1	1					1					1								7	1					1	1	1	1					1					1								B		
P39398	1																										1	1																										B		
P39400	1			1				1																			3	1			1				1																			B		
P41441	1																										1	1																										B		
P41442	1																										1	1																										B		
P43676	1																										1	1																										B		
P45756	1																										1	1																										B		
P45757	1																										1	1																										B		
P45763	1																										1	1																										B		
P58034	1																										1	1																										B		
P64572	1			1				1																			3	1			1				1																			B		
P69831	1				1	1	1	1	1			1							1								8	1				1	1	1	1	1			1							1								B		
P71238	1																										1	1																										B		
P75685	1																										1	1																										B		
P75691	1	1	1			1	1	1						1					1								8	1	1	1			1	1	1						1					1								B		
P75693	1			1																							2	1			2																							B		
P75885	1																										1	1																										B		
P75905	1			1				1																			3	1			1				1																			B		
P75908	1																										1	1																										B		
P76090	1																										1	1																										B		
P76091	1					1																					2	1					1																					B		
P76093	1			1																							2	1			1																							B		
P76298	1			1			1	1																			4	1			1			1	1																			B		
P76299	1		1																								2	1		1																								B		
P77091	1							1																			2	1							1																			B		
P77180	1																										1	1																										B		
P77219	1																										1	1																										B		
P77333	1			1				1																			3	1			1				1																			B		
P77379	1																										1	1																										B		
P77397	1																										1	1																										B		
P77506	1																										1	1																										B		
P77541	1	1		1			1	1																			5	1	1		1			1	1																			B		
P77589	1					1		1																			3	1					1		1																			B		
Q46836	1																										1	1																										B		
Q46839	1																										1	1																										B		
Q46841	1					1																					2	1					1																					B		
Q46843	1					1																					2	1					1																					B		
Q46844	1			1				1																			3	1			1				1																			B		
Q47539	1																										1	1																										B		
Q7DFV3	1																										1	1																										B		
P37746	1					1		1																			3	1					1		1																			B		
P37748	1																										1	1																										B		
P39357	1		1					1																			3	1		1					1																			B		
P75910	1		1			1																					3	1		1			1																					B		
P37747	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			B		
P77455	1			1			1																				3	1			1			1																				B		
P76083	1			1																							2	1			1																							B		
Q47536	1			1																							2	1			1																							B		
P0ABC7	1	1	1	1	1	1	1	1	1							1									1		11	1	1	1	1	1	1	1	1	1							2									1		B		
P0AFN2	1			1		1	1	1																			5	1			1		1	1	1																			B		
P32696	1			1																							2	1			1																							B		
P46879	1																										1	1																										B		
Q2EEQ3	1																										1	1																										B		
A5A627	1																										1	1																										B		
P75971	1																										1	1																										B		
Q2EEQ8	1																										1	1																										B		
P69789	1																										1	1																										B		
P0AGC7	1			1		1	1		1																		5	1			1		1	1		1																		B		
Q46817	1			1																							2	1			1																							B		
P52048	1			1																							2	1			1																							B		
P42626	1					1																					2	1					1																					B		
P76147	1			1																							2	1			1																							B		
P77228	1	1																									2	1	1																									B		
P76628	1																										1	1																										B		
P76692	1																										1	1																										B		
P39349	1																										1	1																										B		
P31452	1																										1	1																										B		
P77354	1																										1	1																										B		
P77551	1																										1	1																										B		
P75901	1																										1	1																										B		
Q47153	1																										1	1																										B		
P75684	1			1																							2	1			1																							B		
P33669	1																										1	1																										B		
P52137	1																										1	1																										B		
Q46833	1			1																							2	1			1																							B		
P39393	1			1																							2	1			1																							B		
P39355	1																										1	1																										B		
P75681	1																										1	1																										B		
Q47718	1																										1	1																										B		
P39347	1			1																							2	1			1																							B		
P76119	1			1																							2	1			1																							B		
P75741	1			1		1		1																			4	1			1		1		1																			B		
Q6BF86	1																										1	1																										B		
P64485	1																										1	1																										B		
P00550	1	1	1		1	1	1	1	1		1					1			1					1			12	1	1	1		1	1	1	1	1		1					1			1					1			B		
P00803	1		1		1	1	1	1	1							1			1						1		10	1		1		1	1	1	1	1							1			1						1		B		
P00804	1					1																					2	1					1																					B		
P02916	1			1	1	1	1	1	1										1								8	1			1	1	1	1	1	1										1								B		
P02918	1	1	1	1	1	1	1	1	1		1																10	1	1	1	1	1	1	1	1	1		1																B		
P03959	1																										1	1																										B		
P03961	1						1																				2	1						1																				B		
P04968	1		1	1				1																			4	1		1	1				1																			B		
P05050	1							1																			2	1							1																			B		
P05824	1			1			1																				3	1			1			1																				B		
P06136	1			1	1	1	1	1																			6	1			1	1	1	1	1																			B		
P06282	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			B		
P06709	1			1			1	1																			4	1			1			1	1																			B		
P07001	1	1	1		1	1	1	1	1										1								9	1	1	1		1	1	1	1	1										1								B		
P07650	1	1	1	1		1	1	1						1												1	9	1	1	1	1		1	1	1						1												1	B		
P07654	1			1		1																					3	1			1		1																					B		
P08200	1	1	1		1	1	1	1		1						1	1		1					1		1	13	1	1	1		1	1	1	1		1						1	1		1					1		1	B		
P08371	1	1		1				1																			4	1	1		1				1																			B		
P08395	1	1		1	1	1	1	1	1					1					1								10	1	1		1	1	1	1	1	1					1					1								B		
P08400	1			1	1	1	1	1																			6	1			2	1	1	1	1																			B		
P08401	1			1		1	1	1																			5	1			1		1	1	1																			B		
P08550	1							1																			2	1							1																			B		
P09391	1				1	1	1																				4	1				1	1	1																				B		
P09549	1		1			1	1	1																			5	1		1			1	1	1																			B		
P09836	1					1																					2	1					1																					B		
P0A6A0	1			1		1	1	1		1																	6	1			1		1	1	1		1																	B		
P0A6E9	1					1		1																			3	1					1		1																			B		
P0A6H8	1	1			1	1	1	1	1																		7	1	1			1	1	1	1	1																		B		
P0A6J1	1																										1	1																										B		
P0A6J3	1	1				1	1	1																			5	1	1				1	1	1																			B		
P0A759	1	1	1	1	1	1	1	1																			8	1	1	1	1	1	1	1	1																			B		
P0A766	1																										1	1																										B		
P0A7E5	1	1	1	1	1	1	1	1	1	1				1					1							1	13	1	1	1	1	1	1	1	1	1	1				1					1							1	B		
P0A7H3	1							1																			2	1							1																			B		
P0A879	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			B		
P0A8R7	1		1			1	1	1	1																		6	1		1			1	1	1	1																		B		
P0A8S5	1						1																				2	1						1																				B		
P0A924	1			1	1	1																					4	1			1	1	1																					B		
P0A9Q9	1	1	1		1		1	1		1																	7	1	1	1		1		1	1		1																	B		
P0AA47	1				1		1																				3	1				1		1																				B		
P0AA49	1																										1	1																										B		
P0AA53	1	1	1		1	1	1	1											1					1			9	1	1	1		1	1	1	1											1					1			B		
P0AA63	1				1	1																					3	1				1	1																					B		
P0AA73	1							1																			2	1							1																			B		
P0AA93	1			1		1		1																			4	1			1		1		1																			B		
P0AAC4	1					1	1	1																			4	1					1	1	1																			B		
P0AAC6	1					1																					2	1					1																					B		
P0AAD2	1					1	1	1																			4	1					1	1	1																			B		
P0AAD6	1		1			1	1	1	1										1								7	1		1			1	1	1	1										1								B		
P0AAD8	1					1	1																				3	1					1	1																				B		
P0AAE0	1				1	1	1	1																			5	1				1	1	1	1																			B		
P0AAE5	1							1																			2	1							1																			B		
P0AAE8	1																										1	1																										B		
P0AAG5	1		1	1		1	1	1																			6	1		1	1		1	1	1																			B		
P0AAJ5	1		1	1		1	1	1	1	1				1		1			1								11	1		1	1		1	1	1	1	1				1		1			1								B		
P0AAL6	1			1																							2	1			1																							B		
P0AAM1	1			1		1		1																			4	1			1		1		1																			B		
P0AAP1	1																										1	1																										B		
P0AAS0	1		1			1	1	1																1			6	1		1			1	1	1																1			B		
P0AAT4	1	1	1		1	1	1	1																			7	1	1	1		1	1	1	1																			B		
P0AAV0	1			1																							2	1			1																							B		
P0AAZ0	1																										1	1																										B		
P0AB12	1		1			1	1	1	1																		6	1		1			1	1	1	1																		B		
P0AB67	1		1		1	1	1	1	1					1											1		9	1		1		1	1	1	1	1					1											1		B		
P0AB98	1		1		1	1	1	1								1			1						1		9	1		1		1	1	1	1								1			1						2		B		
P0ABB8	1	1	1			1	1	1	1																1		8	1	1	1			1	1	1	1																1		B		
P0ABF1	1	1	1	1		1	1	1	1																	1	9	1	1	1	1		1	1	1	1																	1	B		
P0ABF6	1	1	1				1	1		1			1	1													8	1	1	1				1	1		1			1	1													B		
P0ABF8	1			1		1	1	1	1										1						1		8	1			1		1	1	1	1										1						1		B		
P0ABG1	1																										1	1																										B		
P0ABH4	1																										1	1																										B		
P0ABI4	1		1		1	1	1	1	1																		7	1		1		1	1	1	1	1																		B		
P0ABI8	1	1	1	1	1	1	1	1	1							1			1						1		12	1	1	1	1	1	1	1	1	1							1			1						1		B		
P0ABJ1	1	1	1		1	1	1	1	1		1	1				1			1					1	1		14	1	1	1		1	1	1	1	1		1	1				1			1					1	2		B		
P0ABJ3	1							1											1								3	1							1											1								B		
P0ABJ6	1																		1								2	1																		1								B		
P0ABJ9	1	1	1		1	1	1	1	1		1	1		1	1	1			1						1		15	1	1	1		1	1	1	1	1		1	1		1	1	1			1						2		B		
P0ABL5	1			1			1	1																			4	1			1			1	1																			B		
P0ABM9	1			1		1	1	1							1												6	1			1		1	1	1							1												B		
P0ABS5	1		1	1			1	1																			5	1		1	1			1	1																			B		
P0ABT8	1																										1	1																										B		
P0ABU7	1				1	1	1	1	1					1													7	1				1	1	1	1	1					1													B		
P0ABU9	1				1	1	1	1	1																		6	1				1	1	1	1	1																		B		
P0ABV2	1				1		1	1														1					5	1				1		1	1														1					B		
P0ABV6	1				1	1	1	1	1													1					7	1				1	1	1	1	1													1					B		
P0AC23	1				1	1	1	1	1																		6	1				1	1	1	1	1																		B		
P0AC26	1																										1	1																										B		
P0AC30	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		B		
P0AC44	1					1	1	1	1							1									1		7	1					1	1	1	1							1									1		B		
P0AC75	1				1	1	1	1	1																		6	1				1	1	1	1	1																		B		
P0AC98	1																										1	1																										B		
P0ACB7	1		1		1	1	1	1	1										1						1		9	1		1		1	1	1	1	1										1						1		B		
P0ACJ0	1	1	1	1		1	1	1	1													1				1	10	1	1	1	1		1	1	1	1													1				1	B		
P0ACJ5	1			1				1																			3	1			1				1																			B		
P0ACN2	1							1																			2	1							1																			B		
P0ACS9	1	1		1				1																			4	1	1		2				1																			B		
P0ACV0	1		1		1	1	1	1																			6	1		1		1	1	1	1																			B		
P0ACV2	1			1		1																					3	1			1		1																					B		
P0ACX0	1																										1	1																										B		
P0AD03	1			1																							2	1			1																							B		
P0AD14	1					1	1	1	1																		5	1					1	1	1	1																		B		
P0AD17	1						1																				2	1						1																				B		
P0AD19	1																										1	1																										B		
P0AD27	1					1	1	1	1																		5	1					1	1	1	1																		B		
P0AD30	1			1																							2	1			1																							B		
P0AD65	1		1	1	1	1	1	1	1		1																9	1		1	2	1	1	1	1	1		1																B		
P0AD68	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		B		
P0AD99	1					1																					2	1					1																					B		
P0ADC6	1		1	1	1	1	1	1											1						1		9	1		1	1	1	1	1	1											1						1		B		
P0ADD2	1																										1	1																										B		
P0ADD5	1			1																							2	1			1																							B		
P0ADL1	1																										1	1																										B		
P0ADL3	1				1	1	1																				4	1				1	1	1																				B		
P0ADM8	1			1																							2	1			1																							B		
P0ADP2	1		1	1			1	1																			5	1		1	1			1	1																			B		
P0ADR0	1																										1	1																										B		
P0ADR2	1																										1	1																										B		
P0ADV9	1				1	1	1	1																	1		6	1				1	1	1	1																	1		B		
P0ADY1	1	1	1	1	1	1	1	1	1			1				1			1				1		1		14	1	1	1	1	1	1	1	1	1			1				1			1				1		2		B		
P0ADZ7	1	1	1	1	1	1	1	1	1			1							1			1		1	1		14	1	1	1	1	1	1	1	1	1			1							1			1		1	1		B		
P0AE14	1					1	1	1	1																		5	1					1	1	1	1																		B		
P0AE28	1							1																			2	1							1																			B		
P0AE34	1					1	1	1	1																		5	1					1	1	1	1																		B		
P0AE45	1		1			1	1	1	1																		6	1		1			1	1	1	1																		B		
P0AE74	1																										1	1																										B		
P0AE82	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		B		
P0AEA5	1																										1	1																										B		
P0AEC0	1		1			1	1	1																			5	1		1			1	1	1																			B		
P0AEC3	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		B		
P0AEF8	1				1	1	1	1											1								6	1				1	1	1	1											1								B		
P0AEH1	1		1			1	1	1							1												6	1		1			1	1	1							1												B		
P0AEJ0	1																										1	1																										B		
P0AEJ4	1			1	1	1	1	1																			6	1			1	1	1	1	1																			B		
P0AEK7	1			1				1															1				4	1			1				1															1				B		
P0AEL0	1			1		1	1	1															1		1		7	1			1		1	1	1															1		1		B		
P0AEP3	1	1	1	1	1	1	1	1	1					1													10	1	1	1	1	1	1	1	1	1					1													B		
P0AER0	1		1				1																				3	1		1				1																				B		
P0AER3	1			1		1	1	1																			5	1			1		1	1	1																			B		
P0AER5	1							1																			2	1							1																			B		
P0AEX3	1					1	1	1																			4	1					1	1	1																			B		
P0AEY1	1		1					1																			3	1		1					1																			B		
P0AEY5	1		1				1	1														1					5	1		1				1	1														1					B		
P0AEY8	1																										1	1																										B		
P0AF20	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		B		
P0AF34	1																										1	1																										B		
P0AF40	1					1																					2	1					1																					B		
P0AF80	1																										1	1																										B		
P0AFA2	1			1		1	1	1																			5	1			1		1	1	1																			B		
P0AFC3	1		1			1	1	1	1										1								7	1		1			1	1	1	1										1								B		
P0AFD4	1			1	1	1	1	1	1										1								8	1			1	1	1	1	1	1										1								B		
P0AFE8	1				1	1	1	1	1																		6	1				1	1	1	1	1																		B		
P0AFF0	1					1		1	1																		4	1					1		1	1																		B		
P0AFG8	1	1	1	1	1	1	1	1	1	1	1		1	1		1	1						1	1		1	18	1	1	1	1	1	1	1	1	1	1	1		2	1		1	1						1	1		1	B		
P0AFJ7	1	1	1		1	1	1	1																	1		8	1	1	1		1	1	1	1																	1		B		
P0AFK2	1				1	1																					3	1				1	1																					B		
P0AFK4	1					1	1																				3	1					1	1																				B		
P0AFK6	1					1									1												3	1					1									1												B		
P0AFL9	1			1		1	1																				4	1			1		1	1																				B		
P0AFP9	1			1		1	1	1																			5	1			1		1	1	1																			B		
P0AFQ2	1			1		1	1																				4	1			1		1	1																				B		
P0AFS9	1			1			1																				3	1			1			1																				B		
P0AFU0	1						1																				2	1						1																				B		
P0AFV0	1																										1	1																										B		
P0AFV2	1			1		1		1																			4	1			1		1		1																			B		
P0AFY2	1			1	1	1	1	1	1																		7	1			1	1	1	1	1	1																		B		
P0AFZ7	1					1																					2	1					1																					B		
P0AG00	1	1	1	1	1	1	1	1	1							1			1								11	1	1	1	1	1	1	1	1	1							1			1								B		
P0AG27	1		1	1	1	1	1	1	1		1														1		10	1		1	1	1	1	1	1	1		1														1		B		
P0AG71	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			B		
P0AG90	1	1	1	1	1	1	1	1	1		1	1	1	1													13	1	1	1	1	1	1	1	1	1		1	1	1	1													B		
P0AG93	1		1		1	1	1	1	1					1													8	1		1		1	1	1	1	1					1													B		
P0AG99	1		1			1	1	1	1		1														1		8	1		1			1	1	1	1		1														1		B		
P0AGA2	1		1		1	1	1	1	1																1		8	1		1		1	1	1	1	1																1		B		
P0AGB0	1		1	1			1	1																			5	1		1	1			1	1																			B		
P0AGC0	1														1												2	1														1												B		
P0AGF6	1	1	1	1		1	1			1																	7	1	1	1	1		1	1			1																	B		
P0AGH3	1					1	1	1																			4	1					1	1	1																			B		
P0AGH5	1					1	1	1																			4	1					1	1	1																			B		
P0AGM0	1					1																					2	1					1																					B		
P0AGM5	1				1																						2	1				1																						B		
P0AGM7	1				1	1	1	1																			5	1				1	1	1	1																			B		
P0AGM9	1																										1	1																										B		
P0C0L7	1		1			1	1	1	1																1		7	1		1			1	1	1	1																1		B		
P0CB39	1			1	1	1	1	1	1			1							1						1		10	1			1	1	1	1	1	1			1							1						1		B		
P10905	1																										1	1																										B		
P10906	1																										1	1																										B		
P11350	1					1	1	1															1				5	1					1	1	1															1				B		
P12008	1		1			1	1	1																			5	1		1			1	1	1																			B		
P12996	1																										1	1																										B		
P13518	1					1	1	1																			4	1					1	1	1																			B		
P14376	1	1			1	1	1	1	1																		7	1	1			1	1	2	1	1																		B		
P15877	1		1	1	1	1	1	1	1			1							1								10	1		1	1	1	1	1	1	1			1							1								B		
P15993	1		1				1																				3	1		1				1																				B		
