A	SYT_ECOLI	7.73E+00	9.50E+02	11.07	485.85	0.31493	31493
A	YEEX_ECOLI	4.54E+01	2.66E+03	3.22	146.75	0.22323	22323
A	SYK1_ECOLI	5.40E+01	2.94E+03	21.64	930.53	0.047428	4742.8
A	SYK2_ECOLI	4.11E+00	6.58E+02	17.12	741.45	0.010687	1068.7
A	FETP_ECOLI	4.62E+00	7.04E+02	30.62	1302.81	0.18134	18134
A	METJ_ECOLI	2.16E+00	4.53E+02	9	398	0.084012	8401.2
A	RPOB_ECOLI	1.64E+02	5.59E+03	27.41	1170.18	0.20205	20205
A	FADR_ECOLI	1.03E+00	2.95E+02	2.38	109.47	0.01161	1161
A	YQGE_ECOLI	1.37E+00	3.48E+02	1.15	54.08	0.012848	1284.8
A	YJGA_ECOLI	3.06E+01	2.11E+03	2.16	99.64	0.026091	2609.1
I	MLTA_ECOLI	1.28E+00	3.33E+02	1.07	50.43	0.00070266	70.266
A	FABB_ECOLI	8.24E+02	1.43E+04	33	1384.41	0.070262	7026.2
A	FUR_ECOLI	3.22E+00	5.71E+02	11.92	521.98	0.12175	12175
A	G3P1_ECOLI	5.82E+04	1.70E+05	109.07	20789.62	1.0125	101250
A	CYSB_ECOLI	1.37E+00	3.48E+02	1.08	50.89	0.018939	1893.9
A	PHOL_ECOLI	1.05E+01	1.13E+03	4.38	197.75	0.023077	2307.7
A	SLYD_ECOLI	1.77E+02	5.85E+03	16.78	727.17	0.24493	24493
A	LON_ECOLI	1.80E+01	1.55E+03	9.96	438.54	0.063634	6363.4
F1	DLDH_ECOLI	1.78E+03	2.24E+04	49.55	2077.52	0.20595	20595
A	DEAD_ECOLI	2.77E+01	1.99E+03	7	307.23	0.029853	2985.3
F1	YBIT_ECOLI	7.30E-01	2.41E+02	1.11	52.26	0.010395	1039.5
A	YRBA_ECOLI	9.00E+00	1.04E+03	9	398	0.11482	11482
F1	MREB_ECOLI	1.68E+01	1.49E+03	28.55	1217.34	0.090006	9000.6
A	OMPR_ECOLI	3.64E+00	6.13E+02	5.31	238.33	0.032016	3201.6
A	RLUC_ECOLI	5.66E+00	7.92E+02	2.48	113.93	0.0052339	523.39
A	RSUA_ECOLI	3.22E+00	5.71E+02	2.51	115.26	0.01175	1175
B	GALF_ECOLI	3.12E+00	5.61E+02	6.63	295.57	0.09582	9582
A	USPE_ECOLI	5.85E-01	2.12E+02	3.87	175.38	0.034944	3494.4
F1	ARTP_ECOLI	1.51E+00	3.68E+02	1.15	54.08	0.014668	1466.8
A	FABF_ECOLI	1.29E+01	1.28E+03	9	398	0.032093	3209.3
A	FABD_ECOLI	4.63E+02	1.02E+04	12.89	563.11	0.0023342	233.42
G	YBIS_ECOLI	6.74E+00	8.77E+02	1.78	83	0.0039972	399.72
A	YCIN_ECOLI	5.31E+00	7.63E+02	5.81	260.06	0.1003	10030
A	ALF_ECOLI	6.58E+03	4.78E+04	137.95	3043.33	0.28809	28809
A	KBL_ECOLI	7.58E+00	9.39E+02	24.12	1033.75	0.0097452	974.52
A	PUR8_ECOLI	5.52E+01	2.98E+03	14.32	623.57	0.040896	4089.6
F1	ATPG_ECOLI	5.49E+00	7.79E+02	36.93	1562.34	0.027269	2726.9
F1	ATPB_ECOLI	5.96E+01	3.11E+03	64.29	2674.21	0.28794	28794
B	ATMA_ECOLI	1.93E+00	4.24E+02	0.18	8.96	0.00646	646
A	BOLA_ECOLI	4.62E+00	7.04E+02	9	398	0.072419	7241.9
B	PCNB_ECOLI	4.92E-01	1.92E+02	0.39	18.96	0.010659	1065.9
A	CISY_ECOLI	1.44E+01	1.36E+03	24.12	1577.84	0.036019	3601.9
B	CORA_ECOLI	5.85E-01	2.12E+02	3.92	177.58	0.012192	1219.2
B	CYDA_ECOLI	2.73E+00	5.18E+02	3.64	165.27	0.19755	19755
A	DEOD_ECOLI	6.10E+03	4.58E+04	50	2087.68	0.15759	15759
A	DPS_ECOLI	8.15E+01	3.73E+03	30.62	1302.81	0.0049175	491.75
A	MENB_ECOLI	3.06E+01	2.11E+03	7	289.95	0.0091194	911.94
F1	KDSC_ECOLI	2.16E+00	4.53E+02	0.78	37.12	0.01942	1942
A	ASPA_ECOLI	2.79E+00	5.26E+02	9	398	0.0084338	843.38
A	G6PD_ECOLI	6.74E+00	8.77E+02	4.23	119.92	0.046197	4619.7
A	GLRX4_ECOLI	5.52E+01	2.98E+03	5.31	238.33	0.36847	36847
A	LGUL_ECOLI	2.73E+00	5.18E+02	0.67	32.03	0.070027	7002.7
A	SSPA_ECOLI	2.68E+01	1.96E+03	3.92	177.58	0.10494	10494
A	ERPA_ECOLI	9.00E+00	1.04E+03	5.31	238.33	0.17434	17434
A	GLMU_ECOLI	4.99E+00	7.37E+02	3.79	171.87	0.017531	1753.1
A	NIFU_ECOLI	3.63E+01	2.33E+03	11.92	521.98	0.3532	35320
A	HINT_ECOLI	3.06E+01	2.11E+03	9	398	0.058486	5848.6
A	DBHA_ECOLI	1.00E+04	6.10E+04	99	4064.14	1.0443	104430
A	ROB_ECOLI	5.20E-01	1.98E+02	4.41	199.06	0.00010858	10.858
A	OXYR_ECOLI	3.59E-01	1.60E+02	3.64	165.27	0.031944	3194.4
A	KPYK1_ECOLI	5.24E+02	1.10E+04	20.54	1113.95	6.39E-05	6.3873
I	YAJG_ECOLI	3.06E+01	2.11E+03	6.74	300.32	0.0048273	482.73
E	YIAF_ECOLI	2.16E+00	4.53E+02	12.34	540	8.46E-05	8.4625
A	YIHD_ECOLI	5.31E+00	7.63E+02	9	398	0.033439	3343.9
G	YGGE_ECOLI	4.12E+01	2.51E+03	34.11	1446.53	0.0012477	124.77
G	MLAC_ECOLI	1.37E+01	1.32E+03	1.25	58.63	0.00094203	94.203
