Merge ID	TableS3_K12_ProteomeV13_BasicProteome_3900	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	
P02943	1		1		1	1	1	1	1		7	1		1		1	1	1	1	1		H	LAMB_ECOLI	
P03007	1			1		1	1	1		1	6	1			1		1	1	1		1	A	DPO3E_ECOLI	
P03018	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	UVRD_ECOLI	
P03024	1			1				1		1	4	1			1				1		1	A	GALR_ECOLI	
P03030	1			1						1	3	1			1						1	A	LYSR_ECOLI	
P03813	1							1			2	1							1			A	YGEA_ECOLI	
P03817	1		1				1	1		1	5	1		1				1	1		1	A	MIOC_ECOLI	
P03959	1										1	1										B	ATKA_ECOLI	
P03961	1						1			1	3	1						1			1	B	ATKC_ECOLI	
P04036	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	DAPB_ECOLI	
P04079	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	GUAA_ECOLI	
P04152	1			1							2	1			1							A	UMUC_ECOLI	
P04335	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	FRSA_ECOLI	
P04425	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	GSHB_ECOLI	
P04693	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	A	TYRB_ECOLI	
P04805	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	SYE_ECOLI	
P04816	1			1				1			3	1			1				1			G	LIVK_ECOLI	
P04825	1		1	1	1	1	1	1		1	8	1		1	1	1	1	1	1		1	F1	AMPN_ECOLI	
P04951	1		1	1			1	1		1	6	1		1	1			1	1		1	A	KDSB_ECOLI	
P04968	1		1	1				1		1	5	1		1	1				1		1	B	THD1_ECOLI	
P04983	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	F1	RBSA_ECOLI	
P04993	1			1			1	1		1	5	1			1			1	1		1	A	EX5A_ECOLI	
P04995	1	1	1			1		1		1	6	1	1	1			1		1		1	A	EX1_ECOLI	
P05020	1	1	1				1	1		1	6	1	1	1				1	1		1	A	PYRC_ECOLI	
P05042	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	FUMC_ECOLI	
P05050	1							1			2	1							1			B	ALKB_ECOLI	
P05055	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	PNP_ECOLI	
P05194	1		1	1				1		1	5	1		1	1				1		1	A	AROD_ECOLI	
P05458	1	1	1	1				1		1	6	1	1	1	1				1		1	G	PTRA_ECOLI	
P05459	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	PDXB_ECOLI	
P05523	1		1	1	1			1		1	6	1		1	1	1			1		1	A	FPG_ECOLI	
P05637	1		1			1	1	1		1	6	1		1			1	1	1		1	A	APAH_ECOLI	
P05793	1	1		1	1	1	1	1		1	8	1	1		1	1	1	1	1		1	A	ILVC_ECOLI	
P05804	1			1				1			3	1			1				1			A	BGLR_ECOLI	
P05824	1			1			1				3	1			1			1				B	RECN_ECOLI	
P05827	1							1		1	3	1							1		1	A	ILVY_ECOLI	
P05847	1			1						1	3	1			1						1	A	TTDA_ECOLI	
P05852	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	GCP_ECOLI	
P06136	1			1	1	1	1	1		1	7	1			1	1	1	1	1		1	B	FTSQ_ECOLI	
P06149	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F1	DLD_ECOLI	
P06282	1		1	1	1	1	1	1		1	8	1		1	1	1	1	1	1		1	B	CDH_ECOLI	
P06610	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	BTUE_ECOLI	
P06611	1			1		1	1	1		1	6	1			1		1	1	1		1	F1	BTUD_ECOLI	
P06612	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	TOP1_ECOLI	
P06616	1		1	1		1	1	1	1	1	8	1		1	1		1	1	1	1	1	F1	ERA_ECOLI	
P06709	1			1			1	1		1	5	1			1			1	1		1	B	BIRA_ECOLI	
P06710	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	DPO3X_ECOLI	
P06715	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	GSHR_ECOLI	
P06720	1	1	1	1		1		1		1	7	1	1	1	1		1		1		1	A	AGAL_ECOLI	
P06721	1			1				1		1	4	1			1				1		1	A	METC_ECOLI	
P06722	1			1						1	3	1			1						1	A	MUTH_ECOLI	
P06846	1			1				1		1	4	1			1				1		1	A	EBGR_ECOLI	
P06864	1										1	1										A	BGA2_ECOLI	
P06961	1		1	1			1	1		1	6	1		1	1			1	1		1	A	CCA_ECOLI	
P06968	1		1				1	1		1	5	1		1				1	1		1	A	DUT_ECOLI	
P06983	1		1	1			1	1	1	1	7	1		1	1			1	1	1	1	A	HEM3_ECOLI	
P06986	1		1				1	1		1	5	1		1				1	1		1	A	HIS8_ECOLI	
P06987	1		1		1		1	1	1	1	7	1		1		1		1	1	1	1	A	HIS7_ECOLI	
P06988	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	HISX_ECOLI	
P06992	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	RSMA_ECOLI	
P06999	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	K6PF2_ECOLI	
P07000	1			1				1		1	4	1			1				1		1	F1	PLDB_ECOLI	
P07001	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	B	PNTA_ECOLI	
P07003	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	F1	POXB_ECOLI	
P07004	1	1	1			1	1	1		1	7	1	1	1			1	1	1		1	A	PROA_ECOLI	
P07014	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F1	DHSB_ECOLI	
P07021	1						1				2	1						1				I	YFIB_ECOLI	
P07023	1			1		1		1		1	5	1			1		1		1		1	A	TYRA_ECOLI	
P07102	1			1				1			3	1			1				1			G	PPA_ECOLI	
P07109	1		1	1	1			1		1	6	1		1	1	1			1		1	F1	HISP_ECOLI	
P07118	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	SYV_ECOLI	
P07330	1					1		1			3	1					1		1			A	CHEB_ECOLI	
P07364	1										1	1										A	CHER_ECOLI	
P07604	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	TYRR_ECOLI	
P07623	1								1	1	3	1								1	1	A	META_ECOLI	
P07639	1	1	1			1	1	1		1	7	1	1	1			1	1	1		1	A	AROB_ECOLI	
P07648	1	1		1		1		1		1	6	1	1		1		1		1		1	A	EX5C_ECOLI	
P07649	1			1				1		1	4	1			1				1		1	A	TRUA_ECOLI	
P07650	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	B	TYPH_ECOLI	
P07654	1			1		1				1	4	1			1		1				1	B	PSTA_ECOLI	
P07762	1	1		1		1	1	1		1	7	1	1		1		1	1	1		1	A	GLGB_ECOLI	
P07813	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	SYL_ECOLI	
P07821	1			1			1	1		1	5	1			1			1	1		1	F1	FHUC_ECOLI	
P07822	1							1		1	3	1							1		1	G	FHUD_ECOLI	
P07862	1		1	1		1	1	1		1	7	1		1	2		1	1	1		1	A	DDLB_ECOLI	
P07913	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	TDH_ECOLI	
P08142	1		1	1			1	1		1	6	1		1	1			1	1		1	A	ILVB_ECOLI	
P08178	1					1	1	1		1	5	1					1	1	1		1	A	PUR5_ECOLI	
P08179	1		1	1				1		1	5	1		1	1				1		1	A	PUR3_ECOLI	
P08192	1		1			1	1	1		1	6	1		1			1	1	1		1	A	FOLC_ECOLI	
P08200	1	1	1		1	1	1	1		1	8	1	1	1		1	1	1	1		1	B	IDH_ECOLI	
P08201	1					1	1	1		1	5	1					1	1	1		1	A	NIRB_ECOLI	
P08244	1			1		1	1	1		1	6	1			1		1	1	1		1	A	PYRF_ECOLI	
P08312	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	A	SYFA_ECOLI	
P08331	1		1	1			1	1		1	6	1		1	1			1	1		1	G	CPDB_ECOLI	
P08337	1			1				1			3	1			1				1			A	MUTT_ECOLI	
P08368	1			1				1		1	4	1			1				1		1	A	CREB_ECOLI	
P08370	1										1	1										G	YGDB_ECOLI	
P08371	1	1		1				1			4	1	1		1				1			B	PPDB_ECOLI	
P08373	1		1	1			1	1			5	1		1	1			1	1			A	MURB_ECOLI	
P08394	1			1		1	1	1		1	6	1			1		1	1	1		1	A	EX5B_ECOLI	
P08395	1	1		1	1	1	1	1	1	1	9	1	1		1	1	1	1	1	1	1	B	SPPA_ECOLI	
P08400	1			1	1	1	1	1		1	7	1			2	1	1	1	1		1	B	PHOR_ECOLI	
P08401	1			1		1	1	1		1	6	1			1		1	1	1		1	B	CREC_ECOLI	
P08506	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F2	DACC_ECOLI	
P08550	1							1			2	1							1			B	CVPA_ECOLI	
P08839	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	F1	PT1_ECOLI	
P08997	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	MASY_ECOLI	
P09029	1					1		1			3	1					1		1			A	PURK_ECOLI	
P09030	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	EX3_ECOLI	
P09053	1	1	1			1	1	1		1	7	1	1	1			1	1	1		1	A	AVTA_ECOLI	
P09126	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	HEM4_ECOLI	
P09152	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	F1	NARG_ECOLI	
P09155	1						1	1			3	1						1	1			A	RND_ECOLI	
P09158	1		1			1	1	1	1	1	7	1		1			1	1	1	1	1	A	SPEE_ECOLI	
P09163	1									1	2	1									1	A	YJAB_ECOLI	
P09348	1			1			1				3	1			1			1				B	MOTA_ECOLI	
P09377	1			1						1	3	1			1						1	A	RHAS_ECOLI	
P09391	1				1	1	1			1	5	1				1	1	1			1	B	GLPG_ECOLI	
P09394	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	G	GLPQ_ECOLI	
P09424	1	1	1	1		1	1	1			7	1	1	1	1		1	1	1			A	MTLD_ECOLI	
P09546	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	F1	PUTA_ECOLI	
P09549	1		1			1	1	1		1	6	1		1			1	1	1		1	B	DEDD_ECOLI	
P09832	1	1	1	1				1		1	6	1	1	1	1				1		1	A	GLTD_ECOLI	
P09836	1					1					2	1					1					B	UHPC_ECOLI	
P09980	1			1		1	1	1	1	1	7	1			1		1	1	1	1	1	A	REP_ECOLI	
P09996	1						1	1			3	1						1	1			A	YIDB_ECOLI	
P0A6A0	1			1		1	1	1		1	6	1			1		1	1	1		1	B	UBIB_ECOLI	
P0A6A3	1	1	1			1	1	1	1	1	8	1	1	1			1	1	1	1	1	A	ACKA_ECOLI	
P0A6B4	1	1		1			1	1		1	6	1	1		1			1	1		1	A	ALR1_ECOLI	
P0A6B7	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	ISCS_ECOLI	
P0A6C5	1								1	1	3	1								1	1	A	ARGA_ECOLI	
P0A6C8	1		1			1		1		1	5	1		1			1		1		1	A	ARGB_ECOLI	
P0A6D0	1				1		1	1		1	5	1				1		1	1		1	A	ARGR_ECOLI	
P0A6D5	1										1	1										A	YDIB_ECOLI	
P0A6D7	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	AROK_ECOLI	
P0A6E1	1							1		1	3	1							1		1	A	AROL_ECOLI	
P0A6E4	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	ASSY_ECOLI	
P0A6E9	1					1		1			3	1					1		1			B	BIOD2_ECOLI	
P0A6F1	1		1	1		1	1	1	1	1	8	1		1	2		1	1	1	1	1	A	CARA_ECOLI	
P0A6F3	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	GLPK_ECOLI	
P0A6F5	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	CH60_ECOLI	
P0A6G3	1	1		1				1			4	1	1		1				1			A	YGAD_ECOLI	
P0A6G5	1			1							2	1			2							A	CITX_ECOLI	
P0A6G7	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	CLPP_ECOLI	
P0A6H1	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	A	CLPX_ECOLI	
P0A6H5	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	A	HSLU_ECOLI	
P0A6H8	1	1			1	1	1	1	1	1	8	1	1			1	1	1	1	1	1	B	CLS_ECOLI	
P0A6I3	1		1				1	1			4	1		1				1	1			A	COAA_ECOLI	
P0A6I9	1		1					1		1	4	1		1					1		1	A	COAE_ECOLI	
P0A6J1	1									1	2	1									1	B	CYSC_ECOLI	
P0A6J3	1	1				1	1	1		1	6	1	1				1	1	1		1	B	CYSZ_ECOLI	
P0A6J5	1		1	1		1	1	1	1	1	8	1		1	1		1	1	1	1	1	F1	DADA_ECOLI	
P0A6J8	1		1			1	1	1		1	6	1		1			1	1	1		1	A	DDLA_ECOLI	
P0A6K1	1		1	1			1	1		1	6	1		1	1			1	1		1	A	DAPF_ECOLI	
P0A6K3	1		1	1			1	1		1	6	1		1	1			1	1		1	A	DEF_ECOLI	
P0A6K6	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	A	DEOB_ECOLI	
P0A6L2	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	DAPA_ECOLI	
P0A6L4	1	1	1	1		1	1	1			7	1	1	1	1		1	1	1			A	NANA_ECOLI	
P0A6L9	1		1	1			1	1		1	6	1		1	1			1	1		1	A	HSCB_ECOLI	
P0A6M4	1		1	1				1		1	5	1		1	1				1		1	A	DTD_ECOLI	
P0A6M8	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	EFG_ECOLI	
P0A6N4	1		1			1	1	1		1	6	1		1			1	1	1		1	A	EFP_ECOLI	
P0A6P5	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	ENGA_ECOLI	
P0A6P7	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	ENGB_ECOLI	
P0A6P9	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	A	ENO_ECOLI	
P0A6Q3	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	FABA_ECOLI	
P0A6Q6	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	F1	FABZ_ECOLI	
P0A6R0	1	1	1			1	1	1	1	1	8	1	1	1			1	1	1	1	1	A	FABH_ECOLI	
P0A6R3	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	FIS_ECOLI	
P0A6S0	1						1		1		3	1						1		1		I	FLGH_ECOLI	
P0A6S7	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	GPDA_ECOLI	
P0A6T1	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	G6PI_ECOLI	
P0A6T9	1		1				1	1	1	1	6	1		1				1	1	1	1	A	GCSH_ECOLI	
P0A6U8	1	1	1			1	1	1	1	1	8	1	1	1			1	1	1	1	1	A	GLGA_ECOLI	
P0A6V1	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	GLGC_ECOLI	
P0A6V5	1							1			2	1							1			A	GLPE_ECOLI	
P0A6V8	1		1				1	1		1	5	1		1				1	1		1	A	GLK_ECOLI	
P0A6W5	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	GREA_ECOLI	
P0A6W9	1	1	1			1	1	1		1	7	1	1	1			1	1	1		1	A	GSH1_ECOLI	
P0A6X1	1			1	1	1		1		1	6	1			1	1	1		1		1	A	HEM1_ECOLI	
P0A6X3	1			1			1	1	1	1	6	1			1			1	1	1	1	F1	HFQ_ECOLI	
P0A6Y8	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F1	DNAK_ECOLI	
P0A6Z1	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	HSCA_ECOLI	
P0A6Z3	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	F1	HTPG_ECOLI	
P0A700	1										1	1										A	HYPA_ECOLI	
P0A703	1									1	2	1									1	A	HYBF_ECOLI	
P0A715	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	KDSA_ECOLI	
P0A717	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	A	KPRS_ECOLI	
P0A720	1		1	1			1	1		1	6	1		1	1			1	1		1	A	KTHY_ECOLI	
P0A722	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	LPXA_ECOLI	
P0A725	1		1			1	1	1	1	1	7	1		1			1	1	1	1	1	A	LPXC_ECOLI	
P0A729	1		1	1		1	1	1			6	1		1	1		1	1	1			A	YCEF_ECOLI	
P0A731	1	1		1			1	1		1	6	1	1		1			1	1		1	A	MGSA_ECOLI	
P0A734	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	F1	MINE_ECOLI	
P0A738	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	MOAC_ECOLI	
P0A744	1			1				1		1	4	1			1				1		1	A	MSRA_ECOLI	
P0A746	1		1				1	1		1	5	1		1				1	1		1	A	MSRB_ECOLI	
P0A752	1							1			2	1							1			A	NADD_ECOLI	
P0A754	1		1	1				1			4	1		1	1				1			F1	KEFF_ECOLI	
P0A756	1						1	1		1	4	1						1	1		1	F1	KEFG_ECOLI	
P0A759	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	B	NAGB_ECOLI	
P0A763	1		1	1		1	1	1	1	1	8	1		1	1		1	1	1	1	1	A	NDK_ECOLI	
P0A766	1									1	2	1									1	B	RNFA_ECOLI	
P0A769	1					1					2	1					1					B	MNTH_ECOLI	
P0A772	1			1						1	3	1			1						1	A	NRDI_ECOLI	
P0A776	1					1		1		1	4	1					1		1		1	A	RPPH_ECOLI	
P0A784	1		1	1			1	1		1	6	1		1	1			1	1		1	A	ORN_ECOLI	
P0A786	1	1		1	1	1	1	1		1	8	1	1		1	1	1	1	1		1	A	PYRB_ECOLI	
P0A790	1				1		1			1	4	1				1		1			1	A	PAND_ECOLI	
P0A794	1		1	1			1	1		1	6	1		1	1			1	1		1	A	PDXJ_ECOLI	
P0A796	1	1	1	1	1	1	1	1		1	9	1	1	1	1	1	1	1	1		1	A	K6PF1_ECOLI	
P0A799	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	PGK_ECOLI	
P0A7A5	1		1				1	1		1	5	1		1				1	1		1	A	PIMT_ECOLI	
P0A7A9	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	A	IPYR_ECOLI	
P0A7B1	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	F1	PPK_ECOLI	
P0A7B3	1							1		1	3	1							1		1	F1	PPNK_ECOLI	
P0A7B5	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	A	PROB_ECOLI	
P0A7B8	1		1			1	1	1		1	6	1		1			1	1	1		1	A	HSLV_ECOLI	
P0A7C2	1	1	1				1	1		1	6	1	1	1				1	1		1	A	LEXA_ECOLI	
P0A7C6	1	1	1	1			1	1			6	1	1	1	1			1	1			A	PEPE_ECOLI	
P0A7D4	1	1	1		1	1	1	1	1	1	9	1	1	1		1	1	1	1	1	1	A	PURA_ECOLI	
P0A7D7	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	A	PUR7_ECOLI	
P0A7E1	1		1	1	1	1	1	1	1	1	9	1		1	1	1	1	1	1	1	1	F1	PYRD_ECOLI	
P0A7E3	1		1					1		1	4	1		1					1		1	A	PYRE_ECOLI	
P0A7E5	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	B	PYRG_ECOLI	
P0A7E9	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	PYRH_ECOLI	
P0A7F3	1			1	1	1	1	1		1	7	1			1	1	1	1	1		1	A	PYRI_ECOLI	
P0A7F6	1		1	1			1	1		1	6	1		1	1			1	1		1	A	SPED_ECOLI	
P0A7F9	1		1	1	1		1	1		1	7	1		1	1	1		1	1		1	A	QUEA_ECOLI	
P0A7G2	1	1	1	1			1	1		1	7	1	1	1	1			1	1		1	A	RBFA_ECOLI	
P0A7H0	1			1				1	1	1	5	1			1				1	1	1	A	RECF_ECOLI	
P0A7H3	1							1			2	1							1			B	RECO_ECOLI	
P0A7H6	1			1			1	1			4	1			1			1	1			A	RECR_ECOLI	
P0A7I0	1		1				1	1		1	5	1		1				1	1		1	A	RF1_ECOLI	
P0A7I4	1	1	1	1		1	1	1		1	8	1	1	1	1		1	1	1		1	A	RF3_ECOLI	
P0A7I7	1		1	1			1	1		1	6	1		1	1			1	1		1	A	RIBA_ECOLI	
P0A7J0	1		1	1		1	1	1		1	7	1		1	1		1	1	1		1	F1	RIBB_ECOLI	
P0A7J3	1	1	1	1		1	1	1	1	1	9	1	1	1	1		1	1	1	1	1	A	RL10_ECOLI	
