Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P32687	0	1	1	1	0	0	0	3	I	YJBF_ECOLI			0	0	0			
P32689	0	1	1	1	0	0	0	3	E	YJBH_ECOLI			0	0	0			
P32700	0	1	1	1	0	0	0	3	B	YJCB_ECOLI			2	0	0			
P32712	0	1	1	1	1	0	0	4	I	NRFG_ECOLI			0	0	0	0		
P32714	0	1	1	1	0	0	0	3	I	MDTP_ECOLI			0	0	0			
P32715	0	1	1	1	0	0	0	3	B	MDTO_ECOLI			2	2	2			
P33024	0	1	1	1	0	0	0	3	B	PSUT_ECOLI			0	0	0			
P33219	0	1	1	1	0	0	0	3	X	YEBF_ECOLI			2	2	2			
P33235	0	1	1	1	0	0	0	3	F4	FLGK_ECOLI			2	2	2			
P33554	0	1	1	1	1	0	0	4	G	PPDA_ECOLI			0	0	0	0		
P33590	0	1	1	1	0	0	0	3	G	NIKA_ECOLI			2	2	2			
P33591	0	1	1	1	1	0	0	4	B	NIKB_ECOLI			0	0	2	0		
P33593	0	1	1	1	1	1	0	5	F1	NIKD_ECOLI			1	0	2	0		
P33594	0	1	1	1	1	1	0	5	F1	NIKE_ECOLI			2	0	2	0		
P33934	0	1	1	1	1	0	0	4	B	NAPH_ECOLI			2	2	2	0		
P34749	0	1	1	1	0	0	0	3	H	HOFQ_ECOLI			0	0	0			
P36647	0	1	1	1	1	0	0	4	B	PPDD_ECOLI			0	0	0	0		
P36837	0	1	1	1	0	0	0	3	B	DTPB_ECOLI			2	2	2			
P36881	0	1	1	1	0	0	0	3	F1	YADI_ECOLI			2	2	2			
P37146	0	1	1	1	1	0	0	4	B	RIR4_ECOLI			2	2		0		
P37180	0	1	1	1	1	0	0	4	B	HYBB_ECOLI			2	2	2	0		
P37387	0	1	1	1	1	0	0	4	G	XYLF_ECOLI			0	2	0	0		
P37619	0	1	1	1	0	0	0	3	B	YHHQ_ECOLI			0	1	2			
P37631	0	1	1	1	0	0	0	3	B	YHIN_ECOLI			2	0	0			
P37660	0	1	1	1	0	0	0	3	B	YHJV_ECOLI			2	2	2			
P37661	0	1	1	1	0	0	0	3	B	EPTB_ECOLI			2	2	2			
