Accession	Entry name	Gene Name	ABS_CALL	ABS_CALL	Info
P0A6S0	FLGH_ECOLI	flgH	0	A	Not Expressed at LB
P29744	FLGL_ECOLI	flgL	0	A	Not Expressed at LB
P0AEM4	FLGM_ECOLI	flgM	0	A	Not Expressed at LB
P43533	FLGN_ECOLI	flgN	0	A	Not Expressed at LB
P76298	FLHA_ECOLI	flhA	0	A	Not Expressed at LB
P0A8S9	FLHD_ECOLI	flhD	0	A	Not Expressed at LB
P0AEM6	FLIA_ECOLI	fliA	0	A	Not Expressed at LB
P04949	FLIC_ECOLI	fliC	0	A	Not Expressed at LB
P0A8T5	FLIE_ECOLI	fliE	0	A	Not Expressed at LB
P25798	FLIF_ECOLI	fliF	0	A	Not Expressed at LB
P0ABZ1	FLIG_ECOLI	fliG	0	A	Not Expressed at LB
P52613	FLIJ_ECOLI	fliJ	0	A	Not Expressed at LB
P0ABX8	FLIL_ECOLI	fliL	0	A	Not Expressed at LB
P06974	FLIM_ECOLI	fliM	0	A	Not Expressed at LB
P22586	FLIO_ECOLI	fliO	0	A	Not Expressed at LB
P0AC05	FLIP_ECOLI	fliP	0	A	Not Expressed at LB
P0AC07	FLIQ_ECOLI	fliQ	0	A	Not Expressed at LB
P33135	FLIR_ECOLI	fliR	0	A	Not Expressed at LB
P26608	FLIS_ECOLI	fliS	0	A	Not Expressed at LB
P0ABY2	FLIT_ECOLI	fliT	0	A	Not Expressed at LB
P52627	FLIZ_ECOLI	fliZ	0	A	Not Expressed at LB
P0AC13	DHPS_ECOLI	folP	0	A	Not Expressed at LB
P0A8Q0	FRDC_ECOLI	frdC	0	A	Not Expressed at LB
P32155	PTFA_ECOLI	frvA	0	A	Not Expressed at LB
P32152	FRVR_ECOLI	frvR	0	A	Not Expressed at LB
P32153	FRVX_ECOLI	frvX	0	A	Not Expressed at LB
P32676	PTFB3_ECOLI	frwD	0	A	Not Expressed at LB
P46889	FTSK_ECOLI	ftsK	0	A	Not Expressed at LB
P0AEN4	FTSL_ECOLI	ftsL	0	A	Not Expressed at LB
P0AB87	FUCA_ECOLI	fucA	0	A	Not Expressed at LB
P11553	FUCK_ECOLI	fucK	0	A	Not Expressed at LB
P0A9S1	FUCO_ECOLI	fucO	0	A	Not Expressed at LB
P0ACK8	FUCR_ECOLI	fucR	0	A	Not Expressed at LB
P0AEN8	FUCM_ECOLI	fucU	0	A	Not Expressed at LB
P05042	FUMC_ECOLI	fumC	0	A	Not Expressed at LB
P25527	GABP_ECOLI	gabP	0	A	Not Expressed at LB
P69910	DCEB_ECOLI	gadB	0	A	Not Expressed at LB
P0A6T3	GAL1_ECOLI	galK	0	A	Not Expressed at LB
P0A9C3	GALM_ECOLI	galM	0	A	Not Expressed at LB
P0AEP1	GALP_ECOLI	galP	0	A	Not Expressed at LB
P03024	GALR_ECOLI	galR	0	A	Not Expressed at LB
P33898	G3P3_ECOLI	gapC	0	A	Not Expressed at LB
P36930	GATR_ECOLI	gatR	0	A	Not Expressed at LB
P0AEP7	GCL_ECOLI	gcl	0	A	Not Expressed at LB
P0A9F6	GCVA_ECOLI	gcvA	0	A	Not Expressed at LB
P33236	MOKC_ECOLI	gefL	0	A	Not Expressed at LB
P0A6U5	RSMG_ECOLI	gidB	0	A	Not Expressed at LB
P30147	HYI_ECOLI	gip	0	A	Not Expressed at LB
P0ACL5	GLCC_ECOLI	glcC	0	A	Not Expressed at LB
P0AEP9	GLCD_ECOLI	glcD	0	A	Not Expressed at LB
P0AEQ1	GLCG_ECOLI	glcG	0	A	Not Expressed at LB
P26649	GLGS_ECOLI	glgS	0	A	Not Expressed at LB
P0A9Z1	GLNB_ECOLI	glnB	0	A	Not Expressed at LB
P0AC55	GLNK_ECOLI	glnK	0	A	Not Expressed at LB
P0A6V5	GLPE_ECOLI	glpE	0	A	Not Expressed at LB
P09391	GLPG_ECOLI	glpG	0	A	Not Expressed at LB
P09831	GLTB_ECOLI	gltB	0	A	Not Expressed at LB
P09832	GLTD_ECOLI	gltD	0	A	Not Expressed at LB
P28721	GLTF_ECOLI	gltF	0	A	Not Expressed at LB
P69789	PTXB_ECOLI	glvB	0	A	Not Expressed at LB
P69789	PTXB_ECOLI	glvC	0	A	Not Expressed at LB
P31450	GLVG_ECOLI	glvG	0	A	Not Expressed at LB
P46859	GNTK_ECOLI	gntK	0	A	Not Expressed at LB
P0AC96	GNTU_ECOLI	gntU	0	A	Not Expressed at LB
P39208	IDNK_ECOLI	gntV	0	A	Not Expressed at LB
P68688	GLRX1_ECOLI	grxA	0	A	Not Expressed at LB
Q47706	UIDC_ECOLI	gusC	0	A	Not Expressed at LB
P15081	GUTM_ECOLI	gutM	0	A	Not Expressed at LB
P0AES9	HDEA_ECOLI	hdeA	0	A	Not Expressed at LB
P0AET2	HDEB_ECOLI	hdeB	0	A	Not Expressed at LB
P0AET8	HDHA_ECOLI	hdhA	0	A	Not Expressed at LB
P23871	HEMH_ECOLI	hemH	0	A	Not Expressed at LB
P0ACE3	HHA_ECOLI	hha	0	A	Not Expressed at LB
P0AEE3	DEGS_ECOLI	hhoB	0	A	Not Expressed at LB
P0AEV1	HNR_ECOLI	hnr	0	A	Not Expressed at LB
P36645	HOFB_ECOLI	hofB	0	A	Not Expressed at LB
P25960	LEP4_ECOLI	hofD	0	A	Not Expressed at LB
P41441	GSPF_ECOLI	hofF	0	A	Not Expressed at LB
P41442	GSPG_ECOLI	hofG	0	A	Not Expressed at LB
P41443	GSPH_ECOLI	hofH	0	A	Not Expressed at LB
P28631	HOLB_ECOLI	holB	0	A	Not Expressed at LB
P0ABS8	HOLE_ECOLI	holE	0	A	Not Expressed at LB
P43329	HRPA_ECOLI	hrpA	0	A	Not Expressed at LB
P52644	HSLJ_ECOLI	hslJ	0	A	Not Expressed at LB
P0C058	IBPB_ECOLI	hslS	0	A	Not Expressed at LB
P27375	HTRC_ECOLI	htrC	0	A	Not Expressed at LB
P33129	HTRE_ECOLI	htrE	0	A	Not Expressed at LB
P0ACD8	MBHL_ECOLI	hyaB	0	A	Not Expressed at LB
P0AAM1	CYBH_ECOLI	hyaC	0	A	Not Expressed at LB
P19930	HYAD_ECOLI	hyaD	0	A	Not Expressed at LB
P19931	HYAE_ECOLI	hyaE	0	A	Not Expressed at LB
P37180	HYBB_ECOLI	hybB	0	A	Not Expressed at LB
P37182	HYBD_ECOLI	hybD	0	A	Not Expressed at LB
P0AAN1	HYBE_ECOLI	hybE	0	A	Not Expressed at LB
