ID REF	VALUE	ABS_CALL
IG 22 22349 22390 fwd at	1035.2	2
ileS b0026 at	500.489	2
lspA b0027 at	309.792	2
IG 23 25702 25825 fwd at	460.233	2
slpA b0028 at	330.207	2
lytB b0029 at	202.909	2
IG 24 27228 27292 fwd at	302.218	0
yaaF b0030 at	490.829	2
IG 25 28208 28373 fwd at	170.226	2
dapB b0031 at	275.28	2
IG 26 29196 29650 fwd at	373.732	2
carA b0032 at	816.141	2
carB b0033 at	235.931	2
IG 27 34039 34194 fwd at	-623.281	0
caiF b0034 at	180.187	2
IG 28 34696 42366 fwd at	686.915	0
caiE b0035 at	351.949	2
caiD b0036 at	275.95	0
caiC b0037 at	155.954	0
IG 29 37840 37897 rev at	152.907	
caiB b0038 at	214.857	2
IG 30 39116 39243 rev at	447.582	2
caiA b0039 at	996.616	0
caiT b0040 at	127.063	0
IG 31 41932 50379 rev at	619.674	0
fixA b0041 at	209.281	0
fixB b0042 at	220.192	2
IG 32 44130 44179 fwd at	546.543	0
fixC b0043 at	156.651	0
fixX b0044 at	100.506	0
IG 33 45751 45806 fwd at	485.447	0
yaaU b0045 at	292.374	0
IG 34 47139 47245 fwd at	269.645	0
yabF b0046 at	96.751	2
kefC b0047 at	234.648	2
IG 35 49632 49822 fwd at	931.992	
folA b0048 at	251.173	
IG 36 50303 57363 fwd at	722.823	2
apaH b0049 at	172.353	2
apaG b0050 at	329.451	2
ksgA b0051 at	331.663	2
pdxA b0052 at	498.426	2
surA b0053 at	762.579	2
IG 37 54703 54754 rev at	355.352	2
imp b0054 at	379.179	2
IG 38 57110 59686 rev at	363.005	2
yabH b0055 at	279.75	2
IG 39 58180 58473 fwd at	108.775	2
yabP b0056 at	179.167	2
yabQ b0057 at	392.032	2
IG 40 59280 70386 fwd at	672.561	2
yabO b0058 at	182.289	2
hepA b0059 at	255.46	2
IG 41 63265 63428 rev at	137.619	2
polB b0060 at	745.198	
IG 42 65781 65854 rev at	587.693	0
araD b0061 at	261.933	0
IG 43 66551 66834 rev at	855.213	
araA b0062 at	77.493	0
araB b0063 at	270.028	
IG 44 70049 72228 rev at	126.155	2
araC b0064 at	217.363	2
IG 45 71266 71350 fwd at	230.799	2
yabI b0065 at	162.118	2
IG 46 72116 77620 fwd at	809.888	2
yabJ b0066 at	111.418	
yabK b0067 at	609.308	2
tbpA b0068 at	124.782	0
IG 47 75481 75643 rev at	135.875	
yabN b0069 at	129.222	2
IG 48 77300 78847 rev at	441.137	0
yabM b0070 at	697.898	
IG 49 78800 84190 fwd at	193.334	0
leuD b0071 at	975.371	2
leuC b0072 at	772.989	2
leuB b0073 at	438.972	0
leuA b0074 at	546.861	
IG 50 83530 83621 rev at	218.054	0
leuL b0075 at	605.994	
IG 51 83709 111563 rev at	620.137	2
leuO b0076 at	724.575	0
IG 52 85313 85539 fwd at	635.367	0
ilvI b0077 at	131.186	0
ilvH b0078 at	246.002	0
fruL b0079 at	456.692	0
IG 53 87947 88027 fwd at	159.788	2
fruR b0080 at	566.077	2
IG 54 89033 89633 fwd at	131.306	2
yabB b0081 at	852.597	2
yabC b0082 at	363.044	2
ftsL b0083 at	525.451	2
ftsI b0084 at	506.942	2
murE b0085 at	466.073	2
murF b0086 at	457.974	2
mraY b0087 at	308.951	2
murD b0088 at	347.429	2
ftsW b0089 at	256.022	2
murG b0090 at	339.032	2
IG 55 100712 100764 fwd at	111.615	2
murC b0091 at	349.096	2
ddlB b0092 at	643.874	2
ftsQ b0093 at	614.274	2
ftsA b0094 at	1714.72	2
IG 56 105245 105304 fwd at	2037.69	2
ftsZ b0095 at	938.83	2
IG 57 106457 106556 fwd at	1270.97	2
lpxC b0096 at	886.684	2
IG 58 107475 107629 fwd at	326.314	2
yacA b0097 at	426.466	2
IG 59 108218 108278 fwd at	249.35	2
secA b0098 at	263.796	2
IG 60 110985 111043 fwd f at	337.779	0
mutT b0099 at	186.651	2
