ID REF	VALUE	ABS_CALL
ycbK b0926 at	588.875	2
ycbL b0927 at	295.776	2
IG 622 983521 989844 fwd at	572.507	2
aspC b0928 at	736.197	2
IG 623 984933 985116 rev at	614.046	2
ompF b0929 at	3947.37	2
IG 624 986206 986807 rev at	108.691	2
asnS b0930 at	206.964	2
IG 625 988209 988376 rev at	149.555	2
pncB b0931 at	199.19	2
IG 626 989580 992499 rev at	107.432	
pepN b0932 at	484.599	2
IG 627 992458 997081 fwd at	130.343	0
ycbE b0933 at	106.448	0
ycbM b0934 at	745.755	0
ycbN b0935 at	364.014	0
ycbO b0936 at	199.565	0
ycbP b0937 at	981.571	0
IG 628 996736 1005713 rev at	126.232	0
ycbQ b0938 at	706.819	
IG 629 997631 997712 fwd at	-0.531765	0
ycbR b0939 at	237.987	0
ycbS b0940 at	388.411	0
b0941 at	492.557	0
b0942 at	206.197	0
b0943 at	849.163	0
ycbF b0944 at	928.516	2
IG 630 1003881 1003990 fwd at	201.911	
pyrD b0945 at	155.087	2
IG 631 1005002 1005138 fwd at	955.411	
ycbW b0946 at	175.126	2
b0947 at	162.861	2
IG 632 1005718 1007066 fwd at	914.558	2
IG 633 1006824 1015174 rev at	318.186	2
ycbY b0948 at	229.249	2
uup b0949 at	245.683	
IG 634 1011095 1011223 fwd at	177.615	2
pqiA b0950 at	150.248	
pqiB b0951 at	254.119	2
ymbA b0952 at	206.39	2
IG 635 1014683 1014937 fwd at	961.829	2
rmf b0953 at	468.571	2
IG 636 1015106 1017707 fwd at	412.798	2
fabA b0954 at	390.255	2
IG 637 1015694 1015761 rev at	387.168	2
b0955 at	252.74	2
IG 638 1017523 1018235 rev at	79.19	
ycbG b0956 at	560.665	2
IG 639 1018161 1020360 fwd at	724.152	2
ompA b0957 at	4005.75	2
IG 640 1019277 1019632 rev at	2840.24	2
sulA b0958 at	231.796	2
IG 641 1020143 1020952 rev at	270.078	0
b0959 at	194.119	
b0960 at	401.226	2
IG 642 1020991 1023693 fwd at	359.803	0
yccF b0961 at	109.785	
IG 643 1023572 1025779 rev at	306.901	
helD b0962 at	402.502	2
IG 644 1025749 1027087 fwd at	764.512	0
mgsA b0963 at	1336.89	2
IG 645 1026248 1026333 rev at	245.162	0
b0964 at	124.255	2
IG 646 1026997 1027626 rev at	462.209	2
b0965 at	159.966	2
IG 647 1027583 1029286 fwd at	632.368	2
yccV b0966 at	443.318	
b0967 at	360.867	2
IG 648 1029106 1029561 rev at	836.763	2
b0968 at	187.311	0
yccK b0969 at	140.044	2
IG 649 1029566 1031361 fwd at	203.733	
IG 650 1029949 1029981 rev at	92.343	2
yccA b0970 at	722.129	2
IG 651 1030642 1030847 rev at	471.124	2
serT b0971 at	405.961	2
IG 652 1030936 1041252 rev at	46.172	2
hyaA b0972 at	124.772	0
hyaB b0973 at	140.068	
hyaC b0974 at	411.935	2
hyaD b0975 at	214.952	0
hyaE b0976 at	213.307	0
hyaF b0977 at	108.41	0
IG 653 1036830 1036962 fwd at	125.162	0
appC b0978 at	384.696	2
appB b0979 at	314.547	0
IG 654 1039656 1039839 fwd at	717.887	
appA b0980 at	773.681	0
IG 655 1041139 1049249 fwd f at	517.302	0
yccC b0981 at	862.537	2
yccY b0982 at	166.197	0
yccZ b0983 at	585.513	0
IG 656 1045027 1045071 rev at	138.144	0
ymcA b0984 at	1803.94	0
ymcB b0985 at	38.585	0
ymcC b0986 at	615.733	
IG 657 1048556 1048661 rev at	415.424	0
ymcD b0987 at	175.293	2
IG 658 1048986 1050185 rev f at	881.066	2
IG 659 1049754 1050683 fwd at	730.383	2
cspH b0989 at	159.276	2
IG 660 1050399 1051511 rev at	154.205	2
cspG b0990 at	107.823	2
IG 661 1050897 1051069 fwd at	205.425	2
sfa b0991 at	102.874	2
IG 662 1051301 1055483 fwd at	198.89	2
yccM b0992 at	890.445	2
IG 663 1052586 1052656 rev at	251.006	2
torS b0993 at	539.647	
IG 664 1055372 1056484 rev at	283.579	
torT b0994 at	351.89	0
torR b0995 at	133.05	2
IG 665 1056513 1057306 fwd at	376.795	0
IG 666 1057178 1061772 rev at	115.202	
torC b0996 at	187.4	0
torA b0997 at	196.85	2
torD b0998 at	391.924	0
IG 667 1061622 1063258 fwd at	320.519	0
yccD b0999 at	306.457	0
cbpA b1000 at	406.385	2
IG 668 1062999 1066086 rev at	238.428	0
yccE b1001 at	57.393	
IG 669 1064516 1064807 fwd at	298.994	0
agp b1002 at	990.028	2
IG 670 1066050 1067140 fwd at	372.094	0
yccJ b1003 at	316.539	2
wrbA b1004 at	393.67	2
IG 671 1066932 1067733 rev at	625.394	0
ycdF b1005 at	36.43	0
IG 672 1067372 1073464 fwd at	-452.417	0
ycdG b1006 at	284.267	0
b1007 at	183.295	0
IG 673 1069542 1069587 rev at	535.594	
b1008 at	743.593	0
b1009 at	263.178	0
b1010 at	317.806	0
b1011 at	227.063	0
b1012 at	535.014	0
IG 674 1073235 1074142 rev at	292.333	0
ycdC b1013 at	111.219	0
IG 675 1074104 1078527 fwd at	256.504	
putA b1014 at	304.352	2
IG 676 1078106 1085328 rev f at	361.155	0
putP b1015 at	425.964	2
IG 677 1080037 1080569 fwd at	258.805	0
b1016 at	278.725	
b1017 at	19.808	0
IG 678 1081409 1081465 fwd at	641.352	0
ycdO b1018 at	215.346	
ycdB b1019 at	168.538	0
IG 679 1083871 1084214 fwd f at	766.993	2
phoH b1020 at	214.057	0
IG 680 1085280 1092098 fwd at	319.583	0
ycdP b1021 at	397.441	0
ycdQ b1022 at	663.916	0
ycdR b1023 at	197.923	0
ycdS b1024 at	557.916	
IG 681 1091513 1093497 rev f at	115.385	2
ycdT b1025 at	119.843	
IG 682 1093458 1094745 fwd f at	212.768	2
tra5 3 b1026 s at	271.398	0
IG 683 1094670 1096787 rev f at	121.843	0
b1028 at	153.501	0
ycdU b1029 at	191.659	
IG 684 1096053 1096170 fwd at	443.332	0
ycdV b1031 s at	229.054	0
IG 685 1096604 1097069 fwd f at	637.665	
IG 686 1096876 1100073 rev at	117.104	2
ycdW b1033 at	377.556	2
IG 687 1098048 1098101 fwd at	133.531	2
ycdX b1034 at	320.07	2
ycdY b1035 at	307.877	2
IG 688 1099418 1099470 fwd at	118.38	2
ycdZ b1036 at	284.436	2
IG 689 1100011 1103173 fwd at	183.321	0
csgG b1037 at	457.586	0
csgF b1038 at	187.035	0
csgE b1039 at	134.583	0
csgD b1040 at	23.228	0
IG 690 1102420 1107006 rev at	13.683	2
csgB b1041 at	733.805	0
IG 691 1103630 1103669 fwd at	224.387	
csgA b1042 at	911.633	0
IG 692 1104126 1104183 fwd at	155.81	
csgC b1043 at	799.751	0
IG 693 1104517 1104636 fwd at	714.578	
b1044 at	905.405	2
IG 694 1104949 1105042 fwd at	244.481	2
b1045 at	194.949	
ymdC b1046 at	359.053	2
IG 695 1107000 1108557 fwd at	160.833	2
ymdD b1047 at	642.861	
IG 696 1108165 1113029 rev f at	292.611	2
mdoG b1048 at	534.804	2
mdoH b1049 at	281.213	2
IG 697 1112630 1112801 fwd at	353.08	2
yceK b1050 at	163.612	
IG 698 1113030 1116029 fwd at	533.175	0
msyB b1051 at	312.867	2
b1052 at	272.368	0
yceE b1053 at	169.672	2
IG 699 1114714 1114884 rev at	336.406	0
htrB b1054 at	496.434	2
IG 700 1115806 1117123 rev f at	846.028	
yceA b1055 at	563.367	2
IG 701 1117083 1124784 fwd at	492.666	2
yceI b1056 at	234.778	2
b1057 at	114.302	0
IG 702 1118270 1118529 rev at	915.371	0
yceO b1058 at	-152.307	0
solA b1059 at	131.959	0
IG 703 1119810 1119923 rev at	142.011	2
yceP b1060 at	275.757	2
IG 704 1120179 1120464 rev at	502.552	0
dinI b1061 at	284.906	2
IG 705 1120711 1120783 rev at	525.114	2
pyrC b1062 at	294.287	2
IG 706 1121831 1121935 rev at	370.359	2
yceB b1063 at	368.137	2
IG 707 1122497 1122629 rev at	138.295	2
grxB b1064 at	369.917	2
IG 708 1123278 1123340 rev at	945.418	2
yceL b1065 at	284.489	0
IG 709 1124580 1128636 rev at	706.946	
rimJ b1066 at	915.828	2
yceH b1067 at	739.937	2
mviM b1068 at	381.522	2
IG 710 1126953 1127061 fwd at	195.564	2
mviN b1069 at	132.397	2
IG 711 1128598 1130240 fwd at	150.146	
flgN b1070 at	358.236	2
flgM b1071 at	442.377	2
IG 712 1129352 1129426 rev at	1098.93	2
flgA b1072 at	364.028	2
IG 713 1130087 1140404 rev at	134.587	2
flgB b1073 at	932.216	2
flgC b1074 at	1387.6	2
flgD b1075 at	956.808	2
flgE b1076 at	777.811	2
flgF b1077 at	403.589	2
IG 714 1133781 1133951 fwd at	628.931	2
flgG b1078 at	721.224	2
IG 715 1134735 1134786 fwd at	116.059	
flgH b1079 at	135.859	2
flgI b1080 at	253.284	0
flgJ b1081 at	163.138	2
IG 716 1137536 1137600 fwd at	485.213	
flgK b1082 at	130.443	2
flgL b1083 at	155.763	
IG 717 1140210 1143670 fwd at	279.348	2
rne b1084 at	332.792	2
IG 718 1143591 1145233 rev at	638.922	2
b1085 at	103.337	2
IG 719 1144046 1144162 fwd at	718.666	
yceC b1086 at	107.674	
IG 720 1145123 1146016 fwd at	1202.04	2
yceF b1087 at	154.014	2
IG 721 1145858 1158584 rev at	179.61	2
yceD b1088 at	2541.23	2
rpmF b1089 at	2209.99	2
IG 722 1146764 1146873 fwd at	744.853	2
plsX b1090 at	723.85	2
IG 723 1147915 1147981 fwd at	735.833	2
fabH b1091 at	736.838	2
fabD b1092 at	1388.71	2
fabG b1093 at	2484.83	2
IG 724 1150628 1150837 fwd at	2541.79	2
acpP b1094 at	4205.04	2
IG 725 1151075 1151161 fwd at	1130.21	2
fabF b1095 at	320.341	0
IG 726 1152404 1152522 fwd at	440.597	2
pabC b1096 at	59.406	2
yceG b1097 at	475.378	2
tmk b1098 at	357.704	2
holB b1099 at	130.073	0
ycfH b1100 at	731.113	0
IG 727 1156798 1157091 fwd at	155.677	2
ptsG b1101 at	573.004	2
IG 728 1158526 1161107 fwd at	281.772	0
fhuE b1102 at	38.15	0
IG 729 1160775 1167422 rev at	122.575	2
ycfF b1103 at	358.617	2
ycfL b1104 at	433.394	2
ycfM b1105 at	378.142	2
ycfN b1106 at	868.802	2
ycfO b1107 at	533.991	2
ycfP b1108 at	1286.96	2
IG 730 1164909 1165307 fwd at	297.343	2
ndh b1109 at	240.399	2
IG 731 1166613 1166821 fwd at	309.327	2
ycfJ b1110 at	279.256	
IG 732 1167362 1168295 fwd at	143.874	
ycfQ b1111 at	306.381	2
IG 733 1168134 1168634 rev at	360.998	0
ycfR b1112 at	463.931	0
IG 734 1168554 1174649 fwd at	278.159	0
ycfS b1113 at	229.634	
IG 735 1169598 1169740 rev at	135.825	0
mfd b1114 at	160.869	2
IG 736 1173188 1173314 rev at	118.122	
ycfT b1115 at	41.407	0
IG 737 1174389 1179701 rev at	737.657	2
ycfU b1116 at	221.633	2
ycfV b1117 at	214.164	2
ycfW b1118 at	178.337	2
ycfX b1119 at	355.049	2
cobB b1120 at	276.791	2
IG 738 1179583 1185066 fwd at	797.729	
b1121 at	251.302	0
ymfA b1122 at	709.368	
potD b1123 at	797.202	2
potC b1124 at	321.568	2
potB b1125 at	179.443	2
potA b1126 at	370.816	2
IG 739 1184818 1186341 rev at	335.457	0
pepT b1127 at	430.826	2
IG 740 1186294 1194345 fwd at	418.589	2
ycfD b1128 at	424.747	2
IG 741 1187473 1187538 rev at	626.837	2
phoQ b1129 at	220.417	2
phoP b1130 at	507.961	2
IG 742 1189671 1189838 rev at	127.471	
purB b1131 at	783.69	2
ycfC b1132 at	255.266	2
IG 743 1191855 1191889 rev at	312.785	2
ycfB b1133 at	312.151	2
b1134 at	151.055	2
ymfC b1135 at	160.133	2
IG 744 1194145 1196089 rev at	269.673	2
icdA b1136 at	1751.79	2
IG 745 1195597 1197917 fwd at	431.196	0
ymfD b1137 at	24.006	0
ymfE b1138 at	190.499	2
IG 746 1197461 1198901 rev at	134.223	
lit b1139 at	305.886	0
IG 747 1198812 1200674 fwd f at	411.999	2
intE b1140 at	51.597	
b1141 at	114.537	0
IG 748 1200256 1200291 rev at	108.911	
ymfH b1142 at	294.447	0
IG 749 1200604 1200998 rev f at	152.457	
ymfI b1143 at	339.603	2
ymfJ b1144 at	355.535	0
IG 750 1201062 1201943 fwd at	700.038	2
IG 751 1201284 1201481 rev at	100.871	0
b1145 at	139.642	
b1146 at	128.258	0
IG 752 1202157 1207739 rev f at	303.658	0
ymfL b1147 at	318.585	0
ymfM b1148 at	180.197	0
ymfN b1149 at	813.078	0
ymfR b1150 at	654.037	0
ymfO b1151 at	153.553	0
b1152 at	152.653	2
b1153 at	165.927	0
ycfK b1154 f at	170.984	0
b1155 at	147.279	
ycfA b1156 at	282.322	0
b1157 at	893.382	0
IG 753 1208882 1210902 rev at	105.115	0
pin b1158 at	62.449	2
IG 754 1209463 1209568 fwd at	509.287	0
mcrA b1159 at	787.585	
IG 755 1210403 1215011 fwd at	99.285	0
ycgW b1160 at	137.432	0
IG 756 1211227 1211925 rev at	0.720933	0
ycgX b1161 at	264.357	
IG 757 1212331 1212550 rev at	348.492	
ycgE b1162 at	128.018	2
IG 758 1213283 1213486 rev at	153.704	2
b1163 at	18.052	
IG 759 1214699 1221527 rev at	197.231	0
ycgZ b1164 at	-224.278	0
IG 760 1215249 1215290 fwd at	186.479	0
ymgA b1165 at	302.787	0
ymgB b1166 at	973.506	
IG 761 1215859 1215970 fwd at	217.363	0
ymgC b1167 at	273.073	0
IG 762 1216220 1216508 fwd at	834.928	0
b1168 at	182.128	0
IG 763 1218075 1218823 fwd at	25.656	0
b1169 at	978.276	
IG 764 1220345 1220428 fwd at	164.527	0
b1170 at	896.559	2
IG 765 1221446 1222917 fwd at	224.917	0
b1171 at	825.287	
b1172 at	265.935	2
IG 766 1222152 1223501 rev at	454.495	
IG 767 1223131 1225822 fwd at	796.969	2
minE b1174 at	1012.38	2
minD b1175 at	1049.04	2
minC b1176 at	1051.06	2
IG 768 1225304 1226293 rev at	332.699	2
ycgJ b1177 at	123.099	2
IG 769 1226192 1226903 fwd at	929.945	2
ycgK b1178 at	126.93	2
IG 770 1226696 1228705 rev at	625.197	0
ycgL b1179 at	200.739	2
IG 771 1227231 1227301 fwd at	212.785	2
b1180 at	210.779	2
IG 772 1227962 1228022 fwd at	452.681	2
ycgN b1181 at	366.072	2
IG 773 1228500 1229989 fwd at	175.199	0
hlyE b1182 at	197.003	0
IG 774 1229624 1231722 rev at	249.911	0
umuD b1183 at	130.871	2
umuC b1184 at	462.367	2
IG 775 1231678 1234160 fwd at	152.164	0
dsbB b1185 at	253.629	2
IG 776 1232254 1232398 rev at	31.374	2
nhaB b1186 at	851.534	
IG 777 1233941 1234931 rev at	670.964	0
fadR b1187 at	324.288	2
IG 778 1234881 1236793 fwd at	-144.905	0
ycgB b1188 at	277.724	0
IG 779 1236465 1239557 rev at	302.391	
dadA b1189 at	225.876	
dadX b1190 at	131.264	
IG 780 1239173 1242288 fwd at	434.333	2
b1191 at	120.512	
IG 781 1241169 1241388 rev at	260.004	2
b1192 at	320.346	2
mltE b1193 at	136.582	2
IG 782 1243015 1243950 fwd at	486.741	0
ycgR b1194 at	507.171	0
IG 783 1243751 1244901 rev at	330.008	2
ymgE b1195 at	442.98	0
IG 784 1244206 1244382 fwd at	689.208	0
ycgY b1196 at	297.767	0
IG 785 1244824 1250279 fwd at	440.269	2
treA b1197 at	745.414	0
IG 786 1246600 1246918 rev at	289.058	2
ycgC b1198 at	267.927	2
b1199 at	438.421	2
b1200 at	482.735	2
IG 787 1250092 1252307 rev at	266.164	0
b1201 at	908.176	2
IG 788 1252209 1258013 fwd at	154.211	2
b1202 at	405.726	2
IG 789 1255176 1255943 rev at	202.123	
ychF b1203 at	492.986	2
IG 790 1257036 1257151 rev at	420.352	2
pth b1204 at	203.297	2
IG 791 1257737 1258346 rev at	639.236	0
ychH b1205 f at	856.279	2
IG 792 1258293 1262936 fwd at	374.432	2
ychM b1206 at	546.217	0
IG 793 1260000 1260150 rev at	191.556	2
prsA b1207 at	458.981	2
IG 794 1261099 1261248 rev at	1928.93	2
ychB b1208 at	1044.69	2
hemM b1209 at	444.492	2
IG 795 1262724 1269971 rev f at	818.972	2
hemA b1210 at	369.408	2
IG 796 1264194 1264234 fwd at	994.264	2
prfA b1211 at	152.653	2
hemK b1212 at	114.485	2
b1213 at	312.456	2
ychA b1214 at	395.146	2
IG 797 1267353 1267387 fwd at	1059.01	2
kdsA b1215 at	753.542	2
IG 798 1268243 1271341 fwd f at	202.723	2
chaA b1216 at	677.395	2
IG 799 1271073 1272468 rev at	103.193	0
chaB b1217 at	364.208	
IG 800 1271573 1271708 fwd at	550.419	2
chaC b1218 at	141.006	0
IG 801 1272426 1273147 fwd at	803.759	0
ychN b1219 at	435.315	2
IG 802 1272823 1274401 rev at	67.558	
ychP b1220 at	890.416	0
IG 803 1274402 1277179 fwd at	232.576	0
narL b1221 at	462.545	2
narX b1222 at	715.749	
IG 804 1276842 1286309 rev f at	584.142	2
narK b1223 at	1259.85	2
IG 805 1278572 1279086 fwd at	121.311	0
narG b1224 at	1066.33	2
narH b1225 at	347.358	2
narJ b1226 at	247.601	2
narI b1227 at	111.902	2
IG 806 1285750 1285931 fwd at	635.106	0
b1228 f at	592.759	0
IG 807 1286208 1288428 fwd f at	174.568	2
tpr b1229 f at	747.546	
IG 808 1286412 1286466 rev f at	356.509	2
tyrV b1230 s at	1821.31	2
IG 809 1286552 1286760 rev at	438.207	2
tyrT b1231 s at	362.759	2
IG 810 1286846 1287004 rev at	929.405	2
purU b1232 at	224.79	2
IG 811 1287848 1287896 rev at	349.74	2
ychJ b1233 at	238.68	2
IG 812 1288356 1291731 rev at	749.983	2
ychK b1234 at	386.25	2
IG 813 1289374 1289464 fwd at	322.626	2
hnr b1235 at	748.672	2
IG 814 1290479 1290679 fwd at	680.376	2
galU b1236 at	461.391	2
IG 815 1291589 1292749 fwd at	443.313	
hns b1237 at	3638.09	2
IG 816 1292146 1293648 rev at	223.974	0
tdk b1238 at	788.444	2
IG 817 1293368 1297820 fwd at	359.886	2
ychG b1239 at	720.323	0
b1240 at	337.793	2
IG 818 1294422 1294668 rev at	139.542	2
adhE b1241 at	2069.71	2
IG 819 1297345 1304844 rev at	209.641	2
ychE b1242 at	112.357	0
IG 820 1298469 1299205 fwd at	1844.07	2
oppA b1243 at	842.404	2
IG 821 1300838 1300922 fwd at	988.192	2
oppB b1244 at	460.152	2
oppC b1245 at	561.157	2
oppD b1246 at	765.859	2
oppF b1247 at	652.719	2
IG 822 1304793 1309112 fwd at	156.001	2
b1248 at	318.143	2
cls b1249 at	205.56	2
IG 823 1306670 1307039 rev at	276.221	
kch b1250 at	195.539	2
IG 824 1308294 1308592 rev at	206.885	2
yciI b1251 at	385.483	2
IG 825 1308986 1309871 rev f at	168.305	0
tonB b1252 at	285.618	2
IG 826 1309833 1312043 fwd at	258.925	2
yciA b1253 at	330.088	2
IG 827 1310271 1310374 rev at	244.086	2
yciB b1254 at	213.154	2
yciC b1255 at	291.298	2
IG 828 1311688 1312741 rev at	490.061	2
yciD b1256 at	1012.11	2
IG 829 1312683 1321243 fwd at	129.103	
yciE b1257 at	268.867	2
yciF b1258 at	735.803	0
IG 830 1313795 1313879 rev at	365.746	0
yciG b1259 at	295.297	0
IG 831 1314117 1314439 rev at	132.481	0
trpA b1260 at	809.287	
trpB b1261 at	743.659	2
trpC b1262 at	118.491	
trpD b1263 at	139.559	0
trpE b1264 at	172.863	0
IG 832 1320971 1321061 rev at	113.153	2
trpL b1265 at	232.066	0
IG 833 1321107 1325790 rev at	296.348	0
yciV b1266 at	721.242	2
yciO b1267 at	326.903	2
yciQ b1268 at	426.748	0
IG 834 1324666 1324875 fwd at	149.337	2
yciL b1269 at	463.345	2
IG 835 1325752 1327355 fwd at	179.571	0
btuR b1270 at	122.808	
yciK b1271 at	278.717	
IG 836 1327137 1328440 rev at	746.773	2
sohB b1272 at	336.317	2
IG 837 1328406 1329071 fwd at	170.561	2
yciN b1273 at	563.414	2
IG 838 1328693 1336593 rev at	754.267	2
topA b1274 at	108.188	2
IG 839 1331670 1331878 fwd at	542.478	2
cysB b1275 at	203.799	2
IG 840 1332854 1333854 fwd at	631.524	2
acnA b1276 at	147.507	2
IG 841 1336531 1337353 fwd at	247.085	
ribA b1277 at	715.86	2
IG 842 1337185 1341133 rev at	281.836	2
pgpB b1278 at	138.017	2
IG 843 1338119 1338266 fwd at	595.644	2
yciS b1279 at	298.313	2
yciM b1280 at	475.116	0
IG 844 1339752 1339944 fwd at	133.762	2
pyrF b1281 at	111.166	2
yciH b1282 at	352.648	2
IG 845 1341009 1359131 fwd at	482.885	2
osmB b1283 at	776.632	0
IG 846 1341353 1341620 rev at	226.023	0
b1284 at	249.399	2
IG 847 1342371 1342780 rev at	273.46	2
yciR b1285 at	13.956	0
IG 848 1344767 1345001 rev at	212.119	0
rnb b1286 at	183.581	2
IG 849 1346937 1347003 rev at	298.538	2
yciW b1287 at	180.514	
IG 850 1348210 1348274 rev at	57.879	2
fabI b1288 at	851.186	2
IG 851 1349064 1349430 rev at	106.16	2
ycjD b1289 at	587.244	
IG 852 1349785 1349851 rev f at	150.277	2
sapF b1290 at	279.305	2
sapD b1291 at	123.594	2
sapC b1292 at	929.083	2
sapB b1293 at	891.808	0
sapA b1294 at	170.156	2
IG 853 1355135 1355446 rev at	248.891	2
ymjA b1295 at	163.791	2
IG 854 1355693 1355825 rev at	100.837	0
ycjJ b1296 at	112.147	0
IG 855 1357266 1357513 rev at	186.686	
b1297 at	148.368	0
IG 856 1359011 1364958 rev at	165.845	2
ycjL b1298 at	108.036	0
ycjC b1299 at	154.907	2
IG 857 1360493 1360766 fwd at	686.766	0
aldH b1300 at	183.75	0
ordL b1301 at	196.393	0
IG 858 1363537 1363573 fwd at	159.258	
goaG b1302 at	158.255	0
IG 859 1364840 1366102 fwd at	184.446	2
pspF b1303 at	125.841	
IG 860 1365952 1380986 rev at	290.797	
pspA b1304 at	213.185	2
IG 861 1366772 1366824 fwd at	305.973	0
pspB b1305 at	199.172	2
pspC b1306 at	-328.034	
pspD b1307 at	313.115	2
IG 862 1367639 1367712 fwd at	669.688	2
pspE b1308 at	893.068	2
IG 863 1368028 1368212 fwd at	397.814	2
ycjM b1309 at	324.516	0
b1310 at	521.125	0
ycjO b1311 at	70.494	0
ycjP b1312 at	109.116	0
ycjQ b1313 at	184.289	0
b1314 at	582.994	
ycjS b1315 at	538.869	0
ycjT b1316 at	297.248	0
ycjU b1317 at	151.168	0
ycjV b1318 at	801.168	0
IG 864 1379814 1379970 fwd at	442.338	0
ompG b1319 at	396.614	
IG 865 1380877 1382140 fwd at	655.128	0
ycjW b1320 at	830.665	2
IG 866 1381986 1386328 rev f at	288.222	0
ycjX b1321 at	121.983	0
ycjF b1322 at	214.551	0
IG 867 1384597 1384743 fwd at	21.974	
tyrR b1323 at	398.228	2
IG 868 1386286 1386911 fwd f at	116.64	2
tpx b1324 at	1055.99	2
IG 869 1386836 1387893 rev at	619.026	2
ycjG b1325 at	448.608	2
ycjI b1326 at	117.406	2
IG 870 1387920 1390014 fwd at	238.604	2
IG 871 1388683 1388956 rev at	128.419	2
b1327 at	305.827	0
IG 872 1389890 1392914 rev at	235.649	
ycjZ b1328 at	131.178	
IG 873 1390915 1391229 fwd at	330.532	2
b1329 at	139.893	2
IG 874 1392865 1394099 fwd at	389.914	2
b1330 at	129.344	2
IG 875 1393947 1395695 rev f at	515.461	2
IG 876 1395117 1395388 fwd f at	961.461	2
ynaJ b1332 at	384.477	2
IG 877 1395647 1402764 fwd at	883.437	2
ydaA b1333 at	1337.71	2
IG 878 1396647 1396797 rev at	315.964	2
fnr b1334 at	664.352	2
IG 879 1397551 1397744 rev at	112.953	2
ogt b1335 at	136.313	2
ydaH b1336 at	125.495	0
IG 880 1399804 1399833 rev f at	180.215	2
b1337 at	18.083	0
ydaJ b1338 at	279.171	2
IG 881 1402605 1404586 rev at	137.19	0
ydaK b1339 at	641.857	2
IG 882 1403674 1404002 fwd at	101.505	0
ydaL b1340 at	116.697	0
IG 883 1404567 1406073 fwd at	437.081	0
b1341 at	107.532	0
IG 884 1405880 1409036 rev at	498.126	0
b1342 at	135.377	2
IG 885 1407058 1407534 fwd at	747.005	2
dbpA b1343 at	319.514	
IG 886 1408909 1416571 fwd at	496.675	2
ydaO b1344 at	144.227	2
IG 887 1409973 1410023 rev at	122.699	2
b1345 at	451.599	0
ydaQ b1346 at	823.316	0
IG 888 1411501 1411554 rev at	325.718	
ydaC b1347 at	543.068	0
lar b1348 at	908.464	0
IG 889 1411952 1412007 rev at	341.863	
recT b1349 at	775.744	0
recE b1350 at	422.102	0
IG 890 1415411 1415511 rev at	605.662	0
racC b1351 at	233.902	0
IG 891 1415788 1416031 rev at	-0.372554	0
ydaD b1352 at	107.252	0
IG 892 1416266 1417345 rev f at	424.565	0
sieB b1353 at	507.693	0
b1354 at	248.238	0
b1355 at	443.816	0
IG 893 1417369 1418388 fwd at	125.514	0
IG 894 1417526 1417788 rev at	349.772	0
ydaR b1356 at	354.647	2
IG 895 1418266 1425769 rev at	251.868	0
ydaS b1357 at	163.249	0
ydaT b1358 at	867.358	0
ydaU b1359 at	202.448	0
b1360 at	94.486	2
ydaW b1361 at	809.811	
b1362 at	531.374	0
IG 896 1421669 1421805 fwd at	86.469	2
trkG b1363 at	61.829	2
b1364 at	59.093	2
b1365 at	264.726	0
ydaY b1366 at	208.777	0
IG 897 1424005 1424078 fwd at	600.281	0
b1367 at	394.721	0
IG 898 1424313 1424477 fwd at	123.849	0
b1368 at	223.581	0
b1369 at	250.381	0
IG 899 1425638 1426546 fwd at	20.795	0
trs5 5 b1370 at	418.092	0
b1371 at	302.684	0
IG 900 1426751 1431107 rev f at	133.172	0
IG 901 1427009 1427066 fwd at	403.957	
b1372 at	900.958	0
IG 902 1431011 1441074 fwd f at	683.946	2
b1374 s at	398.251	1
IG 903 1431699 1432014 rev s at	868.174	0
ynaE b1375 s at	291.704	
IG 904 1432282 1433208 rev at	61.261	2
ynaF b1376 at	1065.07	2
IG 905 1433716 1433783 rev at	426.268	
b1377 at	448.036	0
IG 906 1434918 1435283 rev at	110.984	0
ydbK b1378 at	148.665	2
IG 907 1438809 1439344 rev at	270.885	0
hslJ b1379 at	179.102	2
IG 908 1439768 1439877 rev at	441.324	2
ldhA b1380 at	364.545	2
IG 909 1440868 1444401 rev at	292.638	2
ydbH b1381 at	107.095	2
ynbE b1382 at	128.344	2
ydbL b1383 at	161.233	2
IG 910 1444231 1445539 fwd at	986.849	2
feaR b1384 at	326.054	0
IG 911 1445308 1447099 rev at	158.624	
feaB b1385 at	152.925	0
IG 912 1447043 1451950 fwd at	300.222	0
tynA b1386 at	126.108	
IG 913 1449374 1449620 rev at	821.374	0
maoC b1387 at	154.519	0
IG 914 1451667 1465944 rev at	177.675	0
ydbO b1388 at	190.963	0
ynbF b1389 at	109.845	
ydbP b1390 at	127.983	0
b1391 at	259.883	0
b1392 at	104.857	0
ydbS b1393 at	116.354	0
b1394 at	113.397	0
ydbU b1395 at	869.441	0
b1396 at	304.031	0
b1397 at	167.531	2
b1398 at	771.709	0
IG 915 1461463 1461562 fwd at	272.348	0
b1399 at	580.722	
b1400 at	125.587	2
IG 916 1463086 1463415 fwd at	-494.505	0
ydbA 1 b1401 at	103.612	0
yi22 2 b1402 s at	257.495	2
IG 917 1465975 1467381 fwd f at	410.509	
IG 918 1467219 1480278 rev f at	240.981	2
IG 919 1468534 1468713 fwd at	571.464	2
ydbA 2 b1405 at	151.233	0
IG 920 1472038 1472244 fwd at	785.857	0
ydbC b1406 at	209.208	2
