Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0AFP0	0	1	1	1	0	0	0	3	B	YADS_ECOLI			0	0	0			
P0AGC5	0	1	1	1	0	0	0	3	F3	MLTF_ECOLI			0	0	0			
P0AGF4	0	1	1	1	0	0	0	3	B	XYLE_ECOLI			0	0	0			
P0AGI4	0	1	1	1	1	0	0	4	B	XYLH_ECOLI			0	0	0	0		
P0CE44	0	1	1	1	0	0	0	3	B	UIDB_ECOLI			0	0	0			
P11286	0	1	1	1	0	0	0	3	B	YIAB_ECOLI			0	0				
P13656	0	1	1	1	0	0	0	3	G	CHIA_ECOLI			0	0				
P16683	0	1	1	1	0	0	0	3	B	PHNE_ECOLI			0	0	0			
P17583	0	1	1	1	0	0	0	3	B	CYNX_ECOLI			0	0	0			
P17994	0	1	1	1	0	0	0	3	G	YFAA_ECOLI			0	0	0			
P22729	0	1	1	1	0	0	0	3	B	LIVM_ECOLI			0	0	0			
P23482	0	1	1	1	0	0	0	3	B	HYFB_ECOLI			0	0	0			
P23485	0	1	1	1	1	0	0	4	B	FECR_ECOLI			0	0	0	0		
P23877	0	1	1	1	0	0	0	3	B	FEPG_ECOLI			0	0	0			
P23910	0	1	1	1	0	0	0	3	B	ARAJ_ECOLI			0	0	0			
P24077	0	1	1	1	0	0	0	3	B	ENTS_ECOLI			0	0	0			
P24180	0	0	1	1	0	0	0	2	E	ACRE_ECOLI				0	0			
P24181	0	1	1	1	1	0	0	4	B	ACRF_ECOLI			0	0	0	0		
P24241	0	1	1	1	0	0	0	3	B	PTIBC_ECOLI			0	0	0			
P25747	0	1	1	1	0	0	0	3	B	YEIB_ECOLI			0	0	0			
P25960	0	1	1	1	1	0	0	4	B	LEP4_ECOLI			0	0		0		
P26218	0	1	1	1	0	0	0	3	H	BGLH_ECOLI			0	0	0			
P26266	0	1	1	1	1	0	0	4	B	FEPE_ECOLI			0	0	0	0		
P27254	0	1	1	1	0	0	0	3	F1	ARGK_ECOLI			0	0	0			
P27835	0	0	1	1	0	0	0	2	B	WZYE_ECOLI				1	0			
P27842	0	1	1	1	0	0	0	3	B	YIGF_ECOLI			0	0	0			
P28307	0	1	1	1	1	0	0	4	F4	CSGA_ECOLI			0	0	0	0		
P28915	0	1	1	1	0	0	0	3	G	YBFC_ECOLI			0	0	0			
P31058	0	1	1	1	0	0	0	3	G	YADC_ECOLI			0	0				
P31121	0	1	1	1	1	0	0	4	G	MARB_ECOLI			0	0	0	0		
P31436	0	1	1	1	0	0	0	3	B	SETC_ECOLI			0	0	0			
P31446	0	1	1	1	0	0	0	3	B	YIDI_ECOLI			0	0				
P31448	0	1	1	1	0	0	0	3	B	YIDK_ECOLI			0	0	0			
P31471	0	1	1	1	0	0	0	3	G	YIEL_ECOLI			0	0	0			
P31826	0	0	1	1	0	0	0	2	B	YDDA_ECOLI				0	0			
P32106	0	1	1	1	1	0	0	4	G	YIBG_ECOLI			0	0	0	0		
P32136	0	1	1	1	0	0	0	3	B	YIHO_ECOLI			0	0				
P32137	0	1	1	1	0	0	0	3	B	YIHP_ECOLI			0	0	0			
P32151	0	1	1	1	0	0	0	3	E	YIIG_ECOLI			0	0	0			
P32155	0	1	1	1	1	0	0	4	F1	PTFA_ECOLI			0	0	0	0		
P32167	0	1	1	1	0	0	0	3	G	YIIX_ECOLI			0	0	0			
P32668	0	1	1	1	0	0	0	3	G	YIJF_ECOLI			0	0	0			
P32672	0	1	1	1	0	0	0	3	B	PTFC2_ECOLI			0	0	0			
P32688	0	1	1	1	0	0	0	3	G	YJBG_ECOLI			0	0	0			
P32701	0	1	1	1	0	0	0	3	B	YJCC_ECOLI			0	0	0			
P32710	0	1	1	1	0	0	0	3	B	NRFE_ECOLI			0	0	0			
P32711	0	1	1	1	1	0	0	4	B	NRFF_ECOLI			0	0	0	0		
P32716	0	1	1	1	0	0	0	3	B	MDTN_ECOLI			0	0	0			
P32720	0	1	1	1	0	0	0	3	B	ALSC_ECOLI			1	0	0			
P33021	0	1	1	1	0	0	0	3	B	NUPX_ECOLI			0	0	0			
P33128	0	1	1	1	1	0	0	4	G	ECPD_ECOLI			0	0	0	0		
P33354	0	1	1	1	0	0	0	3	I	YEHR_ECOLI			0	0	0			
P33359	0	1	1	1	0	0	0	3	B	YEHW_ECOLI			0	0	0			
P33369	0	1	1	1	0	0	0	3	I	MDTQ_ECOLI			0	0	0			
P36678	0	1	1	1	1	0	0	4	B	GSPM_ECOLI			0	0		0		
P37016	0	1	1	1	0	0	0	3	G	YADK_ECOLI			0	0	0			
P37017	0	1	1	1	0	0	0	3	G	YADL_ECOLI			0	0	0			
P37018	0	1	1	1	0	0	0	3	G	YADM_ECOLI			0	0	0			
P37050	0	1	1	1	0	0	0	3	G	YADN_ECOLI			0	0	0			
P37056	0	1	1	1	0	0	0	3	I	YAEF_ECOLI			0	0	0			
P37443	0	1	1	1	0	0	0	3	B	YCAI_ECOLI			0	0	0			
P37630	0	1	1	1	0	0	0	3	B	YHIM_ECOLI			0	0	0			
P37653	0	1	1	1	0	0	0	3	B	BCSA_ECOLI			0	0				
P37663	0	1	1	1	0	0	0	3	H	YHJY_ECOLI			0	0	0			
P37669	0	1	1	1	0	0	0	3	B	YIAH_ECOLI			0	0	0			
P37674	0	1	1	1	0	0	0	3	B	YIAM_ECOLI			0	0	0			
P37675	0	1	1	1	0	0	0	3	B	YIAN_ECOLI			0	0	0			
P37676	0	1	1	1	0	0	0	3	G	YIAO_ECOLI			0	0	0			
P37681	0	1	1	1	0	0	0	3	F3	YIAT_ECOLI			0	0	0			
P37772	0	1	1	1	0	0	0	3	B	YJFF_ECOLI			0	0	0			
P37909	0	1	1	1	0	0	0	3	G	YBGD_ECOLI			0	0	0			
P38052	0	1	1	1	0	0	0	3	G	SFMF_ECOLI			0	0	0			
P38101	0	1	1	1	0	0	0	3	B	EAMB_ECOLI			0	0	0			
