Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0A9P0	1	1	1	1	0	1	1	6	F1	DLDH_ECOLI	22.38	2	2	2	2			F1
P0A9P4	1	1	1	1	0	0	1	5	G	TRXB_ECOLI	4	2	2	2	2			G
P0A9Q9	1	1	1	1	0	0	1	5	B	DHAS_ECOLI	1.21	2	2	2	2			B
P0A9R7	1	1	1	1	0	0	1	5	F1	FTSE_ECOLI	0.69	2	2	2	2			F1
P0A9S7	0	1	1	1	0	0	1	4	F1	LIVG_ECOLI			0	0	0			F1
P0A9U1	0	1	1	1	0	1	1	5	F1	YBHF_ECOLI			2	2	2		0.87566713	F1
P0A9U3	1	1	1	1	0	1	1	6	F1	YBIT_ECOLI	0.39	2	2	2	2		3.250520173	F1
P0A9V1	1	1	1	1	0	0	1	5	F1	LPTB_ECOLI	0.31	2	2	2	2			F1
P0A9W3	1	1	1	1	0	0	1	5	F1	YJJK_ECOLI	2.24	2	2	2	2			F1
P0A9X1	0	1	1	1	0	1	1	5	F1	ZNUC_ECOLI			2	2	2			F1
P0A9X4	1	1	1	1	0	1	1	6	F1	MREB_ECOLI	2.31	2	2	2	2		11.94127538	F1
P0AA47	1	1	1	1	0	0	0	4	B	YEEF_ECOLI		2	2	0	2			
P0AA49	0	1	1	1	0	0	0	3	B	YFDV_ECOLI			0	0	0			
P0AA53	0	1	1	1	0	0	1	4	B	QMCA_ECOLI			2	2	2			B
P0AA63	0	1	1	1	0	0	0	3	B	YQJA_ECOLI			2	2	2			
P0AA73	0	1	1	1	0	0	1	4	B	YHBE_ECOLI			2	2	2			B
P0AA84	0	1	1	1	0	0	1	4	F1	YBHO_ECOLI			0	0	0			F1
P0AA91	0	1	1	1	0	0	1	4	I	YEAY_ECOLI			2	2	2			I
P0AA93	0	1	1	1	0	0	1	4	B	YPDA_ECOLI			2	2	2			B
P0AA95	0	1	1	1	0	0	1	4	G	YACC_ECOLI			2	2	2			G
P0AA99	0	1	1	1	0	0	0	3	G	YAFK_ECOLI			2	2	2			
P0AAB4	1	1	1	1	0	0	1	5	F1	UBID_ECOLI	2.35	2	2	2	2			F1
P0AAC4	0	1	1	1	0	0	1	4	B	YBHL_ECOLI			2	2	2			B
P0AAC6	0	1	1	1	0	0	1	4	B	YCCA_ECOLI			2	2	2			B
P0AAD2	0	1	1	1	0	0	0	3	B	MTR_ECOLI			2	2	2			
P0AAD6	1	1	1	1	0	0	1	5	B	SDAC_ECOLI	5.46	2	2	2	2			B
P0AAD8	0	1	1	1	1	0	0	4	B	TDCC_ECOLI			2	2	2	0		
P0AAE0	0	1	1	1	0	0	1	4	B	CYCA_ECOLI			2	2	2			B
P0AAE5	0	1	1	1	0	0	0	3	B	ARCD_ECOLI			2	2				
P0AAE8	0	1	1	1	0	0	0	3	B	CADB_ECOLI			0	1	2			
P0AAF3	0	1	1	1	0	0	1	4	F1	ARAG_ECOLI			2	0	2			F1
P0AAF6	1	1	1	1	0	1	1	6	F1	ARTP_ECOLI	1.09	2	2	2	2		4.038829609	F1
P0AAG5	0	1	1	1	1	1	1	6	B	MDLB_ECOLI			2	2	2	0	0.339288965	B
P0AAH0	1	1	1	1	0	1	1	6	F1	PSTB_ECOLI	0	2	2	2	2		14.68063249	F1
P0AAH4	0	1	1	1	0	0	1	4	F1	SAPD_ECOLI			2	2	2			F1
P0AAH8	0	1	1	1	0	1	1	5	F1	SAPF_ECOLI			2	2	2		0.552000348	F1
P0AAJ1	0	1	1	1	0	0	1	4	F2	YNFG_ECOLI			0	0				F2
P0AAJ5	1	1	1	1	0	0	1	5	B	FDOH_ECOLI	4	2	2	2	2			B
P0AAJ8	0	1	1	1	0	0	1	4	F2	HYBA_ECOLI			2	2	2			F2
P0AAK7	0	1	1	1	0	0	0	3	G	NRFC_ECOLI			0	0	2			
P0AAL3	0	1	1	1	0	0	0	3	G	NAPG_ECOLI			2	2	2			
P0AAL6	0	1	1	1	0	0	0	3	B	YDHY_ECOLI			2	2	2			
P0AAM1	0	1	1	1	1	0	0	4	B	CYBH_ECOLI			2	2	2	0		
P0AAP1	0	1	1	1	0	0	0	3	B	ADRA_ECOLI			0	0	0			
P0AAS0	1	1	1	1	0	0	1	5	B	YLAC_ECOLI	0.51	2	2	2	2			B
P0AAT4	1	1	1	1	0	1	1	6	B	YBDG_ECOLI	0	2	2	2	2		1.392845266	B
P0AAV0	0	1	1	1	0	0	1	4	B	YBGE_ECOLI			2	2	2			B
P0AAX6	0	1	1	1	0	1	0	4	G	MCBA_ECOLI			0	0	0			
P0AAX8	1	1	1	1	0	1	1	6	G	YBIS_ECOLI	0.51	2	2	2	2		4.882519782	G
P0AAY4	0	1	1	1	0	0	0	3	G	YBJH_ECOLI			2	2				
P0AAZ0	0	1	1	1	0	0	0	3	B	YBJO_ECOLI			2	2	2			
P0AB06	0	1	1	1	0	0	1	4	G	YCBK_ECOLI			2	2	2			G
P0AB10	1	1	1	1	0	1	1	6	E	YMBA_ECOLI	0.24	2	2	2	2			E
P0AB12	0	1	1	1	0	0	1	4	B	YCCF_ECOLI			2	0				B
P0AB24	0	1	1	1	0	1	1	5	G	YCDO_ECOLI			2	2			2.239378212	G
P0AB26	1	1	1	1	0	0	1	5	I	YCEB_ECOLI	0.42	2	2	2	2			I
P0AB38	1	1	1	1	0	0	1	5	I	YCFM_ECOLI	1.15	2	2	2	2			I
P0AB40	0	1	1	1	0	1	0	4	G	BHSA_ECOLI			2	0	0			
P0AB58	1	1	1	1	0	1	1	6	G	YCIM_ECOLI	0.24	2	2	2	0		3.182649139	G
P0AB67	1	1	1	1	0	0	1	5	B	PNTB_ECOLI	0.16	2	2	2				B
P0AB85	0	1	1	1	0	1	0	4	E	APBE_ECOLI			2	0				
P0AB98	1	1	1	1	0	0	1	5	B	ATP6_ECOLI	3.33	2	2	2	2			B
P0ABA6	1	1	1	1	0	1	1	6	F1	ATPG_ECOLI	4.66	2	2	2	2			F1
P0ABB4	1	1	1	1	0	1	1	6	F1	ATPB_ECOLI	3	2	2	2	2			F1
P0ABB8	1	1	1	1	0	1	1	6	B	ATMA_ECOLI	0.11	2	2	2	2		3.779449885	B
P0ABF1	1	1	1	1	0	1	1	6	B	PCNB_ECOLI	1	2	2	2	2		11.3995023	B
P0ABF6	1	1	1	1	1	0	1	6	B	CDD_ECOLI		2	2	2	2	0		B
P0ABF8	0	1	1	1	0	1	1	5	B	PGSA_ECOLI			2	2	2		1.365633334	B
P0ABG1	0	1	1	1	0	0	0	3	B	CDSA_ECOLI			2	2	2			
P0ABH0	1	1	1	1	0	1	1	6	F1	FTSA_ECOLI	4.44	2	2	2	2			F1
P0ABH4	0	1	1	1	1	0	0	4	B	MRED_ECOLI			2	2	2	0		
P0ABI4	1	1	1	1	0	1	1	6	B	CORA_ECOLI	0.75	2	2	0	0		5.366874496	B
P0ABI8	1	1	1	1	0	0	1	5	B	CYOB_ECOLI	5.12	2	2	2	2			B
P0ABJ1	1	1	1	1	0	0	1	5	B	CYOA_ECOLI		2	2	2	2			B
P0ABJ3	0	1	1	1	0	1	1	5	B	CYOC_ECOLI			2	2	2		6.27362552	B
P0ABJ6	0	1	1	1	0	1	1	5	B	CYOD_ECOLI			2	2	2		17.55084328	B
P0ABJ9	1	1	1	1	1	1	1	7	B	CYDA_ECOLI	3.72	2	2	2	2	0	2.249553446	B
P0ABK7	0	1	1	1	1	0	0	4	F4	CSGB_ECOLI			0	0	0	0		
P0ABK9	0	1	1	1	0	0	0	3	G	NRFA_ECOLI			2	2	2			
P0ABL3	0	1	1	1	1	0	0	4	G	NAPB_ECOLI			0	0	2	0		
P0ABL5	0	1	1	1	1	0	0	4	B	NAPC_ECOLI			2	2	2	0		
P0ABM9	0	1	1	1	0	0	1	4	B	CCMH_ECOLI			0	0				B
P0ABS5	1	1	1	1	0	0	1	5	B	PRIM_ECOLI	0.55	2	2	2	2			B
P0ABT8	0	1	1	1	0	0	0	3	B	YIJE_ECOLI			0	0	0			
P0ABU7	1	1	1	1	1	0	1	6	B	EXBB_ECOLI	0.14	2	2	0	2	0		B
P0ABU9	1	1	1	1	0	0	1	5	B	TOLQ_ECOLI	0.86	2	2	2	2			B
P0ABV2	1	1	1	1	0	0	0	4	B	EXBD_ECOLI	0.26	2	2	2	2			
P0ABV6	0	1	1	1	0	0	1	4	B	TOLR_ECOLI			2	2	2			B
