K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P77611	253773413	"  |   | 0,04; | 1,78 | 1,78; | 0,04 | ; | 0,08 | "	ECBD_2015	RNFC_ECOLI	C6EDL7_ECOBD	0.74			0.04		1.78	1.78		0.04			0.08				
P0A937	253772490	"  |   | 0,28; | 0,28 | 0,28; |  | 0,28"	ECBD_1070	SMPA_ECOLI	C6EJX6_ECOBD	0.28			0.28		0.28	0.28			0.28						
P11557	253771785	"  |   | 0,15;1,69 | 6,25 | 2,45; | 0,15 | 0,15; | 0,32 | 0,15;0,07 | 0,07 | "	ECBD_0359	DAMX_ECOLI	C6EFI8_ECOBD	1.15			0.15	1.69	6.25	2.45		0.15	0.15		0.32	0.15	0.07	0.07	
P76373	253773043	"  | 0,08 |  ; | 0,55 | ;0,08 | 0,08 | "	ECBD_1631	UDG_ECOLI	C6EB57_ECOBD	0.2		0.08			0.55		0.08	0.08							
P33599	253772792	"  | 0,05 |  ; | 0,14 | 0,22; |  | 0,2; | 1,22 | ; |  | 0,10"	ECBD_1375	NUOCD_ECOLI	C6E9R6_ECOBD	0.32		0.05			0.14	0.22			0.2		1.22				0.1
P15723	253774812	  |   | 0,06	ECBD_3458	DGTP_ECOLI	C6EAC4_ECOBD	0.06			0.06												
P03004	253771436	"0,06 |   |  ; |  | "	ECBD_0001	DNAA_ECOLI	C6ECH7_ECOBD	0.06	0.06														
P23909	253772411	"  | 0,03 |  ; | 0,19 | ;0,03 |  | ; |  | 0,03"	ECBD_0991	MUTS_ECOLI	C6EJD4_ECOBD	0.07		0.03			0.19		0.03					0.03			
P38054	253774447	"  | 0,06 |  ; |  | 0,03"	ECBD_3087	CUSA_ECOLI	C6EKC6_ECOBD	0.05		0.06				0.03									
P33602	253772795	"0,03 |   |  ;0,13 | 0,28 | 0,45; |  | 0,03; | 0,66 | ;0,47 |  | 0,38"	ECBD_1378	NUOG_ECOLI	C6E9R9_ECOBD	0.3	0.03			0.13	0.28	0.45			0.03		0.66		0.47		0.38
P0AEK2	253773884	"  | 0,13 |  ; | 0,16 | 0,16; | 0,28 | 0,13;0,13 |  | 0,45; |  | 0,13"	ECBD_2508	FABG_ECOLI	C6EHC1_ECOBD	0.2		0.13			0.16	0.16		0.28	0.13	0.13		0.45			0.13
P41052	253772444	"  |   | 0,08; |  | 0,17"	ECBD_1024	MLTB_ECOLI	C6EJT0_ECOBD	0.13			0.08			0.17									
P0ABD8	253771915	  |   | 0,20	ECBD_0490	BCCP_ECOLI	C6EGK5_ECOBD	0.2			0.2												
P04805	253772695	"  |   | 0,06; | 0,36 | ; |  | 0,06"	ECBD_1276	SYE_ECOLI	C6EL72_ECOBD	0.16			0.06		0.36				0.06						
P76423	253772967	"  |   | 0,12; | 0,02 | ; | 0,12 | "	ECBD_1553	THIM_ECOLI	C6EAK6_ECOBD	0.09			0.12		0.02			0.12							
P31666	253774842	  |   | 0,07	ECBD_3489	YADE_ECOLI	C6EAS7_ECOBD	0.07			0.07												
P0A8M6	253773062	"0,26 |   |  ;0,44 | 0,28 | 0,13"	ECBD_1650	YEEX_ECOLI	C6EB76_ECOBD	0.28	0.26			0.44	0.28	0.13									
P0ADZ0	253771858	  | 0,31 |  	ECBD_0433	RL23_ECOLI	C6EGE8_ECOBD	0.31		0.31													
	253771753	"  |  |  ; | 1,04 | 0,27;0,3 | 0,3 | ; | 0,49 | 0,30;0,30 |  | 0,14"	ECBD_0326		http://www.uniprot.org/uniprot/?query=C6EFF6_ECOBD&sort=score	0.39					1.04	0.27	0.3	0.3			0.49	0.3	0.3		0.14
P77211	253774450	"  | 0,07 |  ;0,55 | 1,98 | 1,39; | 0,07 | 0,14"	ECBD_3090	CUSC_ECOLI	C6EKC9_ECOBD	0.7		0.07		0.55	1.98	1.39		0.07	0.14						
	253774141	  | 0,09 |  	ECBD_2766		http://www.uniprot.org/uniprot/?query=C6EIS6_ECOBD&sort=score	0.09		0.09													
P33595	253774901	  | 0,05 |  	ECBD_3548	SGRR_ECOLI	C6EAY6_ECOBD	0.05		0.05													
P09980	253775597	  | 0,09 |  	ECBD_4262	REP_ECOLI	C6EG35_ECOBD	0.09		0.09													
P0A6F5	253775229	"  |   | 0,06; | 0,56 | 0,25; | 0,06 | 0,18; | 0,74 | ; |  | 0,06"	ECBD_3888	CH60_ECOLI	C6ECY2_ECOBD	0.27			0.06		0.56	0.25		0.06	0.18		0.74				0.06
P62768	253774809	  |   | 0,22	ECBD_3455	YAEH_ECOLI	C6EAC1_ECOBD	0.22			0.22												
P00864	253775405	"0,03 |   |  ; | 0,1 | ; |  | 0,18; |  | 0,03"	ECBD_4068	CAPP_ECOLI	C6EE53_ECOBD	0.09	0.03				0.1				0.18			0.03			
P0ACB4	253775511	  | 0,16 |  	ECBD_4175	HEMG_ECOLI	C6EF48_ECOBD	0.16		0.16													
P36979	253772589	"  |   | 0,08;0,08 |  | "	ECBD_1169	RLMN_ECOLI	C6EKJ2_ECOBD	0.08			0.08	0.08											
P07623	253775362	0,09 |   |  	ECBD_4024	META_ECOLI	C6EE10_ECOBD	0.09	0.09														
P0A8G0	253773135	  | 0,05 |  	ECBD_1730	UVRC_ECOLI	C6EBE9_ECOBD	0.05		0.05													
P11454	253774430	"  | 0,01 |  ; | 0,01 | "	ECBD_3069	ENTF_ECOLI	C6EKA9_ECOBD	0.01		0.01			0.01										
P75821	253774102	  |   | 0,09	ECBD_2726	YBJS_ECOLI	C6EIB3_ECOBD	0.09			0.09												
P00957	253772448	"  | 0,03 |  ; | 0,18 | ; |  | 0,07; | 0,03 | ;0,03 | 0,03 | 0,07"	ECBD_1028	SYA_ECOLI	C6EJT4_ECOBD	0.06		0.03			0.18				0.07		0.03		0.03	0.03	0.07
P64499	253773221	"7,26 | 67,19 | 10,74; | 0,32 | "	ECBD_1816	YEBO_ECOLI	C6EC05_ECOBD	21.38	7.26	67.19	10.74		0.32										
P64451	253773594	"2,36 | 2,1 | 1,86; |  | 0,29"	ECBD_2209	YDCL_ECOLI	C6EET2_ECOBD	1.65	2.36	2.1	1.86			0.29									
P0A8I8	253774378	"4,48 | 2,29 | 4,97; |  | 0,19; | 0,19 | ;0,19 |  | "	ECBD_3015	RLMH_ECOLI	C6EK57_ECOBD	2.05	4.48	2.29	4.97			0.19		0.19		0.19					
P28249	253773004	1,17 | 1,04 | 1,75	ECBD_1591	ASMA_ECOLI	C6EAP3_ECOBD	1.32	1.17	1.04	1.75												
P0ADT8	253772109	"0,64 | 1,19 | 1,7; |  | 0,15"	ECBD_0686	YGIM_ECOLI	C6EHU0_ECOBD	0.92	0.64	1.19	1.7			0.15									
P00968	253774934	"2,16 | 3,39 | 1,68; | 0,21 | 0,03;0,03 | 0,21 | 0,31;0,06 |  | "	ECBD_3582	CARB_ECOLI	C6EB19_ECOBD	0.9	2.16	3.39	1.68		0.21	0.03	0.03	0.21	0.31	0.06					
P0AF70	253775228	"0,25 | 0,64 | 0,83; |  | 0,65"	ECBD_3887	YJEI_ECOLI	C6ECY1_ECOBD	0.59	0.25	0.64	0.83			0.65									
P0AG27	253771546	"0,4 | 0,96 | 1,5; | 0,48 | ;0,48 |  | "	ECBD_0114	YIBN_ECOLI	C6EDH8_ECOBD	0.76	0.4	0.96	1.5		0.48		0.48								
P31433	253771502	"1,04 | 11,14 | 2,48; | 0,05 | "	ECBD_0069	YICH_ECOLI	C6EDD4_ECOBD	3.68	1.04	11.14	2.48		0.05										
P0AA91	253773241	"0,12 | 0,54 | 0,66;0,56 |  | 0,35; | 1,10 | ; | 0,16 | "	ECBD_1836	YEAY_ECOLI	C6EC25_ECOBD	0.5	0.12	0.54	0.66	0.56		0.35		1.1			0.16				
P0ADB1	253773307	"1,67 | 4,85 | 4,85; | 1,69 | ; |  | 0,28"	ECBD_1906	OSME_ECOLI	C6ECL9_ECOBD	2.67	1.67	4.85	4.85		1.69				0.28						
P0A855	253774289	"0,2 | 0,65 | 0,8; |  | 0,07; | 0,74 | ;0,15 |  | 0,32"	ECBD_2920	TOLB_ECOLI	C6EJJ7_ECOBD	0.42	0.2	0.65	0.8			0.07		0.74		0.15		0.32			
P16926	253771921	"0,2 | 0,55 | 0,64; | 0,17 | ; | 0,17 | ; |  | 0,17"	ECBD_0497	MREC_ECOLI	C6EGL1_ECOBD	0.32	0.2	0.55	0.64		0.17			0.17				0.17			
P76537	253772669	"0,15 | 3,08 | 0,76; | 0,34 | ;0,34 |  | "	ECBD_1250	YFEY_ECOLI	C6EKS2_ECOBD	0.93	0.15	3.08	0.76		0.34		0.34								
P0ABZ6	253774915	0,52 | 0,75 | 0,75	ECBD_3562	SURA_ECOLI	C6EB00_ECOBD	0.67	0.52	0.75	0.75												
P43671	253774020	"1,52 | 7,61 | 2,42; | 0,11 | 0,24; | 0,24 | 0,11;0,17 | 0,11 | "	ECBD_2644	PQIB_ECOLI	C6EI31_ECOBD	1.39	1.52	7.61	2.42		0.11	0.24		0.24	0.11	0.17	0.11	
P0AEE1	253771699	"1,78 | 3,18 | 1,78; | 0,87 | "	ECBD_0269	DCRB_ECOLI	C6EFA2_ECOBD	1.9	1.78	3.18	1.78		0.87							
P46130	253774280	"0,39 | 0,48 | 0,48; | 0,07 | ;0,07 |  | "	ECBD_2910	YBHC_ECOLI	C6EJI8_ECOBD	0.3	0.39	0.48	0.48		0.07		0.07					
P40710	253774780	"0,21 | 0,4 | 0,47; | 0,13 | ; |  | 0,13"	ECBD_3426	NLPE_ECOLI	C6EA92_ECOBD	0.27	0.21	0.4	0.47		0.13				0.13			
P0A6S0	253773897	"0,08 | 0,35 | 0,58; | 0,46 | ; |  | 0,13"	ECBD_2521	FLGH_ECOLI	C6EHD4_ECOBD	0.32	0.08	0.35	0.58		0.46				0.13			
Q46798	253772294	"0,86 | 1,53 | 0,86;0,26 | 0,26 | 0,26; | 0,42 | 0,12; |  | 0,26"	ECBD_0872	YGER_ECOLI	C6EIP3_ECOBD	0.54	0.86	1.53	0.86	0.26	0.26	0.26		0.42	0.12			0.26
P17315	253772919	0,16 | 0,83 | 0,7	ECBD_1503	CIRA_ECOLI	C6EAF8_ECOBD	0.56	0.16	0.83	0.7									
P0A921	253775553	"0,34 | 1,08 | 0,93;0,1 |  | ; | 0,33 | ; |  | 0,21"	ECBD_4217	PA1_ECOLI	C6EF90_ECOBD	0.5	0.34	1.08	0.93	0.1				0.33				0.21
P20966	253772907	"0,23 | 0,37 | 0,52; |  | 0,12; | 0,06 | ; | 0,06 | "	ECBD_1491	PTFBC_ECOLI	C6EA31_ECOBD	0.23	0.23	0.37	0.52			0.12		0.06			0.06	
P0AB38	253773872	" | 0,53 | 0,38; | 0,74 | ;0,15 |  | 0,32"	ECBD_2496	YCFM_ECOLI	C6EGY7_ECOBD	0.42		0.53	0.38		0.74		0.15		0.32			
P0AC44	253774307	"0,21 | 0,53 | 0,84;1,03 |  | "	ECBD_2938	DHSD_ECOLI	C6EJL5_ECOBD	0.65	0.21	0.53	0.84	1.03								
P0ADT2	253772126	"0,25 | 1,21 | 0,4;0,14 |  | 0,14; |  | 0,14; | 0,14 | "	ECBD_0703	YGIB_ECOLI	C6EHV7_ECOBD	0.35	0.25	1.21	0.4	0.14		0.14			0.14		0.14	
P07014	253774305	"0,23 | 0,88 | 0,52; |  | 0,26; | 0,12 | 0,12; | 0,12 | 0,12"	ECBD_2936	DHSB_ECOLI	C6EJL3_ECOBD	0.3	0.23	0.88	0.52			0.26		0.12	0.12		0.12	0.12
P0ABF8	253773136	"0,1 | 0,47 | 0,87; | 0,16 | "	ECBD_1731	PGSA_ECOLI	C6EBF0_ECOBD	0.4	0.1	0.47	0.87		0.16							
P31680	253774913	"0,08 | 0,68 | 0,35; |  | ; |  | ; | 0,23 | "	ECBD_3560	DJLA_ECOLI	C6EAZ8_ECOBD	0.34	0.08	0.68	0.35								0.23	
P23930	253774359	"0,59 | 7,07 | 2,19; |  | 0,18"	ECBD_2994	LNT_ECOLI	C6EK38_ECOBD	2.51	0.59	7.07	2.19			0.18						
P10346	253774188	1,21 | 0,94 | 0,7	ECBD_2814	GLNQ_ECOLI	C6EIX3_ECOBD	0.95	1.21	0.94	0.7									
P76473	253772819	"0,07 | 0,22 | 0,5; |  | 0,17"	ECBD_1402	ARNT_ECOLI	C6E9U3_ECOBD	0.24	0.07	0.22	0.5			0.17						
P26647	253772145	0,29 | 0,66 | 0,66	ECBD_0722	PLSC_ECOLI	C6EHX6_ECOBD	0.54	0.29	0.66	0.66									
P0AE82	253775449	"0,25 | 0,25 | 0,12; | 0,13 | ; | 0,06 | "	ECBD_4112	CPXA_ECOLI	C6EEY6_ECOBD	0.16	0.25	0.25	0.12		0.13			0.06				
P0AEB2	253774382	"0,05 | 0,21 | 0,27; |  | 0,15; | 2,63 | ;0,77 |  | 1,20"	ECBD_3019	DACA_ECOLI	C6EK61_ECOBD	0.75	0.05	0.21	0.27			0.15		2.63		0.77		1.2
P13036	253775091	" | 2,97 | 1,15;0,04 | 0,04 | 0,08; | 0,12 | 0,04;0,21 | 0,16 | 0,35"	ECBD_3747	FECA_ECOLI	C6EC65_ECOBD	0.52		2.97	1.15	0.04	0.04	0.08		0.12	0.04	0.21	0.16	0.35
P77338	253774545	" | 1,02 | 1,02; |  | 0,08; | 0,03 | 0,08; |  | 0,05"	ECBD_3191	KEFA_ECOLI	C6EKZ9_ECOBD	0.38		1.02	1.02			0.08		0.03	0.08			0.05
P0AB67	253773442	" | 0,91 | 0,91; |  | 0,14; | 0,07 | "	ECBD_2044	PNTB_ECOLI	C6EDP6_ECOBD	0.51		0.91	0.91			0.14		0.07				
P30844	253775259	"0,69 | 0,52 | 1,58; | 0,08 | "	ECBD_3919	BASS_ECOLI	C6ED12_ECOBD	0.72	0.69	0.52	1.58		0.08							
P10100	253774381	" | 0,74 | 0,32; |  | 0,18"	ECBD_3018	RLPA_ECOLI	C6EK60_ECOBD	0.41		0.74	0.32			0.18						
P0AEC3	253771956	" | 0,26 | 0,19; | 0,08 | ; | 0,04 | ; | 0,04 | 0,08"	ECBD_0532	ARCB_ECOLI	C6EH17_ECOBD	0.12		0.26	0.19		0.08			0.04			0.04	0.08
P39835	253771756	" | 0,29 | 0,43; | 0,15 | 0,15; | 0,15 | ;0,23 |  | 0,15"	ECBD_0330	GNTT_ECOLI	C6EFF9_ECOBD	0.22		0.29	0.43		0.15	0.15		0.15		0.23		0.15
P0ABB8	253775132	" | 0,26 | 0,34; |  | 0,1; | 0,03 | 0,07"	ECBD_3791	ATMA_ECOLI	C6ECA6_ECOBD	0.16		0.26	0.34			0.1		0.03	0.07			
P04079	253772599	0,09 | 0,55 | 0,84	ECBD_1179	GUAA_ECOLI	C6EKK2_ECOBD	0.49	0.09	0.55	0.84									
P45800	253771774	"1,28 | 1,28 | 1,28;0,04 |  | ; | 0,04 | "	ECBD_0348	IGAA_ECOLI	C6EFH7_ECOBD	0.78	1.28	1.28	1.28	0.04				0.04				
P0A7E1	253774026	0,12 | 0,59 | 0,12	ECBD_2650	PYRD_ECOLI	C6EI37_ECOBD	0.28	0.12	0.59	0.12									
P17443	253774880	"0,39 | 1,68 | 0,93; | 0,29 | ; |  | 0,18"	ECBD_3527	MURG_ECOLI	C6EAW5_ECOBD	0.69	0.39	1.68	0.93		0.29				0.18			
P29018	253774084	"0,2 | 0,09 | 0,09; |  | 0,05; | 0,10 | ;0,10 |  | "	ECBD_2708	CYDD_ECOLI	C6EI95_ECOBD	0.11	0.2	0.09	0.09			0.05		0.1		0.1		
P69786	253773876	"0,04 | 0,13 | 0,13;0,06 |  | 0,29; | 0,13 | ;0,06 |  | 0,06"	ECBD_2500	PTGCB_ECOLI	C6EGZ1_ECOBD	0.11	0.04	0.13	0.13	0.06		0.29		0.13		0.06		0.06
P23894	253773216	 | 0,15 | 0,27	ECBD_1811	HTPX_ECOLI	C6EC00_ECOBD	0.21		0.15	0.27									
P08506	253774159	"0,07 | 0,21 | 0,14; |  | 0,08; | 0,67 | ;0,44 |  | 0,44"	ECBD_2784	DACC_ECOLI	C6EIU4_ECOBD	0.29	0.07	0.21	0.14			0.08		0.67		0.44		0.44
P0A830	253771641	" | 0,2 | 0,25;0,07 |  | ;0,07 |  | 0,15"	ECBD_0211	DCTA_ECOLI	C6EEF5_ECOBD	0.15		0.2	0.25	0.07			0.07		0.15			
P28635	253774775	"0,15 | 0,23 | 0,4; | 0,24 | ;0,38 |  | 0,24"	ECBD_3421	METQ_ECOLI	C6EA87_ECOBD	0.27	0.15	0.23	0.4		0.24		0.38		0.24			
P67244	253772159	" | 0,21 | 0,1; |  | ; |  | "	ECBD_0736	YQHA_ECOLI	C6EHZ0_ECOBD	0.16		0.21	0.1									
P0A8N5	253775242	"0,16 | 0,16 | 0,25; | 0,12 | ;0,06 | 0,12 | 0,12"	ECBD_3901	SYK2_ECOLI	C6ECZ5_ECOBD	0.14	0.16	0.16	0.25		0.12		0.06	0.12	0.12			
P0C0L7	253775260	" | 0,15 | 0,15; |  | 0,06"	ECBD_3920	PROP_ECOLI	C6ED13_ECOBD	0.12		0.15	0.15			0.06						
P0AEP1	253772219	0,37 | 1,2 | 	ECBD_0797	GALP_ECOLI	C6EIG8_ECOBD	0.79	0.37	1.2										
P0ABU9	253774292	" | 0,63 | 0,28;0,13 | 0,45 | ; | 0,13 | 0,28"	ECBD_2923	TOLQ_ECOLI	C6EJK0_ECOBD	0.32		0.63	0.28	0.13	0.45			0.13	0.28			
P69801	253773228	"0,16 | 0,25 | 0,35; | 0,12 | "	ECBD_1823	PTNC_ECOLI	C6EC12_ECOBD	0.22	0.16	0.25	0.35		0.12							
P0AG00	253775589	" | 0,21 | 0,29; | 0,27 | ; |  | 0,08"	ECBD_4254	WZZE_ECOLI	C6EG27_ECOBD	0.21		0.21	0.29		0.27				0.08			
P00956	253774942	" | 0,15 | 0,42;0,02 |  | ; | 0,02 | ; |  | "	ECBD_3590	SYI_ECOLI	C6EB27_ECOBD	0.15		0.15	0.42	0.02				0.02				
P0A6J5	253773813	" | 0,62 | 0,38; | 0,14 | "	ECBD_2433	DADA_ECOLI	C6EGS8_ECOBD	0.38		0.62	0.38		0.14							
P37659	253771631	 | 0,3 | 0,3	ECBD_0201	YHJU_ECOLI	C6EEE5_ECOBD	0.3		0.3	0.3									
P76397	253772992	 | 0,03 | 0,03	ECBD_1579	MDTA_ECOLI	C6EAN1_ECOBD	0.03		0.03	0.03									
P0ADB7	253775223	"0,22 | 0,5 | 0,22; | 0,75 | ;0,75 |  | 0,75"	ECBD_3882	ECNB_ECOLI	C6ECX6_ECOBD	0.53	0.22	0.5	0.22		0.75		0.75		0.75			
P77529	253773317	 | 0,03 | 0,07	ECBD_1916	YDJN_ECOLI	C6ECM9_ECOBD	0.05		0.03	0.07									
P02918	253771777	" | 0,8 | 0,22; |  | 0,03;0,03 |  | "	ECBD_0351	PBPA_ECOLI	C6EFI0_ECOBD	0.27		0.8	0.22			0.03	0.03					
P0ABN1	253775330	" | 0,07 | 0,07; |  | 0,26; | 0,26 | 0,26"	ECBD_3991	KDGL_ECOLI	C6EDX8_ECOBD	0.18		0.07	0.07			0.26		0.26	0.26			
P30845	253775257	" | 0,51 | 0,51;0,11 |  | 0,29; | 0,29 | ; | 0,11 | 0,36"	ECBD_3917	EPTA_ECOLI	C6ED10_ECOBD	0.31		0.51	0.51	0.11		0.29		0.29			0.11	0.36
P39401	253775010	" | 1,28 | ; |  | 0,04"	ECBD_3660	OPGB_ECOLI	C6EBL1_ECOBD	0.66		1.28				0.04						
P23538	253773343	" | 0,12 | 0,26; |  | 0,04"	ECBD_1944	PPSA_ECOLI	C6ECQ5_ECOBD	0.14		0.12	0.26			0.04						
P14900	253774882	" | 1,1 | 1,1; |  | "	ECBD_3529	MURD_ECOLI	C6EAW7_ECOBD	1.1		1.1	1.1									
P25665	253775545	" | 0,07 | 0,15; | 0,08 | ;0,12 | 0,25 | 0,16;0,16 |  | 0,12"	ECBD_4209	METE_ECOLI	C6EF82_ECOBD	0.14		0.07	0.15		0.08		0.12	0.25	0.16	0.16		0.12
P0AAA1	253774724	" | 1,19 | 0,69; | 0,31 | ; | 0,15 | "	ECBD_3370	YAGU_ECOLI	C6EA36_ECOBD	0.59		1.19	0.69		0.31			0.15				
P69425	253775522	" | 2,77 | ; | 0,18 | "	ECBD_4186	TATB_ECOLI	C6EF59_ECOBD	1.48		2.77			0.18							
P0C0S1	253772236	" | 0,32 | 0,75; | 0,11 | ; |  | 0,11"	ECBD_0814	MSCS_ECOLI	C6EII5_ECOBD	0.32		0.32	0.75		0.11				0.11			
P0A843	253774387	" | 0,16 | 0,16; |  | 0,51; | 0,51 | 0,51"	ECBD_3024	TATE_ECOLI	C6EK66_ECOBD	0.37		0.16	0.16			0.51		0.51	0.51			
P06983	253775572	" | 0,06 | 0,06; |  | 0,10"	ECBD_4237	HEM3_ECOLI	C6EG10_ECOBD	0.07		0.06	0.06			0.1						
P0ABI8	253774581	" | 0,23 | 0,07; |  | 0,19; | 0,04 | "	ECBD_3227	CYOB_ECOLI	C6EL35_ECOBD	0.13		0.23	0.07			0.19		0.04				
P15877	253774848	" | 0,18 | 0,18; |  | 0,12; | 0,16 | ; | 0,16 | 0,12"	ECBD_3495	DHG_ECOLI	C6EAT3_ECOBD	0.15		0.18	0.18			0.12		0.16			0.16	0.12
P0A953	253772753	" | 0,11 | 0,3; |  | 0,08; | 0,08 | ; |  | 0,08"	ECBD_1336	FABB_ECOLI	C6ELD0_ECOBD	0.13		0.11	0.3			0.08		0.08				0.08
P46889	253774081	" | 0,9 | ; |  | "	ECBD_2705	FTSK_ECOLI	C6EI92_ECOBD	0.9		0.9										
P0ADC3	253773861	 | 0,33 | 0,1	ECBD_2485	LOLC_ECOLI	C6EGX6_ECOBD	0.22		0.33	0.1									
P19934	253774290	" | 0,07 | 0,07;0,16 | 0,08 | 0,08; |  | 0,16; |  | 0,08"	ECBD_2921	TOLA_ECOLI	C6EJJ8_ECOBD	0.1		0.07	0.07	0.16	0.08	0.08			0.16			0.08
P0A6F1	253774935	"0,09 | 0,3 | ; | 0,08 | ;0,08 | 0,08 | ; |  | 0,17"	ECBD_3583	CARA_ECOLI	C6EB20_ECOBD	0.13	0.09	0.3			0.08		0.08	0.08				0.17
P62517	253773926	" | 0,16 | 0,08; |  | 0,07; | 0,03 | ; | 0,03 | "	ECBD_2550	OPGH_ECOLI	C6EHG3_ECOBD	0.07		0.16	0.08			0.07		0.03			0.03	
P77804	253773430	"0,14 | 0,49 | ; | 0,19 | ; |  | 0,19"	ECBD_2032	YDGA_ECOLI	C6EDN4_ECOBD	0.25	0.14	0.49			0.19				0.19			
P00452	253772843	"0,17 | 0,17 | ; | 0,2 | ; | 0,08 | 0,08"	ECBD_1426	RIR1_ECOLI	C6E9W7_ECOBD	0.14	0.17	0.17			0.2			0.08	0.08			
P0AC41	253774306	" | 0,46 | 0,14; | 0,22 | 0,28; | 0,56 | 0,05;0,41 | 0,05 | 0,48"	ECBD_2937	DHSA_ECOLI	C6EJL4_ECOBD	0.29		0.46	0.14		0.22	0.28		0.56	0.05	0.41	0.05	0.48
P69428	253775523	" | 0,36 | ;0,36 |  | "	ECBD_4187	TATA_ECOLI	C6EF60_ECOBD	0.36		0.36		0.36								
P17169	253775636	 | 0,6 | 0,17	ECBD_4303	GLMS_ECOLI	C6EG74_ECOBD	0.39		0.6	0.17									
P0A7D4	253775198	" | 0,04 | 0,04; | 0,07 | 0,07; |  | 0,07; |  | 0,07"	ECBD_3857	PURA_ECOLI	C6ECH2_ECOBD	0.06		0.04	0.04		0.07	0.07			0.07			0.07
P0ACF0	253774569	" | 0,16 | 0,05; | 0,38 | "	ECBD_3215	DBHA_ECOLI	C6EL23_ECOBD	0.2		0.16	0.05		0.38							
P27302	253772225	"0,09 | 0,19 | ; | 0,25 | ; |  | 0,09"	ECBD_0803	TKT1_ECOLI	C6EIH4_ECOBD	0.16	0.09	0.19			0.25				0.09			
	253775200	" | 0,19 | 0,19;0,18 | 0,4 | 0,4;0,18 | 0,09 | "	ECBD_3859		http://www.uniprot.org/uniprot/?query=C6ECH4_ECOBD&sort=score	0.23		0.19	0.19	0.18	0.4	0.4	0.18	0.09				
P39830	253774532	 | 0,13 | 	ECBD_3178	YBAL_ECOLI	C6EKY6_ECOBD	0.13		0.13										
P23886	253774085	 | 1,25 | 	ECBD_2709	CYDC_ECOLI	C6EI96_ECOBD	1.25		1.25										
P0AFG6	253774303	" | 0,15 | 0,15;0,16 |  | 0,54; | 0,08 | "	ECBD_2934	ODO2_ECOLI	C6EJL1_ECOBD	0.22		0.15	0.15	0.16		0.54		0.08				
P37617	253771702	" | 0,09 | ; |  | 0,09;0,04 |  | "	ECBD_0272	ATZN_ECOLI	C6EFA5_ECOBD	0.07		0.09				0.09	0.04					
P02916	253775342	" | 0,56 | ; | 0,06 | 0,12; | 0,12 | ;0,12 |  | 0,12"	ECBD_4003	MALF_ECOLI	C6EDZ0_ECOBD	0.18		0.56			0.06	0.12		0.12		0.12		0.12
P0ABI4	253775559	" |  | 0,28;0,19 |  | 0,19; | 0,09 | ; |  | 0,09"	ECBD_4224	CORA_ECOLI	C6EFZ7_ECOBD	0.17			0.28	0.19		0.19		0.09				0.09
P0AAI3	253771988	" |  | 0,06;0,65 | 0,44 | 0,97;0,20 | 0,44 | 0,25;0,20 |  | "	ECBD_0564	FTSH_ECOLI	C6EH49_ECOBD	0.4			0.06	0.65	0.44	0.97	0.2	0.44	0.25	0.2		
P60752	253774057	" | 0,54 | ; |  | 0,28; | 0,10 | ;0,05 | 0,05 | 0,05"	ECBD_2681	MSBA_ECOLI	C6EI68_ECOBD	0.18		0.54				0.28		0.1		0.05	0.05	0.05
P0AE45	253775153	" |  | 0,05; |  | 0,29; | 0,14 | ; | 0,07 | 0,07"	ECBD_3812	YTFL_ECOLI	C6ECC7_ECOBD	0.12			0.05			0.29		0.14			0.07	0.07
P24232	253772552	 | 4,71 | 	ECBD_1132	HMP_ECOLI	C6EKF5_ECOBD	4.71		4.71										
P21599	253773189	" | 1,8 | ; | 0,36 | 0,13;0,13 |  | ; | 0,13 | "	ECBD_1784	KPYK2_ECOLI	C6EBX3_ECOBD	0.51		1.8			0.36	0.13	0.13				0.13	
P0A8M3	253773326	" | 1,38 | ; | 0,6 | ;0,47 |  | 0,54;0,09 |  | "	ECBD_1926	SYT_ECOLI	C6ECN8_ECOBD	0.62		1.38			0.6		0.47		0.54	0.09		
P64604	253771973	" |  | 0,37;0,37 | 0,17 | 0,17; | 0,37 | 0,17; | 0,61 | "	ECBD_0549	MLAD_ECOLI	C6EH34_ECOBD	0.32			0.37	0.37	0.17	0.17		0.37	0.17		0.61	
P0AG93	253774606	" |  | 0,08;0,09 |  | "	ECBD_3252	SECF_ECOLI	C6ELH5_ECOBD	0.09			0.08	0.09								
P05825	253774433	" |  | 0,08; | 0,12 | ;0,12 | 0,12 | 0,26;0,12 | 0,08 | 0,42"	ECBD_3072	FEPA_ECOLI	C6EKB2_ECOBD	0.17			0.08		0.12		0.12	0.12	0.26	0.12	0.08	0.42
P0ADY1	253774568	" |  | 0,24; |  | 0,1; | 1,12 | ;0,33 | 0,10 | 0,46"	ECBD_3214	PPID_ECOLI	C6EL22_ECOBD	0.39			0.24			0.1		1.12		0.33	0.1	0.46
P0A7E5	253772369	" | 0,11 | ; |  | 0,05; | 0,17 | 0,05; |  | 0,05"	ECBD_0949	PYRG_ECOLI	C6EJ92_ECOBD	0.09		0.11				0.05		0.17	0.05			0.05
