K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P76272	253773211	"0,15 | 0,23 | 0,23;1,78 | 2,16 | 3,35; | 0,07 | 0,31; | 0,15 | 0,07;0,07 | 0,03 | 0,18"	ECBD_1806	YEBT_ECOLI	C6EBZ5_ECOBD	0.68	0.15	0.23	0.23	1.78	2.16	3.35		0.07	0.31		0.15	0.07	0.07	0.03	0.18
P0A9K3	253774356	0,28 | 1,25 | 0,38	ECBD_2991	PHOL_ECOLI	C6EK35_ECOBD	0.64	0.28	1.25	0.38												
P21499	253775196	"  | 0,23 | 0,42; | 0,15 | 0,07; |  | 0,15; | 0,04 | "	ECBD_3855	RNR_ECOLI	C6ECH0_ECOBD	0.18		0.23	0.42		0.15	0.07			0.15		0.04				
P00393	253773868	"0,22 | 0,40 | 0,31; | 0,09 | 0,09;0,4 | 0,6 | 0,5;0,40 | 0,31 | 0,60;0,22 | 0,14 | 0,40"	ECBD_2492	DHNA_ECOLI	C6EGY3_ECOBD	0.33	0.22	0.4	0.31		0.09	0.09	0.4	0.6	0.5	0.4	0.31	0.6	0.22	0.14	0.4
P37665	253771615	"0,52 | 1,02 | 0,32; |  | 0,2;1,33 | 0,76 | 1,02;0,52 | 1,33 | 0,52;0,52 | 2,08 | 0,76"	ECBD_0185	YIAD_ECOLI	C6EEC9_ECOBD	0.84	0.52	1.02	0.32			0.2	1.33	0.76	1.02	0.52	1.33	0.52	0.52	2.08	0.76
P0A7T3	253772497	"  | 1,62 | 5,86; | 0,08 | 0,08;0,38 | 0,38 | "	ECBD_1077	RS16_ECOLI	C6EJY3_ECOBD	1.4		1.62	5.86		0.08	0.08	0.38	0.38							
P0A7L3	253773329	"0,97 | 1,48 | 1,48; |  | 0,11;2,11 | 0,97 | 0,57; | 0,57 | 0,57; | 1,48 | "	ECBD_1929	RL20_ECOLI	C6ECP1_ECOBD	1.03	0.97	1.48	1.48			0.11	2.11	0.97	0.57		0.57	0.57		1.48	
P0A6P9	253772370	"0,52 | 0,42 | 0,32; | 0,07 | ;0,15 | 0,24 | ;0,52 |  | 0,15"	ECBD_0950	ENO_ECOLI	C6EJ93_ECOBD	0.3	0.52	0.42	0.32		0.07		0.15	0.24		0.52		0.15			
P0AF20	253774351	"0,15 | 0,64 | 0,53; | 0,07 | ; |  | 0,07"	ECBD_2986	NAGC_ECOLI	C6EJQ9_ECOBD	0.29	0.15	0.64	0.53		0.07				0.07						
P0A7L8	253771981	"0,90 |   | 2,61; | 0,17 | 0,17; |  | 0,90"	ECBD_0557	RL27_ECOLI	C6EH42_ECOBD	0.95	0.9		2.61		0.17	0.17			0.9						
P24182	253771914	"  | 0,67 | 0,38; | 0,78 | 0,14;0,47 |  | 0,78"	ECBD_0489	ACCC_ECOLI	C6EGK4_ECOBD	0.54		0.67	0.38		0.78	0.14	0.47		0.78						
P02919	253774823	"0,07 | 0,27 | 0,27; | 0,58 | 0,26; | 0,31 | 0,67;0,11 | 0,27 | 0,27;0,11 | 0,36 | 0,27"	ECBD_3470	PBPB_ECOLI	C6EAD5_ECOBD	0.29	0.07	0.27	0.27		0.58	0.26		0.31	0.67	0.11	0.27	0.27	0.11	0.36	0.27
P0ABF1	253774829	"0,19 | 0,43 | 0,34; | 0,06 | 0,06; | 0,13 | "	ECBD_3476	PCNB_ECOLI	C6EAE1_ECOBD	0.2	0.19	0.43	0.34		0.06	0.06		0.13							
P0ADG4	253772571	"0,54 | 0,11 | 0,24; | 0,24 | ; |  | 0,11"	ECBD_1151	SUHB_ECOLI	C6EKH4_ECOBD	0.25	0.54	0.11	0.24		0.24				0.11						
P0A6B7	253772574	" | 0,42 | 0,42; | 0,24 | ; |  | 0,07; |  | 0,07"	ECBD_1154	ISCS_ECOLI	C6EKH7_ECOBD	0.24		0.42	0.42		0.24				0.07			0.07			
P0A9Q5	253772760	"0,76 | 0,10 | 0,76; | 0,1 | "	ECBD_1343	ACCD_ECOLI	C6ELD7_ECOBD	0.43	0.76	0.1	0.76		0.1										
P30871	253772110	"0,30 | 0,22 | 0,30; | 0,14 | "	ECBD_0687	YGIF_ECOLI	C6EHU1_ECOBD	0.24	0.3	0.22	0.3		0.14										
P27303	253772455	"0,08 | 0,56 | 0,45; |  | ;0,25 | 0,16 | 0,45;0,25 | 0,56 | 0,25;0,35 |  | 0,45"	ECBD_1035	EMRA_ECOLI	C6EJU1_ECOBD	0.35	0.08	0.56	0.45				0.25	0.16	0.45	0.25	0.56	0.25	0.35		0.45
P60438	253771856	"0,76 |   | 0,52; | 0,75 | ; | 1,33 | ;0,32 | 0,32 | 2,08; |  | 0,15"	ECBD_0431	RL3_ECOLI	C6EGE6_ECOBD	0.78	0.76		0.52		0.75			1.33		0.32	0.32	2.08			0.15
P60624	253771867	"  | 1,89 | 2,77; | 0,16 | ;0,70 |  | 2,77;0,70 |  | "	ECBD_0442	RL24_ECOLI	C6EGF7_ECOBD	1.5		1.89	2.77		0.16		0.7		2.77	0.7					
P0CE48	253775391	"  | 0,55 |  ; |  | 0,04;0,44 | 3,65 | 0,93;3,65 | 4,00 | 2,47;1,59 | 0,16 | 3,65"	ECBD_4053	EFTU2_ECOLI	C6EE39_ECOBD	1.92		0.55				0.04	0.44	3.65	0.93	3.65	4	2.47	1.59	0.16	3.65
P0A707	253773327	"0,83 | 0,57 | 0,83; | 0,16 | ;0,35 |  | "	ECBD_1927	IF3_ECOLI	C6ECN9_ECOBD	0.55	0.83	0.57	0.83		0.16		0.35								
P68679	253772099	"2,95 | 1,80 | 4,57;0,57 | 0,25 | 0,57; | 0,99 | 2,95; | 0,41 | "	ECBD_0676	RS21_ECOLI	C6EHT0_ECOBD	1.67	2.95	1.8	4.57	0.57	0.25	0.57		0.99	2.95		0.41				
P10384	253772733	"  | 0,30 | 0,22; |  | 0,5;0,22 |  | 0,58; | 0,39 | ;0,22 | 0,30 | 0,30"	ECBD_1316	FADL_ECOLI	C6ELB0_ECOBD	0.34		0.3	0.22			0.5	0.22		0.58		0.39		0.22	0.3	0.3
P0A7M2	253771522	"1,65 | 0,38 | 0,38; | 0,07 | ; |  | 0,38;0,38 |  | "	ECBD_0089	RL28_ECOLI	C6EDF4_ECOBD	0.54	1.65	0.38	0.38		0.07				0.38	0.38					
P0ACB7	253775575	"0,15 | 0,33 | 0,24; | 0,23 | 0,51;0,24 | 0,42 | 0,42;0,24 | 0,07 | 0,24; | 0,15 | 0,24"	ECBD_4240	HEMY_ECOLI	C6EG13_ECOBD	0.27	0.15	0.33	0.24		0.23	0.51	0.24	0.42	0.42	0.24	0.07	0.24		0.15	0.24
P0A705	253771996	"  | 0,39 | 0,10; | 0,1 | ; | 0,07 | 0,18; |  | 0,03"	ECBD_0572	IF2_ECOLI	C6EH57_ECOBD	0.15		0.39	0.1		0.1			0.07	0.18			0.03			
P45577	253773214	"0,44 | 1,33 | 1,07; | 0,27 | "	ECBD_1809	PROQ_ECOLI	C6EBZ8_ECOBD	0.78	0.44	1.33	1.07		0.27										
P0ADC1	253774373	"0,34 | 1,39 |  ;0,16 | 0,08 | 0,35;1,07 | 0,16 | 0,55;0,16 | 1,77 | 0,55;0,34 | 1,39 | 0,55"	ECBD_3010	LPTE_ECOLI	C6EK52_ECOBD	0.63	0.34	1.39		0.16	0.08	0.35	1.07	0.16	0.55	0.16	1.77	0.55	0.34	1.39	0.55
P68919	253772888	"3,07 | 4,40 | 8,47; | 0,08 | 0,08; | 1,32 | "	ECBD_1472	RL25_ECOLI	C6EA12_ECOBD	2.9	3.07	4.4	8.47		0.08	0.08		1.32							
