Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
TORT_ECOLI	P38683	0	1	1	1	1	0	0	4	G		0	0	0	0		
YCHO_ECOLI	P39165	0	1	1	1	0	0	0	3	G		2	0	0			
ULAA_ECOLI	P39301	0	1	1	1	0	0	0	3	B		0	0	0			
YTFF_ECOLI	P39314	0	1	1	1	0	0	0	3	B		2	0				
QSEC_ECOLI	P40719	1	1	1	1	0	0	1	5	B		0	0	0			B
MTOX_ECOLI	P40874	1	1	1	1	0	0	0	4	B	1	2	0	0			
YGJI_ECOLI	P42590	0	1	1	1	0	0	0	3	B		0	0	0			
YGJK_ECOLI	P42592	0	1	1	1	0	0	0	3	G		2	1				
ALX_ECOLI	P42601	0	1	1	1	0	0	1	4	B		0	0	0			B
YGJV_ECOLI	P42603	0	1	1	1	0	0	0	3	B		1	0	0			
YHBX_ECOLI	P42640	0	1	1	1	0	0	0	3	B		0	0	0			
PTPD_ECOLI	P42911	0	1	1	1	1	0	0	4	B		0	0	0	0		
AIS_ECOLI	P45565	0	1	1	1	1	0	1	5	G		0	0	0	0		G
YRFB_ECOLI	P45751	0	1	1	1	0	0	0	3	B		0	0	0			
YRFD_ECOLI	P45753	0	1	1	1	0	0	0	3	G		0	0	0			
YHDX_ECOLI	P45767	0	1	1	1	0	0	0	3	B		0	0	0			
YHDY_ECOLI	P45768	0	1	1	1	0	0	0	3	B		0	0	0			
YHDZ_ECOLI	P45769	0	1	1	1	0	0	1	4	F1		0	0	0			F1
AAEA_ECOLI	P46482	1	1	1	1	0	0	1	5	B	1	0	0	0			B
TORY_ECOLI	P52005	0	1	1	1	0	0	0	3	B		0	0	0			
CSGC_ECOLI	P52107	0	1	1	1	0	0	0	3	G		0	0	0			
EMRK_ECOLI	P52599	0	1	1	1	0	0	0	3	G		0	0				
PLSY_ECOLI	P60782	0	1	1	1	0	0	1	4	B		2	0				B
YBJL_ECOLI	P60869	1	1	1	1	0	0	1	5	B		0	0	0			B
UPPP_ECOLI	P60932	0	1	1	1	0	0	1	4	B		2	1				B
KUP_ECOLI	P63183	1	1	1	1	0	0	1	5	B	1	1	0				B
YDJM_ECOLI	P64481	0	1	1	1	0	0	1	4	B		2	1				B
YQHH_ECOLI	P65298	0	1	1	1	0	0	0	3	I		0	0	0			
YGFO_ECOLI	P67444	0	1	1	1	0	0	0	3	B		0	0	0			
FIXC_ECOLI	P68644	0	1	1	1	0	1	0	4	F1		1	0	0			
MBHS_ECOLI	P69739	0	1	1	1	0	0	0	3	B		0	0	0			
FCTA_ECOLI	P69902	0	1	1	1	0	0	0	3	B		2	0	0			
WCAJ_ECOLI	P71241	0	1	1	1	0	0	0	3	B		0	0				
WCAM_ECOLI	P71244	0	1	1	1	0	0	0	3	G		0	0	0			
YBFM_ECOLI	P75733	0	1	1	1	0	0	0	3	H		0	0				
YBFN_ECOLI	P75734	0	1	1	1	0	0	0	3	I		0	1				
DTPD_ECOLI	P75742	0	1	1	1	0	0	0	3	B		0	0	0			
FIU_ECOLI	P75780	1	1	1	1	0	0	1	5	H		2	0	0			H
GSID_ECOLI	P75799	0	1	1	1	0	0	0	3	B		0	0				
YLII_ECOLI	P75804	0	1	1	1	0	0	0	3	G		0	0	0			
MACA_ECOLI	P75830	1	1	1	1	0	1	1	6	F2	1	1	0				F2
SSUA_ECOLI	P75853	0	1	1	1	0	0	1	4	G		0	0	0			G
YDEO_ECOLI	P76135	0	1	1	1	0	0	0	3	B		0	0	0			
YDIN_ECOLI	P76198	0	1	1	1	0	0	0	3	B		0	0	0			
YDIY_ECOLI	P76206	1	1	1	1	0	0	1	5	G	1	2	0				G
VES_ECOLI	P76214	0	1	1	1	0	0	0	3	B		2	0	0			
