ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
lpxA b0181 at	913.505	2	0.00157146
lpxB b0182 at	361.203	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
rnhB b0183 at	560.46	2	0.00269283
IG 118 205090 205125 fwd at	263.003	2	0.000244141
dnaE b0184 at	1328.14	2	0.000603158
accA b0185 at	461.039	2	0.0178004
IG 119 209581 209678 fwd at	213.314	2	0.00655181 begin_of_the_skype_highlighting              00655181      end_of_the_skype_highlighting
ldcC b0186 at	170.816	2	0.0178004
yaeR b0187 at	242.057	2	0.00993898
IG 120 212267 212330 fwd at	226.961	2	0.00928336
mesJ b0188 at	295.896	2	0.00622665
IG 121 213630 214290 fwd f at	204.331	2	0.00828276
yaeO b0189 at	543.86	2	0.0442012
IG 122 213939 216178 rev at	153.36	2	8,85E-01
yaeQ b0190 at	360.163	2	0.00049077
yaeJ b0191 at	472.036	2	0.00116472
cutF b0192 at	303.863	2	0.00130539
IG 123 215980 222832 fwd at	648.683	2	0.000387243
yaeF b0193 at	742.835	0	0.34162
proS b0194 at	790.831	2	0.00622665
IG 124 218776 218886 rev at	344.507	2	0.000402638
yaeB b0195 at	264.736	2	0.0206634
rcsF b0196 at	724.481	2	0.000761638
IG 125 219996 220112 rev at	281.254	2	0.00094359
yaeC b0197 at	524.793	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 126 220929 220967 rev at	380.421	2	0.00049077
yaeE b0198 at	376.208	2	0.0277665
abc b0199 at	370.395	0	0.0990615
IG 127 222646 229966 rev f at	112.669	2	3,11E-10
yaeD b0200 at	1677.3	2	0.000734887
IG 128 223409 223770 fwd f at	1808.09	2	2,98E+00
rrsH b0201 f at	14483	2	1,89E-01
IG 129 225313 225380 fwd s at	5450.29	2	0.00195313
IG 130 225458 225499 fwd s at	112.602	1	0.0625
IG 131 225576 225758 fwd f at	16900.1	2	0.000244141
rrlH b0204 s at	8702.01	2	0.015625
IG 132 228663 228755 fwd f at	11682.2	2	0.00195313
rrfH b0205 s at	20737.6	2	0.0078125
IG 133 228876 228927 fwd s at	2647.1	2	0.00390625
aspU b0206 s at	7882.64	2	0.0012207
IG 134 229005 229166 fwd at	130.234	0	0.633364
yafB b0207 at	149.363	2	0.015454
yafC b0208 at	161.704	2	0.0109718
IG 135 229971 231121 fwd at	48.006	0	0.432352
IG 136 230882 232596 rev at	217.212	0	0.48748
yafD b0209 at	392.201	0	0.105738
yafE b0210 at	140.291	2	0.0133783
IG 137 232550 234797 fwd at	206.563	0	0.41014
dniR b0211 at	1299.27	2	0.000493549
