Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P0A912	1	1	0	1	1	1	5	I	PAL_ECOLI	2.14	1.38E+02	5.06E+03		4.34	196					1.62	0.39	1.27	1.27	 	  	0.61	1.68	1.27	1.68	0.39	4.17	1.27	1.27	5.09	I
P0A917	1	0	0	1	1	1	4	H	OMPX_ECOLI	3.5	3.16E+03	3.12E+04	0.74							1.22	0.94	0.65	0.94	 	  	0.16	3.46	1.3	0.65	0.65	1.3	0.94	2.2	1.71	H
P0A921	0	1	1	1	1	1	5	H	PA1_ECOLI					0.64	30.64	0.0011084	110.84			0.5	0.34	1.08	0.93	0.1	  	 	 	0.33	 	 	  	0.21			H
P0A924	0	0	0	1	0	1	2	B	PGPB_ECOLI																										B
P0A930	0	0	0	1	0	0	1	I	WZA_ECOLI																										
P0A935	1	1	1	1	1	1	6	I	MLTA_ECOLI	0.36	1.28E+00	3.33E+02	0.41	1.07	50.43	0.00070266	70.266			0.5	  	0.37	  	0.55	1.39	0.79	 	  	0.17	 	0.08	0.17			I
P0A937	1	0	0	1	1	1	4	I	SMPA_ECOLI	1	9.00E+00	1.04E+03								0.28	  	   	0.28	 	0.28	0.28	 	  	0.28						I
P0A940	1	1	0	1	1	1	5	H	YAET_ECOLI	1	9.00E+00	1.04E+03		4.36	196.87				4666.37	0.98	0.28	0.77	0.77	 	  	0.19	0.04	0.53	1.61	0.33	2.47	0.38	1.7	0.64	H
P0A996	0	0	1	1	1	0	3	F1	GLPC_ECOLI							0.0002731	27.31			0.1	 	0.07	 	0.15	  	0.07									
P0A9C0	0	1	0	1	1	0	3	F1	GLPA_ECOLI					0.47	22.71					0.26	 	0.38	 	0.24	0.24	0.17									
P0A9J4	0	0	0	1	0	1	2	G	PANE_ECOLI																										G
P0A9K7	0	1	0	1	0	1	3	F1	PHOU_ECOLI					1.15	54.08			175.95																	F1
P0A9M5	1	1	0	1	0	1	4	F1	XGPT_ECOLI	1.2	1.48E+01	1.39E+03	0.51	25.83	1104.73																				F1
P0A9P0	1	1	1	1	1	1	6	F1	DLDH_ECOLI	3.25	1.78E+03	2.24E+04		49.55	2077.52	0.20595	20595	7569.96	42572.65	0.23	 	0.46	0.06	0.06	0.46	0.28	0.06	  	0.21						F1
P0A9P4	1	1	0	1	0	1	4	G	TRXB_ECOLI	2	9.90E+01	4.18E+03		33.15	1407.05			3011.39	2013.57																G
P0A9Q9	1	1	0	1	0	1	4	B	DHAS_ECOLI	2.18	1.51E+02	5.34E+03		7.73	343			14970.8	4346.76																B
P0A9R7	0	1	0	1	1	1	4	F1	FTSE_ECOLI					1.28	60					0.29	 	  	0.29												F1
P0A9S7	0	0	0	1	0	1	2	F1	LIVG_ECOLI																										F1
P0A9U1	0	0	1	1	0	1	3	F1	YBHF_ECOLI							0.00043917	43.917																		F1
P0A9U3	1	1	1	1	0	1	5	F1	YBIT_ECOLI	0.24	7.30E-01	2.41E+02		1.11	52.26	0.010395	1039.5	230.21																	F1
P0A9V1	1	1	0	1	1	1	5	F1	LPTB_ECOLI	0.15	4.25E-01	1.76E+02	0.41	3.22	146.75				1246.5	0.27	 	  	0.42	 	  	0.12									F1
P0A9W3	1	1	0	1	1	1	5	F1	YJJK_ECOLI	0.83	5.81E+00	8.05E+02	0.55	11.74	514.33			2167.32		0.2	 	0.23	 	0.23	0.11	0.23									F1
P0A9X1	0	0	1	1	1	1	4	F1	ZNUC_ECOLI							0.003321	332.1			0.11	 	  	0.11												F1
P0A9X4	1	1	1	1	1	1	6	F1	MREB_ECOLI	1.25	1.68E+01	1.49E+03		28.55	1217.34	0.090006	9000.6		2556.92	0.58	 	0.67	0.09	 	0.04	0.04	 	0.82	0.09	1.16	0.98	1.16	0.53	  	F1
P0AA47	1	1	0	1	0	0	3	B	YEEF_ECOLI	0.43	1.68E+00	3.92E+02	0.53	1.68	78																				
P0AA49	0	0	0	1	0	0	1	B	YFDV_ECOLI																										
P0AA53	0	0	0	1	0	1	2	B	QMCA_ECOLI																										B
P0AA63	0	0	0	1	0	0	1	B	YQJA_ECOLI																										
P0AA73	0	0	0	1	0	1	2	B	YHBE_ECOLI																										B
P0AA84	0	0	0	1	0	1	2	F1	YBHO_ECOLI																										F1
P0AA91	0	0	0	1	1	1	3	I	YEAY_ECOLI											0.5	0.12	0.54	0.66	0.56	  	0.35	 	1.1	 	 	0.16	 			I
P0AA93	0	0	0	1	0	1	2	B	YPDA_ECOLI																										B
P0AA95	0	0	0	1	0	1	2	G	YACC_ECOLI																										G
P0AA99	0	0	0	1	0	0	1	G	YAFK_ECOLI																										
P0AAB4	1	1	0	1	1	1	5	F1	UBID_ECOLI	0.26	8.33E-01	2.60E+02		0.71	33.88					0.06	 	  	0.06												F1
P0AAB6	1	1	1	1	0	1	5	B	GALF_ECOLI	0.62	3.12E+00	5.61E+02	0.38	6.63	295.57	0.09582	9582	417.34	5625.22																B
P0AAC4	0	0	0	1	0	1	2	B	YBHL_ECOLI																										B
P0AAC6	0	0	0	1	0	1	2	B	YCCA_ECOLI																										B
P0AAD2	0	0	0	1	0	0	1	B	MTR_ECOLI																										
P0AAD6	1	1	0	1	1	1	5	B	SDAC_ECOLI	0.71	4.18E+00	6.64E+02	0.62	1.78	83					0.07	 	  	0.07	0.07	  	 									B
P0AAD8	0	0	0	1	0	0	1	B	TDCC_ECOLI																										
P0AAE0	0	0	0	1	0	1	2	B	CYCA_ECOLI																										B
P0AAE5	0	0	0	1	0	0	1	B	ARCD_ECOLI																										
P0AAE8	0	0	0	1	0	0	1	B	CADB_ECOLI																										
P0AAF3	0	0	0	1	0	1	2	F1	ARAG_ECOLI																										F1
P0AAF6	1	1	1	1	1	1	6	F1	ARTP_ECOLI	0.4	1.51E+00	3.68E+02	0.42	1.15	54.08	0.014668	1466.8			0.26	 	  	0.26												F1
P0AAG5	0	0	1	1	0	1	3	B	MDLB_ECOLI							0.0022272	222.72																		B
P0AAH0	0	1	1	1	0	1	4	F1	PSTB_ECOLI					0.47	22.71	0.086977	8697.7																		F1
P0AAH4	0	0	0	1	0	1	2	F1	SAPD_ECOLI																										F1
P0AAH8	0	0	1	1	0	1	3	F1	SAPF_ECOLI							0.003021	302.1																		F1
P0AAJ1	0	0	0	1	0	1	2	F2	YNFG_ECOLI																										F2
P0AAJ5	1	1	0	1	1	1	5	B	FDOH_ECOLI	0.31	1.03E+00	2.95E+02	0.45	2.87	131.26					0.1	 	  	0.1												B
P0AAJ8	0	0	0	1	0	1	2	F2	HYBA_ECOLI																										F2
P0AAK7	0	0	0	1	0	0	1	G	NRFC_ECOLI																										
P0AAL3	0	0	0	1	0	0	1	G	NAPG_ECOLI																										
P0AAL6	0	0	0	1	0	0	1	B	YDHY_ECOLI																										
P0AAM1	0	0	0	1	0	0	1	B	CYBH_ECOLI																										
P0AAP1	0	0	0	1	0	0	1	B	ADRA_ECOLI																										
P0AAP7	0	0	0	1	0	0	1	B	YAIY_ECOLI																										
P0AAQ0	0	0	0	1	0	0	1	B	YAIZ_ECOLI																										
P0AAS0	0	1	0	1	0	1	3	B	YLAC_ECOLI					2.98	136.13																				B
P0AAT4	0	1	1	1	0	1	4	B	YBDG_ECOLI					0.41	20	0.0037704	377.04																		B
P0AAV0	0	0	0	1	0	1	2	B	YBGE_ECOLI																										B
P0AAX6	0	0	1	1	0	0	2	G	MCBA_ECOLI							0.001951	195.1																		
P0AAX8	1	1	1	1	0	1	5	G	YBIS_ECOLI	0.89	6.74E+00	8.77E+02		1.78	83	0.0039972	399.72	530.31	3387.91																G
P0AAY4	0	0	0	1	0	0	1	G	YBJH_ECOLI																										
P0AAZ0	0	0	0	1	0	0	1	B	YBJO_ECOLI																										
P0AB06	0	0	0	1	0	1	2	G	YCBK_ECOLI																										G
P0AB10	0	1	1	1	0	1	4	E	YMBA_ECOLI					0.93	44.02	0.00038158	38.158																		E
P0AB12	0	0	0	1	1	1	3	B	YCCF_ECOLI											0.21	 	  	0.21	 	0.21	 	 	0.21	 						B
P0AB24	1	0	1	1	0	1	4	G	YCDO_ECOLI	0.35	1.24E+00	3.28E+02				0.0024503	245.03		2876.53																G
P0AB26	0	1	0	1	0	1	3	I	YCEB_ECOLI					0.58	27.85																				I
P0AB38	1	1	0	1	1	1	5	I	YCFM_ECOLI	0.5	2.16E+00	4.53E+02		1.68	78					0.42	 	0.53	0.38	 	0.74	 	0.15	  	0.32						I
P0AB40	0	0	1	1	0	0	2	G	BHSA_ECOLI							0.0013614	136.14																		
P0AB58	0	1	1	1	1	1	5	G	YCIM_ECOLI					0	15	0.005446	544.6			0.07	 	0.07	 												G
P0AB67	1	1	0	1	1	1	5	B	PNTB_ECOLI	0.18	5.20E-01	1.98E+02	0.41	2.16	99.64					0.51	 	0.91	0.91	 	  	0.14	 	0.07	 						B
P0AB85	0	0	1	1	0	0	2	E	APBE_ECOLI							0.00047311	47.311																		
P0AB98	0	1	0	1	0	1	3	B	ATP6_ECOLI					9	398																				B
P0ABA6	1	1	1	1	1	1	6	F1	ATPG_ECOLI	0.81	5.49E+00	7.79E+02		36.93	1562.34	0.027269	2726.9	182.82	5976.79	0.15	 	0.22	 	0.22	0.11	0.11	0.11	  	 						F1
P0ABB4	1	1	1	1	1	1	6	F1	ATPB_ECOLI	1.78	5.96E+01	3.11E+03	0.65	64.29	2674.21	0.28794	28794	4552.23	21573.98	0.9	  	0.14	0.56	 	1.43	0.46	1.01	1.43	0.77	1.59	0.21	1.43			F1
P0ABB8	1	1	1	1	1	1	6	B	ATMA_ECOLI	0.47	1.93E+00	4.24E+02	0.32	0.18	8.96	0.00646	646			0.16	 	0.26	0.34	 	  	0.1	 	0.03	0.07						B
P0ABF1	1	1	1	1	1	1	6	B	PCNB_ECOLI	0.17	4.92E-01	1.92E+02		0.39	18.96	0.010659	1065.9			0.2	0.19	0.43	0.34	 	0.06	0.06	 	0.13	 						B
P0ABF6	1	1	0	1	0	1	4	B	CDD_ECOLI	0.92	7.25E+00	9.15E+02	0.34	0.72	34.35																				B
P0ABF8	0	0	1	1	1	1	4	B	PGSA_ECOLI							0.01285	1285			0.4	0.1	0.47	0.87	 	0.16	 									B
P0ABG1	0	0	0	1	0	0	1	B	CDSA_ECOLI																										
P0ABH0	0	1	1	1	1	1	5	F1	FTSA_ECOLI					1.82	84	0.025021	2502.1		1310.42	0.07	 	0.07	 												F1
P0ABH4	0	0	0	1	0	0	1	B	MRED_ECOLI																										
P0ABI4	1	1	1	1	1	1	6	B	CORA_ECOLI	0.2	5.85E-01	2.12E+02	0.45	3.92	177.58	0.012192	1219.2			0.17	 	  	0.28	0.19	  	0.19	 	0.09	 	 	  	0.09			B
P0ABI8	1	1	0	1	1	1	5	B	CYOB_ECOLI	0.38	1.42E+00	3.56E+02	0.48	3.92	177.58					0.13	 	0.23	0.07	 	  	0.19	 	0.04	 						B
