Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0ABI8	1	1	1	1	0	0	1	5	B	CYOB_ECOLI	5.12	2	2	2	2			B
P0ABJ1	1	1	1	1	0	0	1	5	B	CYOA_ECOLI		1	2	2	2			B
P0ABJ3	0	1	1	1	0	1	1	5	B	CYOC_ECOLI			2	2	2		6.27362552	B
P0ABJ6	0	1	1	1	0	1	1	5	B	CYOD_ECOLI			2	2	2		17.55084328	B
P0ABJ9	1	1	1	1	1	1	1	7	B	CYDA_ECOLI	3.72	2	2	2	2	0	2.249553446	B
P0ABS5	1	1	1	1	0	0	1	5	B	PRIM_ECOLI	0.55	1	2	2	2			B
P0ABU7	1	1	1	1	1	0	1	6	B	EXBB_ECOLI	0.14	0	2	0	2	0		B
P0ABU9	1	1	1	1	0	0	1	5	B	TOLQ_ECOLI	0.86	1	2	2	2			B
P0ABV6	0	1	1	1	0	0	1	4	B	TOLR_ECOLI			2	2	2			B
P0ABZ4	1	1	1	1	0	1	1	6	F1	KDSC_ECOLI	0.24	1	2	2	2			F1
P0AC02	1	1	1	1	0	0	1	5	I	YFIO_ECOLI	0.84	1	2	2	2			I
P0AC23	0	1	1	1	0	0	1	4	B	FOCA_ECOLI			2	2	2			B
P0AC30	1	1	1	1	0	1	1	6	B	FTSX_ECOLI	0.69	1	0	0	0		2.633397688	B
P0AC41	1	1	1	1	0	0	1	5	F1	DHSA_ECOLI	6.87	2	2	2	2			F1
P0AC44	1	1	1	1	0	0	1	5	B	DHSD_ECOLI	3.87	2	2	2	2			B
P0AC75	0	1	1	1	0	1	1	5	B	KDTA_ECOLI			2	2	2		1.528583091	B
P0ACB7	1	1	1	1	0	1	1	6	B	HEMY_ECOLI	0.62	1	1	0	0		2.343559567	B
P0ACE0	1	1	1	1	0	0	1	5	F2	MBHM_ECOLI	0.51	1	2	2	2			F2
P0ACJ0	1	1	1	1	1	0	1	6	B	LRP_ECOLI	1.88	2	2	2	2	0		B
P0ACS9	0	1	1	1	0	0	1	4	B	ACRR_ECOLI			2	2				B
P0ACV0	0	1	1	1	0	0	1	4	B	HTRB_ECOLI			2	2	2			B
P0AD12	1	1	1	1	0	0	1	5	G	YEEZ_ECOLI	1.97	2	2	2	2			G
P0AD14	0	1	1	1	0	0	1	4	B	YEHU_ECOLI			2	2	2			B
P0AD27	0	1	1	1	0	0	1	4	B	YEJM_ECOLI			2	2	2			B
P0AD65	0	1	1	1	0	0	1	4	B	PBP2_ECOLI			2	2	2			B
P0AD68	1	1	1	1	0	0	1	5	B	FTSI_ECOLI	5.46	2	2	2	2			B
P0AD96	0	1	1	1	0	1	1	5	G	LIVJ_ECOLI			2	0	0		4.91322568	G
P0AD99	0	1	1	1	0	0	1	4	B	BRNQ_ECOLI			2	2	2			B
P0ADA5	1	1	1	1	0	1	1	6	I	YAJG_ECOLI		1	2	2	2		5.668191026	I
P0ADB1	1	1	1	1	1	0	1	6	I	OSME_ECOLI	3.11	2	2	2	2	0		I
P0ADC6	1	1	1	1	0	0	1	5	B	LPTG_ECOLI	0	0	2	1	2			B
P0ADE4	0	1	1	1	0	0	1	4	H	YTFM_ECOLI			2	2	2			H
P0ADK0	1	1	1	1	0	1	1	6	E	YIAF_ECOLI		1	2	2	2		7.751405159	E
P0ADL3	0	1	1	1	0	0	1	4	B	YICN_ECOLI			2	0	0			B
P0ADM4	0	1	1	1	0	0	1	4	E	YIDQ_ECOLI			2	2	2			E
P0ADM8	0	1	1	1	0	0	1	4	B	YIEE_ECOLI			2	2	2			B
P0ADP2	1	1	1	1	0	0	1	5	B	YIGI_ECOLI		1	1	0	0			B
P0ADS6	1	1	1	1	0	1	1	6	G	YGGE_ECOLI	0.98	1	2	2	2		2.931300406	G
P0ADS9	0	1	1	1	0	0	1	4	G	YGGN_ECOLI			2	2	2			G
P0ADV1	1	1	1	1	0	0	1	5	G	LPTA_ECOLI	1.28	1	2	2	2			G
P0ADV7	1	1	1	1	0	1	1	6	G	YRBC_ECOLI	0.49	1	2	2	2		1.754402379	G
P0ADV9	0	1	1	1	0	0	1	4	B	LPTC_ECOLI			2	2	2			B
P0ADY1	1	1	1	1	0	0	1	5	B	PPID_ECOLI	1.01	1	2	2	2			B
P0ADZ7	1	1	1	1	0	1	1	6	B	YAJC_ECOLI	1.51	1	2	2	2		10.54951373	B
P0AE14	0	1	1	1	0	0	1	4	B	AMPE_ECOLI			2	2	2			B
P0AE28	0	1	1	1	0	0	1	4	B	AROM_ECOLI			2	2	2			B
P0AE34	0	1	1	1	1	0	1	5	B	ARTQ_ECOLI			2	2	2	0		B
P0AE45	1	1	1	1	0	1	1	6	B	YTFL_ECOLI	0	0	2	2			1.208045609	B
P0AE82	0	1	1	1	0	0	1	4	B	CPXA_ECOLI			2	0	0			B
P0AE91	1	1	1	1	0	0	1	5	G	CREA_ECOLI	0.48	1	2	2	2			G
P0AEB2	1	1	1	1	0	1	1	6	F2	DACA_ECOLI	1.19	1	2	2	2		3.460926782	F2
P0AEB5	0	1	1	1	0	0	1	4	B	YNAI_ECOLI			2	2	2			B
P0AEC0	0	1	1	1	0	0	1	4	B	YOAE_ECOLI			0	2	0			B
P0AEC3	1	1	1	1	1	1	1	7	B	ARCB_ECOLI	1.13	1	2	2	2	0	1.440061606	B
P0AED0	1	1	1	1	0	0	1	5	F1	USPA_ECOLI	2.56	2	2	2	2			F1
P0AEE1	1	1	1	1	0	1	1	6	E	DCRB_ECOLI	2.83	2	2	2	2		3.685570549	E
P0AEF8	0	1	1	1	1	0	1	5	B	DPPB_ECOLI			0	2	2	0		B
P0AEG6	1	1	1	1	0	1	1	6	G	DSBC_ECOLI	0.35	1	2	2	2		5.196620063	G
P0AEH1	0	1	1	1	0	0	1	4	B	RSEP_ECOLI			2	2	2			B
P0AEJ0	0	1	1	1	0	0	1	4	B	EMRB_ECOLI			2	0	0			B
P0AEJ4	0	1	1	1	0	0	1	4	B	ENVZ_ECOLI			2	2	2			B
P0AEK4	1	1	1	1	0	1	1	6	F1	FABI_ECOLI	1.54	1	2	2	2			F1
P0AEL0	0	1	1	1	0	0	1	4	B	FDOI_ECOLI			2	2	2			B
P0AEP3	1	1	1	1	0	0	1	5	B	GALU_ECOLI	3.68	2	2	2	2			B
P0AEQ3	1	1	1	1	0	0	1	5	G	GLNH_ECOLI	7.77	2	2	2	2			G
P0AER0	0	1	1	1	0	0	1	4	B	GLPF_ECOLI			2	2	2			B
P0AER3	0	1	1	1	0	0	1	4	B	GLTJ_ECOLI			2	2	2			B
P0AER5	0	1	1	1	0	0	1	4	B	GLTK_ECOLI			2	2	0			B
P0AEU0	1	1	1	1	0	1	1	6	G	HISJ_ECOLI	5	2	2	2	2		1.520671808	G
P0AEX3	0	1	1	1	0	0	1	4	B	KGTP_ECOLI			2	2	2			B
P0AEX9	1	1	1	1	0	0	1	5	G	MALE_ECOLI	3.63	2	2	2	2			G
