2,97 | 2,97 | 1,92	 | 0,9 | 	4,39 | 2,97 | 0,58	0,85 | 0,36 | 1,51	0,17 |  | 
1,88 | 3,41 | 1,33	 | 0,18 | 	0,89 | 1,88 | 0,89	 | 0,53 | 1,33	 | 0,23 | 
1,40 | 0,69 | 0,69	0,16 | 0,56 | 0,35	0,19 | 0,69 | 0,19	0,19 | 1,01 | 0,42	0,69 |  | 0,19
  | 0,54 | 0,40	 |  | 0,08	0,16 | 0,62 | 1,27	0,33 | 1,27 | 0,62	0,62 | 0,78 | 0,54
1,16 | 1,16 | 0,47	 | 0,13 | 0,34	 | 0,78 | 	0,47 |  | 0,78	 |  | 0,21
1,80 | 2,44 | 2,44	 |  | 0,08	1,28 | 2,44 | 1,8	1,28 | 0,51 | 2,44	 | 0,23 | 
1,53 | 3,02 | 4,07	 | 0,04 | 	 | 1,01 | 	0,59 |  | 1,01	 | 0,58 | 
  | 0,46 | 0,16	 |  | 0,08	0,08 | 0,58 | 0,16	0,08 | 0,46 | 0,08	0,16 | 0,08 | 0,58
0,26 | 0,59 | 0,41	 | 0,22 | 0,22	 | 1,67 | 0,5	1,12 | 1,12 | 0,33	1,52 | 0,12 | 0,50
0,15 | 0,23 | 0,23	1,78 | 2,16 | 3,35	 | 0,07 | 0,31	 | 0,15 | 0,07	0,07 | 0,03 | 0,18
0,22 | 0,40 | 0,31	 | 0,09 | 0,09	0,4 | 0,6 | 0,5	0,40 | 0,31 | 0,60	0,22 | 0,14 | 0,40
0,52 | 1,02 | 0,32	 |  | 0,2	1,33 | 0,76 | 1,02	0,52 | 1,33 | 0,52	0,52 | 2,08 | 0,76
0,97 | 1,48 | 1,48	 |  | 0,11	2,11 | 0,97 | 0,57	 | 0,57 | 0,57	 | 1,48 | 
0,07 | 0,27 | 0,27	 | 0,58 | 0,26	 | 0,31 | 0,67	0,11 | 0,27 | 0,27	0,11 | 0,36 | 0,27
0,08 | 0,56 | 0,45	 |  | 	0,25 | 0,16 | 0,45	0,25 | 0,56 | 0,25	0,35 |  | 0,45
0,76 |   | 0,52	 | 0,75 | 	 | 1,33 | 	0,32 | 0,32 | 2,08	 |  | 0,15
  | 0,55 |  	 |  | 0,04	0,44 | 3,65 | 0,93	3,65 | 4,00 | 2,47	1,59 | 0,16 | 3,65
  | 0,30 | 0,22	 |  | 0,5	0,22 |  | 0,58	 | 0,39 | 	0,22 | 0,30 | 0,30
