Join Name	Files/NonUreaCellEnvelope_1047.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_M_S.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_SFD2.txt
P02358	+	+	+	
P02359	+	+	+	
P02413	+	+	+	
P03023	+	+	+	
P04079	+	+	+	
P04805	+	+		
P04993	+	+	+	
P05055	+	+	+	
P05791	+	+	+	
P05793	+	+	+	
P06710	+	+	+	
P06959	+	+	+	
P06986	+	+	+	
P06987	+	+	+	
P07012	+	+	+	
P07604	+	+	+	
P08142	+	+	+	
P08312	+	+	+	
P08390	+	+	+	
P08622	+	+	+	
P08839	+	+	+	
P08956	+	+	+	
P09372	+	+	+	
P09373	+	+	+	
P09980	+	+	+	
P0A698	+	+	+	
P0A6A8	+	+	+	
P0A6B7	+	+	+	
P0A6C5	+	+	+	
P0A6E4	+	+	+	
P0A6F3	+	+	+	
P0A6F5	+	+	+	
P0A6F9	+	+	+	
P0A6H1	+	+	+	
P0A6H5	+	+	+	
P0A6J5	+	+	+	
P0A6K6	+	+	+	
P0A6L0	+	+	+	
P0A6M8	+	+	+	
P0A6N1	+			
P0A6N4	+	+	+	
P0A6P1	+	+	+	
P0A6P5	+	+	+	
P0A6P7	+	+	+	
P0A6P9	+	+	+	
P0A6Q6	+	+	+	
P0A6T5	+	+	+	
P0A6X1	+	+	+	
P0A6Y1	+	+	+	
P0A6Z1	+	+	+	
P0A705	+	+	+	
P0A707	+	+	+	
P0A717	+	+	+	
P0A722	+	+	+	
P0A749	+	+	+	
P0A763	+	+	+	
P0A799	+	+	+	
P0A7B8	+	+	+	
P0A7C2	+	+	+	
P0A7D1	+	+	+	
P0A7D4	+	+	+	
P0A7D7	+	+	+	
P0A7G2	+	+	+	
P0A7J3	+	+	+	
P0A7J7	+	+	+	
P0A7K2	+	+	+	
P0A7K6	+	+	+	
P0A7L0	+	+	+	
P0A7L3	+	+	+	
P0A7L8	+	+	+	
P0A7M2	+	+	+	
P0A7M6	+	+	+	
P0A7M9	+	+	+	
P0A7N9	+	+	+	
P0A7Q6	+			
P0A7R1	+	+	+	
P0A7R5	+	+	+	
P0A7R9	+	+	+	
P0A7S3	+	+	+	
P0A7S9	+	+	+	
P0A7T3	+	+	+	
P0A7T7	+	+	+	
P0A7U3	+	+	+	
P0A7U7	+	+	+	
P0A7V0	+	+	+	
P0A7V3	+	+	+	
P0A7V8	+	+	+	
P0A7W1	+	+	+	
P0A7W7	+	+	+	
P0A7X3	+	+	+	
P0A7Z4	+	+	+	
P0A805	+	+	+	
P0A817	+	+	+	
P0A825	+	+	+	
P0A832	+	+	+	
P0A836	+	+	+	
P0A850	+	+	+	
P0A858	+	+	+	
P0A870	+	+	+	
P0A887	+	+	+	
P0A894	+	+	+	
P0A8A8	+	+	+	
P0A8C1	+	+	+	
P0A8E1	+	+	+	
P0A8F4	+	+	+	
P0A8J8	+	+	+	
P0A8L1	+	+	+	
P0A8M0	+	+	+	
P0A8M3	+	+	+	
P0A8N3	+	+	+	
P0A8R0	+	+	+	
P0A8R9	+	+	+	
P0A8T7	+	+	+	
P0A8V2	+	+	+	
P0A8W8	+	+	+	
P0A948	+	+	+	
P0A953	+	+	+	
P0A955	+	+	+	
P0A959	+	+	+	
P0A998	+	+	+	
P0A9A6	+	+	+	
P0A9B2	+	+	+	
P0A9C5	+	+	+	
P0A9D8	+	+	+	
P0A9E2	+			
P0A9K9	+	+	+	
P0A9M2	+	+	+	
P0A9P6	+	+	+	
P0A9Q1	+	+	+	
P0A9Q5	+	+	+	
P0A9U1	+	+	+	
P0A9U3	+	+	+	
P0A9W3	+	+	+	
P0A9X4	+	+	+	
P0AA10	+	+	+	
P0AA16	+	+	+	
P0AA25	+	+	+	
P0AA84	+			
P0AAI5	+	+	+	
P0AB71	+	+	+	
P0AB77	+	+	+	
P0AB80	+	+	+	
P0ABD5	+	+	+	
P0ABH0	+	+	+	
P0ABH7	+	+	+	
P0ABK5	+	+	+	
P0ABP8	+	+	+	
P0ABT2	+	+	+	
P0ABU2	+	+	+	
P0AC33	+	+	+	
P0AC38	+	+	+	
P0ACB0	+	+	+	
P0ACB4	+	+	+	
P0ACC7	+	+	+	
P0ACF4	+	+	+	
P0ACF8	+	+	+	
P0ACJ8	+	+	+	
P0ACN7	+	+	+	
P0ACU5	+	+	+	
P0AD61	+	+	+	
P0ADE6	+	+	+	
P0ADG4	+	+	+	
P0ADK8	+	+		
P0ADP0	+	+	+	
P0ADV5	+	+	+	
P0ADY3	+	+	+	
P0ADY7	+	+	+	
P0ADZ0	+	+	+	
P0ADZ4	+	+	+	
P0AE08	+	+	+	
P0AE52	+	+	+	
P0AEI1	+	+	+	
P0AEI4	+	+	+	
P0AEK2	+	+	+	
P0AEN1	+	+	+	
P0AES4	+	+	+	
P0AES6	+	+	+	
P0AEW6	+	+	+	
P0AF67	+	+	+	
P0AFD1	+	+	+	
P0AFF6	+	+	+	
P0AFG0	+	+	+	
P0AFG3	+	+	+	
P0AFG6	+	+	+	
P0AFI7	+	+	+	
P0AFK0	+	+	+	
P0AFP4	+	+	+	
P0AFY8	+	+	+	
P0AFZ3	+	+	+	
P0AG20	+	+	+	
P0AG24	+	+	+	
P0AG30	+	+	+	
P0AG44	+	+	+	
P0AG48	+	+	+	
P0AG51	+	+	+	
P0AG55	+	+	+	
P0AG59	+	+	+	
P0AG63	+	+	+	
P0AG67	+	+	+	
P0AG86	+	+	+	
P0AGB6	+	+	+	
P0AGD7	+	+	+	
P0AGE0	+	+	+	
P0AGE9	+	+	+	
P0AGJ5	+	+	+	
P0AGJ9	+	+	+	
P0AGK8	+	+	+	
P0C018	+	+	+	
P0C054	+	+	+	
P0C058	+	+	+	
P0C0R7	+	+	+	
P0C8J6	+	+	+	
P0C8J8	+	+	+	
P10371	+	+	+	
P10441	+	+	+	
P10443	+	+	+	
P11447	+	+	+	
P13009	+	+	+	
P13029	+	+	+	
P13035	+	+	+	
P15034	+			
P15038	+	+	+	
P15288	+	+	+	
P16456	+	+	+	
P16659	+	+	+	
P17952	+	+	+	
P21177	+	+	+	
P21499	+	+	+	
P21507	+	+	+	
P21513	+	+	+	
P21889	+	+	+	
P22186	+	+	+	
P22259	+	+	+	
P22333	+	+	+	
P22523	+	+	+	
P23305	+	+	+	
P23367	+	+	+	
P23538	+	+	+	
P23845	+	+	+	
P23869	+	+	+	
P23871	+	+	+	
P23893	+	+	+	
P24182	+	+	+	
P24554	+	+	+	
P25516	+	+	+	
P25519	+	+	+	
P25522	+	+	+	
P26602	+	+	+	
P26616	+	+	+	
P27249	+	+	+	
P27278	+	+	+	
P27294	+			
P27298	+	+	+	
P27302	+	+	+	
P27306	+	+	+	
P27833	+	+	+	
P27836	+	+	+	
P28904	+	+	+	
P28912	+			
P28917	+			
P30843	+	+	+	
P30850	+	+	+	
P32132	+	+	+	
P33920	+	+	+	
P36683	+	+	+	
P36879	+	+	+	
P36928	+	+	+	
P36938	+	+		
P36979	+	+	+	
P37349	+	+	+	
P37443	+			
P37692	+	+	+	
P37759	+	+		
P37765	+	+	+	
P37906	+	+	+	
P43329	+	+	+	
P45469	+	+	+	
P45577	+	+	+	
P52108	+	+	+	
P52598	+	+	+	
P52647	+	+	+	
P60422	+	+	+	
P60438	+	+	+	
P60624	+	+	+	
P60716	+	+	+	
P60723	+	+	+	
P60757	+	+	+	
P60906	+	+	+	
P61175	+	+	+	
P61517	+	+	+	
P61714	+	+	+	
P62399	+	+	+	
P62620	+	+	+	
P62623	+	+	+	
P62707	+	+	+	
P62768	+	+	+	
P63284	+	+	+	
P64574	+	+	+	
P67910	+	+	+	
P68679	+	+	+	
P68767	+	+	+	
P68919	+	+	+	
P69441	+	+	+	
P69783	+	+	+	
P69828	+	+	+	
P75821	+	+	+	
P75864	+	+	+	
P75867	+	+	+	
P75949	+	+	+	
P76046	+	+	+	
P76104	+	+	+	
P76472	+	+	+	
P76503	+	+	+	
P76658	+	+	+	
P77171	+	+	+	
P77334	+	+	+	
P77398	+	+	+	
P77399	+	+	+	
P77475	+	+	+	
P77488	+	+	+	
P77522	+	+	+	
P77581	+	+	+	
P77690	+	+	+	
P77695	+			
P77718	+	+		
P77735	+	+	+	
P77748	+	+	+	
P77775	+	+	+	
P78061	+	+	+	
Q46868	+	+	+	
Q46939	+	+	+	
P00562	+	+	+	
P00582	+	+	+	
P03018	+	+	+	
P03024	+	+	+	
P04425	+	+	+	
P05852	+	+	+	
P06610	+		+	
P06988	+	+	+	
P07118	+	+	+	
P08660	+			
P09126	+	+	+	
P0A6I9	+			
P0A6T9	+	+	+	
P0A6U5	+	+	+	
P0A6U8	+	+	+	
P0A6V5	+			
P0A725	+	+	+	
P0A796	+	+	+	
P0A7A2	+	+		
P0A7I4	+	+	+	
P0A7Y0	+	+	+	
P0A7Y8	+	+		
P0A7Z0	+	+		
P0A812	+	+	+	
P0A8F0	+	+	+	
P0A8F8	+	+	+	
P0A8N5	+	+	+	
P0A8P1	+	+	+	
P0A8W5	+	+	+	
P0A8Y5	+	+	+	
P0A9D2	+			
P0A9J8	+	+	+	
P0A9L3	+	+	+	
P0A9L5	+	+		
P0A9L8	+	+		
P0A9T0	+			
P0AA63	+			
P0AAI9	+	+	+	
P0ABT5	+	+		
P0ABU5	+	+		
P0AC53	+	+	+	
P0ACK5	+	+	+	
P0ACL2	+	+	+	
P0ACP1	+	+	+	
P0ACY1	+	+	+	
P0ADP7	+	+	+	
P0ADR6	+	+	+	
P0ADT2	+	+		
P0AE88	+	+	+	
P0AEW9	+	+	+	
P0AEZ1	+	+	+	
P0AF12	+	+	+	
P0AF63	+	+		
P0AF93	+	+		
P0AFB5	+	+	+	
P0AFQ7	+	+	+	
P0AFR4	+	+	+	
P0AFX4	+	+	+	
P0AG71	+	+	+	
P0AGG0	+	+	+	
P0C093	+	+	+	
P0C650	+			
P13445	+	+	+	
P14081	+	+	+	
P16528	+	+	+	
P21151	+	+	+	
P21170	+	+	+	
P21599	+	+	+	
P24173	+	+	+	
P24175	+	+		
P24203	+	+	+	
P24255	+	+	+	
P25665	+			
P25740	+	+	+	
P25741	+	+	+	
P28631	+	+	+	
P30137	+	+	+	
P30178	+	+	+	
P32053	+			
P32684	+	+	+	
P33346	+			
P33916	+	+	+	
P35340	+	+	+	
P37024	+			
P37095	+	+	+	
P37666	+	+	+	
P38038	+			
P39177	+	+	+	
P39300	+	+	+	
P39831	+	+	+	
P43341	+	+		
P45748	+	+	+	
P54901	+	+	+	
P60595	+	+	+	
P60664	+	+	+	
P61949	+	+		
P64545	+			
P64554	+	+	+	
P64602	+	+		
P64612	+	+	+	
P64636	+	+	+	
P67087	+	+	+	
P67762	+	+	+	
P68066	+	+	+	
P69811	+	+	+	
P69829	+	+	+	
P75726	+	+		
P75823	+	+	+	
P76257	+	+	+	
P77434	+	+	+	
P77536	+			
P77569	+	+	+	
P77667	+	+		
Q46840	+	+		
Q47129	+	+	+	
P0ACJ5	+			
Q47689	+			
P0AEX5	+			
A5A616		+		
P00547		+		
P00561		+	+	
P00887		+		
P00894		+	+	
P00903		+	+	
P00909		+		
P00935		+		
P00954		+	+	
P00963		+	+	
P02929		+	+	
P02943		+		
P03007		+	+	
P03030		+	+	
P03842		+	+	
P04335		+	+	
P04391		+		
P04693		+	+	
P04825		+	+	
P04951		+	+	
P04968		+	+	
P04994		+	+	
P04995		+	+	
P05194		+		
P05523		+		
P05704		+		
P05827		+	+	
P06136		+	+	
P06611		+	+	
P06612		+	+	
P06616		+	+	
P06709		+	+	
P06720		+	+	
P06722		+	+	
P06846		+	+	
P06983		+	+	
P06989		+	+	
P06992		+	+	
P06999		+	+	
P07003		+	+	
P07023		+	+	
P07395		+	+	
P07639		+	+	
P07648		+	+	
P07822		+	+	
P07862		+	+	
P08178		+	+	
P08192		+	+	
P08368		+		
P08957		+	+	
P09030		+	+	
P09053		+	+	
P09184		+		
P09377		+	+	
P09831		+	+	
P09832		+	+	
P0A6C1		+	+	
P0A6C8		+	+	
P0A6D0		+	+	
P0A6D3		+	+	
P0A6D7		+	+	
P0A6E1		+	+	
P0A6E9		+		
P0A6F1		+	+	
P0A6G7		+	+	
P0A6I0		+	+	
P0A6J1		+	+	
P0A6J8		+	+	
P0A6K1		+	+	
P0A6K3		+	+	
P0A6L2		+	+	
P0A6L4		+		
P0A6L9		+	+	
P0A6N8		+	+	
P0A6Q3		+	+	
P0A6R3		+	+	
P0A6S0		+		
P0A6S7		+	+	
P0A6U3		+	+	
P0A6W0		+	+	
P0A6W5		+	+	
P0A6X7		+	+	
P0A6Z6		+		
P0A720		+	+	
P0A734		+	+	
P0A744		+	+	
P0A759		+	+	
P0A776		+		
P0A780		+	+	
P0A786		+	+	
P0A7A5		+	+	
P0A7B3		+		
P0A7B5		+	+	
P0A7E3		+	+	
P0A7E9		+	+	
P0A7F3		+	+	
P0A7F9		+		
P0A7H0		+		
P0A7I0		+	+	
P0A7I7		+	+	
P0A7N4		+	+	
P0A7Q1		+		
P0A7X6		+	+	
P0A7Y4		+		
P0A800		+		
P0A809		+		
P0A814		+	+	
P0A823		+		
P0A830		+		
P0A840		+		
P0A867		+	+	
P0A877		+	+	
P0A879		+	+	
P0A898		+		
P0A8A0		+	+	
P0A8A2		+	+	
P0A8A4		+	+	
P0A8B2		+	+	
P0A8C4		+	+	
P0A8D0		+		
P0A8D3		+	+	
P0A8D6		+	+	
P0A8E7		+	+	
P0A8G0		+	+	
P0A8H6		+	+	
P0A8I1		+	+	
P0A8I3		+	+	
P0A8I5		+	+	
P0A8I8		+	+	
P0A8J2		+	+	
P0A8J4		+	+	
P0A8M6		+		
P0A8N0		+		
P0A8S1		+	+	
P0A8T1		+		
P0A8V6		+	+	
P0A8W0		+	+	
P0A8W2		+		
P0A8X0		+	+	
P0A8Y1		+	+	
P0A8Z0		+		
P0A8Z3		+	+	
P0A8Z7		+	+	
P0A951		+		
P0A988		+	+	
P0A991		+	+	
P0A993		+	+	
P0A9A2		+		
P0A9C0		+		
P0A9C9		+	+	
P0A9E5		+	+	
P0A9F1		+		
P0A9F6		+	+	
P0A9F9		+	+	
P0A9G2		+	+	
P0A9G6		+	+	
P0A9H1		+	+	
P0A9H5		+	+	
P0A9H7		+	+	
P0A9H9		+		
P0A9I1		+		
