Join Name	CommonCore	K12	No files found in	CommonCore Duplicates	K12 Duplicates
P09372	1	1	2	1	1	EG10416
P0A6W9	1	1	2	1	1	EG10418
P04425	1	1	2	1	1	EG10419
P04079	1	1	2	1	1	EG10420
P0ADG7	1	1	2	1	1	EG10421
P0AES4	1	1	2	1	1	EG10423
P0AES6	1	1	2	1	1	EG10424
P0A6X1	1	1	2	1	1	EG10427
P0ACB2	1	1	2	1	1	EG10428
P06983	1	1	2	1	1	EG10429
P09126	1	1	2	1	1	EG10430
P23871	1	1	2	1	1	EG10431
P23893	1	1	2	1	1	EG10432
P0ABC3	1	1	2	1	1	EG10435
P0ABC7	1	1	2	1	1	EG10436
P25519	1	1	2	1	1	EG10437
P0A6X3	1	1	2	1	1	EG10438
P0A6X7	1	1	2	1	1	EG10440
P0A6Y1	1	1	2	1	1	EG10441
P10371	1	1	2	1	1	EG10444
P06987	1	1	2	1	1	EG10445
P06988	1	1	2	1	1	EG10447
P60664	1	1	2	1	1	EG10448
P60595	1	1	2	1	1	EG10450
P06989	1	1	2	1	1	EG10451
P07109	1	1	2	1	1	EG10452
P60906	1	1	2	1	1	EG10453
P07649	1	1	2	1	1	EG10454
P24232	1	1	2	1	1	EG10456
P0A6Z3	1	1	2	1	1	EG10461
P23894	1	1	2	1	1	EG10462
P0C0V0	1	1	2	1	1	EG10463
P0ACV0	1	1	2	1	1	EG10464
P0A7J0	1	1	2	1	1	EG10465
P0ACF0	1	1	2	1	1	EG10466
P0ACF4	1	1	2	1	1	EG10467
P16429	1	1	2	1	1	EG10476
P0A700	1	1	2	1	1	EG10483
P0AAN3	1	1	2	1	1	EG10484
P0AAM3	1	1	2	1	1	EG10485
P24192	1	1	2	1	1	EG10486
P24193	1	1	2	1	1	EG10487
P10423	1	1	2	1	1	EG10488
P08200	1	1	2	1	1	EG10489
P0A8S1	1	1	2	1	1	EG10490
P00956	1	1	2	1	1	EG10492
P04968	1	1	2	1	1	EG10493
P05791	1	1	2	1	1	EG10496
P0AB80	1	1	2	1	1	EG10497
P00894	1	1	2	1	1	EG10499
P00893	1	1	2	1	1	EG10500
P69222	1	1	2	1	1	EG10504
P0A705	1	1	2	1	1	EG10505
P0A707	1	1	2	1	1	EG10506
P22939	1	1	2	1	1	EG10508
P21179	1	1	2	1	1	EG10509
P13445	1	1	2	1	1	EG10510
P13029	1	1	2	1	1	EG10511
P0AB77	1	1	2	1	1	EG10512
P03959	1	1	2	1	1	EG10513
P03960	1	1	2	1	1	EG10514
P03961	1	1	2	1	1	EG10515
P21865	1	1	2	1	1	EG10516
P21866	1	1	2	1	1	EG10517
P0A715	1	1	2	1	1	EG10518
P04951	1	1	2	1	1	EG10519
P0AC75	1	1	2	1	1	EG10520
P03819	1	1	2	1	1	EG10521
P0AEX3	1	1	2	1	1	EG10522
P06992	1	1	2	1	1	EG10523
P03023	1	1	2	1	1	EG10525
P60785	1	1	2	1	1	EG10529
P00803	1	1	2	1	1	EG10530
P10151	1	1	2	1	1	EG10531
P07813	1	1	2	1	1	EG10532
P0A7C2	1	1	2	1	1	EG10533
P15042	1	1	2	1	1	EG10534
P22731	1	1	2	1	1	EG10536
P0A9S7	1	1	2	1	1	EG10537
P0AEX7	1	1	2	1	1	EG10538
P0AD96	1	1	2	1	1	EG10539
P04816	1	1	2	1	1	EG10540
P22729	1	1	2	1	1	EG10541
P0A9M0	1	1	2	1	1	EG10542
P0A9P0	1	1	2	1	1	EG10543
P0A722	1	1	2	1	1	EG10545
P10441	1	1	2	1	1	EG10546
P0ACJ0	1	1	2	1	1	EG10547
P00804	1	1	2	1	1	EG10548
P00861	1	1	2	1	1	EG10549
P03030	1	1	2	1	1	EG10551
P0A8N3	1	1	2	1	1	EG10552
P0A8N5	1	1	2	1	1	EG10553
P68183	1	1	2	1	1	EG10556
P18811	1	1	2	1	1	EG10557
P68187	1	1	2	1	1	EG10558
P00490	1	1	2	1	1	EG10560
P15977	1	1	2	1	1	EG10561
P06993	1	1	2	1	1	EG10562
P0AE18	1	1	2	1	1	EG10570
P07623	1	1	2	1	1	EG10581
P00935	1	1	2	1	1	EG10582
P06721	1	1	2	1	1	EG10583
P25665	1	1	2	1	1	EG10584
P0AEZ1	1	1	2	1	1	EG10585
P00959	1	1	2	1	1	EG10586
P13009	1	1	2	1	1	EG10587
P0A817	1	1	2	1	1	EG10589
P0A9F9	1	1	2	1	1	EG10591
P16384	1	1	2	1	1	EG10595
P18196	1	1	2	1	1	EG10596
P0AEZ3	1	1	2	1	1	EG10597
P0A734	1	1	2	1	1	EG10598
P0A6F5	1	1	2	1	1	EG10599
P0A6F9	1	1	2	1	1	EG10600
P09348	1	1	2	1	1	EG10601
P0AF06	1	1	2	1	1	EG10602
P0A6W3	1	1	2	1	1	EG10604
P02919	1	1	2	1	1	EG10605
P0AD65	1	1	2	1	1	EG10606
P0ABG7	1	1	2	1	1	EG10607
P0A9X4	1	1	2	1	1	EG10608
P16926	1	1	2	1	1	EG10609
P0AF08	1	1	2	1	1	EG10611
P60752	1	1	2	1	1	EG10613
P24205	1	1	2	1	1	EG10614
P0AAD2	1	1	2	1	1	EG10617
P22523	1	1	2	1	1	EG10618
P17952	1	1	2	1	1	EG10619
P14900	1	1	2	1	1	EG10620
P22188	1	1	2	1	1	EG10621
P11880	1	1	2	1	1	EG10622
P17443	1	1	2	1	1	EG10623
P23909	1	1	2	1	1	EG10625
P08337	1	1	2	1	1	EG10626
P17802	1	1	2	1	1	EG10627
P11458	1	1	2	1	1	EG10630
P10902	1	1	2	1	1	EG10631
P0AF18	1	1	2	1	1	EG10632
P0AF24	1	1	2	1	1	EG10634
P09323	1	1	2	1	1	EG10635
P09152	1	1	2	1	1	EG10638
P11349	1	1	2	1	1	EG10639
P11350	1	1	2	1	1	EG10640
P0AF26	1	1	2	1	1	EG10641
P10903	1	1	2	1	1	EG10642
P0AF28	1	1	2	1	1	EG10643
P0AF32	1	1	2	1	1	EG10644
P19317	1	1	2	1	1	EG10645
P0AFA2	1	1	2	1	1	EG10646
P19318	1	1	2	1	1	EG10647
P19319	1	1	2	1	1	EG10648
P00393	1	1	2	1	1	EG10649
P0A763	1	1	2	1	1	EG10650
P13738	1	1	2	1	1	EG10652
P08201	1	1	2	1	1	EG10653
P0A9I8	1	1	2	1	1	EG10655
P04846	1	1	2	1	1	EG10657
P00452	1	1	2	1	1	EG10660
P69924	1	1	2	1	1	EG10661
P0AB83	1	1	2	1	1	EG10662
P0AFF6	1	1	2	1	1	EG10665
P0A780	1	1	2	1	1	EG10666
P0AFG0	1	1	2	1	1	EG10667
P0AFH0	1	1	2	1	1	EG10668
P0A910	1	1	2	1	1	EG10669
P0AA16	1	1	2	1	1	EG10672
P23843	1	1	2	1	1	EG10674
P0AFH2	1	1	2	1	1	EG10675
P0AFH6	1	1	2	1	1	EG10676
P76027	1	1	2	1	1	EG10677
P77737	1	1	2	1	1	EG10678
P0C0L2	1	1	2	1	1	EG10680
P0ACQ4	1	1	2	1	1	EG10681
P00903	1	1	2	1	1	EG10682
P05041	1	1	2	1	1	EG10683
P0A912	1	1	2	1	1	EG10684
P0AFI2	1	1	2	1	1	EG10686
P20083	1	1	2	1	1	EG10687
P0A7A5	1	1	2	1	1	EG10689
P0ABF1	1	1	2	1	1	EG10690
P19624	1	1	2	1	1	EG10691
P0A794	1	1	2	1	1	EG10693
P68767	1	1	2	1	1	EG10694
P15288	1	1	2	1	1	EG10695
P04825	1	1	2	1	1	EG10696
P15034	1	1	2	1	1	EG10697
P21165	1	1	2	1	1	EG10698
P06999	1	1	2	1	1	EG10700
P0A6T1	1	1	2	1	1	EG10702
P0A799	1	1	2	1	1	EG10703
P18200	1	1	2	1	1	EG10704
P0ABF8	1	1	2	1	1	EG10706
P0A9J8	1	1	2	1	1	EG10707
P24207	1	1	2	1	1	EG10708
P08312	1	1	2	1	1	EG10709
P07395	1	1	2	1	1	EG10710
P0AFJ1	1	1	2	1	1	EG10711
P16681	1	1	2	1	1	EG10712
P16684	1	1	2	1	1	EG10715
P16678	1	1	2	1	1	EG10720
P16679	1	1	2	1	1	EG10721
P16690	1	1	2	1	1	EG10723
P16691	1	1	2	1	1	EG10724
P0AFJ5	1	1	2	1	1	EG10728
P08401	1	1	2	1	1	EG10730
P23836	1	1	2	1	1	EG10731
P23837	1	1	2	1	1	EG10732
P08400	1	1	2	1	1	EG10733
P0AG82	1	1	2	1	1	EG10734
P0A9K7	1	1	2	1	1	EG10735
P00914	1	1	2	1	1	EG10736
P0AFK0	1	1	2	1	1	EG10741
P18133	1	1	2	1	1	EG10742
P05055	1	1	2	1	1	EG10743
P07001	1	1	2	1	1	EG10744
P0AB67	1	1	2	1	1	EG10745
P00582	1	1	2	1	1	EG10746
P21189	1	1	2	1	1	EG10747
P02918	1	1	2	1	1	EG10748
P69874	1	1	2	1	1	EG10749
P0AFK4	1	1	2	1	1	EG10750
P0AFK6	1	1	2	1	1	EG10751
P0AFK9	1	1	2	1	1	EG10752
P07003	1	1	2	1	1	EG10754
P0A7A9	1	1	2	1	1	EG10755
P00864	1	1	2	1	1	EG10756
P0AFL3	1	1	2	1	1	EG10757
P23869	1	1	2	1	1	EG10758
P23538	1	1	2	1	1	EG10759
P23865	1	1	2	1	1	EG10760
P0A7I0	1	1	2	1	1	EG10761
P07012	1	1	2	1	1	EG10762
P17888	1	1	2	1	1	EG10763
P0AGA2	1	1	2	1	1	EG10766
P07004	1	1	2	1	1	EG10767
P0A7B5	1	1	2	1	1	EG10768
P16659	1	1	2	1	1	EG10770
P14175	1	1	2	1	1	EG10771
P14176	1	1	2	1	1	EG10772
P0AFM2	1	1	2	1	1	EG10773
P0A717	1	1	2	1	1	EG10774
P0A8K1	1	1	2	1	1	EG10775
P0AFM6	1	1	2	1	1	EG10776
P07654	1	1	2	1	1	EG10782
P0AAH0	1	1	2	1	1	EG10783
P0AGH8	1	1	2	1	1	EG10784
P0A7D1	1	1	2	1	1	EG10785
P69786	1	1	2	1	1	EG10787
P0AA04	1	1	2	1	1	EG10788
P0A7D4	1	1	2	1	1	EG10790
P0A7D7	1	1	2	1	1	EG10791
P15640	1	1	2	1	1	EG10792
P0AG18	1	1	2	1	1	EG10793
P0AG16	1	1	2	1	1	EG10794
P15639	1	1	2	1	1	EG10795
P09029	1	1	2	1	1	EG10796
P15254	1	1	2	1	1	EG10797
P08178	1	1	2	1	1	EG10798
P08179	1	1	2	1	1	EG10799
P0ACP7	1	1	2	1	1	EG10800
P09546	1	1	2	1	1	EG10801
P07117	1	1	2	1	1	EG10802
P21599	1	1	2	1	1	EG10803
P0A786	1	1	2	1	1	EG10805
P05020	1	1	2	1	1	EG10806
P0A7E1	1	1	2	1	1	EG10807
P0A7E3	1	1	2	1	1	EG10808
P08244	1	1	2	1	1	EG10809
P0A7E5	1	1	2	1	1	EG10810
P0A7F9	1	1	2	1	1	EG10812
P04983	1	1	2	1	1	EG10814
P02925	1	1	2	1	1	EG10815
P0AGI1	1	1	2	1	1	EG10816
P0A9J6	1	1	2	1	1	EG10818
P0ACQ0	1	1	2	1	1	EG10819
P69407	1	1	2	1	1	EG10821
P14376	1	1	2	1	1	EG10822
P0A7G6	1	1	2	1	1	EG10823
P08394	1	1	2	1	1	EG10824
P07648	1	1	2	1	1	EG10825
P04993	1	1	2	1	1	EG10826
P24230	1	1	2	1	1	EG10829
P21893	1	1	2	1	1	EG10830
P05824	1	1	2	1	1	EG10831
P0A7H3	1	1	2	1	1	EG10832
P15043	1	1	2	1	1	EG10833
P0A7H6	1	1	2	1	1	EG10834
P0AG20	1	1	2	1	1	EG10835
P09980	1	1	2	1	1	EG10837
P67910	1	1	2	1	1	EG10838
P0AFW0	1	1	2	1	1	EG10839
P0AC78	1	1	2	1	1	EG10840
P24216	1	1	2	1	1	EG10841
P0A8J8	1	1	2	1	1	EG10844
P0AG30	1	1	2	1	1	EG10845
P0A944	1	1	2	1	1	EG10850
P0A948	1	1	2	1	1	EG10851
P0C0U4	1	1	2	1	1	EG10852
P13857	1	1	2	1	1	EG10853
P10100	1	1	2	1	1	EG10854
P0A7Y0	1	1	2	1	1	EG10857
P21513	1	1	2	1	1	EG10859
P0A7Y4	1	1	2	1	1	EG10860
P10442	1	1	2	1	1	EG10861
P0A7Y8	1	1	2	1	1	EG10862
P0A7L0	1	1	2	1	1	EG10864
P60422	1	1	2	1	1	EG10865
P60438	1	1	2	1	1	EG10866
P60723	1	1	2	1	1	EG10867
P62399	1	1	2	1	1	EG10868
P0AG55	1	1	2	1	1	EG10869
P0A7R1	1	1	2	1	1	EG10870
P0A7J3	1	1	2	1	1	EG10871
P0A7J7	1	1	2	1	1	EG10872
P0A7K2	1	1	2	1	1	EG10873
P0AA10	1	1	2	1	1	EG10874
P0ADY3	1	1	2	1	1	EG10875
P02413	1	1	2	1	1	EG10876
P0ADY7	1	1	2	1	1	EG10877
