Uniprot Accession	Gene Name	Alter Gene Name	Order Locus Name	Order Locus Name	Entry Name	Subcellular Uniprot	Protein Existence	Origin
P76509	yfdM		b2356	JW2352	YFDM_ECOLI		Uncertain	Uniprot
P76611	pinH		b2648	JW5423	PINH_ECOLI		Uncertain	Uniprot
P76616	ygaQ	ygaR yqaC yqaD	b4462	JW2631 JW2633 JW5425 JW5426	YGAQ_ECOLI		Uncertain	Uniprot
P76628	ygaY		b2681	JW2655	YGAY_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P76692	yzgL		b3427	JW3390	YZGL_ECOLI		Uncertain	Uniprot
P77087	ylcE		b0563	JW0552	YLCE_ECOLI		Uncertain	Uniprot
P77169	yagJ		b0276	JW0270	YAGJ_ECOLI		Uncertain	Uniprot
P77228	ydfJ		b4600	JW1536	YDFJ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P77326	tfaS		b2353	JW5383	TFAS_ECOLI		Uncertain	Uniprot
P77354	yafU		b0218	JW0207	YAFU_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P77460	ybcY		b0562	JW0551	YBCY_ECOLI		Uncertain	Uniprot
P77481	ycjV	ymjB	b4524	JW1311 JW5203	YCJV_ECOLI		Uncertain	Uniprot
P77528	ybcD		b4508		YBCD_ECOLI		Uncertain	Uniprot
P77551	rzpR		b1362	JW5212	RZPR_ECOLI		Uncertain	Uniprot
P77601	ykgA		b0300	JW5037	YKGA_ECOLI		Uncertain	Uniprot
P77688	ylbG		b0502	JW5880	YLBG_ECOLI		Uncertain	Uniprot
P77699	tfaD		b0561		TFAD_ECOLI		Uncertain	Uniprot
P77759	ylbH		b0499	JW0488	YLBH_ECOLI		Uncertain	Uniprot
P77779	ybfO		b0703	JW0692	YBFO_ECOLI		Uncertain	Uniprot
Q2EEP9	yafF		b4503	JW0208	YAFF_ECOLI		Uncertain	Uniprot
Q2EER5	ymjC		b4525	JW5960	YMJC_ECOLI		Uncertain	Uniprot
Q2EES3	yoeF		b4538	JW5328	YOEF_ECOLI		Uncertain	Uniprot
Q2EET0	ypdJ		b4545	JW5386	YPDJ_ECOLI		Uncertain	Uniprot
Q46790	pbl		b2854		PBL_ECOLI	Periplasm. 	Uncertain	Uniprot
Q46793	ygeN	ygeM	b2858	JW5459 JW5460	YGEN_ECOLI		Uncertain	Uniprot
Q46795	ygeO		b2859	JW5846	YGEO_ECOLI		Uncertain	Uniprot
Q46797	ygeQ		b2863	JW5461	YGEQ_ECOLI		Uncertain	Uniprot
Q47153	fhiA		b0229	JW5811	FHIA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
Q47154	mbhA		b0230	JW5812	MBHA_ECOLI		Uncertain	Uniprot
Q47688	ykfC		b0258	JW5813	YKFC_ECOLI		Uncertain	Uniprot
Q47719			b4286	JW4246	Y4286_ECOLI		Uncertain	Uniprot
Q79E92	ykgN		b4505	JW0258	YKGN_ECOLI		Uncertain	Uniprot
Q7DFU6	yghX	yghY	b4658	JW5926 JW5496	YGHX_ECOLI		Uncertain	Uniprot
P75680	insO1		b0257	JW0247	INSO1_ECOLI		Uncertain	Uniprot
Q47718	insO2		b4285		INSO2_ECOLI		Uncertain	Uniprot
P28697	htgA	htpY	b0012	JW5001	HTGA_ECOLI		Uncertain	E / U
P0CF60	insD8		b1578	JW1570	INSD8_ECOLI		Uncertain	E / U
P0ADF0	fruL		b0079		LPFS_ECOLI		Uncertain	E / U
P0ADF3	rhoL		b3782	JW3755	LPRH_ECOLI		Uncertain	E / U
P13960	repA1				REA1_ECOLI		Uncertain	E / U
A5A627	tisB	ysdB	b4618	JW3649	TISB_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	E / U
P75971			b1142	JW1128	Y1142_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Uncertain	E / U
P11291			b3808	JW3780	Y3808_ECOLI		Uncertain	E / U
Q2EEQ3	yahH		b0322	JW5893	YAHH_ECOLI		Uncertain	E / U
Q2EEQ8	ybfQ		b4514	JW0694	YBFQ_ECOLI		Uncertain	E / U
Q79CP2	ygiA		b3036	JW5889	YGIA_ECOLI		Uncertain	E / U
Q9Z3A0	yjgW		b4274	JW4233	YJGW_ECOLI		Uncertain	E / U
P46879	yqgD		b2941	JW2908	YQGD_ECOLI		Uncertain	EcoGene
P36930	gatR	Null	b4498	JW2074 JW5340			Predicted.	EcoGene
P37008	yagB	Null	b0266	JW0259			Predicted.	Ohman
P28916	ybfD		b0706	JW0696	YBFD_ECOLI		Inferred from homology	Ohman
P37309	arsR	arsE	b3501	JW3468	ARSR_ECOLI		Inferred from homology	Ohman
P69789	glvB	glvC	b3682	JW3659	PTXB_ECOLI	"Cell membrane; Single-pass membrane protein. "	Inferred from homology	Ohman
P76362	yeeS		b2002	JW1984	YEES_ECOLI		Inferred from homology	Ohman
Q46911	ygcU	ygcT ygcV	b4463	JW5442	YGCU_ECOLI		Inferred from homology	Ohman
P27840	yigE		b4482	JW5591	YIGE_ECOLI		Predicted	Ohman
P45541	frlC	yhfO yhfP	b4474	JW5699	FRLC_ECOLI		Predicted	Ohman
P64570	yqgC		b2940	JW2907	YQGC_ECOLI		Predicted	Ohman
P76612	ypjB		b2649	JW2629	YPJB_ECOLI		Predicted	Ohman
Q9JMS2	yuaS	ydfA	ECOK12F031		YUAS_ECOLI		Predicted	Ohman
Q9JMT2	yuaG	ybgA	ECOK12F018		YUAG_ECOLI		Predicted	Ohman
