Merge ID	Orbi detected	Non Orbi detected	# Identified	
P23886	1	1	2	CYDC_ECOLI
P23894	1	1	2	HTPX_ECOLI
P23898	1	1	2	NLPC_ECOLI
P23909	1	1	2	MUTS_ECOLI
P23917	1	1	2	MAK_ECOLI
P23930	1	1	2	LNT_ECOLI
P24177	1	1	2	ACRD_ECOLI
P24205	1	1	2	MSBB_ECOLI
P24228	1	1	2	DACB_ECOLI
P25522	1	1	2	MNME_ECOLI
P25527	0	1	1	GABP_ECOLI
P25534	1	1	2	UBIH_ECOLI
P25535	1	1	2	VISC_ECOLI
P25714	1	1	2	OXAA_ECOLI
P25718	1	1	2	AMY1_ECOLI
P25737	1	1	2	LYSP_ECOLI
P25743	1	1	2	YCHE_ECOLI
P25746	1	1	2	HFLD_ECOLI
P26365	1	0	1	AMIB_ECOLI
P26458	1	1	2	APPB_ECOLI
P26459	1	1	2	APPC_ECOLI
P26647	1	1	2	PLSC_ECOLI
P26648	1	1	2	SUFI_ECOLI
P27278	1	1	2	NADR_ECOLI
P27297	0	1	1	BAX_ECOLI
P27829	1	1	2	WECC_ECOLI
P27844	0	0	0	RARD_ECOLI
P27896	1	1	2	NARQ_ECOLI
P28224	1	1	2	MLIC_ECOLI
P28249	1	1	2	ASMA_ECOLI
P28306	1	1	2	YCEG_ECOLI
P28635	1	1	2	METQ_ECOLI
P28696	0	1	1	YAAI_ECOLI
P29018	1	1	2	CYDD_ECOLI
P29217	1	1	2	YCEH_ECOLI
P29744	1	1	2	FLGL_ECOLI
P30136	1	1	2	THIC_ECOLI
P30138	0	1	1	THIF_ECOLI
P30143	1	0	1	YAAJ_ECOLI
P30750	1	1	2	METN_ECOLI
P30844	1	1	2	BASS_ECOLI
P30845	1	1	2	EPTA_ECOLI
P30847	1	1	2	BAES_ECOLI
P30859	1	1	2	ARTI_ECOLI
P30864	1	1	2	YAFC_ECOLI
P31069	1	0	1	KCH_ECOLI
P31119	1	1	2	AAS_ECOLI
P31125	0	0	0	EAMA_ECOLI
P31133	0	1	1	POTF_ECOLI
P31134	0	1	1	POTG_ECOLI
P31433	1	1	2	YICH_ECOLI
P31435	0	0	0	YICJ_ECOLI
P31440	0	0	0	YICO_ECOLI
P31462	0	1	1	MDTL_ECOLI
P31466	1	1	2	YIEG_ECOLI
P31474	0	1	1	HSRA_ECOLI
P31545	1	1	2	YCDB_ECOLI
