Entry Name A	Entry Name B	Accession A	Accession B	Satus
TONB_ECOLI	RL10_ECOLI	P02929	P0A7J3	C
TONB_ECOLI	RS10_ECOLI	P02929	P0A7R5	C
DNAA_ECOLI	RS5_ECOLI	P03004	P0A7W1	C
DNAA_ECOLI	RS7_ECOLI	P03004	P02359	C
DNAA_ECOLI	RS9_ECOLI	P03004	P0A7X3	C
DNAA_ECOLI	RS10_ECOLI	P03004	P0A7R5	C
DNAA_ECOLI	RS14_ECOLI	P03004	P0AG59	C
DNAA_ECOLI	RL2_ECOLI	P03004	P60422	C
DNAA_ECOLI	RL4_ECOLI	P03004	P60723	C
DNAA_ECOLI	RL15_ECOLI	P03004	P02413	C
DNAA_ECOLI	RL16_ECOLI	P03004	P0ADY7	C
DNAA_ECOLI	RL24_ECOLI	P03004	P60624	C
DNAA_ECOLI	RL28_ECOLI	P03004	P0A7M2	C
DNAA_ECOLI	DNAB_ECOLI	P03004	P0ACB0	C
DNAA_ECOLI	DNAJ_ECOLI	P03004	P08622	C
DNAA_ECOLI	RS4_ECOLI	P03004	P0A7V8	C
DNAA_ECOLI	RL14_ECOLI	P03004	P0ADY3	C
DNAA_ECOLI	RL16_ECOLI	P03004	P0ADY7	C
DNAA_ECOLI	RS14_ECOLI	P03004	P0AG59	C
DPO3E_ECOLI	RL1_ECOLI	P03007	P0A7L0	C
DPO3E_ECOLI	RL13_ECOLI	P03007	P0AA10	C
DPO3E_ECOLI	RL33_ECOLI	P03007	P0A7N9	C
DPO3E_ECOLI	RL33_ECOLI	P03007	P0A7N9	C
DPO3E_ECOLI	ATP6_ECOLI	P03007	P0AB98	C
DPO3E_ECOLI	DPO3A_ECOLI	P03007	P10443	C
DPO3E_ECOLI	YBIC_ECOLI	P03007	P30178	C
UVRD_ECOLI	DBHA_ECOLI	P03018	P0ACF0	C
UVRD_ECOLI	RS2_ECOLI	P03018	P0A7V0	C
UVRD_ECOLI	RS7_ECOLI	P03018	P02359	C
UVRD_ECOLI	RL3_ECOLI	P03018	P60438	C
UVRD_ECOLI	RL13_ECOLI	P03018	P0AA10	C
UVRD_ECOLI	RL22_ECOLI	P03018	P61175	C
UVRD_ECOLI	RL23_ECOLI	P03018	P0ADZ0	C
UVRD_ECOLI	ODP1_ECOLI	P03018	P0AFG8	C
UVRD_ECOLI	UVRB_ECOLI	P03018	P0A8F8	C
UVRD_ECOLI	MUTS_ECOLI	P03018	P23909	C
UVRD_ECOLI	ACCA_ECOLI	P03018	P0ABD5	C
UVRD_ECOLI	PQIB_ECOLI	P03018	P43671	C
UVRD_ECOLI	PHOL_ECOLI	P03018	P0A9K3	C
LACI_ECOLI	LACI_ECOLI	P03023	P03023	C
GALR_ECOLI	DBHA_ECOLI	P03024	P0ACF0	C
GALR_ECOLI	GALR_ECOLI	P03024	P03024	C
GALR_ECOLI	RECJ_ECOLI	P03024	P21893	C
KEFC_ECOLI	CLPP_ECOLI	P03819	P0A6G7	C
KEFC_ECOLI	CLPP_ECOLI	P03819	P0A6G7	C
DAPB_ECOLI	TYPH_ECOLI	P04036	P07650	C
GUAA_ECOLI	GUAA_ECOLI	P04079	P04079	C
FIMA1_ECOLI	CARB_ECOLI	P04128	P00968	C
FIMA1_ECOLI	MURC_ECOLI	P04128	P17952	C
SYE_ECOLI	SYA_ECOLI	P04805	P00957	C
SYE_ECOLI	ENO_ECOLI	P04805	P0A6P9	C
AMPN_ECOLI	CH60_ECOLI	P04825	P0A6F5	C
KDSB_ECOLI	RS1_ECOLI	P04951	P0AG67	C
KDSB_ECOLI	RL4_ECOLI	P04951	P60723	C
KDSB_ECOLI	RL7_ECOLI	P04951	P0A7K2	C
KDSB_ECOLI	DNAJ_ECOLI	P04951	P08622	C
KDSB_ECOLI	YFBS_ECOLI	P04951	P0AFU2	C
KDSB_ECOLI	KDSA_ECOLI	P04951	P0A715	C
KDSB_ECOLI	YFBS_ECOLI	P04951	P0AFU2	C
EX5A_ECOLI	ODP1_ECOLI	P04993	P0AFG8	C
FUMC_ECOLI	RS14_ECOLI	P05042	P0AG59	C
PNP_ECOLI	DBHA_ECOLI	P05055	P0ACF0	C
PNP_ECOLI	RS3_ECOLI	P05055	P0A7V3	C
PNP_ECOLI	RS4_ECOLI	P05055	P0A7V8	C
PNP_ECOLI	RS5_ECOLI	P05055	P0A7W1	C
PNP_ECOLI	RS13_ECOLI	P05055	P0A7S9	C
PNP_ECOLI	RS18_ECOLI	P05055	P0A7T7	C
PNP_ECOLI	RL4_ECOLI	P05055	P60723	C
PNP_ECOLI	RL13_ECOLI	P05055	P0AA10	C
PNP_ECOLI	RL17_ECOLI	P05055	P0AG44	C
PNP_ECOLI	RL9_ECOLI	P05055	P0A7R1	C
PNP_ECOLI	RL22_ECOLI	P05055	P61175	C
PNP_ECOLI	RL24_ECOLI	P05055	P60624	C
PNP_ECOLI	RECA_ECOLI	P05055	P0A7G6	C
PNP_ECOLI	METK_ECOLI	P05055	P0A817	C
PNP_ECOLI	PNP_ECOLI	P05055	P05055	C
PNP_ECOLI	HFQ_ECOLI	P05055	P0A6X3	C
PNP_ECOLI	PGK_ECOLI	P05055	P0A799	C
