ID interactor A_ID interactor B	ID interactor A	ID interactor B
P10441_P02990	P10441	P02990
P06993_P02990	P06993	P02990
P0A9X4_P02990	P0A9X4	P02990
P11349_P02990	P11349	P02990
P33593_P02990	P33593	P02990
P0AAH0_P02990	P0AAH0	P02990
P0CE47_P02990	P0CE47	P02990
P63389_P02990	P63389	P02990
P0A6Y8_P0A705	P0A6Y8	P0A705
P0CE47_P0A6P1	P0CE47	P0A6P1
P10408_P0A707	P10408	P0A707
P0AEK4_P0AG30	P0AEK4	P0AG30
P0ABH0_P0AG30	P0ABH0	P0AG30
P0A6X3_P0AG30	P0A6X3	P0AG30
P0CE47_P0AG30	P0CE47	P0AG30
P0CE47_P0AFF6	P0CE47	P0AFF6
P05833_P03004	P05833	P03004
Q47523_P03004	Q47523	P03004
P03004_P03004	P03004	P03004
P06961_P03004	P06961	P03004
P08401_P03004	P08401	P03004
P0A9P0_P03004	P0A9P0	P03004
P60438_P03004	P60438	P03004
P0A7K2_P03004	P0A7K2	P03004
P0ADY3_P03004	P0ADY3	P03004
P61175_P03004	P61175	P03004
P0ADZ0_P03004	P0ADZ0	P03004
P0A7V0_P03004	P0A7V0	P03004
P0A7V3_P03004	P0A7V3	P03004
P0A7S9_P03004	P0A7S9	P03004
P0A7U7_P03004	P0A7U7	P03004
P0CE47_P03004	P0CE47	P03004
P76193_P03004	P76193	P03004
P60422_P03004	P60422	P03004
P60723_P03004	P60723	P03004
P0A7V3_P03004	P0A7V3	P03004
P0A7K2_P03004	P0A7K2	P03004
P60624_P03004	P60624	P03004
P0A7R5_P03004	P0A7R5	P03004
P0A7S9_P03004	P0A7S9	P03004
P0A7U7_P03004	P0A7U7	P03004
P03004_P0ACB0	P03004	P0ACB0
P0CE47_P0ACB0	P0CE47	P0ACB0
P0CE47_P03007	P0CE47	P03007
P0A7G6_P0A7G6	P0A7G6	P0A7G6
P0ABR1_P0A7G6	P0ABR1	P0A7G6
P0AG11_P0A7G6	P0AG11	P0A7G6
P03034_P0A7G6	P03034	P0A7G6
P0A7C2_P0A7G6	P0A7C2	P0A7G6
P33596_P0A7G6	P33596	P0A7G6
P07376_P0A7G6	P07376	P0A7G6
P77488_P0A7G6	P77488	P0A7G6
P31120_P0A7G6	P31120	P0A7G6
P09152_P0A7G6	P09152	P0A7G6
P05055_P0A7G6	P05055	P0A7G6
P0CG19_P0A7G6	P0CG19	P0A7G6
P36979_P0A7G6	P36979	P0A7G6
P0A698_P03018	P0A698	P03018
P06959_P03018	P06959	P03018
P0A9P0_P03018	P0A9P0	P03018
P04825_P03018	P04825	P03018
P0AAF3_P03018	P0AAF3	P03018
P0AC47_P0A8Q0	P0AC47	P0A8Q0
P00363_P0A8Q0	P00363	P0A8Q0
P0AC47_P0A8Q3	P0AC47	P0A8Q3
P0ABA6_P03813	P0ABA6	P03813
P69829_P63284	P69829	P63284
P0A9X4_P63284	P0A9X4	P63284
P0A9X4_P03819	P0A9X4	P03819
P0CE47_P0A8A4	P0CE47	P0A8A4
P0A6Y8_P0CG19	P0A6Y8	P0CG19
P0A9X4_P0CG19	P0A9X4	P0CG19
P09152_P0CG19	P09152	P0CG19
P0AAH0_P0CG19	P0AAH0	P0CG19
P10408_P04128	P10408	P04128
P0ABH0_P0AD68	P0ABH0	P0AD68
P0AGD7_P0A817	P0AGD7	P0A817
P06993_P0A817	P06993	P0A817
P0A6Y8_P0A817	P0A6Y8	P0A817
P0A7G6_P0A817	P0A7G6	P0A817
P10408_P0A817	P10408	P0A817
P0CE47_P0A817	P0CE47	P0A817
P06959_P04395	P06959	P04395
P0A6Y8_P0AC38	P0A6Y8	P0AC38
P10408_P0AC38	P10408	P0AC38
P09372_P0A6Y8	P09372	P0A6Y8
P08622_P0A6Y8	P08622	P0A6Y8
P24182_P0A6Y8	P24182	P0A6Y8
P33224_P0A6Y8	P33224	P0A6Y8
P0A991_P0A6Y8	P0A991	P0A6Y8
P36659_P0A6Y8	P36659	P0A6Y8
P0A6G7_P0A6Y8	P0A6G7	P0A6Y8
P0A6H1_P0A6Y8	P0A6H1	P0A6Y8
P0A6J8_P0A6Y8	P0A6J8	P0A6Y8
P10443_P0A6Y8	P10443	P0A6Y8
P0A6Y8_P0A6Y8	P0A6Y8	P0A6Y8
P0AE22_P0A6Y8	P0AE22	P0A6Y8
P77730_P0A6Y8	P77730	P0A6Y8
P77228_P0A6Y8	P77228	P0A6Y8
P0A6Z1_P0A6Y8	P0A6Z1	P0A6Y8
P0A7R1_P0A6Y8	P0A7R1	P0A6Y8
P0A7J3_P0A6Y8	P0A7J3	P0A6Y8
P0A7K6_P0A6Y8	P0A7K6	P0A6Y8
P0A7N9_P0A6Y8	P0A7N9	P0A6Y8
P0A7V0_P0A6Y8	P0A7V0	P0A6Y8
P02990_P0A6Y8	P02990	P0A6Y8
P32134_P0A6Y8	P32134	P0A6Y8
P0A6P9_P0A6Y8	P0A6P9	P0A6Y8
P0AB71_P0A6Y8	P0AB71	P0A6Y8
P0A6R3_P0A6Y8	P0A6R3	P0A6Y8
P0ABH0_P0A6Y8	P0ABH0	P0A6Y8
P0A9A6_P0A6Y8	P0A9A6	P0A6Y8
P0A9B2_P0A6Y8	P0A9B2	P0A6Y8
P0C8J6_P0A6Y8	P0C8J6	P0A6Y8
P0AC81_P0A6Y8	P0AC81	P0A6Y8
P15038_P0A6Y8	P15038	P0A6Y8
P28630_P0A6Y8	P28630	P0A6Y8
P28905_P0A6Y8	P28905	P0A6Y8
P0ABS8_P0A6Y8	P0ABS8	P0A6Y8
P0A6H5_P0A6Y8	P0A6H5	P0A6Y8
P0ACD4_P0A6Y8	P0ACD4	P0A6Y8
P04951_P0A6Y8	P04951	P0A6Y8
P12282_P0A6Y8	P12282	P0A6Y8
P0AF03_P0A6Y8	P0AF03	P0A6Y8
P0A9X4_P0A6Y8	P0A9X4	P0A6Y8
P17802_P0A6Y8	P17802	P0A6Y8
P0A763_P0A6Y8	P0A763	P0A6Y8
P33593_P0A6Y8	P33593	P0A6Y8
P21599_P0A6Y8	P21599	P0A6Y8
P28304_P0A6Y8	P28304	P0A6Y8
P67910_P0A6Y8	P67910	P0A6Y8
P24255_P0A6Y8	P24255	P0A6Y8
P0ACA3_P0A6Y8	P0ACA3	P0A6Y8
P0A8M3_P0A6Y8	P0A8M3	P0A6Y8
P0A853_P0A6Y8	P0A853	P0A6Y8
P0A858_P0A6Y8	P0A858	P0A6Y8
P0AGG4_P0A6Y8	P0AGG4	P0A6Y8
P24188_P0A6Y8	P24188	P0A6Y8
P37349_P0A6Y8	P37349	P0A6Y8
P45578_P0A6Y8	P45578	P0A6Y8
Q46906_P0A6Y8	Q46906	P0A6Y8
P0A8I5_P0A6Y8	P0A8I5	P0A6Y8
P23839_P0A6Y8	P23839	P0A6Y8
P0A8Y5_P0A6Y8	P0A8Y5	P0A6Y8
P0A9W0_P0A6Y8	P0A9W0	P0A6Y8
P37342_P0A6Y8	P37342	P0A6Y8
P77475_P0A6Y8	P77475	P0A6Y8
P63386_P0A6Y8	P63386	P0A6Y8
P06959_P0ADH5	P06959	P0ADH5
P77399_P04825	P77399	P04825
P04825_P04825	P04825	P04825
P0A6F9_P04825	P0A6F9	P04825
P0ACB7_P04983	P0ACB7	P04983
P0A9P0_P04993	P0A9P0	P04993
P0A6Y8_P05055	P0A6Y8	P05055
P0A9X4_P05055	P0A9X4	P05055
P23830_P05055	P23830	P05055
P0AEZ3_P05637	P0AEZ3	P05637
P10408_P06136	P10408	P06136
P0A9A6_P0ABH0	P0A9A6	P0ABH0
P0ABH0_P0ABH0	P0ABH0	P0ABH0
P0A9Q5_P0ABH0	P0A9Q5	P0ABH0
P0AFG8_P0ABH0	P0AFG8	P0ABH0
P08622_P0ABH0	P08622	P0ABH0
P0AFG0_P0ABH0	P0AFG0	P0ABH0
P0AG48_P0ABH0	P0AG48	P0ABH0
P0A7V0_P0ABH0	P0A7V0	P0ABH0
P0CE47_P0ABH0	P0CE47	P0ABH0
P06136_P0ABH0	P06136	P0ABH0
P0AC30_P0ABH0	P0AC30	P0ABH0
P77173_P0A9A6	P77173	P0A9A6
P0A9A6_P0A9A6	P0A9A6	P0A9A6
P0AFZ5_P0A9A6	P0AFZ5	P0A9A6
P18196_P0A9A6	P18196	P0A9A6
P22333_P0A9A6	P22333	P0A9A6
P0A6M8_P0A9A6	P0A6M8	P0A9A6
P68187_P0A9A6	P68187	P0A9A6
P0A9X4_P0A9A6	P0A9X4	P0A9A6
P0AAH0_P0A9A6	P0AAH0	P0A9A6
P0A7G6_P0A9A6	P0A7G6	P0A9A6
P62399_P0A9A6	P62399	P0A9A6
P0A7W1_P0A9A6	P0A7W1	P0A9A6
P10408_P0A9A6	P10408	P0A9A6
P0CE47_P0A9A6	P0CE47	P0A9A6
P0AES4_P0A9A6	P0AES4	P0A9A6
P0A6H5_P0A9A6	P0A6H5	P0A9A6
P0C054_P0A9A6	P0C054	P0A9A6
P22523_P0A9A6	P22523	P0A9A6
P06974_P0AE67	P06974	P0AE67
P0A9P0_P0AE67	P0A9P0	P0AE67
P06959_P0A7Y8	P06959	P0A7Y8
P0A7B1_P0A7Y8	P0A7B1	P0A7Y8
P23830_P0A7Y8	P23830	P0A7Y8
P06611_P06609	P06611	P06609
P06611_P06611	P06611	P06611
P0AAF6_P06612	P0AAF6	P06612
P06959_P06612	P06959	P06612
P23830_P06612	P23830	P06612
P0A9U3_P06612	P0A9U3	P06612
P0ABB0_P06612	P0ABB0	P06612
P0AGB6_P06612	P0AGB6	P06612
P0AEY3_P06616	P0AEY3	P06616
P06616_P06616	P06616	P06616
P0A7V0_P06616	P0A7V0	P06616
P0A7W1_P06616	P0A7W1	P06616
P02990_P06616	P02990	P06616
P0CE47_P06616	P0CE47	P06616
P0A953_P06616	P0A953	P06616
P0AC55_P0AFB5	P0AC55	P0AFB5
P0A6A8_P0AFG8	P0A6A8	P0AFG8
P77439_P0AFG8	P77439	P0AFG8
P25522_P0AFG8	P25522	P0AFG8
P0A6A8_P06959	P0A6A8	P06959
