P06959	ODP2_ECOLI	ODP2_ECOLI_F1
P0A698	UVRA_ECOLI	UVRA_ECOLI_F1
P0A6A8	ACP_ECOLI	ACP_ECOLI_F1
P0A6E6	ATPE_ECOLI	ATPE_ECOLI_F1
P0A6U3	MNMG_ECOLI	MNMG_ECOLI_F1
P0A7A7	PLSB_ECOLI	PLSB_ECOLI_F1
P0A7G6	RECA_ECOLI	RECA_ECOLI_F1
P0A8K1	PSD_ECOLI	PSD_ECOLI_F1
P0A9A6	FTSZ_ECOLI	FTSZ_ECOLI_F1
P0A9T8	YBBA_ECOLI	YBBA_ECOLI_F1
P0AAG0	DPPD_ECOLI	DPPD_ECOLI_F1
P0AAG8	MGLA_ECOLI	MGLA_ECOLI_F1
P0AAI1	SSUB_ECOLI	SSUB_ECOLI_F1
P0ABA4	ATPD_ECOLI	ATPD_ECOLI_F1
P0ABB0	ATPA_ECOLI	ATPA_ECOLI_F1
P0AC47	FRDB_ECOLI	FRDB_ECOLI_F1
P0ACD8	MBHL_ECOLI	MBHL_ECOLI_F1
P0AE88	CPXR_ECOLI	CPXR_ECOLI_F1
P0AF36	ZAPB_ECOLI	ZAPB_ECOLI_F1
P0AGI8	TRKA_ECOLI	TRKA_ECOLI_F1
P0CE47	EFTU1_ECOLI	EFTU1_ECOLI_F1
P0CE48	EFTU2_ECOLI	EFTU2_ECOLI_F1
P13035	GLPD_ECOLI	GLPD_ECOLI_F1
P14175	PROV_ECOLI	PROV_ECOLI_F1
P17444	BETA_ECOLI	BETA_ECOLI_F1
P21513	RNE_ECOLI	RNE_ECOLI_F1
P22255	CYSQ_ECOLI	CYSQ_ECOLI_F1
P27254	ARGK_ECOLI	ARGK_ECOLI_F1
P31548	THIQ_ECOLI	THIQ_ECOLI_F1
P32155	PTFA_ECOLI	PTFA_ECOLI_F1
P32721	ALSA_ECOLI	ALSA_ECOLI_F1
P33931	CCMA_ECOLI	CCMA_ECOLI_F1
P37349	DHAM_ECOLI	DHAM_ECOLI_F1
