ID interactor A	ID interactor B
P05827	P05827
P05852	P0AAM7
P05852	P0A8V2
P05852	P0A817
P05852	P0A7Z4
P05852	P0A7R5
P05852	P0A7K2
P05852	P0A6N1
P05852	P07012
P05852	P05852
P05852	P02990
P06129	P94739
P06129	P06129
P06134	P06134
P06134	P00579
P06136	Q46894
P06136	P58034
P06136	P29131
P06136	P25714
P06136	P0AGA2
P06136	P0ABH0
P06136	P06136
P06609	P06609
P06611	P06611
P06611	P06609
P06612	P76268
P06612	P75933
P06612	P75830
P06612	P60438
P06612	P37765
P06612	P37647
P06612	P31068
P06612	P27862
P06612	P25527
P06612	P0ACF8
P06612	P0ABS8
P06612	P0AA10
P06612	P0A9P0
P06612	P0A8V2
P06612	P0A8V2
P06612	P0A7Z4
P06612	P0A7Z4
P06612	P0A7Y4
P06612	P0A7Y4
P06612	P0A7V3
P06612	P0A7U7
P06612	P0A7S9
P06612	P0A7N9
P06612	P0A7K6
P06612	P06612
P06612	P02359
P06616	P0A9M0
P06616	P06616
P06709	P45426
P06709	P13033
P06709	P0AG59
P06709	P0AG59
P06709	P0AG48
P06709	P0A7V3
P06709	P0A761
P06709	P06709
P06710	P37163
P06710	P28689
P06710	P28632
P06710	P28630
P06710	P16921
P06710	P15028
P06710	P10904
P06710	P10443
P06710	P0AG80
P06710	P0ABS8
P06710	P0A988
P06710	P0A7M6
P06710	P0A7L0
P06710	P0A780
P06710	P06710
P06710	P03007
P06710	P02358
P06720	P06720
P06721	P06721
P06722	P23367
P06722	P0A7R5
P06846	P06846
P06864	P22563
P06959	P77574
P06959	P77399
P06959	P76211
P06959	P76028
P06959	P75990
P06959	P75829
P06959	P45465
P06959	P43329
P06959	P39299
P06959	P37163
P06959	P37024
P06959	P36979
P06959	P33938
P06959	P33224
P06959	P32177
P06959	P32053
P06959	P31806
P06959	P30871
P06959	P27305
P06959	P24230
P06959	P24188
P06959	P20082
P06959	P17113
P06959	P14294
P06959	P12638
P06959	P0AES4
P06959	P0ADH5
P06959	P0AAS7
P06959	P0A9X1
P06959	P0A9K3
P06959	P0A8F8
P06959	P0A7Y8
P06959	P0A7Y4
P06959	P09168
P06959	P07604
P06959	P06612
P06959	P04395
P06959	P03018
P06959	P00892
P06959	P00582
P06961	P76558
P06961	P0A6H5
P06961	P32147
P06961	P21499
P06961	P21155
P06961	P15277
P06961	P0AAT6
P06961	P0A8V2
P06961	P0A6N1
P06961	P09373
P06961	P06961
P06961	P03004
P06968	P06968
P06971	P94739
P06971	P06971
P06972	P10440
P06974	P75849
P06974	P39280
P06974	P15070
P06974	P0AE67
P06974	P09394
P06974	P06974
P06983	P0A8T7
P06989	P06989
P06992	P06992
P06993	P68187
P06993	P29210
P06993	P29209
P06993	P23872
P06993	P0C058
P06993	P0C054
P06993	P0AAH0
P06993	P0A9X4
P06993	P0A9A6
P06993	P0A817
P06993	P0A7K6
P06993	P08622
P06993	P06993
P06993	P02990
P06996	P36979
P06996	P31473
P06996	P13519
P06996	P0A9X4
P06996	P06996
P06999	P06999
P07001	P77539
P07001	P07001
P07003	P07003
P07004	Q46840
P07004	P10904
P07004	P0AFT5
P07004	P0ACD4
P07004	P0A823
P07004	P0A6J8
P07004	P07004
P07012	P77374
P07012	P76440
P07012	P33930
P07012	P0A7Z4
P07012	P0A7W1
P07012	P0A7V0
P07012	P0A7T7
P07012	P0A7K2
P07012	P07012
P07012	P02373
P07013	P07013
P07014	P10444
P07017	P75942
P07017	P0AE67
P07017	P07364
P07017	P07017
P07018	P24991
P07021	P0A8G0
P07023	P0AG03
P07023	P07023
P07024	P10115
P07024	P0A9R7
P07118	P07118
P07330	P07363
P07330	P07017
P07363	Q47154
P07363	P0AEM4
P07363	P0AE67
P07363	P0AE67
P07363	P0A9H9
P07363	P0A964
P07363	P0A7U3
P07363	P07363
P07363	P07017
P07364	P39280
P07364	P15070
P07364	P0AG07
P07364	P0A812
P07395	P76237
P07395	P19673
P07395	P08312
P07395	P07395
P07464	P0A850
P07464	P07464
P07604	P0ABB0
P07604	P07604
P07639	P0A6M8
P07648	P08394
P07649	P37192
P07650	P0A940
P07650	P09551
P07650	P07650
P07658	P0A9P6
P07658	P0A7W7
P07658	P0A7U3
P07813	P76245
P07813	P60723
P07813	P15042
P07813	P0AE18
P07813	P0ADZ0
P07813	P0A7I0
P07813	P0A6I6
P07813	P0A6F9
P07813	P07813
P07813	P07012
P07813	P06612
P08142	P0AC33
P08142	P0AC33
P08142	P0A9P0
P08142	P0A7K2
P08142	P08142
P08192	P08192
P08202	P08202
P08203	P08203
P08245	P0ADI0
P08245	P08245
P08312	P08312
P08331	P0AAR3
P08337	Q46820
P08337	P08337
P08365	P39184
P08365	P0A9M8
P08373	P52600
P08373	P42593
P08373	P0ABH0
P08373	P0A6F9
P08373	P08373
P08390	P21599
P08390	P0A8T7
P08390	P0A7Z4
P08390	P0A7K2
P08390	P08390
P08390	P02990
P08394	P11191
P08394	P0AFG8
P08394	P0A9P0
P08394	P08394
P08394	P06959
P08400	P36979
P08400	P0AFJ5
P08401	Q59384
P08401	P0AC81
P08401	P08368
P08401	P03004
P08550	P25539
P08622	P77645
P08622	P76594
P08622	P71295
P08622	P69913
P08622	P69739
P08622	P64517
P08622	P61175
P08622	P60624
P08622	P39299
P08622	P39177
P08622	P37192
P08622	P36979
P08622	P32691
P08622	P31554
P08622	P29209
P08622	P24192
P08622	P23839
P08622	P23304
P08622	P21645
P08622	P21507
P08622	P16921
P08622	P15716
P08622	P15042
P08622	P0C8J6
P08622	P0AGB3
P08622	P0AG30
P08622	P0AG14
P08622	P0AFP6
P08622	P0AES4
P08622	P0AES4
P08622	P0ADZ0
P08622	P0ADZ0
P08622	P0ABU7
P08622	P0ABH9
P08622	P0ABH0
P08622	P0ABB4
P08622	P0AAS7
P08622	P0AAS7
P08622	P0A9Y6
P08622	P0A9M8
P08622	P0A812
P08622	P0A7V3
P08622	P0A7R5
P08622	P0A717
P08622	P0A705
P08622	P0A6Y8
P08622	P0A6X3
P08622	P0A6N1
P08622	P0A6M8
P08622	P0A6H5
P08622	P09152
P08622	P08622
P08622	P06996
P08622	P03842
P08622	P02358
P08722	P08722
P08839	P15038
P08956	P0A7K2
P08957	P68739
P08957	P0A6P1
P08957	P08956
P08957	P05719
P08999	P76092
P08999	P60422
P08999	P08999
P09028	P09028
P09030	P0ABT5
P09030	P0A9V1
P09030	P0A9P0
P09030	P09030
P09030	P06959
P09053	P0A850
P09147	P09147
P09148	P09148
P09151	P0A836
P09152	P32173
P09152	P0A6H5
P09152	P32125
P09152	P12281
P09152	P11351
P09152	P0AFP6
P09152	P0AF26
P09152	P0AAH0
P09152	P0A9X4
P09152	P0A7G6
P09152	P0A6N1
P09152	P0A6F5
P09152	P09152
P09152	P03842
P09155	P09155
P09158	P09158
P09159	P09159
P09160	P77310
P09160	P0A7V0
P09160	P0A6F5
P09160	P09160
P09168	P0A9P0
P09168	P0A9B2
P09168	P0A6F5
P09168	P09168
P09170	P09170
P09348	P10408
P09371	P09371
P09372	P77539
P09372	P69910
P09372	P52600
P09372	P0A6H1
P09372	P30854
P09372	P28302
P09372	P15048
P09372	P0A817
P09372	P0A7K6
P09372	P0A7K2
P09372	P0A705
P09372	P0A705
P09372	P0A6Y8
P09372	P0A6F9
P09372	P0A6F5
P09372	P09372
P09372	P08622
P09372	P08555
P09373	P68066
P09373	P61320
P09373	P60723
P09373	P39347
P09373	P39180
P09373	P37751
P09373	P33633
P09373	P33570
P09373	P30015
P09373	P29209
P09373	P22992
P09373	P21599
P09373	P0AFW2
P09373	P0AF67
P09373	P0ACA3
P09373	P0A901
P09373	P0A858
P09373	P0A858
P09373	P0A836
P09373	P0A759
P09373	P0A6Q3
P09373	P09373
P09373	P05852
P09375	P09375
P09376	P19245
P09376	P09376
P09377	P13030
P09392	P09392
P09394	P75938
P09394	P32662
P09394	P26608
P09394	P0ABX5
P09394	P07363
P09424	P21893
P09424	P09424
P09546	P69441
P09546	P0A9Y6
P09546	P30126
P09546	P0AFU8
P09546	P0AE08
P09546	P0ACV4
P09546	P0ACF0
P09546	P0A9Y6
P09546	P0A870
P09546	P0A7R1
P09546	P0A7L0
P09546	P0A6F9
P09546	P09546
P09548	P77310
P09551	P37330
P09551	P36879
P09551	P33195
P09551	P25526
P09551	P0A9S5
P09557	P18196
P09625	P09625
P09743	P09743
P09831	P13029
P09831	P06864
P09832	P21889
P09832	P11880
P09832	P0AG59
P09832	P0A7X3
P09832	P0A7V3
P09832	P0A6N1
P09832	P09832
P09832	P09831
P09883	Q03708
P09883	P13479
P09980	P09980
P09986	P09986
P09986	P09983
P09986	P02930
P09997	P25522
P09997	P0A6Y8
P09997	P0A6N1
P09997	P0A6F5
P09997	P09997
P0A698	P76268
P0A698	P0AFF6
P0A698	P0AAT2
P0A698	P0A8F8
P0A698	P0A850
P0A698	P0A698
P0A698	P03018
P0A6A0	P0A8E5
P0A6A6	P0A870
P0A6A6	P0A7T3
P0A6A6	P0A7M2
P0A6A6	P0A6P9
P0A6A8	Q47718
P0A6A8	P75877
P0A6A8	P75744
P0A6A8	P39435
P0A6A8	P33995
P0A6A8	P33224
P0A6A8	P33224
P0A6A8	P31119
P0A6A8	P31119
P0A6A8	P30867
P0A6A8	P25716
P0A6A8	P23304
P0A6A8	P22523
P0A6A8	P21774
P0A6A8	P17952
P0A6A8	P17580
P0A6A8	P17114
P0A6A8	P10408
P0A6A8	P0AGK4
P0A6A8	P0AFG8
P0A6A8	P0AEK2
P0A6A8	P0AEA5
P0A6A8	P0ADQ2
P0A6A8	P0ADA3
P0A6A8	P0AC30
P0A6A8	P0ABV2
P0A6A8	P0ABJ3
P0A6A8	P0ABJ1
P0A6A8	P0ABD5
P0A6A8	P0A9P0
P0A6A8	P0A8Z3
P0A6A8	P0A894
P0A6A8	P0A7W7
P0A6A8	P0A7S9
P0A6A8	P0A7A7
P0A6A8	P0A6A8
P0A6A8	P08999
P0A6A8	P06993
P0A6A8	P06959
P0A6A8	P02413
P0A6B7	P32177
P0A6B7	P0ACY9
P0A6B7	P0A890
P0A6C1	P33371
P0A6C1	P0A9M0
P0A6C5	P60785
P0A6C5	P60785
P0A6D0	P0AFK0
P0A6D3	P07003
P0A6D7	P76256
P0A6E4	P0AEC3
P0A6E4	P0A825
P0A6E6	P68699
P0A6E6	P0AGB0
P0A6E6	P0A700
P0A6E9	P0A6E9
P0A6F1	P45523
P0A6F1	P45523
P0A6F1	P22188
P0A6F1	P0A6F1
P0A6F1	P00968
P0A6F1	P00968
P0A6F3	P33018
P0A6F3	P30015
P0A6F3	P17846
P0A6F3	P0A944
P0A6F3	P0A6F3
P0A6F3	P09831
P0A6F5	Q8PW07
P0A6F5	Q59384
P0A6F5	P80063
P0A6F5	P77475
P0A6F5	P76422
P0A6F5	P76213
P0A6F5	P75990
P0A6F5	P68739
P0A6F5	P63386
P0A6F5	P52126
P0A6F5	P50465
P0A6F5	P45527
P0A6F5	P39299
P0A6F5	P37634
P0A6F5	P37191
P0A6F5	P37190
P0A6F5	P33938
P0A6F5	P33224
P0A6F5	P0A6H1
P0A6F5	P31805
P0A6F5	P30745
P0A6F5	P30139
P0A6F5	P29464
P0A6F5	P25845
P0A6F5	P25665
P0A6F5	P25663
P0A6F5	P25532
P0A6F5	P24194
P0A6F5	P24192
P0A6F5	P23306
P0A6F5	P21155
P0A6F5	P19245
P0A6F5	P18197
P0A6F5	P17579
P0A6F5	P16921
P0A6F5	P14374
P0A6F5	P13519
P0A6F5	P13423
P0A6F5	P12998
P0A6F5	P10115
P0A6F5	P0AGB3
P0A6F5	P0AFG8
P0A6F5	P0AFF6
P0A6F5	P0AF67
P0A6F5	P0AEZ1
P0A6F5	P0AEY3
P0A6F5	P0AEY0
P0A6F5	P0AES4
P0A6F5	P0ACA3
P0A6F5	P0ACA3
P0A6F5	P0A9X4
P0A6F5	P0A9R7
P0A6F5	P0A9I5
P0A6F5	P0A8Y5
P0A6F5	P0A8V2
P0A6F5	P0A800
P0A6F5	P0A7H0
P0A6F5	P0A7D1
P0A6F5	P0A7A9
P0A6F5	P0A6P9
P0A6F5	P0A6G7
P0A6F5	P0A6F9
P0A6F5	P0A6F5
P0A6F5	P09151
P0A6F5	P08312
P0A6F5	P07913
P0A6F5	P07395
P0A6F5	P06993
P0A6F5	P04993
P0A6F5	 P0AB91
P0A6F9	P77475
P0A6F9	P77329
P0A6F9	P77206
P0A6F9	P76543
P0A6F9	P76213
P0A6F9	P75990
P0A6F9	P75718
P0A6F9	P67910
P0A6F9	P63386
P0A6F9	P54901
P0A6F9	P52126
P0A6F9	P50465
P0A6F9	P45469
P0A6F9	P39376
P0A6F9	P37751
P0A6F9	P37750
P0A6F9	P37678
P0A6F9	P36879
P0A6F9	P36683
P0A6F9	P32177
P0A6F9	P30856
P0A6F9	P24192
P0A6F9	P18776
P0A6F9	P14609
P0A6F9	P10413
P0A6F9	P0AF93
P0A6F9	P0ACB2
P0A6F9	P0ABJ3
P0A6F9	P0ABH7
P0A6F9	P0A9R7
P0A6F9	P0A9M0
P0A6F9	P0A9I5
P0A6F9	P0A988
P0A6F9	P0A8U2
P0A6F9	P0A8S1
P0A6F9	P0A8R7
P0A6F9	P0A812
P0A6F9	P0A7H0
P0A6F9	P0A7G6
P0A6F9	P0A759
P0A6F9	P0A717
P0A6F9	P0A6F9
P0A6F9	P05637
P0A6F9	P04825
P0A6F9	P02918
P0A6G3	P77748
P0A6G3	P0ABH7
P0A6G3	P0A9K9
P0A6G7	P0AF90
P0A6G7	P0ABH9
P0A6G7	P0A6G7
P0A6G7	P0A6F9
P0A6H1	P63284
P0A6H1	P37759
P0A6H1	P0AAH0
P0A6H1	P0A9X4
