ID interactor A	ID interactor B
P39286	P02352
P45802	P02352
P45803	P02352
P02392	P02352
P02356	P02354
P15716	P02354
P15277	P02354
P36996	P02354
P24245	P02354
P23304	P02354
P21774	P02354
P06984	P02354
P08756	P02354
P33594	P02354
P03003	P02354
P05055	P02354
P42184	P02354
P23830	P02354
P14374	P02354
P25539	P02354
P21513	P02354
P33918	P02354
P14081	P02354
P07028	P02354
P21499	P02354
P00892	P02354
P33635	P02354
Q46906	P02354
P37195	P02354
P02392	P02356
P02352	P02356
P02384	P02356
P76195	P02356
P76578	P02356
P25537	P02356
P03020	P02356
P36996	P02356
P03004	P02356
P08324	P02356
P18391	P02356
P07019	P02356
P04742	P02356
P11028	P02356
P00960	P02356
P25521	P02356
P28905	P02356
P43329	P02356
P32168	P02356
P23282	P02356
P23875	P02356
P00482	P02356
P05055	P02356
P07012	P02356
P42184	P02356
P29464	P02356
P30850	P02356
P00647	P02356
P06277	P02356
P02388	P02356
P00574	P02356
P00575	P02356
P00579	P02356
P02356	P02356
P02386	P02356
P02422	P02356
P02351	P02356
P02358	P02356
P02359	P02356
P02364	P02356
P02375	P02356
P02378	P02356
P02990	P02356
P22563	P02356
P32052	P02356
P15082	P02356
P05100	P02356
P19675	P02356
P00955	P02356
P22257	P02356
P00954	P02356
P75767	P02356
P75829	P02356
P00892	P02356
P76104	P02356
P52648	P02356
P76316	P02356
P33635	P02356
Q46930	P02356
P32049	P02356
P03843	P02356
P39290	P02356
P45748	P02356
P45803	P02356
P02374	P02358
P33224	P02358
P15716	P02358
P08622	P02358
P06710	P02358
P25521	P02358
P16528	P02358
P07682	P02358
P16921	P02358
P11665	P02358
P24210	P02358
P21513	P02358
P06277	P02358
P00574	P02358
P00575	P02358
P00579	P02358
P17580	P02358
P25522	P02358
P00955	P02358
P07028	P02358
P45567	P02358
P75829	P02358
P00892	P02358
P36979	P02358
Q46930	P02358
P32049	P02358
P32701	P02358
P0A6Q3	P02358
P0ADH5	P02358
P68739	P02358
P0A7E9	P02358
P0A7Z4	P02358
P33570	P02358
P36879	P02358
P0AAS7	P02358
P0A8M6	P02358
P0AF63	P02358
P76116	P02358
P0AEB7	P02358
Q46856	P02358
P64581	P02358
P0A707	P02358
P0A6X3	P02358
P0A7Y8	P02358
P02367	P02359
P76086	P02359
P36659	P02359
P03815	P02359
P36996	P02359
P24245	P02359
P36997	P02359
P11876	P02359
P03004	P02359
P28692	P02359
P21346	P02359
P15038	P02359
P08756	P02359
P43329	P02359
P10485	P02359
P31059	P02359
P10413	P02359
P07682	P02359
P22523	P02359
P33594	P02359
P39159	P02359
P42184	P02359
P17963	P02359
P24229	P02359
P25539	P02359
P00574	P02359
P00577	P02359
P22563	P02359
P17580	P02359
P19675	P02359
P00955	P02359
P22257	P02359
P06612	P02359
P07028	P02359
P03018	P02359
P21499	P02359
P77734	P02359
P75767	P02359
P00892	P02359
P37765	P02359
P36979	P02359
P33635	P02359
Q46930	P02359
P32049	P02359
P36564	P02359
P39299	P02359
P33371	P02359
P0A850	P02359
P02354	P02361
P02356	P02361
P02384	P02361
P02901	P02361
P23304	P02361
P27430	P02361
P02999	P02361
P21645	P02361
P07028	P02361
P21499	P02361
P33635	P02361
P39299	P02361
P02369	P02363
P02420	P02363
P02435	P02363
P23304	P02363
P03004	P02363
P10440	P02363
P00482	P02363
P02356	P02363
P17580	P02363
P21499	P02363
P02349	P02364
P76028	P02364
P76578	P02364
P19245	P02364
P03020	P02364
P36996	P02364
P36997	P02364
P03004	P02364
