	ID interactor A	ID interactor B
RL21_ECOLI	P0AG48	P00579
RS1_ECOLI	P0AG67	P00579
RS2_ECOLI	P0A7V0	P00579
RS3_ECOLI	P0A7V3	P00579
RS4_ECOLI	P0A7V8	P00579
RS7_ECOLI	P02359	P00579
YEEX_ECOLI	P0A8M6	P00579
KDGR_ECOLI	P76268	P00579
RHO_ECOLI	P0AG30	P00579
RL7_ECOLI	P0A7K2	P00579
RL19_ECOLI	P0A7K6	P00579
RL21_ECOLI	P0AG48	P00579
RL28_ECOLI	P0A7M2	P00579
CEDA_ECOLI	P0AE60	P00579
RPOA_ECOLI	P0A7Z4	P00579
NUSA_ECOLI	P0AFF6	P00579
RPOC_ECOLI	P0A8T7	P00579
RPOZ_ECOLI	P0A800	P00579
RSD_ECOLI	P0AFX4	P0AGB3
RPOB_ECOLI	P0A8V2	P0AGB3
RP32_ECOLI	P0AGB3	P0AGB3
QOR1_ECOLI	P28304	P0AGB3
RL7_ECOLI	P0A7K2	P0AGB3
RPOA_ECOLI	P0A7Z4	P0AGB3
RPOC_ECOLI	P0A8T7	P0AGB3
RS4_ECOLI	P0A7V8	P0AGB3
DBHB_ECOLI	P0ACF4	P00582
DPO1_ECOLI	P00582	P00582
MNMC_ECOLI	P77182	P00582
FIS_ECOLI	P0A6R3	P00582
HNS_ECOLI	P0ACF8	P00582
HRPA_ECOLI	P43329	P00582
DBHA_ECOLI	P0ACF0	P00582
PHSM_ECOLI	P00490	P00582
METK_ECOLI	P0A817	P00582
MURF_ECOLI	P11880	P00582
RL13_ECOLI	P0AA10	P00582
RL28_ECOLI	P0A7M2	P00582
RS2_ECOLI	P0A7V0	P00582
SLYD_ECOLI	P0A9K9	P00582
ROB_ECOLI	P0ACI0	P00582
YFFS_ECOLI	P76550	P00582
KDSA_ECOLI	P0A715	P00582
METK_ECOLI	P0A817	P00582
RPOA_ECOLI	P0A7Z4	P00582
DPO3B_ECOLI	P0A988	P0A988
DPO3A_ECOLI	P10443	P0A988
HOLC_ECOLI	P28905	P0A988
SYK2_ECOLI	P0A8N5	P0A988
IPYR_ECOLI	P0A7A9	P0A988
KPYK2_ECOLI	P21599	P0A988
YAJQ_ECOLI	P0A8E7	P0A988
