	ID interactor A	ID interactor B
RL7_ECOLI	P0A7K2	P76104
RL22_ECOLI	P61175	P76104
RL24_ECOLI	P60624	P76104
RL33_ECOLI	P0A7N9	P76104
RS1_ECOLI	P0AG67	P76104
RS3_ECOLI	P0A7V3	P76104
RS7_ECOLI	P02359	P76104
RS14_ECOLI	P0AG59	P76104
SELB_ECOLI	P14081	P76104
KBL_ECOLI	P0AB77	P76104
RL7_ECOLI	P0A7K2	P76104
RS14_ECOLI	P0AG59	P76104
QOR2_ECOLI	P39315	P76113
MCBR_ECOLI	P76114	P76114
TRMB_ECOLI	P0A8I5	P76115
ILVG_ECOLI	P00892	P76116
RL1_ECOLI	P0A7L0	P76116
DAPF_ECOLI	P0A6K1	P76116
GYRA_ECOLI	P0AES4	P76116
RL9_ECOLI	P0A7R1	P76116
RL15_ECOLI	P02413	P76116
RL16_ECOLI	P0ADY7	P76116
RL18_ECOLI	P0C018	P76116
RL20_ECOLI	P0A7L3	P76116
RS14_ECOLI	P0AG59	P76116
SRMB_ECOLI	P21507	P76116
RLMI_ECOLI	P75876	P76116
YFIF_ECOLI	P0AGJ5	P76116
CHEW_ECOLI	P0A964	P76116
TUSA_ECOLI	P0A890	P76128
UVRC_ECOLI	P0A8G0	P76128
LSRR_ECOLI	P76141	P76141
LSRF_ECOLI	P76143	P76143
GLYA_ECOLI	P0A825	P76147
RL17_ECOLI	P0AG44	P76148
RL19_ECOLI	P0A7K6	P76148
YCIU_ECOLI	P0A8L7	P76148
TIG_ECOLI	P0A850	P76149
RLMI_ECOLI	P75876	P76149
SYA_ECOLI	P00957	P76160
SYE_ECOLI	P04805	P76160
MANA_ECOLI	P00946	P76161
GMR_ECOLI	P77334	P76162
EX7L_ECOLI	P04994	P76168
RIBD_ECOLI	P25539	P76172
MURC_ECOLI	P17952	P76175
NOHA_ECOLI	P31061	P76176
HNS_ECOLI	P0ACF8	P64467
SYK2_ECOLI	P0A8N5	P76185
YDHF_ECOLI	P76187	P76187
NEMR_ECOLI	P67430	P67430
KDSB_ECOLI	P04951	P67430
YDHV_ECOLI	P76192	P76192
RL1_ECOLI	P0A7L0	P76193
RS16_ECOLI	P0A7T3	P76193
FDHE_ECOLI	P13024	P76194
YDIH_ECOLI	P64476	P64476
YNBC_ECOLI	P76092	P64476
HLDD_ECOLI	P67910	P64476
RFAF_ECOLI	P37692	P64476
RS3_ECOLI	P0A7V3	P64476
RS7_ECOLI	P02359	P64476
SPOT_ECOLI	P0AG24	P64476
TIG_ECOLI	P0A850	P64476
DPO3E_ECOLI	P03007	P64476
OBG_ECOLI	P42641	P64476
YDIZ_ECOLI	P64479	P76205
CEDA_ECOLI	P0AE60	P0AE60
RPOC_ECOLI	P0A8T7	P0AE60
RPOZ_ECOLI	P0A800	P0AE60
CHO_ECOLI	P76213	P76213
CH60_ECOLI	P0A6F5	P76213
CH10_ECOLI	P0A6F9	P76213
FABA_ECOLI	P0A6Q3	P76214
ASTD_ECOLI	P76217	P76217
FOLM_ECOLI	P0AFS3	P76223
RS14_ECOLI	P0AG59	P76223
RRAA_ECOLI	P0A8R0	P76235
HLDD_ECOLI	P67910	P76235
YCGB_ECOLI	P29013	P76235
SYFB_ECOLI	P07395	P76237
RL28_ECOLI	P0A7M2	P76243
YHFG_ECOLI	P0ADX5	P76243
ACCA_ECOLI	P0ABD5	P76243
RL1_ECOLI	P0A7L0	P76243
RS3_ECOLI	P0A7V3	P76243
SYL_ECOLI	P07813	P76245
DMLA_ECOLI	P76251	P76251
YEAZ_ECOLI	P76256	P76256
AROK_ECOLI	P0A6D7	P76256
AROK_ECOLI	P0A6D7	P76256
YOAA_ECOLI	P76257	P76257
KDGR_ECOLI	P76268	P76268
FIS_ECOLI	P0A6R3	P76268
DBHA_ECOLI	P0ACF0	P76268
IHFA_ECOLI	P0A6X7	P76268
LIPA_ECOLI	P60716	P76268
DPO1_ECOLI	P00582	P76268
PURR_ECOLI	P0ACP7	P76268
RPOB_ECOLI	P0A8V2	P76268
SLYD_ECOLI	P0A9K9	P76268
TOP1_ECOLI	P06612	P76268
YEBV_ECOLI	P64503	P76268
YODD_ECOLI	P64519	P76268
KDGR_ECOLI	P76268	P76270
THIO_ECOLI	P0AA25	P76270
PYRH_ECOLI	P0A7E9	P76272
YBGI_ECOLI	P0AFP6	P76272
EXOX_ECOLI	P0AEK0	P0AEK0
FLHD_ECOLI	P0A8S9	P76297
DCYD_ECOLI	P76316	P76316
RL1_ECOLI	P0A7L0	P76316
RL4_ECOLI	P60723	P76316
RS4_ECOLI	P0A7V8	P76316
RL1_ECOLI	P0A7L0	P76316
RL19_ECOLI	P0A7K6	P76316
RS4_ECOLI	P0A7V8	P76316
RL2_ECOLI	P60422	P76316
RL13_ECOLI	P0AA10	P76316
RL15_ECOLI	P02413	P76316
RL21_ECOLI	P0AG48	P76316
RL28_ECOLI	P0A7M2	P76316
RS6_ECOLI	P02358	P76316
RS13_ECOLI	P0A7S9	P76316
RS14_ECOLI	P0AG59	P76316
RS21_ECOLI	P68679	P76316
GLSA1_ECOLI	P77454	P76321
TLDD_ECOLI	P0AGG8	P76329
MURF_ECOLI	P11880	P76339
YEDW_ECOLI	P76340	P76339
YEDW_ECOLI	P76340	P76340
YNBC_ECOLI	P76092	P76340
YGIC_ECOLI	P0ADT5	P76347
PURA_ECOLI	P0A7D4	P76347
RL23_ECOLI	P0ADZ0	P76347
RS18_ECOLI	P0A7T7	P76347
YEEN_ECOLI	P0A8A2	P0A8A2
RIR1_ECOLI	P00452	P0A8A2
SSRP_ECOLI	P0A832	P0A8M6
RLMN_ECOLI	P36979	P0A8M6
YEEX_ECOLI	P0A8M6	P0A8M6
MURA_ECOLI	P0A749	P76387
HNS_ECOLI	P0ACF8	P76389
GMHA_ECOLI	P63224	P76389
RL19_ECOLI	P0A7K6	P76389
RS16_ECOLI	P0A7T3	P76389
RS20_ECOLI	P0A7U7	P76389
YBGL_ECOLI	P75746	P76394
CUTA_ECOLI	P69488	P76396
AMPM_ECOLI	P0AE18	P76398
YEGV_ECOLI	P76419	P76418
YAER_ECOLI	P52096	P76419
GPMI_ECOLI	P37689	P76419
YPEA_ECOLI	P76539	P76419
YFFS_ECOLI	P76550	P76419
YEGW_ECOLI	P0ACM5	P0ACM5
CH60_ECOLI	P0A6F5	P76422
RF2_ECOLI	P07012	P76440
DPIA_ECOLI	P0AEF4	P76440
ARPA_ECOLI	P23325	P76440
PDXH_ECOLI	P0AFI7	P76440
SLYD_ECOLI	P0A9K9	P76440
YNEG_ECOLI	P76148	P76440
CINAL_ECOLI	P77808	P76440
YGFA_ECOLI	P0AC28	P76440
IPYR_ECOLI	P0A7A9	P76458
IPYR_ECOLI	P0A7A9	P76458
RAPA_ECOLI	P60240	P76464
YGHZ_ECOLI	Q46851	P76484
CINAL_ECOLI	P77808	P76484
YFBR_ECOLI	P76491	P76491
RL19_ECOLI	P0A7K6	P76491
SLYD_ECOLI	P0A9K9	P76491
YEIT_ECOLI	P76440	P76491
CINAL_ECOLI	P77808	P76491
YFBU_ECOLI	P0A8W8	P0A8W8
FOLM_ECOLI	P0AFS3	P76502
SLYD_ECOLI	P0A9K9	P76502
YFCZ_ECOLI	P0AD33	P76502
FADI_ECOLI	P76503	P76503
HLDD_ECOLI	P67910	P76503
RL21_ECOLI	P0AG48	P76503
RS5_ECOLI	P0A7W1	P76503
HLDD_ECOLI	P67910	P76503
ENGA_ECOLI	P0A6P5	P76503
YEEX_ECOLI	P0A8M6	P76503
RL19_ECOLI	P0A7K6	P76503
RL21_ECOLI	P0AG48	P76503
SYK2_ECOLI	P0A8N5	P0AD33
YFDL_ECOLI	P76508	P76508
PEPQ_ECOLI	P21165	P76512
YFDQ_ECOLI	P76513	P76513
YBHK_ECOLI	P75767	P76518
RPOC_ECOLI	P0A8T7	P0AA49
YEIT_ECOLI	P76440	P76536
YFIQ_ECOLI	P76594	P76539
YPEA_ECOLI	P76539	P76539
DPO3B_ECOLI	P0A988	P76539
KDSA_ECOLI	P0A715	P76539
EUTL_ECOLI	P76541	P76541
RS10_ECOLI	P0A7R5	P76541
YFFL_ECOLI	P76543	P76543
CH10_ECOLI	P0A6F9	P76543
RS13_ECOLI	P0A7S9	P76543
RS20_ECOLI	P0A7U7	P76543
FADI_ECOLI	P76503	P76543
YFFS_ECOLI	P76550	P76550
GYRA_ECOLI	P0AES4	P76550
RS6_ECOLI	P02358	P76550
RS10_ECOLI	P0A7R5	P76550
RS11_ECOLI	P0A7R9	P76550
RS20_ECOLI	P0A7U7	P76550
RSGA_ECOLI	P39286	P76551
GLMS_ECOLI	P17169	P76552
EUTT_ECOLI	P65643	P65643
MAO2_ECOLI	P76558	P76558
CCA_ECOLI	P06961	P76558
HRPA_ECOLI	P43329	P76558
RIR1_ECOLI	P00452	P76558
RIBD_ECOLI	P25539	P76577
RL7_ECOLI	P0A7K2	P76578
RL28_ECOLI	P0A7M2	P76578
RS2_ECOLI	P0A7V0	P76578
YFIF_ECOLI	P0AGJ5	P76578
ULAR_ECOLI	P0A9W0	P76578
NRDR_ECOLI	P0A8D0	P76578
ULAR_ECOLI	P0A9W0	P76578
YPHG_ECOLI	P76585	P76585
YFIQ_ECOLI	P76594	P76594
DNAJ_ECOLI	P08622	P76594
DBHB_ECOLI	P0ACF4	P76594
HYPC_ECOLI	P0AAM3	P76594
RL3_ECOLI	P60438	P76594
RL13_ECOLI	P0AA10	P76594
RL17_ECOLI	P0AG44	P76594
RL28_ECOLI	P0A7M2	P76594
RS2_ECOLI	P0A7V0	P76594
RS5_ECOLI	P0A7W1	P76594
RS10_ECOLI	P0A7R5	P76594
RS14_ECOLI	P0AG59	P76594
RS19_ECOLI	P0A7U3	P76594
ULAR_ECOLI	P0A9W0	P76594
RL16_ECOLI	P0ADY7	P76594
RL17_ECOLI	P0AG44	P76594
RS10_ECOLI	P0A7R5	P76594
RS13_ECOLI	P0A7S9	P76594
YGCW_ECOLI	P76633	P76633
YQJG_ECOLI	P42620	P76655
HLDE_ECOLI	P76658	P76658
RL21_ECOLI	P0AG48	P76658
RS13_ECOLI	P0A7S9	P76658
CORC_ECOLI	P0AE78	P76658
PARE_ECOLI	P20083	P77031
MHPC_ECOLI	P77044	P77044
RPOD_ECOLI	P00579	P77071
YDHT_ECOLI	P77147	P77147
YDHS_ECOLI	P77148	P77148
SYK2_ECOLI	P0A8N5	P77169
NAGK_ECOLI	P75959	P77170
UVRC_ECOLI	P0A8G0	P77172
MNMC_ECOLI	P77182	P77182
LPXD_ECOLI	P21645	P77184
ADIA_ECOLI	P28629	P77187
RAPA_ECOLI	P60240	P77196
YDJI_ECOLI	P77704	P77202
CLPP_ECOLI	P0A6G7	P77202
CH10_ECOLI	P0A6F9	P77206
RPOZ_ECOLI	P0A800	P77212
RCSB_ECOLI	P69407	P77215
YDHR_ECOLI	P0ACX3	P0ACX3
DPO3B_ECOLI	P0A988	P0ACX3
CSPC_ECOLI	P0A9Y6	P77243
ENGA_ECOLI	P0A6P5	P0A6P5
YNBC_ECOLI	P76092	P0A6P5
RL4_ECOLI	P60723	P0A6P5
RL14_ECOLI	P0ADY3	P0A6P5
YDHZ_ECOLI	P0ACX5	P0ACX5
FADJ_ECOLI	P77399	P77293
EFG_ECOLI	P0A6M8	P77293
HLDD_ECOLI	P67910	P77293
RL2_ECOLI	P60422	P77293
RL4_ECOLI	P60723	P77293
RL28_ECOLI	P0A7M2	P77293
RS6_ECOLI	P02358	P77293
RS8_ECOLI	P0A7W7	P77293
RS13_ECOLI	P0A7S9	P77293
RS20_ECOLI	P0A7U7	P77293
YDAM_ECOLI	P77302	P77302
CSPD_ECOLI	P0A968	P77308
HSCB_ECOLI	P0A6L9	P0ACD4
HSCA_ECOLI	P0A6Z1	P0ACD4
NIFU_ECOLI	P0ACD4	P0ACD4
NPD_ECOLI	P75960	P0ACD4
YGFA_ECOLI	P0AC28	P0ACD4
HSLU_ECOLI	P0A6H5	P77318
RPOD_ECOLI	P00579	P77319
HSCC_ECOLI	P77319	P77319
YFFL_ECOLI	P76543	P77319
CLPA_ECOLI	P0ABH9	P77319
RL10_ECOLI	P0A7J3	P77319
TNAA_ECOLI	P0A853	P77319
UVRY_ECOLI	P0AED5	P77319
FKBB_ECOLI	P0A9L3	P0AAE2
HYPC_ECOLI	P0AAM3	P77329
HYPC_ECOLI	P0AAM3	P77329
CH10_ECOLI	P0A6F9	P77329
PMBA_ECOLI	P0AFK0	P77334
TLDD_ECOLI	P0AGG8	P77334
PHOL_ECOLI	P0A9K3	P0A9K3
DEAD_ECOLI	P0A9P6	P0A9K3
RL2_ECOLI	P60422	P0A9K3
RL4_ECOLI	P60723	P0A9K3
RL9_ECOLI	P0A7R1	P0A9K3
RL10_ECOLI	P0A7J3	P0A9K3
RL15_ECOLI	P02413	P0A9K3
RL19_ECOLI	P0A7K6	P0A9K3
RL20_ECOLI	P0A7L3	P0A9K3
RL22_ECOLI	P61175	P0A9K3
RS2_ECOLI	P0A7V0	P0A9K3
RS3_ECOLI	P0A7V3	P0A9K3
RS4_ECOLI	P0A7V8	P0A9K3
RS5_ECOLI	P0A7W1	P0A9K3
RS7_ECOLI	P02359	P0A9K3
RS13_ECOLI	P0A7S9	P0A9K3
RS14_ECOLI	P0AG59	P0A9K3
RS16_ECOLI	P0A7T3	P0A9K3
UVRD_ECOLI	P03018	P0A9K3
YBCJ_ECOLI	P0AAS7	P0A9K3
RLML_ECOLI	P75864	P0A9K3
MNMA_ECOLI	P25745	P0A9K3
RLUB_ECOLI	P37765	P0A9K3
YFIF_ECOLI	P0AGJ5	P0A9K3
RF2_ECOLI	P07012	P77374
DEAD_ECOLI	P0A9P6	P77374
LONH_ECOLI	P75867	P77375
YDGJ_ECOLI	P77376	P77376
YBAZ_ECOLI	P0AFP2	P77376
YBAZ_ECOLI	P0AFP2	P77376
YBEY_ECOLI	P0A898	P0A898
PHOL_ECOLI	P0A9K3	P0A898
GREA_ECOLI	P0A6W5	P0ACY3
YEAG_ECOLI	P0ACY3	P0ACY3
DGTP_ECOLI	P15723	P0ACY3
DPO3B_ECOLI	P0A988	P0ACY3
ALF1_ECOLI	P0A991	P77395
HOLB_ECOLI	P28631	P77395
YBBN_ECOLI	P77395	P77395
DPO3B_ECOLI	P0A988	P77395
HOLE_ECOLI	P0ABS8	P77395
HOLE_ECOLI	P0ABS8	P77395
DPO3B_ECOLI	P0A988	P77395
ARNA_ECOLI	P77398	P77398
FADJ_ECOLI	P77399	P77399
FADI_ECOLI	P76503	P77399
SYK1_ECOLI	P0A8N3	P77399
YFFL_ECOLI	P76543	P77399
IHFA_ECOLI	P0A6X7	P77400
TKT2_ECOLI	P33570	P77400
GRCA_ECOLI	P68066	P77402
FKBX_ECOLI	P0AEM0	P77409
PRPR_ECOLI	P77743	P77434
FADI_ECOLI	P76503	P77439
RL23_ECOLI	P0ADZ0	P77439
FADJ_ECOLI	P77399	P77439
DPO3B_ECOLI	P0A988	P77454
ARCA_ECOLI	P0A9Q1	P77454
RL19_ECOLI	P0A7K6	P77454
TIG_ECOLI	P0A850	P77454
GLSA2_ECOLI	P0A6W0	P0A6W0
YQAB_ECOLI	P77475	P77475
CH60_ECOLI	P0A6F5	P77475
CH10_ECOLI	P0A6F9	P77475
HRPB_ECOLI	P37024	P77481
NAPD_ECOLI	P0A9I5	P0A8E7
YAJQ_ECOLI	P0A8E7	P0A8E7
YBCJ_ECOLI	P0AAS7	P0A8E7
DXS_ECOLI	P77488	P77488
ADHE_ECOLI	P0A9Q7	P77488
CLPA_ECOLI	P0ABH9	P77488
RHO_ECOLI	P0AG30	P77488
CLPA_ECOLI	P0ABH9	P77488
RHO_ECOLI	P0AG30	P77488
IF3_ECOLI	P0A707	P77499
ALF_ECOLI	P0AB71	P0ACR7
STFQ_ECOLI	P77515	P77515
YCIN_ECOLI	P0AB61	P77539
DPO3B_ECOLI	P0A988	P77539
ENO_ECOLI	P0A6P9	P77539
G3P1_ECOLI	P0A9B2	P77539
GRPE_ECOLI	P09372	P77539
RL19_ECOLI	P0A7K6	P77539
RS20_ECOLI	P0A7U7	P77539
NDPA_ECOLI	P33920	P77539
GRCA_ECOLI	P68066	P77539
YEIT_ECOLI	P76440	P77539
YFCD_ECOLI	P65556	P77546
YNFL_ECOLI	P77559	P77559
HINT_ECOLI	P0ACE7	P77561
RSGA_ECOLI	P39286	P77562
NUDJ_ECOLI	P0AEI6	P77569
ANMK_ECOLI	P77570	P77570
PINR_ECOLI	P0ADI0	P0ADI0
ENO_ECOLI	P0A6P9	P0ADI0
HOLC_ECOLI	P28905	P0ADI0
DBHA_ECOLI	P0ACF0	P77581
CISY_ECOLI	P0ABH7	P77581
MNMC_ECOLI	P77182	P77585
CSPE_ECOLI	P0A972	P0A986
EUTM_ECOLI	P0ABF4	P0ABF4
ISPA_ECOLI	P22939	P77609
RS20_ECOLI	P0A7U7	P77626
MIAB_ECOLI	P0AEI1	P0AEI1
DNAJ_ECOLI	P08622	P0AEI1
LPXA_ECOLI	P0A722	P0CI31
YDIZ_ECOLI	P64479	P77649
NRDH_ECOLI	P0AC65	P77674
CLPB_ECOLI	P63284	P77694
BGLG_ECOLI	P11989	P77700
YDJI_ECOLI	P77704	P77704
YDEP_ECOLI	P77561	P77704
RL7_ECOLI	P0A7K2	P77704
KPRS_ECOLI	P0A717	P77704
ODO2_ECOLI	P0AFG6	P77717
ODO2_ECOLI	P0AFG6	P77717
RS10_ECOLI	P0A7R5	P77717
RL1_ECOLI	P0A7L0	P77717
RL10_ECOLI	P0A7J3	P77717
RS3_ECOLI	P0A7V3	P77717
RS20_ECOLI	P0A7U7	P77717
GRCA_ECOLI	P68066	P77717
RS14_ECOLI	P0AG59	P77718
YDJF_ECOLI	P77721	P77721
YDJI_ECOLI	P77704	P77721
YFBQ_ECOLI	P0A959	P0A959
DNAB_ECOLI	P0ACB0	P77732
SYK2_ECOLI	P0A8N5	P77733
SYK2_ECOLI	P0A8N5	P77733
ALLR_ECOLI	P0ACN4	P0ACN4
RL1_ECOLI	P0A7L0	P0ACN4
RL18_ECOLI	P0C018	P0ACN4
RL21_ECOLI	P0AG48	P0ACN4
RS5_ECOLI	P0A7W1	P0ACN4
RS6_ECOLI	P02358	P0ACN4
RS12_ECOLI	P0A7S3	P0ACN4
RS13_ECOLI	P0A7S9	P0ACN4
RS14_ECOLI	P0AG59	P0ACN4
RS15_ECOLI	P0ADZ4	P0ACN4
SRLD_ECOLI	P05707	P77735
HLDE_ECOLI	P76658	P77739
KDSB_ECOLI	P04951	P0AFU2
YGAD_ECOLI	P0A6G3	P77748
NAPD_ECOLI	P0A9I5	P77756
NAPD_ECOLI	P0A9I5	P77756
RS10_ECOLI	P0A7R5	P77756
RPOC_ECOLI	P0A8T7	P77759
CITE_ECOLI	P0A9I1	P0A9I1
GABD_ECOLI	P25526	P77775
LPXA_ECOLI	P0A722	P77781
ARPA_ECOLI	P23325	P77781
ARPB_ECOLI	P76205	P77781
IF3_ECOLI	P0A707	P77781
PDXH_ECOLI	P0AFI7	P77781
PNP_ECOLI	P05055	P77781
RL16_ECOLI	P0ADY7	P77781
RL21_ECOLI	P0AG48	P77781
RL28_ECOLI	P0A7M2	P77781
RS14_ECOLI	P0AG59	P77781
RS20_ECOLI	P0A7U7	P77781
YDIZ_ECOLI	P64479	P77781
NUDG_ECOLI	P77788	P77788
YGEA_ECOLI	P03813	P77788
YCGM_ECOLI	P76004	P77790
MAA_ECOLI	P77791	P77791
AMPM_ECOLI	P0AE18	P77791
HLDD_ECOLI	P67910	P77791
AMPM_ECOLI	P0AE18	P77791
ULAR_ECOLI	P0A9W0	P77802
ULAR_ECOLI	P0A9W0	P77802
YBAZ_ECOLI	P0AFP2	P77804
RCSB_ECOLI	P69407	P77808
CINAL_ECOLI	P77808	P77808
YPDB_ECOLI	P0AE39	P77808
FMT_ECOLI	P23882	P77808
FSAA_ECOLI	P78055	P78055
LON_ECOLI	P0A9M0	P78055
CH60_ECOLI	P0A6F5	P69908
DCEA_ECOLI	P69908	P69908
DCEB_ECOLI	P69910	P69908
SSB_ECOLI	P0AGE0	P69908
SYK2_ECOLI	P0A8N5	P69908
FOLX_ECOLI	P0AC19	P0AC19
SSUE_ECOLI	P80644	P80644
SSUD_ECOLI	P80645	P80645
DYR_ECOLI	P0ABQ4	P80645
DYR_ECOLI	P0ABQ4	P80645
RCSB_ECOLI	P69407	P80645
FEAB_ECOLI	P80668	P80668
THIO_ECOLI	P0AA25	P82281
ATOC_ECOLI	Q06065	Q06065
THIO_ECOLI	P0AA25	Q0WRJ7
THIO_ECOLI	P0AA25	Q42029
HSLU_ECOLI	P0A6H5	Q46787
RL7_ECOLI	P0A7K2	Q46798
YGEV_ECOLI	Q46802	Q46802
LON_ECOLI	P0A9M0	Q46802
SYK1_ECOLI	P0A8N3	Q46802
ARCL_ECOLI	Q46807	Q46807
RCSB_ECOLI	P69407	Q46811
YCJW_ECOLI	P77615	Q46811
HLDE_ECOLI	P76658	Q46811
YNIA_ECOLI	P77739	Q46811
UVRD_ECOLI	P03018	Q46812
SSNA_ECOLI	Q46812	Q46812
YGFM_ECOLI	P64557	Q46814
RL1_ECOLI	P0A7L0	Q46820
DBHA_ECOLI	P0ACF0	Q46820
RS14_ECOLI	P0AG59	Q46820
MUTT_ECOLI	P08337	Q46820
CSPI_ECOLI	P0A986	Q46821
DEOD_ECOLI	P0ABP8	Q46821
RL15_ECOLI	P02413	Q46821
RL19_ECOLI	P0A7K6	Q46821
RS10_ECOLI	P0A7R5	Q46821
GRCA_ECOLI	P68066	Q46821
DEAD_ECOLI	P0A9P6	Q46829
HYAE_ECOLI	P19931	Q46834
PROA_ECOLI	P07004	Q46840
HYBE_ECOLI	P0AAN1	P69741
DPO3B_ECOLI	P0A988	Q46856
DPS_ECOLI	P0ABT2	Q46856
ENO_ECOLI	P0A6P9	Q46856
DCEB_ECOLI	P69910	Q46856
RL19_ECOLI	P0A7K6	Q46856
YFBN_ECOLI	P76484	Q46864
YQJI_ECOLI	P64588	P64588
NORV_ECOLI	Q46877	Q46877
PHOL_ECOLI	P0A9K3	Q46877
YEEX_ECOLI	P0A8M6	Q46877
YGBL_ECOLI	Q46890	Q46890
YGBM_ECOLI	Q46891	Q46891
TIG_ECOLI	P0A850	Q46893
DPS_ECOLI	P0ABT2	Q46896
QUED_ECOLI	P65870	P65870
RPOC_ECOLI	P0A8T7	Q46906
YGCP_ECOLI	Q46906	Q46906
RL3_ECOLI	P60438	Q46906
RL4_ECOLI	P60723	Q46906
RL21_ECOLI	P0AG48	Q46906
RL22_ECOLI	P61175	Q46906
RL33_ECOLI	P0A7N9	Q46906
RPOA_ECOLI	P0A7Z4	Q46906
CSDA_ECOLI	Q46925	Q46925
YGDK_ECOLI	P0AGF2	Q46925
YGDK_ECOLI	P0AGF2	P0AGF2
RPPH_ECOLI	P0A776	P0A776
DEAD_ECOLI	P0A9P6	P0A776
RL1_ECOLI	P0A7L0	P0A776
RL4_ECOLI	P60723	P0A776
RL5_ECOLI	P62399	P0A776
RL6_ECOLI	P0AG55	P0A776
RL10_ECOLI	P0A7J3	P0A776
RL13_ECOLI	P0AA10	P0A776
RL15_ECOLI	P02413	P0A776
RL19_ECOLI	P0A7K6	P0A776
RL20_ECOLI	P0A7L3	P0A776
RL21_ECOLI	P0AG48	P0A776
RL22_ECOLI	P61175	P0A776
RL24_ECOLI	P60624	P0A776
RL25_ECOLI	P68919	P0A776
RS3_ECOLI	P0A7V3	P0A776
RS4_ECOLI	P0A7V8	P0A776
RS19_ECOLI	P0A7U3	P0A776
SRMB_ECOLI	P21507	P0A776
YAJQ_ECOLI	P0A8E7	P0A776
RLUB_ECOLI	P37765	P0A776
YFIF_ECOLI	P0AGJ5	P0A776
GMHB_ECOLI	P63228	Q46938
MUKB_ECOLI	P22523	Q46939
DXS_ECOLI	P77488	Q46942
THIO2_ECOLI	P0AGG4	P0AEY8
CBL_ECOLI	Q47083	Q47083
CSPA_ECOLI	P0A9X9	P0A978
CSPG_ECOLI	P0A978	P0A978
AMY2_ECOLI	P26612	P0A978
RL3_ECOLI	P60438	P0A978
RS5_ECOLI	P0A7W1	P0A978
RL13_ECOLI	P0AA10	Q47152
RL28_ECOLI	P0A7M2	Q47152
RAPA_ECOLI	P60240	Q47153
TRMB_ECOLI	P0A8I5	Q47153
CHEA_ECOLI	P07363	Q47154
CLPB_ECOLI	P63284	P0AGH5
UPPS_ECOLI	P60472	P60472
GLO2_ECOLI	P0AC84	P0AC84
NUSA_ECOLI	P0AFF6	Q47679
TIG_ECOLI	P0A850	Q47679
EFTS_ECOLI	P0A6P1	Q47679
RECF_ECOLI	P0A7H0	Q47706
DPIA_ECOLI	P0AEF4	P0AEF4
HYCI_ECOLI	P0AEV9	P0AEV9
YAFQ_ECOLI	Q47149	P0AEV9
LGUL_ECOLI	P0AC81	P0AC81
CH60_ECOLI	P0A6F5	P0AC81
YFBT_ECOLI	P77625	Q6BEX0
LPXD_ECOLI	P21645	Q79EK6
CH60_ECOLI	P0A6F5	Q8PW07
SGBH_ECOLI	P37678	Q93K97
THIO_ECOLI	P0AA25	Q9LU86
THIO_ECOLI	P0AA25	Q9S841
HOLC_ECOLI	P28905	Q9ZBB9
THIO_ECOLI	P24941	P0AA25
6PGD_ECOLI	P25526	P00350
6PGD_ECOLI	P33195	P00350
6PGD_ECOLI	P37902	P00350
6PGD_ECOLI	P02918	P00350
6PGD_ECOLI	P0AEI4	P00350
DHE4_ECOLI	P00370	P00370
P5CR_ECOLI	P0A9L8	P0A9L8
DYR_ECOLI	P0ABQ4	P0ABQ4
DYR_ECOLI	P16659	P0ABQ4
DYR_ECOLI	P0AA10	P0ABQ4
METF_ECOLI	P0A6F5	P0AEZ1
METF_ECOLI	P0AEZ1	P0AEZ1
RIR1_ECOLI	P39452	P00452
RIR1_ECOLI	P37146	P00452
RIR1_ECOLI	P00452	P00452
RIR1_ECOLI	P0A9X4	P00452
RIR1_ECOLI	P0A8A2	P00452
TYSY_ECOLI	P0A884	P0A884
DMA_ECOLI	P0AEE8	P0AEE8
DMA_ECOLI	P0AFG8	P0AEE8
DMA_ECOLI	P0A9P0	P0AEE8
DMA_ECOLI	P0A8L1	P0AEE8
DMA_ECOLI	P37342	P0AEE8
PYRI_ECOLI	P0A7F3	P0A7F3
PYRB_ECOLI	P0A7F3	P0A786
PHSM_ECOLI	P10485	P00490
PHSM_ECOLI	P0ACF4	P00490
PHSM_ECOLI	P00490	P00490
PHSM_ECOLI	P0A9P0	P00490
PHSM_ECOLI	P0AA10	P00490
PHSM_ECOLI	P0A7K6	P00490
PHSM_ECOLI	P0AGK4	P00490
PHSM_ECOLI	P0A6C1	P00490
PHSM_ECOLI	P0A832	P00490
PHSM_ECOLI	P76268	P00490
PHSM_ECOLI	P0A7K6	P00490
PHSM_ECOLI	P0A7T3	P00490
PHSM_ECOLI	P0AGK4	P00490
PHSM_ECOLI	P76550	P00490
PHSM_ECOLI	P0ABT5	P00490
PHSM_ECOLI	P0ABU7	P00490
PHSM_ECOLI	P0A7Y4	P00490
PHSM_ECOLI	P0AGE0	P00490
AAT_ECOLI	P20605	P00509
AAT_ECOLI	P37685	P00509
AAT_ECOLI	P37747	P00509
ILVE_ECOLI	P0AB80	P0AB80
RPOA_ECOLI	P0A6R3	P0A7Z4
RPOA_ECOLI	P0A8V2	P0A7Z4
RPOA_ECOLI	P0ACJ8	P0A7Z4
RPOA_ECOLI	P0A7Z4	P0A7Z4
RPOA_ECOLI	P0AEM6	P0A7Z4
RPOA_ECOLI	P77071	P0A7Z4
RPOA_ECOLI	P0A9F3	P0A7Z4
RPOA_ECOLI	P0A9E2	P0A7Z4
RPOA_ECOLI	P0AE60	P0A7Z4
