Merge ID	Cellular Component	Biological Process
P0AA53	(plasma+membrane)	
P0AC47	(cytoplasm)	(transport)
P37774	(plasma+membrane)	(transport)
Q46942	(intracellular)	
P68739	(cytoplasm)	
P31663	(cytosol)	
P04425	(cytosol)	
P71241	(plasma+membrane)	
P0A951	(cytoplasm)	
P0A8T1	(cytoplasm)	
P11875	(cytoplasm)	(translation)
P0A953	(cytosol)	
P69405	(intracellular)	
P31462	(plasma+membrane)	(transmembrane+transport::transport)
P65292	(plasma+membrane)	
P0A959	(cytoplasm)	(biosynthetic+process)
P0A7A9	(cytosol)	
P0AA84	(plasma+membrane)	
P11664	(cytoplasm)	
P23331	(cytoplasm)	(DNA+metabolic+process)
P0AEG1	(plasma+membrane)	
P12295	(cytoplasm)	
P0A955	(cytosol)	
P0AC75	(plasma+membrane)	
P69407	(intracellular)	
P0A8T7	(cytoplasm)	
P0AGG4	(cytoplasm)	(transport)
P76339	(plasma+membrane)	(signal+transduction)
P0AC78	(plasma+membrane)	
P31068	(cytoplasm)	(transport)
P37766	(mitochondrion)	
P39389	(intracellular)	(biosynthetic+process)
P77468	(plasma+membrane)	(transport)
P0AEH8	(plasma+membrane)	
P21599	(cytosol)	
P39385	(plasma+membrane)	
P65298	(plasma+membrane)	
P37388	(plasma+membrane)	
P06722	(cytoplasm)	
P06721	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P0A964	(cytoplasm::intracellular)	(signal+transduction)
P69222	(cytoplasm)	(translation)
P0A7B1	(cytosol::plasma+membrane)	
P76346	(cytoplasm)	
P0A962	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P13009	(cytoplasm)	
P31473	(cytoplasm)	
P31474	(plasma+membrane)	(transmembrane+transport::transport)
P0A7B8	(cytosol)	
P0AC69	(cytoplasm)	
P0A968	(cytoplasm)	(response+to+stress)
P11868	(intracellular)	
P0A7B5	(cytoplasm)	
P12281	(cytoplasm)	
P0ABU5	(cytoplasm)	
P0A7Y0	(cytoplasm::intracellular)	
P0ACQ0	(intracellular)	
P37751	(plasma+membrane)	(biosynthetic+process)
P77172	(plasma+membrane)	
P0AAI9	(cytoplasm)	
P0AAI5	(cytosol)	(biosynthetic+process)
P23836	(cytoplasm)	
P0AAI1	(plasma+membrane)	(sulfur+compound+metabolic+process)
P24251	(cytoplasm)	
P0AAI3	(plasma+membrane)	(cell+cycle::cell+division)
P23839	(cytoplasm)	
P75691	(cytoplasm)	
P39285	(plasma+membrane)	(transmembrane+transport::transport)
P75693	(plasma+membrane)	
P23830	(cytoplasm::plasma+membrane)	
P0A7Y4	(cytoplasm)	
P39284	(plasma+membrane)	
P0AEI4	(cellular_component::cytoplasm)	
P75885	(plasma+membrane)	
P0A698	(cytoplasm)	
P75884	(plasma+membrane)	
P0AEI1	(cellular_component::cytoplasm)	
P75882	(plasma+membrane)	
P0A890	(cytoplasm)	
P00452	(cytoplasm)	
P77182	(cytoplasm)	
P22939	(cytoplasm)	
