Old Uniprot Acc	New Uniprot Acc
P0A6F3	P0A6F3
P00805	P00805
P76219	P76219
P23847	P23847
P06971	P06971
P15344	P60560
P00562	P00562
P75707	P0AFP2
P02378	P0A7U7
P24192	P24192
P0A6H5	P0A6H5
P15319	P15319
P10411	P0ACH8
P0A9U1	P0A9U1
P08957	P08957
P77475	P77475
O69415	P69425
P0AFX0	P0AFX0
P17993	P17993
P27238	P27238
P15282	P0A6D0
P0A8M6	P0A8M6
P08186	P69797
P10441	P10441
P0A7R9	P0A7R9
P33231	P33231
P04384	P0A817
P40116	P0AG74
P33225	P33225
P43341	P43341
P0A9H7	P0A9H7
P0A7H3	P0A7H3
P75867	P75867
P33235	P33235
P0AB74	P0AB74
P76208	P76208
P0AAN1	P0AAN1
P75791	P75791
P46860	P0ACP5
P75874	P75874
P23842	P23842
P76185	P76185
P76340	P76340
P0ACB2	P0ACB2
P77779	P77779
P0A8H6	P0A8H6
P28225	P0AFI7
P16936	P60651
P26648	P26648
P77202	P77202
P64429	P64429
P31804	P0AEM6
P21893	P21893
P69407	P69407
P11454	P11454
P36681	P0A8H8
P24167	P0A6D7
P29131	P29131
P34086	P0AGB6
P0A6C5	P0A6C5
P26646	P26646
P77316	P77316
P45475	P45475
P0ABD8	P0ABD8
P52095	P52095
P0AEY3	P0AEY3
P45523	P45523
P76539	P76539
P42501	P42501
Q47536	Q47536
P0AC30	P0AC30
P08866	P62556
P77245	P77245
P31063	P31063
P00968	P00968
P31221	P0AFX0
P04422	P0AC38
P23522	P23522
P03819	P03819
P15027	P0A7H3
P00583	P0A988
P37188	P37188
P0A780	P0A780
P32057	P32057
P11989	P11989
P36662	P36662
Q47112	Q47112
P77214	P77214
P39287	P0A784
P24236	P0AFC0
P37692	P37692
P76551	P76551
Q47153	Q47153
P06129	P06129
P02422	P0AG48
P0A6R3	P0A6R3
P02423	P61175
P0ADY7	P0ADY7
P0AC13	P0AC13
Q47149	Q47149
P07006	P0AA04
P0A698	P0A698
P0AAN3	P0AAN3
P21712	P0AFU4
P00960	P00960
P0A6T1	P0A6T1
P29217	P29217
P32157	P32157
P32135	P32135
P28694	P0AF03
P11285	P0AD49
P37649	P37649
P31142	P31142
P00490	P00490
P05845	P05845
P13445	P13445
P45568	P45568
P32130	P0A8H6
P0A7T3	P0A7T3
P76168	P76168
P0A7J7	P0A7J7
P32049	P0A8I5
P24217	P69811
Q47706	Q47706
P28630	P28630
P0AC69	P0AC69
P07024	P07024
P24216	P24216
P77732	P77732
P30867	P0ABD5
P75959	P75959
P32679	P68739
P27243	P27243
P11164	P0A8S9
P24210	P69405
P06992	P06992
P52050	P0A8I1
P75883	P75883
P77376	P77376
P05021	P0A7E1
P0A6P9	P0A6P9
P0A9W9	P0A9W9
P0A7V3	P0A7V3
P0AAB4	P0AAB4
P36942	P0A7A2
P76245	P76245
P02429	P0A7M6
P06143	P0AE67
P46883	P46883
P42620	P42620
P30845	P30845
P23830	P23830
P0ABP6	P0ABP6
P32662	P32662
P30015	P30015
P06134	P06134
P07016	P0AFG6
P10940	P0AGA6
P27303	P27303
P42589	P42589
P24249	P0A6R0
P50456	P50456
P76339	P76339
P17443	P17443
P30750	P30750
P77391	P0ACY3
P18840	P0A962
P03856	P03856
P30871	P30871
P52126	P52126
P09883	P09883
P0ADM0	P0ADM0
P0AAI3	P0AAI3
P0AEI6	P0AEI6
P52101	P52101
P25537	P0A9J0
P76341	P76341
P06613	P0A9F3
P31460	P31460
P00642	P00642
P05703	P62554
P71241	P71241
P22564	P22564
P23892	P0A9H3
Q47015	Q47015
P76042	P76042
P07464	P07464
P0ADZ4	P0ADZ4
P27298	P27298
P21501	P0AC23
P42902	P0ACK2
P0A9X4	P0A9X4
P02916	P02916
P0AD05	P0AD05
P07008	P0C077
P21888	P21888
P76562	P76562
Q47143	P0ABR1
P46930	P0A9G8
P0ACG8	P0ACG8
P75849	P75849
P18471	P18471
P37751	P37751
P05082	P69441
P37353	P37353
P76351	P0A8A2
P39406	P39406
P80644	P80644
P02354	P0A7V8
P21865	P21865
P00861	P00861
P76104	P76104
P76419	P76419
P15254	P15254
P08722	P08722
P75683	P75683
P0ABZ4	P0ABZ4
P02386	P60438
P00509	P00509
P31660	P31660
P75974	P75974
P15005	P15005
P26266	P26266
P77254	P0A6P5
P0ABD5	P0ABD5
P0A7D1	P0A7D1
P0ABK7	P0ABK7
P29011	P0A6J5
P0A6G3	P0A6G3
P23524	P23524
P61949	P61949
P63284	P63284
Q46930	P0A776
Q8VPC3	Q8VPC3
P08394	P08394
P77539	P77539
P20605	P20605
P0AFR2	P0AFR2
P0ACB7	P0ACB7
P75728	P75728
P27111	P27111
P0A996	P0A996
P11550	P0AB87
P77580	P77580
P03002	P0AG30
P39377	P39377
P02998	P69222
P0AA16	P0AA16
P02980	P02980
P09170	P0A7G2
P02932	P02932
P02921	P02921
P77310	P0ACD4
P62623	P62623
P0A8G0	P0A8G0
P25662	P0ABC7
P15048	P0ADI4
P55140	P55140
P69924	P69924
P23862	P23862
P0AAM7	P0AAM7
P0AD70	P0AD70
P21369	P21369
P23872	P23872
P25718	P25718
P77485	P77485
P31068	P31068
P76387	P76387
P07294	P07294
P0ACN4	P0ACN4
P34209	P34209
P33590	P33590
P09997	P0A8Y5
P07001	P07001
P21517	P21517
P75904	P69432
P0A881	P0A881
P0AGK8	P0AGK8
P0A6Q3	P0A6Q3
P11868	P11868
P32702	P0AF52
P33368	P33368
P30958	P30958
P02416	P0AG44
P0AA04	P0AA04
P37689	P37689
P0A8W5	P0A8W5
P33028	P0A6N8
P0AG78	P0AG78
P24186	P24186
P39374	P39374
P23890	P23890
P76396	P76396
P0AF26	P0AF26
P07021	P07021
P03018	P03018
P37671	P37671
P17315	P17315
P51024	P51024
P0A7K6	P0A7K6
P04951	P04951
P39301	P39301
P28242	P0AED0
P37350	P0ADR8
P45391	P64604
P0AAS7	P0AAS7
P13036	P13036
P69797	P69797
P05054	P0A9J6
P28304	P28304
Q46872	P64588
P77293	P77293
P77145	P0A769
P76420	P0ACM5
P30128	P30128
P11445	P0A6C8
P77215	P77215
P0ADW6	P0ADW6
P77806	P77806
P0AC53	P0AC53
P76176	P76176
P42632	P42632
P16431	P16431
P39831	P39831
P08577	P0A812
P76187	P76187
P0AE06	P0AE06
P77704	P77704
P07904	P0A8J2
P0AC84	P0AC84
P69908	P69908
P33599	P33599
P00859	P0ABA0
P39359	P39359
P76141	P76141
P08324	P0A6P9
P32064	P0A9F6
P52108	P52108
P76113	P76113
P33602	P33602
P60906	P60906
P0AFG6	P0AFG6
P02364	P0A7R5
P37768	P0A7B3
P0AEG4	P0AEG4
P09546	P09546
P0A9U6	P0A9U6
P0AC07	P0AC07
P0AE82	P0AE82
P30177	P30177
P45544	P45544
P31457	P0AA76
P77429	P0AAE5
P15002	P0ACB2
Q46675	Q46675
P0AAE8	P0AAE8
P0AG86	P0AG86
P02375	P0A7U3
P27430	P0ABT2
P38522	P0A9U6
P23911	P0AGG2
P08312	P08312
P52061	P52061
P39361	P39361
P00394	P0AEZ1
P63204	P63204
P09375	P0A759
P0A7Y4	P0A7Y4
P0AF82	P0AF82
P0ADH5	P0ADH5
P33228	P33228
P0C0R7	P0C0R7
P0A8E1	P0A8E1
P0A9Q5	P0A9Q5
P0A9W0	P0A9W0
P30010	P0A9H7
P76469	P76469
P37747	P37747
P00579	P00579
P75937	P75937
P02905	P0ABD8
P09548	P0ABP6
P02369	P0A7S9
P66948	P66948
Q46814	Q46814
P37053	P0AFR0
P0ADX7	P0ADX7
P13482	P13482
P25528	P0A9R4
P77349	P0A9K3
P32139	P32139
P0AC38	P0AC38
P75864	P75864
P0A742	P0A742
P0ABU0	P0ABU0
P09148	P09148
P00577	P0A8T7
P0A8B5	P0A8B5
P0A9M0	P0A9M0
P07012	P07012
P39311	P0A9L3
P0A9X9	P0A9X9
P75832	P0A8Q6
P0C058	P0C058
P28691	P0AAI3
P02928	P0AEX9
P39179	P0ADE8
P0AB20	P0AB20
P06982	P0AES6
P0A7L3	P0A7L3
P07655	P0AAH0
P45427	P0A8W0
P13035	P13035
P05829	P0ABV6
P15050	P0A8Y8
P43671	P43671
P24245	P0A968
P0A7R5	P0A7R5
P09394	P09394
P33570	P33570
P75885	P75885
P00561	P00561
P76543	P76543
P32052	P0A832
P37678	P37678
P0AG67	P0AG67
P37773	P37773
P0A8L1	P0A8L1
P42593	P42593
P30011	P30011
P31133	P31133
P76555	P76555
P31658	P31658
P0A8T7	P0A8T7
P77225	P0ACX3
P00893	P00893
P0A948	P0A948
P50466	P50466
P08328	P0A9T0
P0AEH5	P0AEH5
P33230	P33230
P75919	P75919
P0A715	P0A715
P0AEI1	P0AEI1
P0AB61	P0AB61
P0ACP7	P0ACP7
P32053	P32053
P08390	P08390
P30749	P30749
P03026	P0A9Q1
P76491	P76491
P22563	P0AEM0
P76585	P76585
P0A867	P0A867
P0A6E4	P0A6E4
Q9EZJ8	Q9EZJ8
P09986	P09986
P45425	P45425
P06722	P06722
P03812	P0A8N7
P31119	P31119
P33012	P33012
P0A978	P0A978
P00957	P00957
P02339	P0AGE0
P31550	P31550
P31553	P31553
P18811	P18811
P39199	P39199
P07912	P0AB77
P32176	P32176
P00959	P00959
P76204	P76204
P03842	P0CG19
P03020	P0ACJ8
Q46920	Q46920
P37007	P37007
P23325	P23325
P75780	P75780
P0AG82	P0AG82
P30126	P30126
P25540	P61714
P0A9W3	P0A9W3
P07649	P07649
P42623	P67660
P04079	P04079
P0A7I0	P0A7I0
P0A9X1	P0A9X1
P64476	P64476
P0AGL2	P0AGL2
P09028	P0AG18
P00350	P00350
