Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B	Satus
ILVG_A	RL4_A	ILVG_ECOLI	RL4_ECOLI	P00892	P60723	C
ILVG_A	RL6_A	ILVG_ECOLI	RL6_ECOLI	P00892	P0AG55	C
ILVG_A	RL13_A	ILVG_ECOLI	RL13_ECOLI	P00892	P0AA10	C
ILVG_A	RL14_A	ILVG_ECOLI	RL14_ECOLI	P00892	P0ADY3	C
ILVG_A	RL15_A	ILVG_ECOLI	RL15_ECOLI	P00892	P02413	C
ILVG_A	RL22_A	ILVG_ECOLI	RL22_ECOLI	P00892	P61175	C
ILVG_A	IF2_A	ILVG_ECOLI	IF2_ECOLI	P00892	P0A705	C
ILVG_A	SPOT_A	ILVG_ECOLI	SPOT_ECOLI	P00892	P0AG24	C
ILVG_A	RNR_A	ILVG_ECOLI	RNR_ECOLI	P00892	P21499	C
ILVG_A	SRMB_A	ILVG_ECOLI	SRMB_ECOLI	P00892	P21507	C
ILVG_A	DEAD_A	ILVG_ECOLI	DEAD_ECOLI	P00892	P0A9P6	C
ILVG_A	ACCA_A	ILVG_ECOLI	ACCA_ECOLI	P00892	P0ABD5	C
ILVG_A	HRPA_A	ILVG_ECOLI	HRPA_ECOLI	P00892	P43329	C
ILVI_A	CH60_A	ILVI_ECOLI	CH60_ECOLI	P00893	P0A6F5	C
THRC_A	OTSA_A	THRC_ECOLI	OTSA_ECOLI	P00934	P31677	C
MANA_A	PBPA_B	MANA_ECOLI	PBPA_ECOLI	P00946	P02918	C
SYW_A	SYW_A	SYW_ECOLI	SYW_ECOLI	P00954	P00954	C
SYW_A	RS5_A	SYW_ECOLI	RS5_ECOLI	P00954	P0A7W1	C
SYW_A	RL13_A	SYW_ECOLI	RL13_ECOLI	P00954	P0AA10	C
SYA_A	SYA_A	SYA_ECOLI	SYA_ECOLI	P00957	P00957	C
SYA_A	RS2_A	SYA_ECOLI	RS2_ECOLI	P00957	P0A7V0	C
SYA_A	TOP1_A	SYA_ECOLI	TOP1_ECOLI	P00957	P06612	C
SYA_A	GLMS_A	SYA_ECOLI	GLMS_ECOLI	P00957	P17169	C
SYA_A	ARPA_A	SYA_ECOLI	ARPA_ECOLI	P00957	P23325	C
SYA_A	RLUB_A	SYA_ECOLI	RLUB_ECOLI	P00957	P37765	C
SYA_A	YDFR_A	SYA_ECOLI	YDFR_ECOLI	P00957	P76160	C
SYGA_A	SYGA_A	SYGA_ECOLI	SYGA_ECOLI	P00960	P00960	C
SYGA_A	RS2_A	SYGA_ECOLI	RS2_ECOLI	P00960	P0A7V0	C
SYGA_A	RS3_A	SYGA_ECOLI	RS3_ECOLI	P00960	P0A7V3	C
SYGA_A	RS5_A	SYGA_ECOLI	RS5_ECOLI	P00960	P0A7W1	C
SYGA_A	RS13_A	SYGA_ECOLI	RS13_ECOLI	P00960	P0A7S9	C
SYGA_A	RS16_A	SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3	C
SYGA_A	RL4_A	SYGA_ECOLI	RL4_ECOLI	P00960	P60723	C
SYGA_A	RL6_A	SYGA_ECOLI	RL6_ECOLI	P00960	P0AG55	C
SYGA_A	RL19_A	SYGA_ECOLI	RL19_ECOLI	P00960	P0A7K6	C
SYGA_A	RL22_A	SYGA_ECOLI	RL22_ECOLI	P00960	P61175	C
SYGA_A	METK_A	SYGA_ECOLI	METK_ECOLI	P00960	P0A817	C
SYGA_A	DNAJ_A	SYGA_ECOLI	DNAJ_ECOLI	P00960	P08622	C
SYGA_A	EFTU1_F1	SYGA_ECOLI	EFTU1_ECOLI	P00960	P0CE47	C
SYGA_A	RL28_A	SYGA_ECOLI	RL28_ECOLI	P00960	P0A7M2	C
SYGA_A	RS16_A	SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3	C
SYGA_A	YBGI_A	SYGA_ECOLI	YBGI_ECOLI	P00960	P0AFP6	C
SYGA_A	RL21_A	SYGA_ECOLI	RL21_ECOLI	P00960	P0AG48	C
SYGA_A	PRC_F2	SYGA_ECOLI	PRC_ECOLI	P00960	P23865	C
SYGA_A	LLDD_B	SYGA_ECOLI	LLDD_ECOLI	P00960	P33232	C
SYGA_A	RL4_A	SYGA_ECOLI	RL4_ECOLI	P00960	P60723	C
SYGB_A	SYGB_A	SYGB_ECOLI	SYGB_ECOLI	P00961	P00961	C
SYGB_A	GYRA_A	SYGB_ECOLI	GYRA_ECOLI	P00961	P0AES4	C
SYGB_A	CH60_A	SYGB_ECOLI	CH60_ECOLI	P00961	P0A6F5	C
SYGB_A	NRDR_A	SYGB_ECOLI	NRDR_ECOLI	P00961	P0A8D0	C
SYGB_A	CSIE_A	SYGB_ECOLI	CSIE_ECOLI	P00961	P54901	C
SYQ_A	SYQ_A	SYQ_ECOLI	SYQ_ECOLI	P00962	P00962	C
SYQ_A	TRMB_A	SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5	C
SYQ_A	TRMB_A	SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5	C
ASNA_A	ASNA_A	ASNA_ECOLI	ASNA_ECOLI	P00963	P00963	C
CARB_A	CARB_A	CARB_ECOLI	CARB_ECOLI	P00968	P00968	C
CARB_A	TIG_A	CARB_ECOLI	TIG_ECOLI	P00968	P0A850	C
CARB_A	CYSI_A	CARB_ECOLI	CYSI_ECOLI	P00968	P17846	C
