Accession (UNIPROT)	ID interactor A	ID interactor B
P0A7X3	P0A7X3	P0A7Y4
P0AG59	P0AG59	P0A7Y4
P0A7U7	P0A7U7	P0A7Y4
P0ABA0	P0ABA0	P0ABB0
P0ABA0	P0ABA0	P0ABB4
P15038	P15038	P0ABB4
P0A8V2	P0A8V2	P0ABB4
P68699	P68699	P0ABA4
P0ABA0	P0ABA0	P0ABA4
P0ADZ0	P0ADZ0	P0ABA6
P68699	P0ABA6	P68699
P68699	P0AB98	P68699
P68699	P68699	P68699
P68699	P0A6E6	P68699
P68699	P0ABA0	P68699
P0AB98	P0ABB4	P0AB98
P0ABA0	P0ABA0	P0ABA0
P0ABA0	P0AB98	P0ABA0
P00864	P32053	P00864
P00864	P33195	P00864
P00864	P37330	P00864
P0A6L0	P0A6L0	P0A6L0
P0A6F5	P0A6F5	P0AB91
P0ABH7	P0ABH7	P0ABH7
P0AFG8	P0AFG8	P00892
P0ACF0	P0ACF0	P00892
P0A7L0	P0A7L0	P00892
P62399	P62399	P00892
P0A7R1	P0A7R1	P00892
P0A7K2	P0A7K2	P00892
P0ADY7	P0ADY7	P00892
P0AG44	P0AG44	P00892
P0C018	P0C018	P00892
P0A7K6	P0A7K6	P00892
P0A7L3	P0A7L3	P00892
P0AG48	P0AG48	P00892
P60624	P60624	P00892
P0A7M2	P0A7M2	P00892
P0A8V2	P0A8V2	P00892
P0AG67	P0AG67	P00892
P0A7V3	P0A7V3	P00892
P0AG59	P0AG59	P00892
P0A7U7	P0A7U7	P00892
P37765	P37765	P00892
P0AGJ5	P0AGJ5	P00892
P0AFI7	P0AFI7	P00893
P0A7R1	P0A7R1	P00893
P0A7M2	P0A7M2	P00893
P0AG67	P0AG67	P00893
P0A853	P0A853	P0A853
P0AC33	P08142	P0AC33
P00934	P37647	P00934
P00934	P38104	P00934
P00934	P0AET2	P00934
P00934	P0ACF8	P00934
P00934	P0A7M2	P00934
P0AGJ9	P0AGJ9	P0AGJ9
P0AGJ9	P0A6Y8	P0AGJ9
P00954	P00954	P00954
P00954	P61175	P00954
P00954	P0A7V0	P00954
P0A8M3	P0A8M3	P0A8M3
P0A8M3	P0A6P9	P0A8M3
P0A8M3	P60438	P0A8M3
P0A8M3	P0A7R1	P0A8M3
P0A8M3	P0AA10	P0A8M3
P0A8M3	P0A7K6	P0A8M3
P0A8M3	P0A7R5	P0A8M3
P0A8M3	P0A7S9	P0A8M3
P0A8M3	P0AG59	P0A8M3
P0A8M3	P0ACC9	P0A8M3
P0A8M3	P0AGK4	P0A8M3
P0A8M3	P23839	P0A8M3
P00957	P00957	P00957
P00957	P0A6Y8	P00957
P00957	P0CE47	P00957
P00957	P04805	P00957
P00960	P00960	P00960
P00960	P0AA10	P00960
P00960	P0ADY7	P00960
P00960	P0AG48	P00960
P00960	P0A7M2	P00960
P00960	P0A9X4	P00960
P00960	P18843	P00960
P00960	P62399	P00960
P00960	P0AG55	P00960
P00960	P0AA10	P00960
P00960	P0ADY7	P00960
P00960	P0A7K6	P00960
P00960	P0A7S9	P00960
P00961	P00961	P00961
P00961	P0AES6	P00961
P00961	P0AEU7	P00961
P00961	P0A8D0	P00961
P00962	P0A6Q6	P00962
P00962	P00962	P00962
P00962	P21645	P00962
P00963	P00963	P00963
P00963	P0A836	P00963
P00968	P0A6F1	P00968
P00968	P00968	P00968
P00968	P0A6W5	P00968
P00968	P0A6F1	P00968
P00968	P0A7R5	P00968
P00968	P04128	P00968
P00968	P30015	P00968
P10443	P10443	P0AGE0
P20083	P20083	P0AGE0
P0AES4	P0AES4	P0AGE0
P0ACF0	P0ACF0	P0AGE0
P00490	P00490	P0AGE0
P46022	P46022	P0AGE0
P60438	P60438	P0AGE0
P60723	P60723	P0AGE0
P0A7K6	P0A7K6	P0AGE0
P61175	P61175	P0AGE0
P60624	P60624	P0AGE0
P0A7N9	P0A7N9	P0AGE0
P0A7Z4	P0A7Z4	P0AGE0
P0A8T7	P0A8T7	P0AGE0
P0A7V8	P0A7V8	P0AGE0
P0A7R5	P0A7R5	P0AGE0
P0A9K9	P0A9K9	P0AGE0
P77398	P77398	P0AGE0
P0AGJ5	P0AGJ5	P0AGE0
P0A6A0	P0A6A0	P0AGE0
P0ACF0	P0ACF0	P0ACF4
P0A9P6	P0A9P6	P0ACF4
P0ACF8	P0ACF8	P0ACF4
P60438	P60438	P0ACF4
P0A7Z4	P0A7Z4	P0ACF4
P02359	P02359	P0ACF4
P0A7E9	P0A7E9	P0ACF4
P0A9K9	P0A9K9	P0ACF4
P0ACF0	P0ACF0	P0ACF0
P0ACF0	P0A968	P0ACF0
P0ACF0	P0A972	P0ACF0
P0ACF0	P0A9P6	P0ACF0
P0ACF0	P0A6Y1	P0ACF0
P0ACF0	P0ACF8	P0ACF0
P0ACF0	P0A6Y8	P0ACF0
P0ACF0	P00490	P0ACF0
P0ACF0	P15977	P0ACF0
P0ACF0	P0A7Z4	P0ACF0
P0ACF0	P0A715	P0ACF0
P0ACF0	P17443	P0ACF0
P0ACF0	P68739	P0ACF0
P0ACF0	P05055	P0ACF0
P0ACF0	P0A7Y8	P0ACF0
P0ACF0	P0A8V2	P0ACF0
P0ACF0	P0A8T7	P0ACF0
P0ACF0	P0A832	P0ACF0
P0ACF0	P0A847	P0ACF0
P0ACF0	P0A8F8	P0ACF0
P0ACF0	P03018	P0ACF0
P0ACF0	P21499	P0ACF0
